health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00066435,351,149,155,39,6,2
E00066436,351,156,127,48,13,7
E00066437,283,127,111,36,5,4
E00066438,370,175,102,64,22,7
E00066439,368,153,140,51,20,4
E00066440,291,119,92,66,11,3
E00066441,279,105,106,46,13,9
E00066442,260,95,96,58,9,2
E00066443,399,178,137,67,9,8
E00066444,317,64,115,89,35,14
E00066445,293,118,96,54,18,7
E00066446,246,73,72,71,24,6
E00066447,326,136,110,59,19,2
E00066448,264,101,103,42,15,3
E00066449,307,128,107,53,15,4
E00066450,505,282,163,48,10,2
E00066451,255,109,78,50,13,5
E00066452,330,126,95,80,27,2
E00066453,269,103,108,52,6,0
E00066454,250,76,78,73,16,7
E00066455,305,161,94,34,8,8
E00066456,205,80,68,41,10,6
E00066457,306,142,109,39,13,3
E00066458,386,260,97,23,5,1
E00066459,348,138,137,52,16,5
E00066460,259,121,101,31,6,0
E00066461,316,124,125,53,14,0
E00066462,244,105,78,39,19,3
E00066463,347,138,131,61,13,4
E00066464,283,112,110,45,14,2
E00066465,284,119,110,46,7,2
E00066466,293,133,96,48,9,7
E00066467,449,221,154,56,16,2
E00066468,264,113,107,27,12,5
E00066470,462,249,157,37,13,6
E00066471,323,154,106,45,14,4
E00066472,308,124,119,47,16,2
E00066473,354,160,125,45,21,3
E00066474,306,118,111,53,20,4
E00066475,171,52,51,44,22,2
E00066476,329,115,112,70,28,4
E00066477,282,135,103,36,7,1
E00066478,324,137,122,42,17,6
E00066479,348,144,115,45,27,17
E00066480,299,142,91,42,17,7
E00066481,258,100,93,55,8,2
E00066482,332,173,102,45,11,1
E00066483,299,116,96,60,20,7
E00066484,331,152,121,39,13,6
E00066485,344,170,121,45,8,0
E00066486,331,165,95,64,4,3
E00066487,256,107,89,43,15,2
E00066488,385,182,127,52,16,8
E00066489,260,102,96,44,12,6
E00066490,319,148,124,36,9,2
E00066491,286,114,112,38,19,3
E00066492,305,103,88,78,30,6
E00066493,296,156,101,32,6,1
E00066494,237,84,102,41,7,3
E00066495,265,114,97,37,13,4
E00066496,379,177,130,49,22,1
E00066497,285,135,111,30,8,1
E00066498,197,54,78,41,17,7
E00066499,243,87,95,43,12,6
E00066500,320,161,105,42,10,2
E00066501,304,126,122,46,9,1
E00066502,288,91,100,71,17,9
E00066503,266,102,108,40,14,2
E00066504,443,218,157,51,13,4
E00066505,256,125,71,42,17,1
E00066506,384,180,144,43,12,5
E00066507,433,209,141,59,20,4
E00066508,161,66,67,20,8,0
E00066509,301,151,100,38,7,5
E00066510,370,140,132,55,29,14
E00066511,269,124,94,33,13,5
E00066512,289,113,93,60,19,4
E00066513,281,147,91,27,11,5
E00066514,312,143,123,34,11,1
E00066515,344,162,104,56,17,5
E00066516,329,169,96,44,14,6
E00066517,302,129,116,38,15,4
E00066518,311,139,92,67,11,2
E00066519,272,116,118,24,13,1
E00066520,319,144,108,53,11,3
E00066521,278,126,108,35,8,1
E00066522,373,214,118,32,7,2
E00066523,325,162,107,37,15,4
E00066524,292,149,91,37,8,7
E00066525,370,221,111,30,8,0
E00066526,259,99,87,53,15,5
E00066527,285,169,88,22,5,1
E00066528,320,178,111,28,3,0
E00066529,382,196,107,62,7,10
E00066530,311,151,114,36,10,0
E00066531,403,177,121,54,38,13
E00066532,292,161,90,33,6,2
E00066533,342,195,124,18,5,0
E00066534,327,157,126,29,14,1
E00066535,344,159,132,43,7,3
E00066536,311,164,106,32,9,0
E00066537,311,140,113,45,9,4
E00066538,188,29,57,59,27,16
E00066539,205,42,76,63,20,4
E00066540,323,138,112,54,12,7
E00066541,218,82,88,41,6,1
E00066542,294,148,103,33,8,2
E00066543,182,71,65,39,6,1
E00066544,311,141,125,41,4,0
E00066545,300,116,127,48,9,0
E00066546,340,149,135,44,9,3
E00066547,322,161,109,41,8,3
E00066548,266,109,94,43,14,6
E00066550,251,100,99,44,5,3
E00066551,327,137,126,47,14,3
E00066552,255,92,94,56,8,5
E00066553,310,146,116,36,10,2
E00066554,256,130,74,41,11,0
E00066555,250,77,113,46,9,5
E00066556,278,122,62,54,20,20
E00066557,337,147,134,41,9,6
E00066558,226,77,65,51,27,6
E00066559,295,131,110,42,8,4
E00066560,238,86,91,49,10,2
E00066561,290,115,118,44,8,5
E00066562,276,78,114,68,16,0
E00066563,280,96,106,59,13,6
E00066564,283,136,89,44,11,3
E00066565,291,125,112,42,11,1
E00066566,459,252,157,34,14,2
E00066568,317,142,111,47,11,6
E00066569,295,139,97,44,15,0
E00066570,261,101,96,52,12,0
E00066571,316,182,85,42,5,2
E00066572,238,100,86,39,11,2
E00066573,303,146,109,30,14,4
E00066574,350,149,128,42,26,5
E00066575,276,141,93,31,8,3
E00066576,201,47,65,50,33,6
E00066577,306,136,111,45,11,3
E00066578,300,140,123,34,2,1
E00066579,287,125,93,50,17,2
E00066580,257,102,84,48,23,0
E00066581,288,129,112,31,10,6
E00066582,289,147,91,36,12,3
E00066583,292,130,75,61,20,6
E00066584,284,154,87,32,8,3
E00066585,321,120,128,50,17,6
E00066586,372,155,137,52,22,6
E00066587,363,149,124,53,22,15
E00066588,321,135,124,47,12,3
E00066589,340,178,108,33,16,5
E00066590,297,143,96,50,4,4
E00066591,340,144,113,61,16,6
E00066592,286,117,110,47,8,4
E00066593,379,174,133,52,15,5
E00066594,300,128,109,34,20,9
E00066595,278,104,121,34,13,6
E00066596,290,145,87,44,12,2
E00066597,285,128,114,29,11,3
E00066598,290,144,92,36,16,2
E00066599,298,111,128,44,12,3
E00066600,372,196,115,44,16,1
E00066601,288,122,124,34,5,3
E00066602,307,144,114,37,11,1
E00066603,309,133,118,45,10,3
E00066604,323,154,117,37,9,6
E00066605,348,187,123,25,8,5
E00066606,316,153,112,37,10,4
E00066607,237,107,85,31,9,5
E00066608,284,127,103,41,10,3
E00066609,303,123,120,38,19,3
E00066610,370,193,118,45,12,2
E00066611,381,148,146,55,23,9
E00066612,271,94,111,42,18,6
E00066613,266,99,88,55,19,5
