health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00001776,364,187,132,29,11,5
E00001777,301,145,106,43,5,2
E00001778,312,173,101,28,8,2
E00001779,361,188,123,38,7,5
E00001780,259,132,88,29,6,4
E00001781,300,151,103,34,9,3
E00001782,246,76,104,53,11,2
E00001783,298,148,105,36,8,1
E00001784,239,109,95,29,6,0
E00001785,304,157,96,31,12,8
E00001786,328,156,117,41,12,2
E00001787,312,131,124,53,4,0
E00001788,318,157,120,29,7,5
E00001789,296,152,107,28,8,1
E00001790,325,140,122,51,8,4
E00001791,232,102,92,27,8,3
E00001792,356,175,124,46,7,4
E00001793,444,199,163,62,14,6
E00001794,340,186,111,33,7,3
E00001795,273,139,90,35,6,3
E00001796,336,171,113,39,10,3
E00001797,266,101,106,43,9,7
E00001798,316,123,137,44,8,4
E00001799,319,141,102,54,17,5
E00001800,327,167,116,34,8,2
E00001801,298,123,128,38,7,2
E00001802,332,141,120,49,15,7
E00001803,348,149,126,43,20,10
E00001804,244,90,76,33,44,1
E00001805,281,113,98,51,16,3
E00001806,320,148,111,45,13,3
E00001807,341,159,120,48,12,2
E00001808,302,148,84,49,14,7
E00001809,328,155,116,44,11,2
E00001810,367,198,113,42,12,2
E00001811,320,151,103,52,9,5
E00001812,274,114,108,34,13,5
E00001813,343,155,134,32,14,8
E00001814,281,134,98,34,10,5
E00001815,355,168,125,37,19,6
E00001816,233,105,94,28,6,0
E00001817,286,121,114,37,11,3
E00001818,343,160,120,51,9,3
E00001819,395,165,140,39,44,7
E00001820,324,132,119,51,20,2
E00001821,295,135,108,31,15,6
E00001822,310,156,110,34,10,0
E00001823,299,150,95,31,13,10
E00001824,359,176,124,45,11,3
E00001825,310,146,90,46,23,5
E00001826,295,151,86,43,10,5
E00001827,422,206,151,48,12,5
E00001828,252,101,109,34,6,2
E00001829,355,148,117,58,24,8
E00001830,352,177,112,40,14,9
E00001831,244,138,70,31,5,0
E00001832,318,166,111,35,6,0
E00001833,293,128,126,30,8,1
E00001834,477,264,165,33,10,5
E00001835,257,128,88,31,10,0
E00001836,443,184,168,65,21,5
E00001837,352,186,118,32,12,4
E00001838,326,146,133,30,17,0
E00001839,224,78,106,38,2,0
E00001840,271,124,111,28,7,1
E00001841,348,140,135,58,9,6
E00001842,291,115,121,43,9,3
E00001843,298,142,91,44,18,3
E00001844,302,137,115,33,13,4
E00001845,241,90,83,52,13,3
E00001846,283,121,115,26,16,5
E00001847,317,137,112,44,16,8
E00001848,192,85,73,27,6,1
E00001849,282,103,102,47,24,6
E00001851,267,131,100,30,5,1
E00001852,322,134,111,53,17,7
E00001853,294,129,109,39,14,3
E00001854,268,131,87,37,11,2
E00001855,294,118,97,47,24,8
E00001856,294,131,99,47,14,3
E00001857,347,162,129,39,15,2
E00001858,276,102,97,56,14,7
E00001859,210,102,78,22,6,2
E00001860,249,98,83,47,15,6
E00001861,282,137,96,39,6,4
E00001862,413,196,141,47,22,7
E00001863,194,46,72,52,19,5
E00001864,321,178,95,34,10,4
E00001865,356,140,120,60,27,9
E00001866,274,102,105,46,14,7
E00001867,357,165,98,58,29,7
E00001868,342,147,130,44,16,5
E00001869,304,122,116,42,18,6
E00001870,321,170,112,28,10,1
E00001871,237,97,85,40,8,7
E00001872,276,112,91,61,8,4
E00001873,315,165,107,34,7,2
E00001874,370,167,113,64,20,6
E00001875,317,128,96,64,23,6
E00001876,345,121,143,54,19,8
E00001877,152,61,51,34,4,2
E00001878,365,188,109,52,12,4
E00001879,325,129,127,46,13,10
E00001880,291,140,96,36,17,2
E00001881,236,92,96,35,12,1
E00001882,218,93,70,31,17,7
E00001883,341,169,131,28,11,2
E00001884,247,123,89,28,4,3
E00001885,362,161,144,40,12,5
E00001886,291,157,93,33,5,3
E00001887,161,47,53,42,13,6
E00001888,311,152,89,43,18,9
E00001889,271,114,102,41,13,1
E00001890,292,124,96,38,30,4
E00001891,342,206,101,25,7,3
E00001892,336,136,127,54,16,3
E00001893,378,204,106,42,22,4
E00001894,227,99,73,43,10,2
E00001895,379,183,129,41,20,6
E00001896,447,207,155,60,15,10
E00001897,184,60,67,35,15,7
E00001898,288,148,72,46,16,6
E00001899,315,128,135,37,10,5
E00001900,299,140,117,33,7,2
E00001901,285,132,104,37,12,0
E00001902,271,113,104,45,6,3
E00001903,409,219,142,36,8,4
E00001904,315,134,116,47,15,3
E00001905,297,149,90,42,14,2
E00001906,391,199,139,44,9,0
E00001907,393,191,130,50,17,5
E00001908,283,142,95,30,13,3
E00001909,322,156,119,38,6,3
E00001910,218,99,63,35,20,1
E00001911,336,132,135,50,17,2
E00001912,517,257,196,48,13,3
E00001913,273,128,100,34,11,0
E00001914,298,134,107,46,6,5
E00001915,221,67,85,51,10,8
E00001916,156,50,58,30,13,5
E00001917,281,125,109,39,7,1
E00001918,361,188,115,48,7,3
E00001919,348,157,130,49,9,3
E00001920,304,132,111,47,8,6
E00001921,328,168,119,33,6,2
E00001922,317,144,114,35,18,6
