health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00060705,297,121,113,40,19,4
E00060706,290,105,111,48,20,6
E00060707,345,160,124,42,14,5
E00060708,326,149,106,50,20,1
E00060709,423,193,161,49,14,6
E00060710,283,123,91,50,17,2
E00060711,244,105,80,49,9,1
E00060712,463,212,173,56,17,5
E00060713,284,113,104,47,13,7
E00060714,256,105,101,37,8,5
E00060715,320,147,103,58,12,0
E00060716,273,120,94,40,16,3
E00060717,321,149,103,42,17,10
E00060718,274,145,88,30,9,2
E00060719,277,131,107,24,11,4
E00060720,293,147,91,44,9,2
E00060721,375,165,127,58,16,9
E00060722,211,48,64,52,30,17
E00060723,214,55,69,54,31,5
E00060725,192,81,53,37,17,4
E00060726,120,57,35,17,8,3
E00060727,348,172,97,54,21,4
E00060728,354,136,152,48,11,7
E00060729,252,104,73,49,22,4
E00060730,255,69,104,59,21,2
E00060731,260,104,86,50,16,4
E00060732,260,118,72,45,20,5
E00060733,197,56,80,38,18,5
E00060734,189,65,58,41,21,4
E00060735,208,74,73,44,12,5
E00060736,274,126,95,37,12,4
E00060737,329,146,121,48,13,1
E00060738,267,101,89,42,28,7
E00060739,388,196,133,42,17,0
E00060740,297,130,99,47,16,5
E00060741,307,107,96,55,34,15
E00060742,308,155,79,45,21,8
E00060743,238,87,84,41,17,9
E00060744,333,163,100,46,18,6
E00060745,341,175,100,43,15,8
E00060746,295,141,99,28,23,4
E00060747,297,135,84,51,17,10
E00060748,376,193,114,42,19,8
E00060749,283,143,83,30,22,5
E00060750,289,126,109,40,10,4
E00060751,246,115,62,53,12,4
E00060752,301,137,124,30,8,2
E00060753,302,144,116,28,10,4
E00060754,304,124,106,60,11,3
E00060755,279,116,86,63,12,2
E00060756,259,117,84,41,11,6
E00060757,279,116,93,47,18,5
E00060758,250,76,98,47,21,8
E00060759,324,166,93,48,16,1
E00060760,250,71,90,59,22,8
E00060761,421,195,147,61,9,9
E00060762,206,71,86,36,10,3
E00060763,357,173,124,46,11,3
E00060764,338,181,112,30,13,2
E00060765,354,184,119,40,11,0
E00060766,315,161,117,25,7,5
E00060767,248,110,63,48,22,5
E00060768,297,127,85,63,18,4
E00060769,340,138,111,61,25,5
E00060770,290,139,73,49,24,5
E00060771,303,142,99,43,16,3
E00060772,330,149,110,47,18,6
E00060773,366,168,123,56,17,2
E00060774,318,142,103,44,21,8
E00060775,350,152,121,58,16,3
E00060776,327,147,109,45,21,5
E00060777,334,166,123,36,8,1
E00060778,196,83,67,29,14,3
E00060779,319,159,108,41,9,2
E00060780,296,111,123,46,11,5
E00060781,311,132,105,52,21,1
E00060782,282,149,94,23,13,3
E00060783,347,150,110,59,24,4
E00060784,329,156,128,39,5,1
E00060785,346,160,136,32,16,2
E00060786,389,201,129,44,8,7
E00060787,400,218,127,42,11,2
E00060788,275,109,98,52,14,2
E00060789,525,282,185,44,11,3
E00060790,353,201,107,34,7,4
E00060791,382,204,117,38,20,3
E00060792,342,149,131,40,18,4
E00060793,291,144,107,26,11,3
E00060794,417,188,164,39,19,7
E00060795,281,139,96,38,6,2
E00060796,351,179,130,31,10,1
E00060797,309,156,100,44,5,4
E00060798,392,215,131,38,6,2
E00060799,387,229,109,35,11,3
E00060800,292,112,113,49,15,3
E00060802,325,167,104,40,9,5
E00060803,425,225,142,45,11,2
E00060804,286,109,101,55,17,4
E00060805,360,186,116,38,17,3
E00060806,365,186,119,43,15,2
E00060807,560,314,164,66,12,4
E00060808,366,209,102,37,15,3
E00060809,384,132,131,72,45,4
E00060810,227,90,85,30,18,4
