house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00060666,183,30,62,38,21,12,17,3
E00060667,121,16,19,22,19,26,11,8
E00060668,137,9,30,24,29,29,10,6
E00060669,167,26,75,20,9,20,13,4
E00060670,129,16,16,42,42,6,4,3
E00060671,137,47,65,20,3,0,2,0
E00060672,132,35,38,28,13,8,9,1
E00060673,92,3,3,58,19,2,7,0
E00060674,111,6,17,49,31,2,2,4
E00060675,131,16,20,47,30,10,7,1
E00060676,119,11,16,46,29,10,6,1
E00060677,135,28,49,24,9,7,15,3
E00060678,117,7,24,38,28,15,4,1
E00060679,131,3,17,50,40,8,10,3
E00060680,104,0,4,45,45,4,4,2
E00060681,199,8,17,68,79,16,5,6
E00060682,123,23,13,41,20,11,14,1
E00060683,129,20,19,37,22,15,10,6
E00060684,135,31,39,27,10,16,10,2
E00060685,190,4,29,57,72,13,9,6
E00060686,132,5,19,46,32,16,12,2
E00060687,100,4,16,32,32,9,5,2
E00060688,83,1,6,27,32,7,7,3
E00060689,147,19,39,41,20,14,11,3
E00060690,153,20,47,50,16,7,12,1
E00060691,140,26,33,39,20,14,7,1
E00060692,129,22,13,47,30,6,8,3
E00060693,103,34,8,32,14,5,6,4
E00060694,129,11,36,38,17,15,10,2
E00060695,113,18,17,35,15,12,10,6
E00060696,135,57,18,40,14,2,3,1
E00060697,213,27,50,65,42,12,16,1
E00060698,136,24,31,38,22,15,6,0
E00060699,143,13,35,28,24,23,11,9
E00060701,134,7,28,22,23,5,46,3
E00060702,141,14,32,20,12,14,33,16
E00060703,126,25,59,10,3,10,14,5
E00060704,138,6,44,18,11,20,32,7
E00060705,139,18,38,21,17,25,15,5
E00060706,133,22,30,13,20,25,20,3
E00060707,152,13,52,16,14,8,41,8
E00060708,145,10,42,26,18,20,18,11
E00060709,159,10,34,26,27,12,40,10
E00060710,131,12,43,18,19,16,20,3
E00060711,117,8,37,21,7,16,25,3
E00060712,172,9,39,30,18,14,57,5
E00060713,132,9,40,11,17,21,29,5
E00060714,119,8,31,22,18,14,24,2
E00060715,135,9,37,29,19,14,20,7
E00060716,136,9,50,22,12,16,23,4
E00060717,132,18,25,27,23,14,18,7
E00060718,115,5,35,15,19,16,19,6
E00060719,118,7,27,19,14,24,22,5
E00060720,116,8,18,27,19,20,22,2
E00060721,142,12,24,26,26,15,33,6
E00060722,130,39,41,17,3,8,21,1
E00060723,145,37,55,23,4,5,21,0
E00060725,104,14,43,8,11,13,11,4
E00060726,57,3,19,11,0,12,10,2
E00060727,148,26,31,18,15,10,46,2
E00060728,153,8,39,19,12,11,62,2
E00060729,114,14,29,33,17,11,5,5
E00060730,132,40,8,63,7,4,7,3
E00060731,119,26,11,48,17,5,9,3
E00060732,127,21,40,16,16,26,6,2
E00060733,127,30,55,24,7,6,4,1
E00060734,111,28,39,21,8,6,7,2
E00060735,112,18,38,33,11,5,5,2
E00060736,118,7,29,36,25,11,8,2
E00060737,135,14,22,46,31,12,8,2
E00060738,123,9,39,24,16,22,10,3
E00060739,139,4,9,67,34,11,8,6
E00060740,121,12,11,55,28,3,8,4
E00060741,132,14,34,34,15,20,12,3
E00060742,119,6,21,30,25,22,10,5
E00060743,107,15,21,26,15,18,9,3
E00060744,128,5,26,28,24,30,9,6
E00060745,115,3,23,16,32,23,9,9
E00060746,126,21,28,20,26,16,9,6
E00060747,123,28,14,25,21,29,6,0
E00060748,144,3,27,27,28,45,8,6
E00060749,123,9,28,32,30,12,10,2
E00060750,122,21,8,56,25,2,8,2
E00060751,103,27,4,42,23,2,4,1
E00060752,119,19,9,51,20,2,12,6
E00060753,119,24,5,50,25,3,8,4
E00060754,124,19,10,52,21,6,11,5
E00060755,122,28,7,53,22,2,7,3
E00060756,115,22,12,43,19,6,10,3
E00060757,134,36,13,57,19,2,6,1
E00060758,137,41,20,57,8,3,8,0
E00060759,126,29,8,42,26,1,15,5
E00060760,127,31,20,47,11,7,8,3
E00060761,175,32,11,83,28,6,13,2
E00060762,116,22,34,31,8,14,6,1
E00060763,118,17,9,29,46,7,8,2
E00060764,122,16,11,28,45,9,9,4
E00060765,119,10,9,47,38,5,7,3
E00060766,120,15,8,53,27,8,5,4
E00060767,121,33,23,24,20,13,7,1
E00060768,129,27,14,33,19,18,15,3
E00060769,134,25,16,31,24,24,8,6
E00060770,122,18,22,28,16,21,13,4
E00060771,124,19,17,15,28,24,17,4
E00060772,137,22,19,33,23,22,13,5
E00060773,136,17,12,50,24,15,9,9
E00060774,134,16,25,32,23,19,15,4
E00060775,127,7,15,29,30,22,17,7
E00060776,139,17,30,29,22,19,14,8
E00060777,135,13,14,74,19,2,7,6
E00060778,110,20,38,25,12,6,7,2
E00060779,138,13,33,51,23,8,7,3
E00060780,129,22,9,59,18,6,12,3
E00060781,127,13,11,66,26,2,3,6
E00060782,136,22,32,36,22,15,9,0
E00060783,130,19,14,57,25,4,9,2
E00060784,135,9,21,59,32,7,5,2
E00060785,125,14,12,48,27,4,11,9
E00060786,148,25,22,44,35,5,9,8
E00060787,122,10,11,30,45,9,11,6
E00060788,125,28,5,57,19,1,11,4
E00060789,196,11,39,61,34,15,23,13
E00060790,126,9,15,38,41,10,7,6
E00060791,127,13,8,41,44,1,16,4
E00060792,153,30,25,52,19,4,17,6
E00060793,114,13,21,46,26,0,3,5
E00060794,133,10,7,56,35,2,11,12
E00060795,118,15,17,42,18,11,9,6
E00060796,122,10,14,46,32,6,9,5
E00060797,112,12,11,43,32,4,4,6
E00060798,184,7,56,57,32,18,13,1
E00060799,145,13,18,40,36,18,15,5
E00060800,132,10,41,32,16,16,13,4
E00060802,129,17,21,31,33,11,13,3
E00060803,170,7,52,36,31,18,19,7
E00060804,132,20,23,46,15,14,8,6
E00060805,130,10,21,36,39,8,13,3
E00060806,129,10,8,48,34,11,6,12
E00060807,213,15,29,60,64,18,24,3
E00060808,122,9,13,42,33,9,11,5
E00060809,115,19,7,37,26,12,8,6
E00060810,119,5,39,18,9,26,19,3
E00060811,130,22,15,42,26,15,6,4
E00060812,143,13,44,38,24,13,7,4
E00060813,118,12,21,28,15,25,9,8
E00060814,118,8,22,29,14,26,13,6
E00060815,105,19,17,24,17,14,10,4
E00060817,114,2,19,23,24,28,13,5
E00060818,125,32,22,26,18,12,9,6
E00060819,121,25,29,18,10,20,15,4
E00060820,115,4,19,26,36,22,7,1
E00060821,125,10,26,22,23,30,11,3
E00060822,129,26,26,20,15,27,10,5
E00060824,180,49,58,27,16,13,13,4
E00060825,131,21,30,26,15,18,15,6
E00060826,110,10,32,34,11,10,11,2
E00060827,152,24,30,36,23,13,18,8
E00060828,116,10,45,23,12,12,11,3
E00060829,119,5,36,25,14,21,15,3
E00060830,141,18,26,33,17,27,16,4
E00060831,117,24,25,21,16,21,7,3
E00060832,145,12,41,35,13,30,11,3
E00060833,125,16,6,55,31,4,9,4
E00060834,133,29,13,59,14,6,12,0
E00060835,124,10,12,49,33,13,4,3
E00060836,114,34,5,36,25,5,9,0
E00060837,136,42,5,61,20,3,4,1
E00060838,127,8,16,56,32,5,7,3
E00060839,128,6,23,54,24,6,13,2
E00060840,189,14,26,72,56,5,10,6
E00060841,186,26,32,68,34,14,8,4
E00060842,109,17,13,51,16,3,8,1
E00060843,134,24,38,36,15,12,8,1
E00060844,137,11,10,58,34,10,11,3
E00060845,130,10,25,51,30,7,7,0
E00060846,133,21,18,54,25,10,4,1
E00060847,123,20,7,69,13,7,6,1
E00060848,192,7,24,65,76,12,6,2
E00060849,143,3,12,51,60,8,7,2
E00060850,133,4,17,48,43,16,2,3
E00060851,120,5,11,41,48,5,6,4
E00060852,118,6,27,32,33,11,6,3
E00060853,127,2,20,43,43,10,9,0
E00060854,127,18,10,63,25,5,5,1
E00060855,129,24,19,61,16,1,5,3
E00060856,120,24,11,58,18,4,4,1
E00060857,122,24,8,59,20,6,4,1
E00060858,117,35,10,66,1,1,2,2
E00060859,114,17,8,48,24,5,10,2
E00060860,142,33,11,72,14,8,4,0
E00060861,129,31,10,62,13,5,8,0
E00060862,124,29,9,67,7,4,7,1
E00060863,117,8,24,48,25,9,3,0
E00060864,131,8,8,56,42,12,5,0
E00060865,156,4,52,18,24,10,40,8
E00060866,156,5,36,22,14,13,63,3
E00060867,139,1,31,19,30,15,33,10
E00060868,177,10,52,19,33,10,39,14
E00060869,144,64,46,10,12,2,10,0
E00060871,130,17,97,10,1,0,5,0
E00060873,134,28,88,10,1,0,7,0
E00060874,199,11,79,31,25,25,20,8
E00060875,153,12,72,12,10,13,30,4
E00060877,169,7,58,23,24,12,36,9
E00060878,141,15,69,15,7,4,24,7
E00060880,109,8,10,53,29,5,3,1
E00060881,116,16,5,58,25,5,5,2
E00060882,122,15,6,55,34,3,8,1
E00060883,124,14,6,65,32,1,5,1
E00060884,129,8,13,57,34,8,5,4
E00060885,108,7,2,64,26,2,5,2
E00060886,115,11,3,62,31,2,2,4
E00060887,119,15,2,62,31,3,6,0
E00060888,108,18,6,59,18,2,2,3
E00060889,124,16,17,53,25,5,5,3
E00060890,103,26,18,33,13,2,11,0
E00060891,127,11,8,69,28,4,3,4
E00060893,119,10,14,65,21,0,6,3
E00060894,110,12,7,44,31,4,7,5
E00060895,142,12,12,72,28,5,9,4
E00060896,126,23,18,28,16,18,18,5
E00060897,115,11,9,24,20,23,24,4
E00060898,105,30,19,17,11,19,6,3
E00060899,125,14,21,22,23,31,13,1
E00060900,128,27,14,30,25,20,9,3
E00060901,125,18,17,26,22,18,20,4
E00060902,139,8,24,24,23,38,16,6
E00060903,127,21,16,26,26,23,10,5
E00060904,119,15,20,19,28,22,11,4
E00060905,126,16,17,27,21,28,12,5
E00060906,122,38,19,22,10,25,8,0
E00060907,135,31,20,40,12,17,12,3
E00060908,128,14,11,58,23,8,13,1
E00060909,119,9,14,21,14,41,12,8
E00060910,134,9,12,27,20,49,10,7
E00060911,114,9,11,20,18,36,15,5
E00060912,115,14,22,33,14,11,15,6
E00060913,123,24,17,31,11,24,11,5
E00060914,128,18,19,32,28,13,13,5
E00060915,121,19,33,32,15,10,9,3
E00060916,149,8,40,13,26,18,38,6
E00060917,119,10,12,38,37,7,13,2
E00060918,132,15,30,36,28,5,9,9
E00060919,138,11,18,35,38,13,15,8
E00060920,110,4,39,23,14,13,12,5
