rel..sa_id,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00091453,168,74,8,7,0,0,0,0,0,0,64,15
S00091454,132,33,7,10,0,0,2,0,0,0,64,16
S00091455,154,59,8,4,1,0,0,0,0,4,74,4
S00091456,134,50,7,19,0,0,0,0,0,1,49,8
S00091457,95,46,3,7,0,0,0,4,0,0,30,5
S00091458,132,73,6,4,0,0,0,0,0,0,44,5
S00091459,82,56,2,0,0,0,0,0,0,0,21,3
S00091460,131,62,7,0,0,0,0,0,0,0,59,3
S00091461,150,46,10,5,2,0,0,0,0,1,81,5
S00091462,123,23,4,11,0,0,0,0,0,0,77,8
S00091463,170,72,6,15,0,0,0,0,0,1,68,8
S00091464,95,31,3,0,1,0,0,0,0,0,50,10
S00091465,114,49,7,3,1,0,0,0,0,1,50,3
S00091466,147,59,5,7,7,0,0,0,0,0,60,9
S00091467,103,45,2,2,0,0,0,0,0,0,47,7
S00091468,117,38,11,2,0,0,0,0,0,0,61,5
S00091469,110,52,4,1,0,0,0,0,0,0,42,11
S00091470,123,57,7,1,0,0,0,0,0,0,55,3
S00091471,136,63,3,1,1,0,0,0,0,2,52,14
S00091472,124,66,7,10,0,0,0,0,0,1,32,8
S00091473,155,67,10,7,0,0,0,0,0,1,61,9
S00091474,122,56,4,5,0,0,0,0,0,1,53,3
S00091475,154,42,5,11,0,0,0,0,0,0,86,10
S00091476,134,37,1,2,0,0,0,0,0,0,88,6
S00091477,115,37,4,2,0,0,0,0,0,3,66,3
S00091478,115,58,0,9,0,0,0,0,0,0,47,1
S00091479,80,33,1,4,0,0,0,0,0,0,38,4
S00091480,151,64,4,4,0,0,0,0,0,0,59,20
S00091481,57,25,6,6,0,0,0,0,0,0,19,1
S00091482,167,90,4,8,0,0,0,1,0,0,61,3
S00091483,121,31,4,22,0,0,0,0,0,0,58,6
S00091484,108,51,6,8,0,0,0,0,0,0,34,9
S00091485,162,52,4,9,1,0,0,0,0,0,84,12
S00091486,163,68,11,4,0,0,0,0,0,0,73,7
S00091487,105,38,4,6,0,0,0,0,0,0,45,12
S00091488,96,54,4,5,0,0,0,1,0,1,22,9
S00091489,119,78,3,6,0,0,1,0,0,0,25,6
S00091490,106,61,3,8,0,0,0,0,0,0,28,6
S00091491,142,52,4,4,0,0,1,0,0,1,74,6
S00091492,150,64,8,7,0,0,0,0,0,0,58,13
S00091493,194,72,11,12,1,4,0,0,0,0,78,16
S00091494,207,101,18,5,0,0,0,0,0,0,74,9
S00091495,181,59,13,16,0,0,0,0,0,0,81,12
S00091496,112,54,10,8,0,0,0,2,0,0,32,6
S00091497,193,67,8,13,1,0,0,0,0,0,98,6
S00091498,105,50,5,5,0,0,0,0,0,0,43,2
S00091499,110,60,9,4,1,0,0,0,0,0,32,4
S00091500,128,54,9,0,0,0,0,0,0,0,61,4
S00091501,117,32,6,0,0,0,0,0,0,1,64,14
S00091502,51,19,0,0,0,0,0,0,0,1,28,3
S00091503,119,44,11,6,0,0,0,0,0,0,52,6
S00091504,136,41,10,11,0,0,0,0,0,1,54,19
S00091505,106,38,6,7,0,0,0,0,0,0,47,8
S00091506,153,55,18,7,3,0,0,0,0,1,58,11
S00091507,60,17,1,4,0,0,0,0,0,1,28,9
S00091508,111,40,7,11,1,0,0,5,0,0,41,6
S00091509,104,38,7,5,0,0,0,0,0,0,47,7
S00091510,139,64,3,7,0,0,0,0,0,0,45,20
S00091511,100,20,11,5,1,0,0,0,0,1,53,9
S00091512,162,41,12,12,0,0,0,0,0,0,77,20
S00091513,120,27,7,5,0,0,0,0,0,0,62,19
S00091514,72,43,4,8,0,0,0,0,0,0,12,5
S00091515,96,42,5,12,0,0,0,0,0,1,32,4
S00091516,115,44,9,18,0,0,0,0,0,0,31,13
S00091517,68,47,8,1,0,0,0,0,0,0,6,6
S00091518,92,22,9,3,1,0,0,0,0,0,55,2
S00091519,58,15,13,3,0,0,0,0,0,0,22,5
S00091520,84,29,8,6,0,0,0,0,0,0,35,6
S00091521,130,38,8,9,0,0,0,0,0,1,57,17
S00091522,80,26,3,4,0,0,0,0,0,0,38,9
S00091523,89,33,7,0,0,0,0,0,0,0,42,7
S00091524,119,36,5,13,0,0,0,0,0,1,56,8
S00091525,108,24,8,13,0,0,0,0,0,0,58,5
S00091526,97,38,6,3,0,3,0,0,0,1,36,10
S00091527,100,28,7,4,0,0,0,0,1,0,54,6
S00091528,76,38,1,1,0,0,0,1,0,0,26,9
S00091529,85,45,10,5,1,0,0,0,0,0,19,5
S00091530,234,86,5,31,0,0,1,0,0,0,92,19
S00091531,117,64,7,6,0,0,0,0,0,0,38,2
S00091532,119,50,7,13,0,0,0,0,0,0,34,15
S00091533,187,73,12,13,0,0,0,0,0,0,71,18
S00091534,153,63,4,8,0,0,0,0,0,0,72,6
S00091535,119,29,1,9,0,0,0,2,0,1,68,9
S00091536,130,62,1,11,1,0,0,0,0,0,45,10
S00091537,140,47,6,10,0,0,0,0,0,0,67,10
S00091538,82,34,6,3,0,0,0,0,0,0,34,5
S00091539,87,32,1,2,0,0,0,0,0,1,44,7
S00091548,74,24,5,8,0,0,0,0,0,0,32,5
S00091568,124,58,6,2,0,0,0,0,0,0,48,10
S00091575,107,22,4,3,0,0,0,0,0,0,65,13
S00091576,141,46,17,7,0,0,0,1,0,0,65,5
S00091577,101,30,5,2,0,0,0,1,0,0,54,9
S00091578,59,14,1,3,0,0,0,0,0,0,38,3
S00091579,106,24,10,4,0,5,0,0,0,0,52,11
S00091580,135,44,5,7,0,0,0,0,0,0,64,15
S00091581,180,66,15,6,0,0,0,0,0,0,81,12
S00091582,162,58,8,6,0,0,0,0,0,0,80,10
S00091583,120,39,9,8,0,0,0,0,0,0,59,5
S00091584,116,51,1,3,1,2,0,0,0,0,46,12
S00091585,76,25,0,3,0,0,0,0,0,0,42,6
S00091586,74,24,2,1,0,0,0,0,0,4,40,3
S00091587,226,68,7,10,0,0,0,0,0,3,113,25
S00091588,161,57,3,15,0,0,0,3,0,0,76,7
S00091589,87,25,6,5,0,0,0,0,0,0,43,8
S00091590,193,51,18,5,0,0,0,3,0,0,100,16
S00091591,222,58,15,9,0,0,0,0,0,1,128,11
S00091592,189,24,12,16,0,0,0,0,0,0,125,12
S00091593,227,70,19,4,0,0,0,0,0,1,119,14
S00091594,128,39,7,7,0,0,0,5,0,0,64,6
S00091595,84,27,1,6,0,0,0,0,0,0,46,4
S00091596,93,28,5,0,0,0,0,0,0,1,52,7
S00091597,67,24,2,0,0,0,0,0,0,1,33,7
S00091598,232,49,3,4,3,2,0,0,0,3,139,29
S00092224,71,43,0,0,0,0,0,0,0,0,26,2
S00092225,101,44,3,10,0,4,0,0,0,0,30,10
S00092226,187,63,14,14,0,0,0,0,0,0,81,15
S00092227,153,46,9,8,0,0,0,0,0,0,74,16
S00092228,141,37,9,6,0,0,0,0,0,0,52,37
S00092229,122,23,10,2,0,0,1,0,0,0,80,6
S00092230,109,40,6,4,0,0,0,0,0,0,55,4
S00092231,134,36,8,5,1,0,0,0,0,1,73,10
S00092232,83,20,0,1,0,0,0,0,0,0,56,6
S00092398,191,54,15,14,0,0,0,0,1,0,92,15
S00092399,149,48,0,20,1,1,0,0,0,1,62,16
S00092400,195,49,13,14,0,0,0,0,0,1,102,16
S00092401,160,42,3,21,0,0,0,0,0,1,67,26
S00092402,143,59,8,10,0,0,0,0,0,0,51,15
S00092403,183,57,12,1,1,0,0,3,0,0,96,13
S00092404,76,21,6,6,3,0,0,0,0,0,36,4
S00092405,106,24,6,5,0,0,0,0,0,0,64,7
S00092406,149,44,11,11,0,0,0,0,0,0,64,19
S00092407,213,40,17,20,0,0,0,9,0,0,104,23
S00092408,134,54,0,17,0,1,0,0,0,0,58,4
S00092409,140,56,1,10,0,0,0,0,0,0,58,15
S00092412,113,48,4,11,0,0,0,0,0,1,47,2
S00092413,128,60,2,11,1,0,0,1,0,0,40,13
S00092417,79,23,9,12,0,0,0,0,0,0,30,5
S00092419,76,20,5,3,0,0,0,0,0,0,47,1
S00092420,142,37,3,18,0,0,0,0,0,0,67,17
S00092421,65,33,3,7,2,0,0,0,0,0,16,4
