pop..dz_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01007185,862,434,428,46,73,57,126,113,209,126,112
S01007186,619,323,296,30,40,42,103,115,165,85,39
S01007187,782,418,364,27,33,33,137,122,197,138,95
S01007188,547,277,270,28,24,20,105,74,132,133,31
S01007189,837,423,414,32,74,65,119,84,161,198,104
S01007190,828,389,439,15,48,37,61,65,202,227,173
S01007191,575,264,311,44,42,38,73,99,130,100,49
S01007192,893,418,475,61,101,71,127,156,210,121,46
S01007193,697,329,368,37,80,47,108,71,194,115,45
S01007194,589,281,308,34,62,63,77,73,161,89,30
S01007195,546,265,281,28,45,63,87,61,137,77,48
S01007196,943,446,497,60,96,78,174,140,281,83,31
S01007197,544,252,292,37,56,38,105,93,135,59,21
S01007198,507,236,271,27,43,51,100,68,126,62,30
S01007199,777,386,391,74,102,71,107,105,170,100,48
S01007200,801,398,403,41,61,58,104,100,227,147,63
S01007201,679,330,349,42,53,36,96,60,160,142,90
S01007202,675,321,354,43,53,31,94,90,153,160,51
S01007203,550,247,303,26,41,31,70,50,153,127,52
S01007204,963,472,491,47,88,64,94,98,300,211,61
S01007205,725,381,344,40,56,64,76,77,189,145,78
S01007206,412,205,207,13,30,20,53,47,129,80,40
S01007207,801,399,402,39,52,51,98,62,202,217,80
S01007208,975,490,485,56,58,54,194,149,240,157,67
S01007209,780,381,399,28,45,38,119,100,189,120,141
S01007210,646,306,340,27,44,48,82,101,163,114,67
S01007211,958,518,440,33,75,66,150,103,281,183,67
S01007212,512,242,270,31,19,26,69,58,136,125,48
S01007213,873,401,472,38,44,51,109,101,240,139,151
S01007214,703,361,342,32,38,32,88,106,200,121,86
S01007215,659,329,330,19,41,29,73,62,196,154,85
S01007216,799,414,385,45,63,66,94,77,229,148,77
S01007217,927,452,475,59,88,45,139,98,260,165,73
S01007218,841,395,446,43,62,46,89,88,207,202,104
S01007219,784,384,400,37,61,44,117,60,235,168,62
S01007220,656,323,333,31,59,55,81,88,179,119,44
S01007221,989,494,495,54,119,94,93,147,236,155,91
S01007222,739,376,363,39,62,59,82,81,197,163,56
S01007223,507,246,261,20,41,46,49,54,158,96,43
S01007224,603,288,315,30,54,30,64,69,171,109,76
S01007225,914,475,439,34,76,57,98,87,320,163,79
S01007226,947,461,486,33,65,48,104,98,282,219,98
S01007227,960,481,479,43,53,75,103,95,289,191,111
S01007228,558,284,274,14,30,35,68,47,191,113,60
S01007229,1068,541,527,51,69,74,117,80,369,234,74
S01007230,728,351,377,56,70,61,110,136,157,93,45
S01007231,699,324,375,35,59,51,126,73,195,104,56
S01007232,661,336,325,32,42,35,112,91,174,113,62
S01007233,702,359,343,38,34,49,93,61,178,176,73
S01007234,654,322,332,48,80,70,76,71,156,83,70
S01007235,728,377,351,40,66,29,100,106,163,111,113
S01007236,606,285,321,44,51,35,78,87,158,110,43
S01007237,661,324,337,19,29,30,76,60,194,152,101
S01007238,824,409,415,37,53,43,105,92,206,187,101
S01007239,964,468,496,30,72,74,66,83,238,230,171
S01007240,509,254,255,15,36,36,48,56,156,109,53
S01007241,596,310,286,20,33,35,77,44,176,157,54
S01007242,991,455,536,44,84,57,93,106,254,230,123
S01007243,645,319,326,26,57,32,51,100,177,135,67
S01007282,512,260,252,32,29,32,78,66,132,109,34
S01007283,934,419,515,34,53,33,70,56,239,231,218
S01007682,875,422,453,28,50,39,100,120,236,194,108
S01007683,757,384,373,36,47,34,115,148,216,101,60
S01007684,794,385,409,26,45,33,102,91,194,209,94
S01007685,900,458,442,17,40,56,326,49,200,156,56
S01007686,687,310,377,30,49,22,123,119,162,119,63
S01007687,818,380,438,35,56,41,268,71,177,110,60
S01007688,953,466,487,24,31,32,401,140,197,97,31
S01007689,565,237,328,9,31,13,262,65,67,53,65
S01007690,939,408,531,28,26,27,500,84,99,129,46
S01007691,3109,1507,1602,29,49,55,2459,219,197,59,42
S01007692,788,354,434,27,42,24,454,50,92,58,41
S01007693,1130,527,603,22,30,30,747,104,141,44,12
S01007694,978,444,534,36,57,33,521,94,137,72,28
S01007695,1045,498,547,26,49,32,252,250,185,166,85
S01007696,796,401,395,31,66,25,406,87,115,37,29
S01007697,921,511,410,29,42,26,240,191,188,138,67
S01007698,1054,550,504,36,66,22,477,153,188,51,61
S01007699,774,386,388,28,70,40,305,111,144,58,18
S01007700,965,497,468,44,58,51,127,165,249,170,101
S01007701,545,287,258,21,27,17,235,64,107,49,25
S01007702,974,526,448,20,30,32,601,105,149,24,13
S01007703,797,412,385,31,40,39,146,146,196,146,53
S01007704,876,504,372,41,58,44,375,103,136,80,39
S01007705,774,429,345,7,19,10,555,90,72,17,4
S01007706,839,429,410,9,13,5,668,50,64,22,8
S01007707,1017,569,448,63,50,31,419,197,171,53,33
S01007708,664,358,306,32,46,28,140,158,149,74,37
S01007709,576,312,264,31,13,18,139,138,141,67,29
S01007710,1007,612,395,30,35,33,516,136,154,82,21
S01007711,1092,582,510,33,53,20,520,111,170,101,84
S01007712,731,366,365,20,28,28,298,88,129,64,76
S01007713,465,227,238,24,29,14,96,94,124,63,21
S01007714,655,342,313,43,36,32,131,122,176,78,37
S01007715,694,320,374,56,59,49,160,121,149,61,39
S01007716,1076,562,514,33,51,48,223,244,161,200,116
S01007717,726,358,368,37,62,47,131,160,151,100,38
S01007718,698,371,327,28,31,17,141,146,157,108,70
S01007719,929,473,456,34,42,17,184,133,247,191,81
S01007720,767,341,426,47,52,18,108,122,177,127,116
S01007721,796,396,400,43,48,21,142,155,201,131,55
S01007722,968,544,424,72,49,38,159,181,274,141,54
S01007723,957,475,482,55,56,26,143,178,212,182,105
S01007724,618,350,268,34,46,40,181,137,119,46,15
S01007725,711,367,344,43,29,13,176,142,171,87,50
S01007726,795,396,399,36,46,23,183,205,169,87,46
S01007727,1022,543,479,40,43,32,312,233,216,104,42
S01007728,925,515,410,50,66,58,409,129,124,71,18
S01007729,799,422,377,38,33,17,251,186,164,89,21
S01007730,649,361,288,19,26,10,218,179,123,57,17
S01007731,715,387,328,15,46,20,187,132,196,93,26
S01007732,864,434,430,43,56,35,207,243,165,79,36
S01007733,863,429,434,47,82,67,112,120,240,135,60
S01007734,828,381,447,35,43,32,111,97,182,217,111
S01007735,825,428,397,37,45,29,117,107,211,206,73
