house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00091494,79,8,5,45,18,1,1,1
S00091495,72,10,4,28,25,1,0,4
S00091496,53,8,3,34,5,1,1,1
S00091497,66,4,11,24,19,2,1,5
S00091498,53,9,10,17,7,5,1,4
S00091499,42,4,3,19,14,0,0,2
S00091500,58,11,6,21,10,4,1,5
S00091501,46,4,5,11,13,6,0,7
S00091502,32,8,11,5,3,4,0,1
S00091503,50,9,6,16,15,1,1,2
S00091504,67,12,10,28,10,5,0,2
S00091505,58,9,17,21,3,5,2,1
S00091506,60,13,6,21,14,3,0,3
S00091507,25,1,6,8,9,0,1,0
S00091508,55,18,6,13,8,5,0,5
S00091509,48,5,6,23,10,0,1,3
S00091510,56,4,9,17,17,0,2,7
S00091511,52,5,17,12,7,4,2,5
S00091512,50,8,2,13,18,5,0,4
S00091513,54,12,7,16,12,4,1,2
S00091514,51,32,4,11,2,1,0,1
S00091515,51,13,11,16,9,0,0,2
S00091516,76,27,22,21,4,1,0,1
S00091517,52,34,5,10,1,0,0,2
S00091518,47,6,13,10,10,0,0,8
S00091519,33,2,17,6,4,2,0,2
S00091520,47,12,13,12,5,0,0,5
S00091521,62,4,17,17,12,5,2,5
S00091522,46,14,6,21,1,2,0,2
S00091523,41,9,6,13,9,2,0,2
S00091524,57,8,14,14,14,2,0,5
S00091525,47,6,9,17,10,1,1,3
S00091526,56,11,17,18,8,1,0,1
S00091527,58,4,25,14,6,4,0,5
S00091528,42,7,12,14,3,3,0,3
S00091529,44,9,8,17,7,0,0,3
S00091530,75,0,6,29,32,3,3,2
S00091531,45,3,2,23,12,2,0,3
S00091532,38,1,3,15,12,2,1,4
S00091533,74,4,11,33,16,2,2,6
S00091534,60,5,4,33,15,1,0,2
S00091535,45,2,4,19,14,4,1,1
S00091536,52,2,6,28,10,3,1,2
S00091537,64,7,8,34,10,3,1,1
S00091538,36,6,3,18,4,2,1,2
S00091539,43,7,10,13,6,4,1,2
S00091548,29,3,7,10,6,1,0,2
S00091568,72,27,11,21,6,3,0,4
S00091575,37,0,4,21,9,2,0,1
S00091576,46,3,2,16,17,4,2,2
S00091577,55,2,25,17,9,1,0,1
S00091578,41,3,24,9,2,0,0,3
S00091579,49,1,16,17,9,1,1,4
S00091580,58,7,7,27,9,4,1,3
S00091581,76,4,21,25,20,1,1,4
S00091582,68,4,17,24,18,3,0,2
S00091583,51,3,5,27,11,1,0,4
S00091584,55,2,14,25,11,0,0,3
S00091585,33,0,8,14,4,4,1,2
S00091586,41,5,11,21,2,1,0,1
S00091587,74,0,4,30,34,2,1,3
S00091588,61,3,10,23,21,2,1,1
S00091589,32,0,5,13,11,1,0,2
S00091590,78,6,9,35,11,5,2,10
S00091591,79,0,4,26,30,15,0,4
