rel..sa_id,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00094896,180,54,21,6,0,0,0,0,0,0,88,11
S00094897,72,13,8,8,0,0,0,0,0,1,30,12
S00094898,121,59,4,4,0,0,0,0,0,2,33,19
S00094899,173,39,7,28,1,0,0,1,0,1,90,6
S00094900,155,44,13,17,0,0,0,0,0,0,58,23
S00094901,141,41,6,11,0,0,0,0,0,3,74,6
S00094902,129,61,7,8,0,0,0,0,0,0,42,11
S00094903,129,59,2,12,0,0,0,0,0,0,41,15
S00094904,110,43,5,16,0,0,0,0,0,0,44,2
S00094905,87,24,4,13,0,0,0,0,0,2,39,5
S00094906,132,49,3,11,0,0,0,0,0,1,50,18
S00094907,121,53,8,7,1,0,0,0,0,0,40,12
S00094908,100,30,3,17,0,0,0,0,0,1,33,16
S00094909,58,21,0,6,0,0,0,0,0,0,28,3
S00094910,154,78,4,11,0,0,0,0,0,0,46,15
S00094911,159,67,9,15,0,0,0,0,0,1,59,8
S00094912,72,32,1,8,1,0,0,0,0,0,24,6
S00094913,83,45,4,9,0,0,0,0,0,0,20,5
S00094914,105,43,2,5,0,1,0,3,0,3,39,9
S00094915,119,37,6,7,0,0,0,0,0,0,42,27
S00094916,170,53,7,20,5,7,0,3,0,0,52,23
S00094917,117,47,8,14,2,0,0,0,0,0,33,13
S00094918,168,61,12,18,1,0,0,1,0,0,58,17
S00094919,92,28,6,17,0,0,0,0,0,0,30,11
S00094920,213,77,13,28,0,0,1,0,1,0,71,22
S00094921,85,22,2,12,0,0,0,0,0,0,44,5
S00094922,84,35,4,5,0,0,0,0,0,0,36,4
S00094923,107,47,2,14,2,0,0,0,0,0,35,7
S00094924,103,32,9,10,1,0,0,0,0,0,45,6
S00094925,85,42,0,7,0,0,0,0,0,0,27,9
S00094926,158,78,5,8,0,0,0,0,0,0,61,6
S00094927,139,59,2,19,0,0,0,0,0,0,44,15
S00094928,132,41,8,28,0,0,0,0,0,0,43,12
S00094929,166,51,5,34,2,0,0,0,0,4,60,10
S00094930,122,51,14,14,0,0,0,0,0,1,31,11
S00094931,83,21,4,15,0,0,0,0,0,0,39,4
S00094932,65,22,1,2,0,0,0,0,0,0,27,13
S00094933,112,42,3,8,0,0,0,0,0,2,47,10
S00094934,104,47,5,7,0,0,0,0,0,0,36,9
S00094935,139,58,7,6,4,0,0,0,0,0,53,11
S00094936,110,45,6,12,0,0,0,0,0,4,34,9
S00094937,114,42,7,3,3,0,0,0,0,0,54,5
S00094938,167,65,4,19,2,0,0,0,0,0,66,11
S00094939,96,26,6,9,0,0,0,0,1,0,45,9
S00094940,140,61,4,12,0,0,0,0,0,0,53,10
S00094941,168,47,1,32,5,0,0,0,0,0,68,15
S00094942,97,32,5,9,0,0,0,0,0,0,44,7
S00094943,106,62,1,8,0,0,0,0,0,1,27,7
S00094944,157,88,7,11,0,0,0,0,0,0,37,14
S00094945,159,58,4,15,2,0,0,0,0,0,64,16
S00094946,72,32,0,13,0,0,0,0,0,0,21,6
S00094947,142,48,1,17,1,0,0,0,0,1,52,22
S00094948,135,51,9,13,0,1,0,0,0,0,54,7
S00094949,117,50,9,10,1,0,0,0,0,0,41,6
S00094950,98,39,4,19,0,0,0,0,0,0,11,25
S00094951,84,25,7,20,0,0,0,0,0,0,27,5
S00094952,122,55,3,15,0,0,0,0,0,0,41,8
S00094953,154,75,1,17,0,0,0,0,0,0,49,12
S00094954,98,34,1,16,0,0,0,1,0,1,31,14
S00094955,162,64,10,15,0,0,0,0,0,0,59,14
S00094956,139,74,6,7,0,0,1,0,0,0,35,16
S00094957,115,52,3,8,0,0,0,0,0,0,40,12
S00094958,141,70,9,10,0,0,0,0,0,0,42,10
S00094959,74,42,5,7,0,0,0,0,0,0,19,1
S00094960,142,49,5,25,1,0,0,0,0,0,34,28
S00094961,108,25,0,7,0,0,0,0,0,0,67,9
S00094962,100,43,5,2,0,0,0,0,0,0,45,5
S00094963,99,52,3,8,1,0,0,0,0,0,30,5
S00094964,92,39,13,3,0,0,0,1,0,1,28,7
S00094965,91,25,2,16,0,0,0,0,0,0,37,11
S00094966,74,18,1,10,0,0,0,0,0,1,38,6
S00094967,102,47,2,14,0,0,0,0,0,0,28,11
S00094968,62,28,2,8,0,0,0,0,0,1,13,10
S00094969,102,56,5,12,0,0,0,0,0,1,20,8
S00094970,138,60,4,23,0,0,1,0,0,0,42,8
S00094971,106,35,16,14,4,0,0,0,0,0,22,15
S00094972,140,55,11,15,0,0,0,0,0,1,49,9
