health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00094965,91,52,28,9,2,0
S00094966,74,45,23,5,1,0
S00094967,102,62,28,7,5,0
S00094968,62,33,19,9,1,0
S00094969,102,57,34,6,3,2
S00094970,138,103,21,11,3,0
S00094971,106,60,29,14,3,0
S00094972,140,82,39,16,2,1
S00094973,70,41,13,11,4,1
S00094974,150,87,47,11,3,2
S00094975,106,64,33,7,1,1
S00094976,104,68,27,7,1,1
S00094977,88,40,27,13,5,3
S00094978,130,79,40,10,1,0
S00094979,121,71,40,7,2,1
S00094980,94,57,24,10,3,0
S00094981,105,52,32,17,3,1
S00094982,161,72,48,31,8,2
S00094983,156,93,41,18,3,1
S00094984,118,59,37,14,7,1
S00094985,89,49,30,5,3,2
S00094986,55,34,13,7,1,0
S00094987,107,59,33,11,4,0
S00094988,60,35,18,7,0,0
S00094989,120,76,38,5,1,0
S00094990,92,51,30,8,3,0
S00094991,110,65,25,17,3,0
S00094992,65,39,22,4,0,0
S00094993,95,44,34,13,4,0
S00094994,98,51,31,14,1,1
S00094995,104,64,31,8,1,0
S00094996,59,33,18,8,0,0
S00094997,92,48,33,10,0,1
S00094998,139,53,46,28,11,1
S00094999,69,36,25,7,1,0
S00095003,62,40,7,12,1,2
S00095004,81,43,20,13,2,3
S00095005,81,59,17,5,0,0
S00095006,150,97,43,8,0,2
S00095007,109,57,30,18,4,0
S00095008,59,27,21,8,2,1
S00095009,156,98,46,6,6,0
S00095010,66,44,14,6,2,0
S00095011,120,66,39,12,2,1
S00095012,118,84,25,6,2,1
S00095013,212,165,42,5,0,0
S00095014,82,51,19,7,3,2
S00095015,113,68,35,9,1,0
S00095016,90,60,23,5,1,1
S00095017,93,50,33,9,0,1
S00095018,123,78,34,8,3,0
S00095019,106,75,24,4,2,1
S00095020,102,65,25,10,1,1
S00095021,114,68,27,13,3,3
S00095022,149,80,55,8,5,1
S00095023,145,95,38,10,2,0
S00095024,88,49,31,7,1,0
S00095025,145,86,39,17,2,1
S00095026,184,132,40,10,2,0
S00095027,103,84,13,6,0,0
S00095028,117,86,23,6,2,0
S00095029,146,99,36,10,1,0
S00095030,170,89,59,18,4,0
S00095031,127,81,33,12,1,0
S00095032,114,64,31,14,4,1
S00095033,125,82,30,7,4,2
S00095034,79,56,15,6,2,0
S00095035,121,82,28,6,4,1
S00095036,123,61,39,20,3,0
S00095037,124,59,46,13,4,2
S00095046,131,71,44,11,5,0
S00095047,75,46,23,4,2,0
S00095048,124,68,39,16,1,0
S00095049,70,17,18,23,9,3
S00095050,70,35,20,11,4,0
S00095051,93,40,33,12,7,1
S00095052,110,53,43,12,2,0
S00095053,95,30,33,14,17,1
S00095054,84,38,32,12,2,0
S00095055,150,75,47,22,4,2
S00095056,109,53,37,13,3,3
S00095057,113,63,34,15,1,0
S00095058,153,83,50,15,2,3
S00095059,158,76,47,21,10,4
S00095060,82,50,22,10,0,0
S00095061,142,69,46,20,6,1
S00095062,108,65,26,13,3,1
S00095063,88,51,24,9,4,0
S00095064,146,72,55,9,4,6
S00095065,148,70,51,15,11,1
S00095066,159,69,55,23,9,3
S00095067,103,45,40,15,3,0
S00095068,101,40,39,18,2,2
S00095069,145,66,60,13,3,3
S00095070,102,43,41,13,3,2
S00095071,123,70,33,12,6,2
S00095072,96,54,29,9,3,1
S00095073,104,63,31,8,2,0
S00095074,53,26,12,9,4,2
S00095075,95,47,29,7,9,3
S00095076,61,23,25,9,3,1
S00095077,116,67,29,13,6,1
S00095078,126,67,34,14,10,1
S00095079,116,70,23,18,4,1
S00095080,107,45,33,20,4,5
S00095081,132,58,42,28,3,1
S00095082,97,42,23,21,10,1
S00095083,148,59,45,27,11,6
S00095084,98,45,33,15,4,1
S00095085,121,70,39,9,3,0
S00095086,207,126,51,14,11,5
S00095087,97,60,25,10,2,0
S00095088,89,39,28,15,7,0
S00095089,122,73,33,12,4,0
S00095090,109,64,29,8,8,0
S00095091,168,79,43,32,10,4
S00095092,121,57,43,18,2,1
S00095093,185,98,58,14,11,4
S00095094,143,70,33,25,9,6
S00095095,109,58,36,12,2,1
S00095096,139,83,26,21,6,3
S00095097,54,26,19,9,0,0
S00095098,61,18,17,21,3,2
S00095099,71,37,22,10,2,0
S00095100,161,103,45,10,3,0
S00095101,109,65,30,13,1,0
S00095102,119,68,36,13,2,0
S00095103,139,82,33,23,1,0
S00095104,71,36,29,5,0,1
S00095105,107,48,43,10,5,1
S00095106,139,69,53,13,3,1
S00095107,72,30,31,4,7,0
S00095108,100,42,36,19,2,1
S00095109,85,36,29,16,4,0
S00095110,81,35,25,19,2,0
S00095111,136,53,52,24,7,0
S00095112,52,18,22,12,0,0
S00095113,142,64,46,22,8,2
S00095114,73,38,27,7,1,0
S00095115,77,37,26,14,0,0
S00095116,90,46,30,9,5,0
S00095117,134,75,43,13,2,1
S00095118,95,56,30,6,3,0
S00095119,72,50,16,5,1,0
S00095120,92,47,27,16,2,0
S00095121,134,60,49,19,6,0
S00095122,100,55,24,10,4,7
S00095123,165,78,61,16,9,1
S00095124,106,54,36,14,2,0
S00095125,62,38,16,6,2,0
S00095126,99,63,25,8,2,1
S00095127,121,65,40,14,1,1
S00095128,178,88,62,24,3,1
S00095129,79,31,33,12,2,1
S00095130,154,80,41,23,8,2
S00095131,110,53,38,10,6,3
S00095132,166,68,45,37,15,1
S00095133,135,48,49,21,11,6
S00095134,167,87,55,21,3,1
S00095135,114,36,28,31,14,5
S00095136,59,20,34,4,1,0
S00095137,88,48,30,9,1,0
S00095138,72,36,17,14,5,0
S00095139,109,55,29,20,4,1
S00095140,89,50,21,13,3,2
S00095141,80,31,25,17,4,3
S00095142,92,46,20,20,4,2
S00095143,73,30,29,11,1,2
S00095144,103,41,20,29,10,3
S00095145,77,23,25,18,9,2
S00095146,64,39,15,6,4,0
S00095147,71,33,24,7,5,2
S00095148,76,26,39,9,2,0
S00095149,59,24,23,7,5,0
S00095150,95,29,31,24,11,0
S00095151,83,44,28,8,2,1
S00095152,119,56,37,24,1,1
S00095153,83,50,21,9,3,0
S00095154,137,76,49,9,2,1
S00095155,97,40,33,17,5,2
S00095156,66,18,25,19,4,0
S00095157,87,51,24,8,1,3
S00095158,89,39,21,19,7,3
S00095159,106,58,30,12,6,0
S00095160,140,63,49,18,8,2
S00095161,84,41,21,18,2,2
S00095162,98,52,29,14,3,0
S00095163,121,69,39,6,6,1
S00095164,74,40,21,12,0,1
S00095165,95,50,28,9,4,4
S00095166,171,93,55,18,5,0
S00095167,120,66,40,12,2,0
S00095168,114,68,26,13,6,1
S00095169,155,79,46,17,9,4
S00095170,56,31,22,3,0,0
S00095171,101,54,33,8,5,1
S00095172,125,65,35,14,8,3
S00095173,141,64,46,26,4,1
S00095174,159,81,49,15,9,5
S00095175,146,70,48,20,6,2
S00095176,80,41,25,11,3,0
S00095177,140,71,47,21,1,0
S00095178,82,49,25,3,4,1
S00095179,111,55,38,13,4,1
S00095180,125,73,38,10,3,1
S00095181,123,73,38,9,2,1
S00095182,172,90,56,21,4,1
S00095183,123,57,44,18,3,1
S00095184,80,39,19,17,5,0
S00095185,79,51,21,6,1,0
S00095186,90,29,36,17,6,2
S00095187,98,51,26,13,8,0
S00095188,85,41,23,15,3,3
S00095189,115,56,44,10,3,2
S00095190,115,69,31,12,3,0
S00095191,144,90,33,15,4,2
S00095192,95,58,33,4,0,0
S00095193,93,49,31,9,3,1
S00095194,62,43,15,3,1,0
S00095195,112,53,44,15,0,0
S00095196,95,49,32,13,1,0
S00095197,150,83,45,19,3,0
S00095198,103,70,24,8,1,0
S00095199,74,15,26,25,7,1
S00095200,84,46,25,10,3,0
S00095201,129,66,42,17,3,1
S00095202,137,72,40,19,4,2
S00095203,90,31,34,20,4,1
S00095204,108,57,35,13,3,0
S00095205,102,41,36,21,3,1
S00095206,73,31,31,10,0,1
S00095207,109,43,44,13,6,3
S00095208,68,32,24,10,1,1
S00095209,136,74,37,19,5,1
S00095210,69,31,24,7,5,2
S00095211,115,46,33,28,6,2
S00095212,95,52,32,10,1,0
S00095213,88,46,29,11,2,0
S00095214,136,73,46,9,5,3
S00095215,111,51,41,12,6,1
S00095216,113,68,34,10,1,0
S00095217,142,71,57,11,2,1
S00095218,96,50,28,15,3,0
S00095219,156,68,62,20,4,2
S00095220,57,25,22,7,3,0
S00095221,78,49,25,4,0,0
S00095222,98,60,34,4,0,0
S00095223,87,45,26,16,0,0
S00095224,100,48,34,15,2,1
S00095225,82,40,31,7,3,1
S00095226,116,56,48,12,0,0
S00095227,66,33,26,6,0,1
S00095228,79,42,16,18,2,1
S00095229,79,44,17,11,4,3
S00095230,71,31,28,9,3,0
S00095231,69,33,27,9,0,0
S00095232,50,28,11,9,2,0
S00095233,115,62,42,11,0,0
S00095234,115,53,42,13,5,2
S00095235,177,81,37,28,24,7
S00095236,109,64,22,17,3,3
S00095237,98,44,33,18,1,2
S00095238,105,58,27,17,3,0
S00095239,94,39,35,15,4,1
S00095240,66,20,28,13,3,2
S00095241,129,58,49,17,5,0
S00095242,89,32,34,18,4,1
S00095243,114,53,41,15,4,1
S00095244,157,90,41,19,5,2
S00095245,146,84,46,12,4,0
S00095246,133,80,39,13,1,0
S00095247,122,44,60,13,5,0
S00095248,158,69,63,21,5,0
S00095249,87,45,26,14,1,1
S00095250,63,30,19,7,7,0
S00095251,101,37,42,18,4,0
S00095252,83,40,30,7,6,0
S00095253,108,66,31,9,2,0
S00095254,116,57,40,17,2,0
S00095255,111,51,38,16,5,1
S00095256,65,36,17,11,1,0
S00095257,108,67,26,12,3,0
S00095258,95,75,17,3,0,0
S00095259,208,157,41,9,1,0
S00095260,106,62,27,14,2,1
S00095261,62,34,26,0,1,1
S00095262,139,79,27,21,12,0
S00095263,146,88,42,14,1,1
S00095264,100,55,28,14,2,1
S00095265,70,24,27,14,4,1
S00095266,104,46,38,14,4,2
S00095267,69,40,20,7,2,0
S00095268,99,43,41,10,4,1
S00095269,65,16,18,25,5,1
S00095270,125,54,54,11,4,2
S00095271,88,36,34,12,4,2
S00095272,86,44,31,9,2,0
S00095273,109,48,42,14,4,1
S00095274,120,67,37,13,3,0
S00095275,152,85,48,17,2,0
S00095276,146,87,37,16,5,1
S00095277,120,67,38,13,2,0
S00095278,118,51,48,13,6,0
S00095279,112,55,32,15,7,3
S00095280,71,35,26,6,4,0
S00095281,120,48,43,18,7,4
S00095282,135,76,36,18,5,0
S00095283,124,62,47,14,1,0
S00095284,102,54,27,11,3,7
S00095285,71,34,27,5,4,1
S00095286,121,75,28,9,7,2
S00095287,94,43,41,9,0,1
S00095288,118,61,40,10,5,2
S00095289,143,79,42,13,7,2
S00095290,77,39,26,8,3,1
S00095291,124,61,35,16,6,6
S00095292,131,57,49,11,11,3
S00095293,65,31,30,4,0,0
S00095294,52,23,19,6,4,0
S00095295,107,68,35,2,2,0
S00095296,95,42,31,14,6,2
S00095297,53,33,13,5,2,0
S00095298,76,33,32,7,4,0
S00095299,110,39,41,20,8,2
S00095300,120,42,39,26,12,1
S00095301,154,101,40,11,0,2
S00095302,143,82,42,12,4,3
S00095303,74,42,24,5,3,0
S00095304,70,34,23,10,2,1
S00095305,133,62,50,13,7,1
S00095306,86,40,25,16,5,0
S00095307,113,64,39,6,4,0
S00095308,120,62,35,22,1,0
S00095309,123,54,49,17,3,0
S00095310,90,55,23,10,1,1
S00095311,110,73,27,7,3,0
S00095312,127,55,59,12,1,0
S00095313,127,61,40,19,6,1
S00095314,130,53,58,11,8,0
S00095315,104,65,30,7,1,1
S00095316,141,88,38,11,3,1
S00095317,112,42,47,17,3,3
S00095318,94,50,29,12,3,0
S00095319,56,28,22,5,1,0
S00095320,94,54,28,7,5,0
S00095321,97,61,31,5,0,0
S00095322,86,30,38,13,5,0
S00095323,104,47,43,11,3,0
S00095324,116,47,50,8,8,3
S00095325,106,44,39,22,1,0
S00095326,111,46,42,12,5,6
S00095327,95,31,34,19,7,4
