house..sa_id,house..total_households,house..one_person_household,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
A037057045,110,34,14,34,12,12,4
A037057046,103,23,13,38,15,6,8
A037057047,79,18,18,34,7,0,2
A037057048,80,17,18,30,8,2,5
A037057049,65,20,15,16,12,1,1
A037057050,65,16,19,19,7,3,1
A037057051,99,28,13,42,9,6,1
A037057052,124,33,20,49,12,5,5
A037057053,107,13,10,44,19,10,11
A037057054,84,12,10,42,10,9,1
A037057055,101,24,21,38,7,9,2
A037057056,83,15,21,32,8,3,4
A037057057,124,19,22,64,10,5,4
A037057058,70,14,21,28,3,1,3
A037057059,81,9,10,26,25,4,7
A037057060,105,15,19,61,5,5,0
A037057061,88,6,15,53,4,3,7
A037057062,101,28,16,29,9,15,4
A037057063,102,25,27,36,4,6,4
A037057064,123,47,31,26,8,9,2
A037057065,88,16,7,39,9,9,8
A037057066,77,15,13,31,8,6,4
A037057067,74,17,15,30,5,4,3
A037057068,82,12,22,42,2,3,1
A037057069/037057070,103,23,30,33,6,7,4
A037057071,72,22,16,22,8,2,2
A037057072,117,30,21,44,10,5,7
A037058001,110,17,41,45,5,1,1
A037058002,76,19,21,25,4,4,3
A037058003,117,24,26,53,9,2,3
A037058004/037058005,123,27,18,55,14,5,4
A037058006,129,57,12,7,8,42,3
A037058007,64,20,12,14,11,5,2
A037058008,86,31,13,18,15,6,3
A037058009,90,52,13,4,12,8,1
A037058010,59,32,4,3,2,18,0
A037058011,58,20,11,13,12,2,0
A037059001,67,18,4,17,17,5,6
A037059002,110,27,20,33,17,8,5
A037059003,95,31,7,21,29,3,4
A037059004,97,69,8,10,5,2,3
A037059005/037059008,71,17,15,30,3,2,4
A037059006,65,18,13,26,6,0,2
A037059007/037059009,75,23,17,25,5,1,4
A037059010,72,29,13,20,7,2,1
A037059011,48,22,9,10,4,2,1
A037059012,28,11,2,12,2,0,1
A037059013,91,29,25,29,3,4,1
A037059014,96,26,26,29,7,8,0
A037059015,56,24,6,16,6,2,2
A037060001,70,30,8,11,14,2,5
A037061001,72,30,8,16,16,1,1
A037062001,94,36,18,19,14,5,2
A037063001,78,44,16,7,4,6,1
A037064001,118,21,20,54,14,6,3
A037065001/037065002,136,37,27,51,14,3,4
A037066001,77,17,12,31,13,2,2
A037066002,96,23,20,42,8,1,2
A037068001/037069001,72,30,10,21,6,1,4
A037070001,62,19,10,23,4,3,3
A037070002/037070003,56,10,20,18,4,2,2
A037071001,74,22,17,23,7,0,5
A037071002,118,28,25,33,20,4,8
A037072001,50,15,11,14,4,3,3
A037072002,48,14,7,17,3,3,4
A037072003,90,16,18,39,9,5,3
A037073001/037073003,64,20,12,25,4,2,1
A037073002,69,9,13,29,14,1,3
A037073004,81,12,22,41,5,1,0
A037075001,82,13,16,41,7,4,1
A037075002,46,18,14,11,2,1,0
A037076001,68,21,23,18,3,1,2
A037076002,30,4,5,13,6,1,1
A037077001/037077002/037077003,77,30,13,22,6,4,2
A037077004/037077006,94,37,10,25,15,4,3
A037077005,63,15,14,23,4,5,2
A037077007,61,17,16,24,2,1,1
A037077008/037077014,43,23,8,5,4,1,2
A037077009,48,15,8,8,7,7,3
A037077010/037077011/037077012,51,22,9,8,9,2,1
A037077013,54,32,8,8,4,1,1
A037078001,50,19,11,11,6,2,1
A037078002,108,39,26,21,17,1,4
A037078003,40,17,10,5,1,6,1
A037078004,56,31,14,2,5,4,0
A037079001,124,31,20,58,8,2,5
A037079002,69,11,15,32,8,1,2
A037079003,68,15,15,24,12,1,1
A037079004,86,26,11,36,8,3,2
A037080001,110,22,17,52,13,5,1
A037080002,79,37,14,18,7,2,1
A037080003,112,27,22,41,15,5,2
A037080004,58,25,7,21,4,1,0
A037080005,81,6,29,34,5,5,2
A037080006/037080007,91,10,29,38,11,1,2
A037080008,93,23,24,29,13,2,2
A037080009,116,49,12,36,15,4,0
A037080010,81,15,12,34,13,3,4
A037081001,111,47,31,18,8,6,1
A037082001,82,35,15,12,12,6,2
A037082002,95,28,22,32,7,3,3
A037082003,70,37,7,13,10,2,1
A037082004,97,25,24,31,12,2,3
A037083001/037083002,68,10,15,36,6,1,0
A037083003,64,17,15,24,3,4,1
A037084001,81,30,15,29,5,2,0
A037084002,69,7,18,34,9,1,0
A037085001,55,18,15,16,4,0,2
A037085002,51,12,12,21,4,1,1
A037086001/037086002,56,14,17,19,2,1,3
A037086003,55,17,9,21,4,4,0
A037086004,155,28,37,68,10,7,5
A037086005,116,12,40,55,5,2,2
A037087001,45,13,13,13,2,4,0
A037087002,62,14,17,19,5,5,2
A037088001,69,29,13,22,4,0,1
A037089001,59,14,15,21,3,3,3
A037089002,99,28,16,41,9,4,1
A037090001,78,20,15,28,9,5,1
A037091001,123,28,27,51,12,1,4
A037091002,54,14,10,17,5,4,4
A037092001,67,18,18,21,7,2,1
A037092002,46,6,11,21,5,2,1
A037093001,93,18,16,42,6,4,7
A037093002,101,12,21,52,8,1,7
A037093003,78,29,12,25,9,2,1
A037094001,79,21,16,34,4,0,4
A037095001,78,19,22,21,11,3,2
A037095002/037095005,88,33,10,26,16,2,1
A037095003,92,25,19,31,10,5,2
A037095004,107,25,21,43,10,4,4
A037095006,50,11,11,21,4,1,2
A037096001,43,15,10,9,7,1,1
A037096002,53,16,9,16,8,2,2
A037096003,77,29,10,17,16,2,3
A037097001,52,13,6,25,4,0,4
A037097002,84,16,21,39,6,1,1
A037098001,93,16,21,47,2,1,6
A037098002,113,22,25,56,7,0,3
A037098003,89,10,17,50,5,5,2
A037099001,73,19,19,28,4,1,2
A037099002,67,15,8,32,7,3,2
A037099003,105,20,18,48,9,2,8
A037099004,84,29,14,25,6,4,6
A037099005,81,31,11,30,5,3,1
A037099006,76,11,26,24,10,3,2
A037099007,112,30,16,33,23,6,4
A037099008,66,25,14,12,8,4,3
A037099009,59,26,12,10,6,2,3
A037099010,74,15,23,23,5,7,1
A037099011,45,22,5,9,2,7,0
A037099012,47,28,6,8,4,0,1
A037099013,49,17,7,9,9,4,3
A037099014,55,25,6,17,6,1,0
A037100001,58,26,6,10,8,5,3
A037100002,105,42,16,22,15,5,5
A037101001,111,23,14,42,20,2,10
A037102001,84,30,19,21,8,1,5
A037103001,117,14,27,59,8,4,5
A037103002,129,36,20,56,9,5,3
A037103003,55,15,9,21,5,3,2
A037103004,65,15,10,31,6,3,0
A037103005,125,23,36,51,12,2,1
A037103006,131,20,28,69,9,3,2
A037104001,75,11,19,33,5,4,3
A037105001,89,10,21,45,4,2,7
A037106001,106,21,18,44,17,3,3
A037107001,99,12,19,54,7,2,5
A037107002,76,28,11,26,6,2,3
A037108001,106,31,28,30,9,5,3
A037109001,91,25,19,34,10,1,2
A037110001,45,9,15,16,4,0,1
A037111001,67,18,12,27,6,2,2
A037111002,77,21,14,32,5,2,3
A037111003/037111004,113,26,20,46,13,5,3
A037112001,45,7,11,23,2,1,1
A037112002,68,16,20,22,7,3,0
A037113001,26,7,8,8,3,0,0
A037113002,48,21,13,5,4,3,2
A037113003,101,22,24,46,7,1,1
A037114001,96,15,29,39,9,1,3
A037114002,57,14,7,21,6,5,4
A037115001,88,28,13,25,11,7,4
A037116001,99,46,18,18,10,5,2
A037117001,86,18,20,37,7,2,2
A037118001,117,18,23,61,4,8,3
A037118002,57,14,10,27,4,1,1
A037118003,95,25,19,33,9,6,3
A037118004,113,27,19,51,12,4,0
A037118005,34,11,11,9,1,2,0
A037118006/037118008,101,46,20,24,9,0,2
A037118007,66,16,16,25,4,4,1
A037118009,72,23,17,26,3,1,2
A037118010,65,15,11,32,5,1,1
A037118011,53,19,13,12,3,4,2
A037119001,64,31,15,10,5,3,0
A037120001,94,35,15,19,18,5,2
A037120002,72,27,12,11,13,4,5
A037120003,40,17,5,8,8,1,1
A037120004,33,8,10,10,4,1,0
A037120005,94,17,18,40,9,4,6
A037121001,86,12,20,43,5,3,3
A037121002,73,19,20,18,10,4,2
A037121003,108,18,21,58,6,2,3
A037122001/037122002,68,11,12,37,7,1,0
A037123001,85,28,25,15,9,3,5
A037123002,45,12,9,12,8,3,1
A037123003,44,17,11,7,3,3,3
A037123004/037123005,32,7,4,10,4,4,3
A037124001,96,33,18,31,10,2,2
A037124002,59,20,11,19,6,3,0
A037125001,66,20,22,19,4,1,0
A037126001,51,11,16,12,8,2,2
A037127001,53,16,15,13,6,1,2
A037128001,41,16,10,9,3,0,3
A037128002,116,37,19,47,5,6,2
A037128003,82,27,19,25,5,3,3
A037128004,92,18,16,48,4,4,2
A037128005,72,18,19,24,4,3,4
A037128006,125,37,32,31,17,4,4
A037128007,101,21,16,21,31,4,8
A037129001,98,18,20,49,6,3,2
A037130001/037130002,120,54,25,20,9,9,3
A037130003,88,20,15,35,14,3,1
A037131001,75,17,12,34,6,4,2
A037131002,44,12,10,15,3,4,0
A037131003,93,14,20,37,14,4,4
A037132001,131,26,26,51,18,8,2
A037133001,82,24,14,32,8,2,2
A037134001,91,13,29,37,8,1,3
A037134002,79,17,22,31,5,1,3
A037134003,52,17,12,15,4,3,1
A037134004,71,18,18,23,5,3,4
A037134005,71,19,16,28,5,1,2
A037135001,125,26,27,38,19,4,11
A037135002/037135003,103,14,16,62,9,2,0
A037136001,122,28,20,52,13,3,6
A037137001,80,10,14,43,3,6,4
A037138001,55,17,9,16,10,2,1
A037139001,69,20,14,18,11,2,4
A037140001,102,34,18,36,9,4,1
A037140002,27,3,11,6,5,2,0
A037141001,50,15,10,21,1,1,2
A037141002,74,27,14,27,2,4,0
A037141003,125,17,30,62,7,2,7
A037142001,88,4,11,60,7,2,4
A037142002,64,10,14,22,12,2,4
A037142003,85,21,10,31,14,2,7
A037142004,110,21,27,49,8,4,1
A037142005,98,23,19,29,16,7,4
A037142006,77,24,13,21,12,7,0
A037143001,104,29,24,32,17,1,1
A037143002,79,24,15,20,10,6,4
A037143003,79,32,9,16,8,9,5
A037143004,69,16,9,36,2,5,1
A037143005,135,21,40,62,3,5,4
A037143006,95,23,16,50,3,1,2
A037143007,127,19,25,59,15,4,5
A037143008,119,18,21,50,24,2,4
A037144001,109,20,14,60,9,4,2
A037145001,115,21,23,56,7,7,1
A037145002,101,33,13,30,16,6,3
A037145003,117,23,24,55,7,8,0
A037146001,58,15,15,16,5,5,2
A037147001,75,18,21,31,3,2,0
A037147002,92,15,17,52,7,1,0
A037147003,77,16,16,41,2,2,0
A037147004,35,10,5,15,2,2,1
A037148001,105,18,24,46,9,4,4
A037149001,109,14,24,56,7,3,5
A037149002,76,11,16,34,11,3,1
A037149003,102,10,18,53,6,7,8
A037150001,63,20,9,26,5,2,1
A037150002,79,10,21,38,6,2,2
A037150003,76,11,25,31,3,4,2
A037150004,70,17,12,33,3,3,2
A037150005,83,18,14,36,10,4,1
A037151001,103,20,21,52,4,3,3
A037152001,101,38,12,28,19,2,2
A037153001,58,15,16,19,6,1,1
A037153002,66,18,14,26,6,2,0
A037153003,45,11,15,14,4,1,0
A037154001,53,13,10,22,7,1,0
A037154002,110,16,37,43,5,6,3
A037154003,119,31,24,36,13,13,2
A037154004,100,29,19,37,7,3,5
A037154005,88,31,9,23,9,10,6
A037154006,96,24,27,23,11,2,9
A037154007,123,28,24,34,27,2,8
A037155001,77,39,14,10,7,5,2
A037156001,92,33,13,19,16,10,1
A037156002,70,25,18,16,4,7,0
A037156003,60,26,10,8,8,4,4
A037156004,98,52,12,9,4,18,3
A037156005,74,36,10,13,5,4,6
A037156006,71,27,17,8,12,4,3
A037156007,74,28,12,13,14,6,1
A037156008,97,36,22,18,16,4,1
A047002001/047002006,69,35,14,13,3,4,0
A047002002,58,11,16,23,4,4,0
A047002003/047002004,85,14,21,36,7,2,5
A047002005,78,12,20,33,6,5,2
A047008001,93,14,21,44,10,2,2
A047022001,60,13,8,31,3,3,2
A047029001,85,20,15,35,6,5,4
A047040001,78,9,22,38,6,1,2
A047040002,80,24,8,33,13,1,1
A047040003,79,15,12,38,7,3,4
A047044001,90,27,15,25,20,3,0
A047047001,78,18,20,35,3,2,0
A047048001,118,25,14,65,8,2,4
A047048002,64,11,12,29,7,4,1
A047048003,57,10,14,25,5,1,2
A047050001,67,20,14,22,4,2,5
A047050002/047050003/047050004,76,20,12,34,6,1,3
A047055001,92,17,29,31,6,5,4
A047055002,76,25,20,19,5,4,3
A047055003/047055004,70,23,18,17,5,5,2
A047062001,83,31,23,9,14,5,1
A047062002,66,24,6,18,14,1,3
A047066001,75,4,7,60,3,0,1
A047085001,46,16,10,12,5,1,2
A047092001,63,13,16,16,11,6,1
A047097001,89,29,19,22,12,4,3
A047097002,78,27,21,13,9,6,2
A047097003,69,23,14,18,6,7,1
A047097004,86,19,13,28,16,4,6
A047098001,87,24,11,15,12,20,5
A047098002,85,17,7,38,19,4,0
A047099001,66,10,15,29,4,6,2
A047100001,78,11,23,33,3,5,3
A047109001,98,11,15,55,7,2,8
A047114001,95,23,14,39,9,6,4
A047114002,91,24,19,37,8,1,2
A047114003,87,9,17,53,3,3,2
A047114004,72,13,11,36,7,1,4
A047114005,74,12,17,34,9,0,2
A047116001,104,14,14,63,9,0,4
A047116002,97,15,24,44,11,3,0
A047116003/047116004,63,24,15,19,5,0,0
A047116005,92,14,29,37,6,4,2
A047118001,50,25,5,13,3,1,3
A047121001,66,21,20,15,5,5,0
A047121002,72,20,12,32,4,3,1
A047123001/047123004,55,16,14,14,7,4,0
A047123002,85,10,18,48,5,1,3
A047123003,68,9,15,32,7,1,4
A047125001,67,20,11,20,8,5,3
A047127001,58,12,12,21,4,4,5
A047130001,65,15,14,24,6,3,3
A047130002,69,20,10,18,18,0,3
A047131001,131,50,18,34,20,3,6
A047136001,89,23,17,34,7,6,2
A047136002,121,21,22,62,8,4,4
A047136003,89,15,17,39,10,2,6
A047136004,116,14,16,59,15,6,6
A047136005,84,18,14,43,2,3,4
A047136006,70,13,8,26,18,2,3
A047136007,77,20,15,22,10,8,2
A047136008,66,29,12,11,9,4,1
A047136008,66,29,12,11,9,4,1
A047160001,82,13,15,38,7,5,4
A047160002,64,13,9,26,11,2,3
A047160003,76,17,17,35,4,0,3
A047160004/047160006,78,19,19,32,4,3,1
A047160005,104,34,20,32,11,4,3
A047164001,77,17,15,35,5,4,1
A047167001,35,13,8,7,2,4,1
A047167002,38,21,4,7,5,0,1
A047176001,82,18,21,24,16,3,0
A047176002,113,23,14,63,8,2,3
A047176003,98,32,20,35,7,2,2
A047179001,70,10,5,26,5,19,5
A047179002,114,32,22,27,7,23,3
A047179005,85,5,10,22,3,40,5
A047179007,70,13,11,17,6,19,4
A047180001,67,22,11,25,5,3,1
A047180002,92,30,22,28,7,4,1
A047182001,111,31,28,35,9,7,1
A047182002,92,53,14,14,6,4,1
A047187001,97,13,21,51,5,4,3
A047187002/047187003,120,25,29,47,12,3,4
A047187004/047187008,79,14,21,35,7,1,1
A047187005,90,16,22,40,7,2,3
A047187006,109,19,26,52,5,1,6
A047187007,77,10,11,34,11,8,3
A047188001/047188002,78,15,16,30,9,3,5
A047188003,74,10,5,38,17,3,1
A047188004,45,17,11,10,5,2,0
A047188005,64,26,16,14,4,2,2
A047188006,53,23,8,11,3,6,2
A047188007,59,21,8,24,2,2,2
A047191001,39,13,12,8,4,2,0
A047200001,105,22,21,43,13,4,2
A047200002,59,7,15,27,5,4,1
A047200003,58,10,12,27,3,3,3
A047200004,115,42,29,30,8,6,0
A047200005/047200011,42,16,8,11,3,3,1
A047200006,51,13,5,27,4,0,2
A047200007,96,21,17,41,10,3,4
A047200008,93,22,26,30,8,4,3
A047200009,63,22,14,17,4,5,1
A047200010,70,21,23,18,5,0,3
A047209001,94,21,15,50,2,4,2
A047213001/047213003/047213004,123,31,20,49,12,7,4
A047213002,111,28,17,42,15,6,3
A047214001,78,9,11,45,6,4,3
A047214002,75,10,6,43,11,3,2
A047214003,135,10,21,79,14,3,8
A047217001,76,36,14,17,5,2,2
A047217004,83,16,11,36,9,6,5
A047219001,94,23,15,34,13,4,5
A047219002,101,20,24,39,12,2,4
A047225001,80,23,20,19,7,8,3
A047225002,37,19,3,4,3,8,0
A047228001,64,15,16,22,6,3,2
A047228002,55,11,15,19,6,2,2
A047228003,146,20,31,76,6,10,3
A047242002,100,4,18,59,6,6,7
A047243008,45,10,10,16,6,1,2
A047243009,39,10,6,16,6,1,0
A047243011,95,19,29,31,10,2,4
A047243013,82,39,12,12,13,5,1
A047243014,111,46,13,18,23,8,3
A047243015,71,21,9,17,18,4,2
A047252001,131,18,29,70,6,5,3
A047252002,72,11,18,27,7,4,5
A047262001,70,18,13,25,7,4,3
A047266001,78,23,12,27,11,2,3
A047268001,71,24,18,18,9,2,0
A047268003,46,14,11,17,1,1,2
A047272001,125,34,34,42,12,2,1
A047272002,90,24,25,24,6,7,4
A047276001,92,50,13,19,3,4,3
A047276002,66,15,12,28,3,4,4
A047280002,76,13,19,29,7,6,2
A047281001,80,6,8,59,2,3,2
A047281002,72,5,19,35,6,0,7
A047291001,90,19,27,34,3,3,4
A047291002,63,22,13,22,3,2,1
A047296001,98,17,12,41,18,4,6
A047296002,108,38,11,34,18,4,3
A047296003,103,42,15,32,11,3,0
A047311001,123,30,19,54,14,4,2
A047311002,75,11,10,42,4,2,6
A047315001,76,23,8,18,11,12,4
A047315002,73,19,12,34,6,1,1
A047315003,102,23,25,40,8,3,3
A067001001,87,23,13,43,4,3,1
A067001002,91,22,16,42,4,3,4
A067002001,86,16,19,33,11,3,4
A067002002,66,13,17,26,5,4,1
A067002003,90,19,21,33,12,2,3
A067003001,45,11,14,15,3,2,0
A067003002,93,22,16,43,4,4,4
A067004001,98,12,25,48,4,4,5
A067005001,75,17,12,33,3,6,4
A067005002,66,13,19,27,5,1,1
A067005003,71,20,3,38,6,2,2
A067006001,61,17,13,23,4,2,2
A067006002,62,14,15,21,5,6,1
A067006003,62,23,14,13,9,2,1
A067007001,98,16,17,45,9,5,6
A067007002,95,13,20,43,10,7,2
A067008001,82,13,18,43,3,2,3
A067008002,95,15,21,45,11,3,0
A067009001,64,19,15,19,5,5,1
A067009002,102,26,27,42,4,3,0
A067009003,96,14,21,42,8,4,7
A067009004,103,23,20,47,10,2,1
A067009005,105,16,29,45,8,2,5
A067009006,65,12,12,28,9,2,2
A067009007,95,19,17,46,5,5,3
A067010001,80,15,18,34,9,3,1
A067010002,65,15,14,26,7,1,2
A067010003,100,23,22,43,8,1,3
A067010004,71,21,18,21,6,2,3
A067011001,66,27,8,24,5,1,1
A067011002,71,18,15,28,5,0,5
A067011003,75,19,18,25,8,3,2
A067012001,65,21,8,28,4,0,4
A067012002,77,13,14,34,8,4,4
A067013001,62,15,14,25,6,0,2
A067013001,62,15,14,25,6,0,2
A067013002,75,13,16,37,8,0,1
A067013003,70,19,13,30,5,1,2
A067013004,63,18,12,25,3,3,2
A067013005,123,22,18,66,7,7,3
A067013006,98,13,24,49,5,4,3
A067013007,93,20,17,45,9,0,2
A067013008,75,16,15,33,2,2,7
A067013009,76,18,14,32,2,5,5
A067013010,93,20,21,38,6,3,5
A067013011,86,18,15,37,11,2,3
A067013012,88,15,14,43,8,3,5
A067013013,144,31,24,64,12,3,10
A067013014,97,23,17,46,6,3,2
A067013015,120,13,21,65,13,7,1
A067013016,84,19,21,32,7,5,0
A067013017,71,19,12,32,6,1,1
A067013018,64,18,9,25,7,2,3
