pop..soa_code,pop..total_persons,pop..males,pop..females,pop..x0_15_years,pop..x16_39_years,pop..x40_64_years,pop..x65_years
95II19S1,1883,933,949,332,485,714,352
95II19S2,2104,1030,1073,397,541,720,446
95II20W1,2688,1282,1407,506,813,867,502
95II21W1,2421,1129,1291,589,774,704,354
95II22W1,2419,1127,1292,448,718,760,493
95II23W1,2307,1094,1214,489,653,799,366
95LL01S1,2588,1273,1316,597,723,907,361
95LL01S2,2684,1361,1323,658,869,863,294
95LL05S1,2535,1262,1273,575,687,889,384
95LL05S2,1874,949,926,392,512,655,315
95LL07W1,2528,1234,1295,575,851,715,387
95LL09S1,1518,750,769,322,463,495,238
95LL09S2,1787,836,952,324,449,533,481
95LL10S1,3369,1652,1716,786,1073,1115,395
95LL10S2,2567,1314,1252,609,796,847,315
95LL11S1,1622,832,790,349,459,544,270
95LL11S2,2784,1434,1350,661,836,954,333
95LL12S1,3334,1627,1707,945,1134,975,280
95LL12S2,1279,616,662,340,408,371,160
95LL13S1,1439,720,718,362,421,462,194
95LL13S2,1511,730,781,396,455,461,199
95LL14S1,1265,618,647,267,406,386,206
95LL14S2,1243,631,612,262,343,382,256
95LL15S1,1687,858,830,310,501,524,352
95LL15S2,1598,800,796,246,428,468,456
95LL16S1,3730,1823,1906,884,1199,1113,534
95LL16S2,4297,2120,2176,1083,1561,1216,437
95LL17W1,2702,1290,1412,530,751,823,598
95LL18S1,2215,1045,1170,453,624,679,459
95LL18S2,1575,793,781,303,484,458,330
95LL19S1,2452,1204,1247,528,643,904,377
95LL19S2,3555,1788,1766,873,1066,1172,444
95LL20W1,2496,1266,1229,480,781,808,427
95LL21W1,4621,2329,2292,1046,1534,1362,679
95LL22W1,3961,2002,1959,1015,1340,1160,446
95LL25S1,3011,1497,1513,719,957,904,431
95LL25S2,1850,907,943,346,485,666,353
95LL26S1,1644,921,723,331,560,533,220
95LL26S2,2130,1022,1108,384,672,747,327
95NN01S1,1534,739,795,322,420,450,342
