rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_presbyterian_church_in_ireland,rel..religion_church_of_ireland,rel..religion_methodist_church_in_ireland,rel..religion_other_christian_including_christian_related,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
N00000246,309,14,146,39,6,21,2,48,33
N00000247,309,20,109,58,21,36,5,45,15
N00000248,337,16,138,53,32,31,1,50,16
N00000249,386,31,131,62,23,35,6,82,16
N00000250,401,19,140,78,26,25,1,91,21
N00000251,456,23,190,62,20,53,1,94,13
N00000252,345,6,115,80,9,22,1,96,16
N00000253,499,17,297,68,16,18,0,66,17
N00000254,315,6,148,68,5,24,5,42,17
N00000255,351,34,162,55,1,27,6,57,9
N00000256,780,52,264,149,21,53,12,190,39
N00000257,447,16,217,79,5,23,1,80,26
N00000258,379,31,182,55,11,18,5,60,17
N00000259,465,256,43,45,10,13,6,43,49
N00000260,560,180,152,72,21,29,8,73,25
N00000261,561,305,84,46,4,14,1,69,38
N00000262,419,236,58,29,0,16,3,51,26
N00000263,239,140,45,10,1,6,1,26,10
N00000264,566,328,54,36,18,29,1,64,36
N00000265,351,225,51,20,1,4,2,28,20
N00000266,328,197,33,33,10,12,0,27,16
N00000267,431,8,168,80,14,40,5,99,17
N00000268,384,14,185,68,11,16,7,64,19
N00000269,347,11,187,49,12,27,0,44,17
N00000270,371,15,200,52,4,18,5,58,19
N00000271,380,16,188,58,9,35,2,61,11
N00000272,295,17,142,38,6,21,6,42,23
N00000273,460,24,179,96,15,25,2,106,13
N00000274,468,25,203,92,10,30,2,82,24
N00000275,291,28,123,47,15,16,2,46,14
N00000276,315,18,99,53,20,31,1,84,9
N00000277,310,12,104,51,14,31,0,77,21
N00000278,304,20,122,58,20,24,1,45,14
N00000279,181,11,63,39,8,16,3,34,7
N00000280,392,19,127,67,17,27,0,105,30
N00000281,349,15,166,53,4,43,4,45,19
N00000282,364,24,150,33,14,30,9,71,33
N00000283,346,22,93,63,20,49,0,87,12
N00000284,382,13,129,38,18,44,3,102,35
N00000285,322,6,95,53,16,31,3,91,27
N00000286,271,3,117,48,7,34,2,37,23
N00000287,297,7,116,54,12,15,2,67,24
N00000288,353,6,146,55,10,24,2,95,15
N00000289,496,5,222,67,24,48,5,83,42
N00000290,271,6,114,76,11,15,3,20,26
N00000291,512,11,175,118,26,57,2,93,30
N00000292,731,33,294,84,49,85,0,151,35
N00000293,522,22,203,81,22,56,3,115,20
N00000294,405,10,167,50,29,58,5,60,26
N00000295,421,32,141,65,26,31,2,108,16
N00000296,287,29,115,38,19,29,0,45,12
N00000297,371,30,133,89,13,34,1,41,30
N00000298,335,23,110,55,27,28,6,74,12
N00000299,324,29,126,49,22,24,8,43,23
N00000300,296,31,143,33,15,17,0,37,20
N00000301,366,35,92,77,13,57,4,75,13
N00000302,363,23,106,58,40,40,1,82,13
N00000303,318,14,98,80,13,40,4,53,16
N00000304,342,30,141,44,19,20,0,81,7
N00000305,395,11,168,80,34,21,2,68,11
N00000306,381,22,127,52,52,38,1,76,13
N00000307,355,20,115,52,25,45,0,75,23
N00000308,277,23,87,41,22,29,1,60,14
N00000309,378,23,144,72,15,30,15,69,10
N00000310,408,256,46,37,15,9,0,33,12
N00000311,333,249,12,14,1,5,2,22,28
N00000312,512,325,60,28,10,5,0,48,36
N00000313,636,518,30,16,10,4,0,35,23
N00000314,358,294,8,13,1,3,0,24,15
N00000315,345,271,18,13,3,2,3,17,18
N00000316,374,324,5,12,1,3,1,15,13
N00000317,447,335,14,26,4,3,2,44,19
N00000318,344,6,112,43,13,98,4,46,22
N00000319,819,10,271,123,39,171,8,137,60
N00000320,318,11,138,37,13,54,1,38,26
N00000321,517,17,207,90,35,82,1,49,36
N00000322,389,7,129,74,20,74,13,54,18
N00000323,472,156,120,31,38,23,4,89,11
N00000324,376,125,84,54,20,11,2,60,20
N00000325,538,115,184,54,36,49,5,64,31
