house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
N00000277,117,3,17,39,36,12,6,4
N00000278,121,11,21,36,33,8,9,3
N00000279,83,3,20,25,18,11,6,0
N00000280,154,10,32,23,40,35,9,5
N00000281,117,10,7,57,25,2,11,5
N00000282,132,10,12,54,30,9,14,3
N00000283,142,16,17,57,32,8,9,3
N00000284,157,18,29,27,38,24,17,4
N00000285,124,5,23,24,30,28,10,4
N00000286,126,14,33,42,16,9,11,1
N00000287,137,23,29,33,16,19,15,2
N00000288,138,9,20,54,36,7,8,4
N00000289,197,16,25,67,51,19,15,4
N00000290,128,20,27,36,17,16,8,4
N00000291,204,14,32,88,49,8,11,2
N00000292,262,14,27,90,97,13,13,8
N00000293,162,6,10,44,83,5,9,5
N00000294,140,13,10,62,28,5,14,8
N00000295,144,17,13,60,35,12,5,2
N00000296,114,9,16,42,29,10,6,2
N00000297,128,11,14,64,28,2,7,2
N00000298,119,2,15,44,36,9,8,5
N00000299,147,22,25,43,25,14,16,2
N00000300,133,29,18,39,20,15,11,1
N00000301,124,3,17,36,61,2,4,1
N00000302,127,7,6,53,44,12,4,1
N00000303,110,6,7,43,38,7,5,4
N00000304,117,1,14,30,47,12,10,3
N00000305,121,0,4,53,48,3,9,4
N00000306,128,1,22,38,54,7,3,3
N00000307,122,7,10,45,40,9,7,4
N00000308,110,9,12,47,28,6,6,2
N00000309,124,9,5,44,46,10,6,4
N00000310,149,16,17,67,34,4,7,4
N00000311,160,31,38,38,22,10,20,1
N00000312,175,14,21,60,49,8,19,4
N00000313,193,9,24,53,83,14,5,5
N00000314,137,12,23,42,29,11,17,3
N00000315,133,20,25,35,30,9,10,4
N00000316,130,14,11,45,34,9,13,4
N00000317,213,42,52,45,26,20,23,5
N00000318,129,16,12,45,31,9,12,4
N00000319,310,35,36,108,83,25,11,12
N00000320,128,16,17,52,25,7,10,1
N00000321,211,19,42,61,53,18,13,5
N00000322,154,15,23,52,39,12,8,5
N00000323,163,19,11,60,52,8,10,3
N00000324,151,17,12,65,34,6,14,3
N00000325,198,24,25,56,64,12,12,5
N00000326,377,36,65,122,95,29,19,11
N00000327,130,3,30,36,32,20,7,2
N00000328,126,8,40,24,22,22,7,3
N00000329,137,8,18,38,29,26,13,5
N00000330,203,8,28,75,68,13,8,3
N00000331,233,23,38,51,63,33,22,3
N00000332,124,7,42,23,17,24,10,1
N00000333,125,8,32,20,17,33,11,4
N00000334,116,3,24,28,17,24,17,3
N00000335,136,13,20,60,22,8,9,4
N00000336,131,10,12,72,25,2,6,4
N00000337,120,19,10,53,24,3,11,0
N00000338,129,21,14,58,24,2,5,5
N00000339,122,16,15,56,22,6,5,2
N00000340,138,11,10,65,35,2,12,3
N00000341,130,11,12,64,32,3,6,2
N00000342,133,1,23,50,35,13,7,4
N00000343,122,4,14,41,42,10,8,3
N00000715,254,19,43,77,68,30,15,2
N00000716,328,28,27,138,90,19,21,5
N00000717,199,22,21,68,72,10,6,0
N00000718,719,45,104,219,213,82,41,15
N00000719,86,3,8,33,30,4,6,2
N00000720,154,2,13,45,78,7,8,1
N00000721,154,17,18,49,53,4,11,2
N00000722,162,12,17,54,56,9,10,4
N00000723,145,18,17,44,51,3,11,1
N00000724,160,13,18,45,51,7,15,11
N00000725,165,17,19,52,53,7,15,2
N00000726,137,13,11,38,52,3,16,4
N00000727,124,21,26,30,19,13,13,2
N00000728,187,5,35,56,55,24,10,2
N00000729,121,7,16,36,47,8,6,1
N00000730,121,9,18,42,29,11,10,2
N00000731,123,32,15,35,17,8,12,4
N00000732,239,4,49,68,51,46,15,6
N00000733,112,8,9,48,34,9,3,1
N00000734,142,2,12,32,46,31,18,1
N00000735,143,15,8,49,47,2,17,5
N00000736,137,17,19,29,39,8,22,3
N00000737,124,9,5,53,34,3,15,5
N00000738,138,12,11,48,48,3,15,1
N00000739,143,6,7,64,48,2,11,5
N00000740,177,18,9,60,72,6,8,4
N00000741,140,11,11,69,25,5,18,1
N00000742,120,15,18,43,22,9,11,2
N00000743,116,8,23,29,15,24,13,4
N00000744,123,24,24,32,28,8,6,1
N00000745,184,7,42,55,53,13,10,4
N00000746,263,67,66,50,31,32,14,3
N00000747,173,13,38,49,42,10,16,5
N00000748,173,13,17,67,57,9,9,1
N00000749,140,10,19,49,37,13,11,1
N00000750,146,19,34,40,21,13,16,3
N00000751,198,23,38,60,42,17,13,5
N00000752,163,16,35,41,54,7,7,3
N00000753,138,9,7,48,55,3,14,2
N00000754,162,10,32,41,53,11,10,5
N00000755,125,6,13,35,56,8,3,4
N00000756,153,15,23,47,38,12,16,2
N00000757,142,2,13,35,70,14,6,2
N00000758,185,10,31,33,31,54,19,7
N00000759,102,6,11,27,45,5,7,1
N00000760,132,22,42,30,8,11,15,4
N00000761,178,22,36,45,29,22,19,5
N00000762,133,29,49,21,11,11,12,0
N00000763,166,7,33,44,35,25,20,2
N00000764,93,4,9,23,35,11,7,4
N00000765,165,11,41,27,32,34,17,3
N00000766,387,105,81,105,50,24,21,1
N00000767,108,6,14,37,36,10,4,1
N00000768,120,26,18,32,25,7,11,1
N00000769,137,9,11,56,45,8,6,2
N00000770,117,9,9,35,51,5,4,4
N00000771,124,29,34,25,11,9,13,3
N00000772,157,11,18,57,53,5,11,2
N00000773,154,20,17,41,50,15,8,3
N00000774,430,55,98,105,93,37,35,7
N00000775,123,12,26,40,33,6,6,0
N00000776,136,13,30,31,22,15,20,5
N00000777,323,25,38,99,113,15,31,2
N00000778,142,7,13,54,47,7,11,3
N00000779,204,12,27,70,64,14,17,0
N00000780,181,13,19,55,66,6,13,9
N00000781,204,2,51,71,54,17,6,3
N00000782,162,10,11,55,66,5,11,4
N00000783,195,26,25,55,63,4,18,4
N00000784,145,11,10,55,50,6,10,3
N00000785,118,11,6,44,29,3,20,5
N00000786,129,11,9,48,45,2,12,2
N00000787,144,13,9,52,52,5,12,1
N00000788,142,13,13,48,48,2,16,2
N00000789,403,27,80,119,90,43,37,7
N00000790,193,17,24,77,45,9,14,7
N00000791,146,25,14,58,28,5,14,2
N00000792,130,8,11,39,46,6,15,5
N00000793,146,9,14,54,45,4,17,3
N00000794,154,12,10,57,49,5,17,4
N00000795,170,13,13,65,60,7,8,4
N00000796,141,10,36,39,26,12,12,6
N00000797,144,21,20,62,26,7,7,1
N00000798,175,16,10,62,56,7,22,2
N00000799,193,17,40,58,49,15,11,3
N00000800,145,12,9,57,48,3,14,2
N00000801,176,11,16,52,73,4,20,0
N00000802,114,12,19,50,22,3,8,0
N00000803,140,6,10,64,43,2,13,2
N00000804,153,16,8,69,47,3,10,0
N00000805,134,11,19,53,35,1,12,3
N00000806,143,21,31,32,31,10,17,1
N00000807,187,15,28,50,59,16,13,6
N00000808,119,38,17,32,8,8,14,2
N00000809,204,28,33,55,43,22,20,3
N00000810,151,15,16,47,49,9,10,5
N00000811,148,39,21,24,23,15,20,6
N00000812,121,14,19,31,19,20,15,3
N00000813,191,12,36,53,48,21,13,8
N00000814,118,18,17,45,17,10,11,0
N00000815,159,15,9,52,66,5,11,1
N00000816,232,34,65,52,52,10,18,1
N00000817,104,14,11,54,19,1,4,1
N00000818,123,11,13,56,21,13,5,4
N00000819,132,25,35,36,15,13,7,1
N00000820,179,11,56,44,24,22,22,0
N00000821,129,27,31,35,16,10,6,4
N00000822,127,37,42,21,13,5,9,0
N00000823,146,16,18,53,32,9,18,0
N00000824,144,27,53,29,14,8,12,1
N00000855,104,19,36,29,4,7,8,1
N00000856,90,18,20,27,14,3,8,0
N00000857,157,16,40,47,39,5,9,1
N00000858,131,16,45,25,16,13,13,3
N00000859,138,15,37,41,31,8,5,1
N00000860,151,9,23,46,51,10,10,2
N00000861,124,19,20,40,37,4,4,0
N00000862,388,62,80,108,71,20,44,3
N00000863,128,25,14,48,25,3,12,1
N00000864,125,16,19,44,29,7,8,2
N00000865,126,11,15,34,40,7,15,4
N00000866,164,13,48,36,20,11,30,6
N00000867,159,16,67,26,21,16,12,1
N00000868,130,12,29,35,29,4,19,2
N00000869,106,27,34,11,9,9,15,1
N00000870,157,14,32,60,30,5,12,4
N00000871,155,30,28,46,26,8,12,5
N00000872,134,20,34,39,14,3,20,4
N00000873,132,11,30,20,15,32,19,5
N00000874,268,29,87,44,23,48,32,5
N00000875,124,14,30,18,9,27,16,10
N00000876,119,38,32,7,3,16,20,3
N00000877,158,23,29,24,15,40,19,8
N00000878,119,31,29,12,6,20,16,5
N00000879,398,40,90,46,43,110,48,21
N00000880,123,17,25,25,13,25,13,5
N00000881,148,26,36,29,8,22,21,6
N00000882,139,27,36,19,14,23,19,1
N00000883,133,28,29,27,14,11,22,2
N00000884,113,12,52,19,11,7,10,2
N00000885,323,27,132,43,30,44,41,6
N00000886,128,11,41,24,12,11,28,1
N00000887,133,8,43,33,19,7,18,5
N00000888,143,6,46,28,19,9,31,4
N00000889,110,18,23,19,30,8,10,2
N00000890,150,7,42,30,27,12,32,0
N00000891,181,17,63,26,18,10,45,2
N00000892,137,8,35,35,21,11,21,6
N00000893,135,2,43,41,17,5,25,2
N00000894,141,15,50,29,16,10,21,0
N00000895,121,10,37,18,21,9,21,5
N00000896,139,15,51,22,14,10,24,3
N00000897,137,9,35,28,18,4,41,2
N00000898,138,10,40,20,21,9,37,1
N00000899,158,24,49,13,11,9,49,3
N00000900,109,13,38,17,8,22,7,4
N00000901,140,11,36,18,7,7,57,4
N00000902,143,11,40,31,14,7,40,0
N00000903,94,13,32,7,19,7,9,7
N00000904,219,12,74,39,16,21,57,0
N00000905,144,5,35,29,14,22,37,2
N00000957,192,17,28,55,70,6,13,3
N00000958,132,22,22,52,24,3,7,2
N00000959,204,44,13,81,42,6,16,2
N00000960,192,16,33,64,60,10,6,3
N00000961,124,12,18,53,26,5,10,0
N00000962,159,16,46,26,20,21,27,3
N00000963,115,20,18,41,18,5,12,1
N00000964,129,24,14,52,24,3,11,1
N00000965,120,14,9,43,30,6,16,2
N00000966,148,15,26,56,26,7,12,6
N00000967,137,14,17,54,29,8,13,2
N00000968,103,3,28,28,31,5,4,4
N00000969,92,12,24,23,10,11,9,3
N00000970,243,34,70,62,25,21,24,7
N00000971,120,20,18,34,10,20,15,3
N00000972,129,9,27,30,19,19,20,5
N00000973,145,8,47,26,24,28,7,5
N00000974,120,21,23,26,15,19,11,5
N00000991,141,39,33,21,9,20,14,5
N00000992,265,30,109,41,20,30,28,7
N00000993,111,5,38,22,11,13,19,3
N00000994,470,64,144,104,48,55,49,6
N00000995,97,11,33,27,15,8,2,1
N00000996,123,9,15,41,42,2,13,1
N00000997,103,13,21,23,27,5,11,3
N00000998,127,13,23,37,31,6,13,4
N00000999,122,14,47,29,11,7,13,1
N00001000,129,12,22,49,29,5,11,1
N00001001,139,10,42,30,16,11,22,8
N00001002,431,44,155,97,39,36,54,6
N00001003,113,9,45,26,11,11,8,3
N00001004,143,13,32,43,14,16,24,1
N00001005,172,29,88,22,11,14,8,0
N00001061,102,12,9,47,29,0,3,2
N00001062,113,12,12,35,32,7,13,2
N00001063,123,17,8,60,28,1,9,0
N00001064,272,57,45,89,66,3,9,3
N00001065,126,15,7,55,40,2,7,0
N00001066,121,16,20,41,20,11,11,2
N00001067,133,37,16,45,25,3,6,1
N00001068,154,24,45,41,21,5,18,0
N00001069,133,15,24,41,42,5,5,1
N00001070,212,36,24,64,72,9,6,1
N00001071,137,20,27,37,32,12,9,0
N00001072,143,42,13,40,37,6,5,0
N00001073,127,14,32,32,13,13,19,4
N00001074,109,29,4,53,18,2,3,0
N00001075,131,20,30,30,26,14,9,2
N00001076,139,35,30,35,19,5,12,3
N00001077,131,31,42,23,8,5,19,3
N00001078,138,23,46,34,17,8,8,2
N00001174,117,7,7,53,38,4,5,3
N00001263,138,10,40,41,20,8,16,3
N00001264,88,5,30,5,19,15,12,2
N00001265,461,56,135,86,52,61,59,12
N00001266,90,11,27,9,13,24,6,0
N00001267,152,19,38,30,16,33,11,5
N00001268,154,36,31,29,9,25,24,0
N00001269,271,33,95,54,31,26,26,6
N00001270,154,26,45,46,15,13,8,1
N00001271,696,70,189,137,108,87,81,24
N00001272,118,21,39,24,11,11,11,1
N00001273,108,11,34,23,10,13,16,1
N00001274,122,22,31,32,10,15,11,1
N00001275,107,23,21,25,14,9,13,2
N00001276,91,13,13,13,18,14,18,2
N00001277,108,9,15,45,30,2,5,2
N00001278,120,12,20,44,34,2,8,0
N00001279,98,14,40,15,5,11,11,2
N00001280,117,33,25,26,9,9,13,2
N00001281,132,28,11,41,36,3,9,4
N00001282,148,25,35,46,29,5,6,2
N00001283,129,17,16,44,39,6,5,2
N00001284,147,11,31,48,36,10,7,4
N00001285,139,12,15,62,32,6,11,1
N00001286,141,28,13,53,29,7,6,5
N00001287,124,14,15,56,21,6,9,3
N00001288,117,13,12,49,25,8,9,1
N00001289,120,12,16,50,22,10,9,1
N00001290,123,8,9,62,26,8,7,3
N00001363,119,20,23,34,26,4,7,5
N00001364,251,39,49,71,43,13,29,7
N00001365,174,13,49,50,38,7,15,2
N00001366,119,24,26,26,24,5,11,3
N00001367,164,28,36,47,17,13,15,8
N00001368,126,16,17,51,25,5,11,1
N00001369,165,17,31,57,33,9,17,1
N00001370,187,57,29,56,31,7,7,0
N00001371,111,11,9,34,44,3,8,2
N00001372,247,38,42,67,62,9,23,6
N00001373,114,17,12,36,33,5,10,1
N00001374,112,16,8,41,33,7,7,0
N00001375,165,38,36,40,22,17,12,0
N00001376,96,15,27,24,12,10,6,2
N00001377,115,17,16,48,24,4,4,2
N00001378,106,12,13,42,26,5,6,2
N00001379,110,12,27,37,20,5,6,3
N00001380,133,4,31,42,30,5,20,1
N00001381,182,3,61,46,28,9,33,2
N00001382,115,9,12,46,35,5,7,1
N00001383,100,12,9,36,34,2,5,2
N00001384,117,10,18,42,31,5,10,1
N00001385,132,8,15,44,39,6,16,4
N00001386,262,28,84,59,28,15,41,7
N00001387,130,11,38,27,15,9,27,3
N00001388,115,26,22,39,11,11,6,0
N00001389,98,7,33,27,11,8,12,0
N00001390,107,11,11,36,35,2,9,3
N00001391,107,7,17,35,34,2,11,1
N00001392,132,12,37,27,9,7,35,5
N00001393,142,12,48,33,13,3,31,2
N00001394,122,11,25,41,30,4,9,2
N00001395,123,12,30,32,30,6,12,1
N00001396,320,16,115,74,20,8,84,3
N00001397,119,34,38,26,6,2,13,0
N00001398,131,14,40,36,14,10,17,0
N00001399,363,55,57,109,86,10,45,1
N00001400,137,21,21,50,31,1,8,5
N00001401,442,33,162,77,42,35,85,8
N00001402,292,24,81,53,42,11,77,4
N00001403,135,11,17,32,28,10,35,2
N00001404,295,50,95,57,35,7,46,5
N00001405,114,20,27,25,13,11,16,2
N00001406,112,24,25,27,11,16,7,2
N00001407,121,10,35,30,9,11,23,3
N00001408,211,18,62,49,43,8,31,0
N00001409,111,7,20,29,35,5,12,3
N00001410,125,16,28,34,24,8,14,1
N00001411,123,9,28,40,24,7,11,4
N00001412,102,43,29,12,10,1,7,0
N00001413,120,24,18,27,30,5,14,2
N00001414,112,16,13,29,32,5,15,2
N00001445,152,22,19,59,39,3,10,0
N00001446,132,27,8,62,22,5,8,0
N00001447,124,17,11,63,24,4,5,0
N00001448,133,14,9,62,36,5,6,1
N00001449,130,16,17,48,44,0,4,1
N00001450,118,23,10,57,22,2,4,0
N00001451,114,40,12,36,16,4,3,3
N00001452,124,17,14,50,35,1,7,0
N00001453,134,19,4,59,39,4,6,3
N00001454,117,11,4,63,28,2,9,0
N00001455,107,18,16,34,30,4,4,1
N00001456,141,17,31,39,36,5,11,2
N00001457,125,18,20,32,42,2,9,2
N00001458,130,13,36,30,29,4,18,0
N00001459,129,14,22,52,35,2,2,2
N00001460,263,37,49,75,49,19,30,4
N00001480,240,64,71,49,16,16,20,4
N00001481,105,14,19,29,12,12,18,1
N00001482,139,9,35,47,20,12,14,2
N00001483,124,11,38,36,20,11,6,2
N00001484,112,9,42,21,9,16,12,3
N00001485,130,11,48,31,17,12,11,0
N00001486,127,12,18,44,32,5,11,5
N00001487,138,15,29,53,23,7,11,0
N00001488,117,11,20,40,22,9,12,3
N00001489,121,12,9,57,21,7,14,1
N00001490,101,11,28,25,11,13,12,1
N00001491,140,65,12,33,9,11,8,2
N00001492,115,8,33,23,8,20,21,2
N00001493,121,7,38,31,25,8,9,3
N00001494,96,11,29,25,12,7,10,2
N00001495,134,12,37,39,24,11,9,2
N00001496,150,20,50,35,12,18,14,1
N00001497,106,3,28,32,15,13,11,4
N00001498,198,17,42,38,23,35,33,10
N00001499,144,11,41,25,20,15,29,3
N00001500,147,12,89,18,2,5,17,4
N00001501,274,24,112,48,23,44,20,3
N00001502,196,15,60,39,19,31,27,5
N00001503,113,16,37,25,5,18,10,2
N00001504,106,3,28,19,9,23,15,9
N00001505,212,20,57,34,19,25,41,16
N00001506,128,12,51,19,13,11,21,1
N00001507,115,19,29,14,14,18,16,5
N00001508,207,4,67,38,32,33,26,7
N00001509,201,33,57,45,18,26,21,1
N00001510,122,16,43,23,9,12,17,2
N00001511,281,35,85,51,24,43,35,8
N00001512,137,12,43,22,17,12,27,4
N00001513,124,11,50,14,15,18,14,2
N00001514,109,14,21,25,21,15,9,4
N00001604,146,10,49,27,10,18,30,2
N00001605,138,18,43,27,16,10,20,4
N00001606,104,8,37,18,8,9,22,2
N00001607,132,15,42,28,11,8,25,3
N00001608,123,14,41,27,10,13,15,3
N00001609,121,6,42,24,16,13,18,2
N00001610,125,5,57,22,8,17,14,2
N00001611,138,20,33,19,21,31,12,2
N00001612,130,22,29,7,23,30,17,2
N00001613,301,38,64,47,39,42,57,14
N00001614,132,16,44,24,12,17,16,3
N00001615,146,21,35,33,16,14,22,5
N00001616,146,14,50,21,16,23,18,4
N00001617,133,11,44,37,9,6,25,1
N00001618,119,14,38,22,13,17,14,1
N00001619,160,55,30,37,9,15,12,2
N00001620,138,9,37,19,18,21,29,5
N00001621,115,11,30,32,10,20,11,1
N00001622,106,9,29,18,15,12,21,2
N00001750,115,11,25,43,21,2,10,3
N00001751,116,10,15,43,32,4,9,3
N00001752,128,17,6,65,23,4,12,1
N00001753,137,11,24,41,26,19,14,2
N00001754,130,16,9,47,47,5,5,1
N00001755,131,5,8,59,37,4,15,3
N00001756,131,17,7,68,25,2,11,1
N00001757,119,13,41,37,17,2,4,5
N00001758,132,27,15,63,12,7,5,3
N00001759,121,18,12,56,27,0,6,2
N00001760,389,22,77,103,146,11,25,5
N00001761,118,3,8,35,69,0,3,0
N00001762,133,24,41,24,19,13,10,2
N00001763,545,39,87,164,157,46,41,11
N00001764,128,23,38,33,13,11,10,0
N00001765,470,85,142,99,74,18,49,3
N00001766,128,30,22,42,19,5,9,1
N00001767,110,6,11,46,34,8,5,0
N00001768,114,9,24,29,35,6,10,1
N00001769,120,9,4,39,57,5,3,3
N00001770,89,3,2,18,59,5,1,1
N00001771,142,4,26,28,62,13,5,4
N00001772,118,11,13,55,21,7,10,1
N00001773,106,5,9,53,25,9,5,0
N00001774,128,10,36,46,25,4,7,0
N00001775,119,3,30,35,31,7,11,2
N00001776,122,8,34,32,37,5,5,1
N00001777,136,13,15,55,39,3,9,2
N00001778,114,7,16,37,40,6,5,3
N00001779,118,9,21,37,19,17,11,4
N00001780,248,14,44,92,74,12,6,6
N00001781,126,5,11,45,46,8,8,3
N00001782,124,9,10,46,48,7,2,2
N00001783,134,9,16,62,36,4,5,2
N00001784,129,13,43,27,21,6,17,2
N00001785,136,12,19,41,26,19,16,3
N00001786,135,16,22,45,21,12,16,3
N00001787,130,14,32,31,17,17,19,0
N00001788,126,11,18,28,31,24,10,4
N00001789,152,1,29,45,61,9,6,1
N00001790,132,17,23,55,24,5,8,0
N00001791,155,13,9,56,53,4,16,4
N00001792,97,3,3,39,39,8,3,2
N00001793,143,12,10,41,61,4,9,6
N00001794,374,93,49,90,69,28,41,4
N00001795,122,10,23,37,30,13,7,2
N00001796,130,17,23,25,37,9,16,3
N00001797,148,34,16,50,32,7,8,1
N00001798,147,6,29,36,67,4,4,1
N00001799,125,19,6,63,21,5,7,4
N00001800,128,15,17,41,33,7,8,7
N00001801,133,5,10,40,64,4,5,5
N00001802,126,3,26,31,44,9,12,1
N00001803,123,18,10,46,31,4,13,1
N00001804,135,22,6,58,36,5,7,1
N00001805,368,28,64,117,87,31,35,6
N00001806,128,17,18,36,23,21,10,3
N00001807,110,14,23,24,24,9,12,4
N00001808,107,14,21,27,19,13,10,3
N00001809,111,23,17,25,19,14,12,1
N00001810,120,38,29,14,10,14,9,6
N00001811,102,17,14,27,19,13,10,2
N00001812,213,38,100,28,12,15,18,2
N00001813,100,41,12,29,7,3,7,1
