health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
N00000291,512,237,179,63,27,6
N00000292,731,379,227,94,29,2
N00000293,522,308,165,40,8,1
N00000294,405,189,150,52,12,2
N00000295,421,189,129,68,26,9
N00000296,287,125,112,35,15,0
N00000297,371,131,119,92,25,4
N00000298,335,154,123,43,14,1
N00000299,324,147,134,37,6,0
N00000300,296,115,106,60,12,3
N00000301,366,204,130,19,12,1
N00000302,363,168,142,37,14,2
N00000303,318,158,113,37,10,0
N00000304,342,173,137,25,5,2
N00000305,395,234,115,35,11,0
N00000306,381,215,123,35,8,0
N00000307,355,192,122,31,8,2
N00000308,277,142,98,32,3,2
N00000309,378,188,138,45,5,2
N00000310,408,177,140,63,20,8
N00000311,333,123,116,66,23,5
N00000312,512,264,128,87,27,6
N00000313,636,365,158,82,25,6
N00000314,358,147,112,59,37,3
N00000315,345,151,109,61,20,4
N00000316,374,190,102,51,24,7
N00000317,447,172,132,87,45,11
N00000318,344,150,120,50,17,7
N00000319,819,365,287,130,32,5
N00000320,318,106,121,70,16,5
N00000321,517,223,176,84,23,11
N00000322,389,158,124,61,35,11
N00000323,472,239,162,56,12,3
N00000324,376,161,124,61,21,9
N00000325,538,267,162,84,19,6
N00000326,946,435,301,160,41,9
N00000327,325,155,93,57,16,4
N00000328,291,116,106,47,18,4
N00000329,402,169,133,70,20,10
N00000330,539,281,195,51,11,1
N00000331,612,288,186,96,29,13
N00000332,284,105,91,57,23,8
N00000333,293,93,107,69,21,3
N00000334,294,117,106,55,14,2
N00000335,326,145,115,47,19,0
N00000336,330,131,141,52,5,1
N00000337,282,109,132,30,11,0
N00000338,308,145,93,57,11,2
N00000339,294,157,98,32,7,0
N00000340,427,183,148,82,11,3
N00000341,348,162,120,57,8,1
N00000342,359,194,120,38,5,2
N00000343,351,189,119,32,9,2
N00000715,656,321,227,78,25,5
N00000716,897,451,304,110,21,11
N00000717,576,314,162,70,17,13
N00000718,1923,1081,573,202,55,12
N00000719,260,161,66,22,9,2
N00000720,484,278,153,47,6,0
N00000721,460,258,137,54,7,4
N00000722,495,250,164,64,15,2
N00000723,445,231,137,59,11,7
N00000724,495,283,125,62,24,1
N00000725,477,265,142,51,15,4
N00000726,445,284,97,45,15,4
N00000727,274,93,94,59,23,5
N00000728,495,247,181,50,12,5
N00000729,355,180,129,33,9,4
N00000730,305,127,116,46,15,1
N00000731,267,94,80,59,30,4
N00000732,569,294,195,64,14,2
N00000733,325,137,130,43,14,1
N00000734,416,200,148,54,13,1
N00000735,422,228,108,69,14,3
N00000736,382,196,108,58,14,6
N00000737,382,199,117,58,5,3
N00000738,432,243,127,48,10,4
N00000739,444,238,125,62,15,4
N00000740,567,324,164,66,9,4
N00000741,345,187,111,40,5,2
N00000742,286,124,94,56,8,4
N00000743,270,101,82,64,18,5
N00000744,283,136,99,34,10,4
N00000745,470,244,168,45,10,3
N00000746,508,176,182,98,43,9
N00000747,401,201,129,47,21,3
N00000748,454,256,142,45,10,1
N00000749,387,166,107,94,18,2
N00000750,319,129,119,56,14,1
N00000751,464,235,152,60,14,3
N00000752,412,231,130,38,11,2
N00000753,436,218,150,52,11,5
N00000754,436,241,160,28,6,1
N00000755,391,216,131,32,11,1
N00000756,366,198,102,46,15,5
N00000757,451,294,127,24,5,1
N00000758,471,213,150,73,25,10
N00000759,304,184,66,39,10,5
N00000760,250,82,75,56,30,7
N00000761,421,191,135,61,27,7
N00000762,222,67,71,56,23,5
N00000763,410,175,143,65,24,3
N00000764,278,146,95,27,8,2
N00000765,413,207,106,68,23,9
N00000766,776,262,256,189,54,15
N00000767,312,152,123,30,5,2
N00000768,276,105,91,63,15,2
N00000769,393,224,109,51,7,2
N00000770,374,236,100,23,10,5
N00000771,233,70,75,54,28,6
N00000772,456,223,134,84,12,3
N00000773,420,242,103,51,21,3
N00000774,1023,469,297,174,64,19
N00000775,296,99,124,53,14,6
N00000776,327,112,119,66,24,6
N00000777,912,455,296,121,32,8
N00000778,432,227,137,58,9,1
N00000779,564,292,163,91,13,5
N00000780,531,290,174,52,11,4
N00000781,508,296,167,39,4,2
N00000782,526,285,142,72,21,6
N00000783,565,289,182,67,23,4
N00000784,437,236,130,55,13,3
N00000785,332,154,99,58,17,4
N00000786,384,208,110,54,8,4
N00000787,437,265,114,43,12,3
N00000788,427,251,121,36,17,2
N00000789,997,474,317,141,44,21
N00000790,530,269,159,75,26,1
N00000791,347,157,101,59,25,5
N00000792,399,215,118,49,15,2
N00000793,451,238,143,58,12,0
N00000794,467,255,140,54,12,6
N00000795,539,315,164,45,12,3
N00000796,351,161,97,53,34,6
N00000797,349,141,112,60,23,13
N00000798,527,278,156,66,23,4
N00000799,475,215,187,55,13,5
N00000800,428,230,136,50,7,5
N00000801,529,307,159,46,12,5
N00000802,272,129,92,42,7,2
N00000803,398,185,139,60,10,4
N00000804,422,213,154,39,14,2
N00000805,383,194,96,70,18,5
N00000806,341,155,97,67,19,3
N00000807,521,266,185,58,11,1
N00000808,243,65,92,59,25,2
N00000809,557,229,184,78,56,10
N00000810,434,210,145,67,8,4
N00000811,345,133,114,68,25,5
N00000812,299,143,87,54,12,3
N00000813,491,229,186,54,20,2
N00000814,258,123,82,41,9,3
N00000815,487,279,147,53,6,2
N00000816,558,244,181,94,27,12
N00000817,256,91,112,41,10,2
N00000818,324,130,119,55,13,7
N00000819,253,93,76,62,19,3
