health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00094571,106,58,30,14,2,2
S00094059,130,65,44,15,5,1
S00094060,162,71,63,21,5,2
S00094061,218,116,71,23,7,1
S00094700,104,65,25,11,3,0
S00094707,85,29,33,13,5,5
S00094708,71,36,20,12,2,1
S00094053,204,107,71,21,3,2
S00094054,74,40,25,8,1,0
S00094055,96,59,28,6,2,1
S00094056,134,71,42,19,1,1
S00094057,62,29,16,16,0,1
S00094701,81,48,23,7,3,0
S00094702,127,78,32,10,5,2
S00094703,114,78,21,14,0,1
S00094704,80,52,18,10,0,0
S00094058,121,75,35,7,4,0
S00094568,114,67,32,13,2,0
S00094570,137,64,56,14,3,0
S00094705,69,37,26,6,0,0
S00094706,194,108,65,18,3,0
S00094486,147,83,39,19,5,1
S00094487,142,75,46,12,4,5
S00094488,129,66,34,28,1,0
S00094489,132,71,34,22,5,0
S00094490,85,43,28,11,2,1
S00094491,63,31,19,11,1,1
S00094498,106,64,25,13,2,2
S00094499,136,90,34,10,1,1
S00094492,116,53,33,18,8,4
S00094493,79,40,22,12,3,2
S00094494,107,44,31,20,9,3
S00094496,146,69,47,27,3,0
S00094658,99,46,33,12,8,0
S00094659,70,25,28,11,6,0
S00094774,130,61,47,10,11,1
S00094775,114,55,43,13,2,1
S00094495,138,88,40,10,0,0
S00094497,106,39,32,16,19,0
S00094699,84,55,18,10,0,1
S00094773,107,64,35,6,2,0
S00094776,170,84,49,33,4,0
S00094777,70,41,22,7,0,0
S00094482,202,112,65,16,9,0
S00094483,124,70,31,19,3,1
S00094484,145,71,42,25,6,1
S00094656,53,34,16,2,0,1
S00094657,83,41,24,14,3,1
S00094478,143,70,36,26,6,5
S00094479,160,97,47,14,2,0
S00094480,81,50,25,5,0,1
S00094481,112,47,35,20,7,3
S00094485,95,49,29,13,4,0
S00094771,65,33,20,10,1,1
S00094772,86,45,33,6,2,0
S00094049,141,89,35,13,4,0
S00094050,119,66,44,7,2,0
S00094051,113,63,37,9,4,0
S00094052,141,76,47,13,4,1
S00094567,118,68,40,9,1,0
S00094697,52,22,20,9,1,0
S00094698,63,25,26,9,3,0
S00094044,148,79,41,18,7,3
S00094045,100,37,40,15,6,2
S00094046,172,88,54,22,8,0
S00094047,69,34,25,7,3,0
S00094048,106,55,35,14,0,2
S00094246,103,46,39,16,1,1
S00094247,161,94,43,13,9,2
S00094252,111,45,46,14,4,2
S00094253,78,29,35,12,2,0
S00094254,97,49,33,14,1,0
S00094620,97,48,28,12,8,1
S00094622,83,29,33,13,7,1
S00094248,96,37,40,12,7,0
S00094249,111,55,33,16,6,1
S00094250,100,41,44,9,5,1
S00094251,82,36,29,13,4,0
S00094621,60,31,20,4,5,0
S00094113,62,39,13,7,3,0
S00094114,134,76,38,14,5,1
S00094591,132,64,45,19,3,1
S00094103,75,49,17,7,2,0
S00094104,73,38,25,9,1,0
S00094110,88,48,22,14,3,1
S00094111,89,45,28,14,1,1
S00094112,150,88,29,26,5,2
S00094589,87,43,31,7,4,2
S00094590,103,64,27,9,3,0
S00094723,168,72,67,22,3,4
S00094101,150,73,60,16,1,0
S00094102,102,39,34,23,6,0
S00094105,127,70,37,12,7,1
S00094106,51,29,16,4,2,0
S00094107,71,29,30,10,2,0
S00094108,88,53,26,8,0,1
S00094109,95,54,24,13,2,2
S00094588,81,29,34,12,5,1
S00094197,89,41,26,14,6,2
S00094198,126,51,46,24,2,3
S00094199,71,35,13,11,11,1
S00094200,173,69,63,30,8,3
S00094201,111,64,31,9,6,1
S00094202,149,71,53,21,4,0
S00094609,65,24,16,20,4,1
S00094191,86,48,27,10,1,0
S00094192,98,39,37,16,6,0
S00094193,162,93,53,12,3,1
S00094194,147,69,55,16,4,3
S00094195,91,33,36,18,3,1
S00094196,114,53,29,27,5,0
S00094608,148,84,43,15,6,0
S00094035,96,52,31,7,6,0
S00094036,67,38,18,7,3,1
S00094040,76,35,27,11,1,2
S00094041,111,65,31,9,2,4
S00094042,92,36,35,17,3,1
S00094043,97,58,27,7,4,1
S00094100,163,85,39,27,9,3
S00094037,107,43,44,15,5,0
S00094038,104,23,41,32,5,3
S00094039,84,37,28,14,3,2
S00094565,78,32,24,17,5,0
S00094675,118,52,47,13,5,1
S00094677,72,35,28,5,4,0
S00094695,128,62,54,10,2,0
S00094696,87,51,23,9,3,1
S00094033,117,66,34,11,4,2
S00094034,116,53,42,13,5,3
S00094671,84,34,30,12,8,0
S00094672,88,41,33,6,5,3
S00094673,109,71,31,7,0,0
S00094674,153,87,45,14,5,2
S00094693,87,48,21,10,6,2
S00094694,113,60,31,16,4,2
S00094803,119,66,41,6,5,1
S00094662,73,41,23,7,2,0
S00094664,165,89,51,19,5,1
S00094691,113,70,33,8,2,0
S00094692,57,25,18,11,3,0
S00094802,97,47,30,15,5,0
S00094176,136,73,39,19,1,4
S00094177,160,73,45,34,7,1
S00094178,102,43,39,13,4,3
S00094179,75,37,24,13,1,0
S00094180,165,88,58,11,8,0
S00094183,88,34,30,21,2,1
S00094676,80,45,19,11,4,1
S00094172,198,116,56,20,5,1
S00094173,56,18,24,10,2,2
S00094174,102,42,35,19,5,1
S00094175,143,56,49,26,9,3
S00094181,82,38,23,15,5,1
S00094182,97,31,32,22,9,3
S00094187,72,13,21,24,9,5
S00094184,105,42,50,9,3,1
S00094185,102,42,28,17,13,2
S00094186,90,38,37,11,2,2
S00094188,54,21,14,14,5,0
S00094189,100,50,29,16,4,1
