house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00094713,60,6,14,15,15,7,0,3
S00094714,59,4,8,22,17,6,0,2
S00094078,68,9,7,29,11,3,2,7
S00094080,40,3,9,18,6,1,1,2
S00094083,45,6,8,17,10,1,0,3
S00094084,35,5,5,14,4,0,1,6
S00094089,50,5,15,18,10,1,0,1
S00094711,54,5,7,24,11,1,0,6
S00094712,45,2,7,23,10,2,0,1
S00093995,27,4,6,12,3,0,0,2
S00094069,35,6,5,18,4,1,0,1
S00094070,67,9,14,25,8,5,1,5
S00094071,48,7,7,19,10,1,1,3
S00094572,68,10,6,30,14,2,2,4
S00094709,39,9,6,18,3,1,0,2
S00094710,55,11,4,15,12,5,0,8
S00094077,54,8,7,24,8,4,1,2
S00094081,44,4,13,17,4,3,1,2
S00094082,58,4,11,32,6,1,1,3
S00094577,46,3,11,13,10,6,0,3
S00094578,49,4,12,16,8,1,2,6
S00094579,26,3,3,16,3,0,0,1
S00094072,36,6,5,16,7,2,0,0
S00094073,56,9,12,25,5,2,0,3
S00094074,26,3,3,11,5,1,2,1
S00094075,37,5,2,21,6,0,0,3
S00094076,54,8,11,25,8,0,2,0
S00094573,35,7,7,13,7,0,0,1
S00094574,64,17,9,25,10,0,1,2
S00094575,43,8,7,17,8,1,1,1
S00094576,29,1,8,11,5,3,0,1
S00094062,30,2,4,18,3,0,0,3
S00094063,46,3,9,15,12,4,0,3
S00094064,50,16,11,12,3,4,0,4
S00094065,47,3,8,12,14,2,3,5
S00094066,48,8,10,20,4,0,1,5
S00094067,34,4,11,12,7,0,0,0
S00094068,47,12,14,13,4,0,1,3
S00094571,41,6,4,15,9,2,2,3
S00094059,63,10,6,38,4,3,0,2
S00094060,76,12,9,36,12,0,2,5
S00094061,91,11,16,29,20,7,2,6
S00094700,49,7,13,15,7,5,0,2
S00094707,43,7,4,21,4,2,0,5
S00094708,33,5,3,17,7,0,0,1
S00094053,85,18,4,35,15,3,0,10
S00094054,39,10,5,16,3,2,1,2
S00094055,44,6,5,24,6,2,0,1
S00094056,63,6,4,40,8,2,0,3
S00094057,29,4,3,16,4,0,0,2
S00094701,36,4,8,15,7,0,0,2
S00094702,50,5,5,23,12,3,0,2
S00094703,51,14,9,12,12,1,1,2
S00094704,39,6,6,16,7,0,0,4
S00094058,49,4,6,20,12,3,1,3
S00094568,60,9,16,25,7,2,0,1
S00094570,67,7,16,18,12,3,0,11
S00094705,30,3,4,14,6,2,0,1
S00094706,86,7,14,37,21,2,1,4
S00094486,72,14,12,26,10,1,1,8
S00094487,60,7,4,29,15,2,0,3
S00094488,60,11,8,26,11,2,0,2
S00094489,59,8,12,21,12,1,1,4
S00094490,44,9,11,15,6,3,0,0
S00094491,32,9,4,9,6,1,0,3
S00094498,51,4,15,16,12,3,0,1
S00094499,56,4,12,14,15,8,0,3
S00094492,64,14,19,16,7,3,0,5
S00094493,41,11,4,15,4,2,0,5
S00094494,64,8,28,13,3,7,2,3
S00094496,70,10,12,30,10,2,0,6
S00094658,48,12,7,13,6,1,0,9
S00094659,48,13,21,8,3,1,0,2
S00094774,56,4,15,11,11,12,0,3
S00094775,58,13,9,20,10,4,0,2
S00094495,57,5,14,16,16,3,1,2
S00094497,30,3,9,7,9,1,0,1
S00094699,38,3,13,6,9,6,1,0
S00094773,44,1,6,22,12,1,0,2
S00094776,69,5,12,20,16,8,1,7
S00094777,28,4,5,5,10,0,0,4
S00094482,73,5,7,25,23,6,0,7
S00094483,61,10,13,16,11,8,0,3
S00094484,80,21,16,30,11,1,0,1
S00094656,22,4,0,12,5,1,0,0
S00094657,38,5,8,7,10,5,0,3
S00094478,76,13,28,19,9,5,0,2
S00094479,69,9,10,25,15,4,1,5
S00094480,36,3,8,16,8,0,0,1
S00094481,64,21,13,18,8,1,0,3
S00094485,53,16,13,9,7,4,0,4
S00094771,28,6,2,12,5,0,1,2
S00094772,43,3,14,14,9,1,0,2
S00094049,57,4,8,19,16,5,2,3
S00094050,59,10,13,25,7,1,1,2
S00094051,54,7,11,23,9,1,1,2
S00094052,64,12,6,27,15,0,0,4
S00094567,58,15,11,12,10,5,1,4
S00094697,26,5,6,12,2,0,0,1
S00094698,35,6,9,15,2,1,0,2
S00094044,71,10,9,38,8,2,0,4
S00094045,50,6,11,24,4,1,1,3
S00094046,75,4,16,37,11,1,3,3
S00094047,28,2,3,15,6,1,0,1
S00094048,47,6,7,24,5,1,1,3
S00094246,55,9,16,10,10,4,0,6
S00094247,66,7,11,23,18,3,1,3
S00094252,71,18,30,9,8,1,0,5
S00094253,37,7,3,17,5,0,0,5
S00094254,48,10,6,20,5,1,1,5
S00094620,44,6,6,18,9,1,0,4
S00094622,55,7,29,12,1,5,0,1
S00094248,54,7,17,18,3,7,0,2
S00094249,58,14,12,16,8,4,0,4
S00094250,45,6,5,22,6,0,3,3
S00094251,43,7,11,15,4,0,1,5
S00094621,27,5,3,10,6,1,0,2
S00094113,27,4,7,8,5,2,0,1
S00094114,66,13,13,28,9,1,1,1
S00094591,74,21,15,30,5,0,1,2
S00094103,31,6,2,11,10,1,0,1
S00094104,36,2,12,14,7,1,0,0
S00094110,48,12,12,16,5,0,1,2
S00094111,42,9,9,13,4,2,2,3
S00094112,65,14,6,16,10,10,1,8
S00094589,42,10,8,12,9,2,0,1
S00094590,45,11,5,16,9,2,0,2
S00094723,84,14,15,36,9,4,0,6
S00094101,63,10,3,36,12,2,0,0
S00094102,47,10,6,22,6,1,1,1
S00094105,57,13,4,27,12,0,0,1
S00094106,20,3,5,5,6,0,0,1
S00094107,37,4,12,11,4,2,0,4
S00094108,42,9,4,23,4,0,1,1
S00094109,46,7,5,22,6,5,0,1
S00094588,34,2,3,19,7,1,1,1
S00094197,42,6,10,12,4,5,0,5
S00094198,50,2,10,18,9,6,0,5
S00094199,40,12,7,15,1,3,0,2
S00094200,67,6,7,31,13,1,1,8
S00094201,50,6,10,16,11,4,0,3
S00094202,68,9,12,17,10,10,1,9
S00094609,33,9,3,13,2,2,1,3
S00094191,35,6,4,11,6,4,1,3
S00094192,43,7,6,17,9,1,0,3
S00094193,68,7,9,27,16,2,0,7
S00094194,70,14,9,28,6,0,1,12
S00094195,53,9,17,14,2,4,1,6
S00094196,63,16,17,11,6,8,1,4
S00094608,58,8,5,20,13,7,0,5
S00094035,42,5,7,16,10,3,0,1
S00094036,29,6,4,12,6,0,0,1
S00094040,41,10,8,14,5,0,0,4
S00094041,45,5,4,18,12,0,0,6
S00094042,46,12,4,19,6,4,0,1
S00094043,37,5,6,8,14,3,0,1
S00094100,74,11,17,21,10,7,1,7
S00094037,48,6,5,29,6,1,1,0
S00094038,62,19,12,27,0,1,0,3
S00094039,38,7,2,20,3,1,0,5
S00094565,41,11,4,17,3,0,1,5
S00094675,56,13,8,20,9,4,0,2
S00094677,36,8,7,13,3,4,0,1
S00094695,56,4,4,34,9,2,0,3
S00094696,38,4,1,22,7,0,0,4
S00094033,50,5,4,23,8,4,0,6
S00094034,53,5,10,17,10,3,0,8
S00094671,37,4,6,19,5,0,0,3
S00094672,44,3,10,22,4,1,0,4
S00094673,42,5,5,16,12,2,0,2
S00094674,63,5,9,28,17,3,0,1
S00094693,41,10,6,14,7,1,0,3
S00094694,47,3,10,18,10,1,3,2
S00094803,42,3,3,16,15,0,1,4
S00094662,32,4,6,14,7,0,0,1
S00094664,66,10,7,26,17,0,3,3
S00094691,49,8,6,19,9,4,0,3
S00094692,30,6,6,11,3,1,0,3
S00094802,42,8,2,15,10,2,0,5
S00094176,66,16,9,26,9,1,0,5
S00094177,58,9,4,28,12,2,1,2
S00094178,56,12,14,18,8,2,0,2
S00094179,38,5,6,19,2,4,0,2
S00094180,75,3,19,26,12,11,0,4
S00094183,42,8,9,10,8,3,1,3
S00094676,32,3,5,13,9,1,1,0
S00094172,71,5,15,10,22,16,1,2
S00094173,35,10,10,11,0,3,0,1
S00094174,59,8,24,11,3,7,1,5
S00094175,77,17,26,15,9,7,0,3
S00094181,41,11,6,15,6,1,0,2
S00094182,53,15,8,14,4,6,1,5
S00094187,55,34,10,6,0,4,0,1
S00094184,57,4,22,13,6,10,0,2
S00094185,50,6,12,12,10,5,0,5
S00094186,46,9,7,21,4,1,0,4
S00094188,43,9,28,1,2,2,1,0
S00094189,48,7,7,17,8,5,0,4
S00094606,70,10,13,21,15,7,2,2
S00094678,34,10,9,10,1,2,0,2
S00094679,64,15,12,18,12,2,2,3
S00094164,77,11,46,11,3,4,0,2
S00094165,59,5,25,9,4,8,0,8
S00094170,54,3,28,11,7,2,3,0
S00094171,48,6,24,5,7,2,0,4
S00094735,64,12,22,15,6,5,0,4
S00094159,48,10,21,11,2,4,0,0
S00094160,48,18,15,12,3,0,0,0
S00094161,38,22,1,8,4,0,0,3
S00094167,57,9,22,16,6,2,0,2
S00094168,71,11,23,18,6,8,0,5
S00094169,31,16,3,7,2,0,0,3
S00094605,41,5,7,11,10,5,0,3
S00094607,46,25,7,10,1,3,0,0
S00094156,57,9,6,18,14,6,0,4
S00094157,75,6,4,29,22,9,1,4
S00094158,62,8,8,16,20,2,0,8
S00094190,20,1,3,9,4,1,0,2
S00094733,27,6,4,13,3,0,0,1
S00094734,61,10,4,25,11,3,1,7
S00094032,50,14,5,17,9,1,1,3
S00094162,48,6,8,27,5,0,0,2
S00094163,65,6,8,28,19,2,0,2
S00094166,71,26,16,16,10,1,1,1
S00094736,68,18,16,18,9,3,0,4
S00094243,37,15,7,13,2,0,0,0
S00094244,46,9,4,13,14,2,1,3
S00094245,52,22,16,11,3,0,0,0
S00094746,41,5,10,15,6,2,2,1
S00094747,42,12,16,10,2,1,0,1
S00094748,55,14,24,7,3,3,0,4
S00094237,71,14,10,35,8,2,0,2
S00094238,36,9,5,13,4,1,1,3
S00094239,55,8,8,19,13,5,0,2
S00094240,70,16,32,12,6,3,1,0
S00094241,38,10,4,17,4,1,1,1
S00094242,54,16,5,26,6,0,0,1
S00094619,70,15,25,17,6,6,0,1
S00094217,38,6,5,18,5,0,1,3
S00094218,42,6,10,19,5,0,1,1
S00094219,43,8,1,21,10,0,2,1
S00094220,47,6,8,18,13,1,0,1
S00094221,60,12,4,29,8,4,0,3
S00094222,48,6,5,23,10,1,1,2
S00094610,39,8,6,14,7,0,0,4
S00094611,42,7,8,19,5,0,1,2
S00093998,51,5,2,26,15,0,1,2
S00094566,38,13,7,16,1,0,1,0
S00094569,74,12,14,34,6,0,0,8
S00094580,52,6,5,22,14,0,1,4
S00094798,42,7,8,21,3,0,2,1
S00094799,45,10,6,19,5,3,1,1
S00094235,57,14,10,18,9,2,1,3
S00094236,73,23,19,16,2,5,2,6
S00094616,34,7,7,11,4,2,0,3
S00094617,21,0,4,10,3,1,1,2
S00094742,57,13,21,17,5,0,0,1
S00094233,38,7,20,5,4,1,0,1
S00094234,77,3,16,17,23,15,1,2
S00094740,47,11,11,13,4,4,0,4
S00094741,32,6,13,1,4,7,0,1
S00094743,54,4,13,8,12,13,0,4
S00094745,67,43,18,3,0,0,0,3
S00094227,40,11,11,9,2,4,1,2
S00094228,67,17,32,13,0,2,0,3
S00094229,53,8,26,9,3,4,0,3
S00094230,51,11,19,9,5,4,0,3
S00094231,45,11,12,7,6,1,0,8
S00094232,41,7,25,5,0,3,0,1
S00094744,54,11,26,10,2,4,0,1
S00094223,64,14,9,24,7,7,0,3
S00094224,42,6,10,15,8,2,0,1
S00094225,76,20,20,19,6,5,0,6
S00094226,53,17,14,10,6,3,0,3
S00094613,42,7,26,3,1,1,0,4
S00094737,74,14,33,16,2,4,0,5
S00094203,42,25,6,4,3,3,0,1
S00094204,45,10,3,18,8,4,0,2
S00094205,49,12,10,8,8,6,1,4
S00094206,57,8,15,12,8,10,0,4
S00094207,49,4,5,14,13,5,4,4
S00094208,38,6,12,11,4,4,0,1
S00094209,57,7,8,26,11,3,1,1
S00094210,53,5,4,22,9,5,3,5
S00094211,34,2,5,10,4,12,0,1
S00094212,45,5,6,9,5,10,2,8
S00094213,42,31,2,8,0,1,0,0
S00094214,74,15,22,25,4,8,0,0
S00094215,46,8,27,7,1,1,1,1
S00094216,68,13,28,12,5,3,0,7
S00094738,23,5,4,5,5,3,0,1
S00094739,78,30,19,20,6,1,0,2
S00093999,57,12,12,25,4,0,0,4
S00094000,46,12,13,15,2,1,0,3
S00094001,30,7,4,19,0,0,0,0
S00094002,30,6,10,7,3,3,1,0
S00094003,28,4,8,7,5,3,1,0
S00094004,43,10,7,20,4,0,0,2
S00094005,57,14,10,28,3,0,0,2
S00094006,64,11,12,27,10,1,0,3
S00094007,58,4,11,34,5,0,1,3
S00094008,76,4,7,47,13,1,0,4
S00094009,31,10,2,15,3,0,0,1
S00094010,24,5,2,11,4,1,0,1
S00094026,41,5,8,19,8,0,0,1
S00094255,57,10,5,18,10,9,1,4
S00094260,36,3,1,25,7,0,0,0
S00094612,36,5,3,22,3,0,0,3
S00094614,34,2,4,22,3,2,0,1
S00094615,62,12,7,23,8,5,2,5
S00094618,57,8,8,31,5,1,1,3
S00094256,49,17,2,22,5,2,0,1
S00094257,58,10,3,32,9,1,0,3
S00094258,60,13,11,25,6,3,0,2
S00094259,79,23,19,24,7,1,0,5
S00094261,27,1,3,18,4,0,0,1
S00094623,24,3,1,14,4,2,0,0
S00094624,60,13,6,28,11,0,0,2
S00094749,46,8,6,25,2,1,1,3
S00094019,26,4,5,11,4,0,0,2
S00094020,67,15,12,33,3,0,0,4
S00094021,38,10,6,15,2,0,1,4
S00094022,61,9,9,26,9,2,0,6
S00094023,44,7,8,19,7,3,0,0
S00094633,32,4,4,18,4,1,0,1
S00094686,55,8,16,23,3,2,1,2
S00094687,46,14,11,13,6,1,1,0
S00094688,63,7,15,29,9,0,0,3
S00094689,32,7,2,23,0,0,0,0
S00094015,64,11,10,25,5,5,1,7
S00094016,55,10,7,20,7,7,0,4
S00094017,31,6,3,15,4,1,0,2
S00094018,77,12,11,36,10,5,1,2
S00094631,28,5,5,11,5,0,0,2
S00094685,61,10,11,31,8,0,0,1
S00094690,34,8,1,19,2,0,2,2
S00094024,40,7,10,19,3,0,1,0
S00094025,62,6,16,15,18,2,1,4
S00094027,74,14,7,41,6,0,0,6
S00094028,31,12,2,12,2,0,1,2
S00094029,53,9,10,19,10,3,1,1
S00094030,74,29,9,16,11,4,2,3
S00094031,54,8,10,21,8,2,2,3
S00093997,33,2,6,20,4,0,0,1
S00094013,71,10,11,28,10,9,2,1
S00094014,72,12,5,30,14,6,1,4
S00094331,67,10,21,12,9,6,3,6
S00094332,49,11,7,10,8,8,1,4
S00094683,70,8,5,36,12,4,1,4
S00094684,42,14,3,16,3,3,0,3
S00094333,68,10,5,33,11,5,1,3
S00094334,46,6,10,23,2,0,0,5
S00094754,53,6,4,33,5,2,0,3
S00094755,46,11,5,26,1,1,0,2
S00094756,23,4,2,9,7,1,0,0
S00094293,27,4,0,13,6,1,1,2
S00094294,54,29,8,15,0,0,0,2
S00094295,70,13,7,32,9,2,3,4
S00094296,40,9,8,15,4,1,1,2
S00094297,49,11,15,14,3,3,0,3
S00094298,40,7,5,20,4,0,1,3
S00094299,72,11,9,33,12,1,2,4
S00094330,38,9,11,9,4,2,0,3
S00094632,33,12,4,9,5,0,0,3
S00094750,37,5,12,9,7,0,0,4
S00094751,47,9,17,14,5,1,0,1
S00094301,73,16,10,25,12,4,0,6
S00094326,30,3,6,14,5,2,0,0
S00094328,68,5,12,19,20,3,3,6
S00094329,55,11,2,28,5,2,1,6
S00094752,26,1,0,11,9,2,2,1
S00094753,64,15,13,23,5,2,0,6
S00094308,70,15,14,28,6,1,1,5
S00094309,64,32,2,24,5,0,0,1
S00094314,55,13,16,18,4,3,0,1
S00094323,61,10,3,27,12,2,3,4
S00094324,41,6,8,14,6,1,1,5
S00094327,57,18,5,24,3,4,1,2
S00094315,64,8,21,5,13,15,1,1
S00094316,51,3,11,13,10,10,1,3
S00094317,44,4,17,4,2,12,0,5
S00094318,53,14,13,13,9,3,1,0
S00094320,66,6,11,14,10,12,1,12
S00094321,44,4,10,9,4,9,1,7
S00094322,41,8,9,11,5,6,0,2
S00094325,46,7,8,12,9,5,1,4
S00094012,38,3,3,17,7,2,3,3
S00094285,69,18,19,14,7,7,1,3
S00094300,46,8,8,22,6,2,0,0
S00094319,27,5,1,12,5,3,0,1
S00094630,35,1,9,9,6,8,0,2
S00094305,41,12,13,3,3,5,0,5
S00094306,41,7,20,5,1,4,0,4
S00094307,46,12,11,12,4,5,1,1
S00094311,47,10,9,12,10,6,0,0
S00094312,58,39,5,8,1,4,0,1
S00094313,43,9,19,6,7,0,1,1
S00094284,64,11,20,15,11,4,0,3
S00094302,56,14,19,7,1,6,0,9
S00094303,57,11,15,15,9,2,1,4
S00094304,46,16,5,14,2,4,0,5
S00094310,38,8,2,16,6,2,2,2
S00094628,34,7,7,13,4,0,0,3
S00094287,48,11,5,18,10,3,0,1
S00094288,46,3,7,4,13,9,3,7
S00094289,37,7,5,8,4,8,2,3
S00094292,50,1,20,5,9,8,1,6
S00094629,52,7,25,9,2,6,1,2
S00094280,60,8,11,22,14,2,0,3
S00094281,68,9,22,16,10,6,0,5
S00094282,58,9,21,8,10,4,1,5
S00094283,50,4,23,11,7,2,1,2
S00094286,62,7,11,20,11,8,1,4
S00094290,49,4,14,18,6,4,3,0
S00094291,31,5,10,9,3,4,0,0
S00094270,47,9,6,12,7,7,0,6
S00094271,48,9,16,3,6,9,0,5
S00094273,45,6,26,6,2,2,0,3
S00094274,34,6,14,5,4,0,1,4
S00094275,47,3,23,7,2,5,2,5
S00094276,31,2,7,13,3,3,0,3
S00094277,35,4,12,6,8,1,0,4
S00094278,62,10,20,19,5,3,0,5
S00094627,40,6,6,19,7,0,1,1
S00094265,50,4,9,18,8,7,2,2
S00094267,51,7,9,16,8,8,0,3
S00094268,48,8,12,8,10,5,0,5
S00094269,47,3,12,12,12,4,2,2
S00094279,66,7,13,24,11,4,3,4
S00094626,58,6,26,10,11,3,0,2
S00094011,74,17,14,26,11,4,0,2
S00094262,74,10,7,29,15,6,1,6
S00094263,49,8,7,19,9,6,0,0
S00094264,38,5,9,14,6,1,1,2
S00094266,67,8,8,30,13,3,0,5
S00094272,35,8,8,8,7,2,0,2
S00094625,37,5,7,19,4,0,1,1
S00135056,48,4,11,9,15,6,1,2
S00135057,50,12,14,13,6,1,0,4
S00135062,73,14,19,20,13,1,2,4
S00135257,38,6,9,6,9,2,0,6
S00135263,75,12,26,13,9,9,2,4
S00135054,49,8,6,15,9,3,3,5
S00135055,46,8,7,18,5,4,0,4
S00135058,72,16,22,13,9,6,1,5
S00135059,52,8,9,14,12,6,0,3
S00135060,52,15,9,10,10,4,0,4
S00135061,32,6,6,15,3,1,0,1
S00135063,73,15,18,21,11,3,0,5
S00135064,47,10,12,16,5,1,0,3
S00135065,47,7,6,18,9,3,0,4
S00135066,45,6,8,12,11,0,1,7
S00135067,38,11,4,10,9,1,0,3
S00135068,35,6,16,7,2,1,0,3
S00135070,54,3,9,17,17,3,0,5
S00135255,53,9,12,19,8,0,0,5
S00135266,78,6,26,16,8,13,1,8
S00135267,27,1,5,8,8,2,0,3
S00135268,31,2,3,17,5,1,0,3
S00135069,49,8,7,22,5,3,0,4
S00135071,35,3,6,7,10,4,0,5
S00135072,42,4,10,12,7,8,0,1
S00135073,33,3,12,8,3,4,1,2
S00135074,24,1,4,6,5,1,1,6
S00135075,42,5,12,13,6,0,1,5
S00135076,61,5,18,18,8,8,0,4
S00135077,40,6,5,13,12,1,1,2
S00135153,28,3,5,13,6,1,0,0
S00135154,56,7,5,13,16,5,2,8
S00135155,37,5,7,11,7,2,0,5
S00135156,37,3,6,14,5,3,1,5
S00135157,63,7,18,25,5,3,1,4
S00135158,56,10,10,23,10,0,1,2
S00135159,26,6,4,6,3,2,0,5
S00135160,65,4,26,10,8,15,0,2
S00135161,59,8,11,19,13,2,0,6
S00135248,65,10,11,23,18,1,1,1
S00135287,26,4,6,6,5,2,2,1
S00135288,69,7,13,19,22,2,1,5
S00135082,69,15,10,28,10,0,0,6
S00135083,56,13,10,13,7,2,3,8
S00135084,35,3,10,9,6,4,0,3
S00135085,51,13,9,18,9,0,0,2
S00135260,38,7,13,5,4,5,0,4
S00135302,54,6,7,28,7,0,1,5
S00135303,41,8,9,13,6,0,1,4
S00135078,38,8,7,13,5,0,0,5
S00135079,42,7,10,13,6,0,3,3
S00135080,55,17,13,13,6,1,0,5
S00135081,27,4,4,9,5,1,1,3
S00135086,46,10,13,15,4,2,0,2
S00135087,54,11,8,23,4,4,0,4
S00135088,22,1,2,8,7,3,0,1
S00135089,42,8,15,6,5,2,0,6
S00135090,43,6,9,18,7,2,0,1
S00135261,36,16,6,7,5,0,0,2
S00135304,42,13,2,18,3,0,0,6
S00135094,34,8,6,12,6,0,0,2
S00135095,34,11,6,10,1,0,0,6
S00135096,42,11,10,12,6,0,0,3
S00135097,29,6,4,15,3,0,0,1
S00135098,37,8,3,17,7,0,0,2
S00135099,44,10,7,12,11,1,1,2
S00135100,77,11,18,24,16,2,1,5
S00135262,53,7,14,14,10,1,1,6
S00135305,43,13,7,14,6,0,0,3
S00135306,42,7,9,15,6,0,1,4
S00135091,57,18,8,15,6,0,2,8
S00135092,57,8,17,18,2,7,0,5
S00135093,44,10,8,15,7,0,1,3
