rel..sa_id,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00094796,114,43,17,5,0,0,0,0,0,1,41,7
S00094797,78,25,16,4,1,0,0,0,0,1,26,5
S00094544,137,32,29,8,0,0,0,0,0,0,59,9
S00094548,72,35,8,7,0,0,0,0,0,0,14,8
S00094549,135,59,19,4,0,0,0,0,0,1,36,16
S00094550,52,21,7,2,0,0,0,0,0,0,16,6
S00094551,106,35,21,5,0,0,0,0,0,1,37,7
S00094090,167,71,14,19,0,0,0,0,0,0,58,5
S00094091,129,46,25,14,0,0,0,0,0,0,36,8
S00094092,164,85,9,10,0,0,0,0,0,0,45,15
S00094581,171,91,20,21,1,0,0,0,0,1,28,9
S00094584,108,45,15,6,1,0,0,0,0,0,38,3
S00094552,175,89,19,9,0,0,0,0,0,0,39,19
S00094553,129,71,16,4,0,0,3,0,0,0,24,11
S00094554,139,63,28,4,0,0,0,0,0,2,34,8
S00094555,112,35,20,7,1,0,0,0,0,1,42,6
S00094670,70,19,10,6,0,0,0,0,0,0,31,4
S00094586,122,56,2,11,0,0,0,0,0,0,42,11
S00094715,157,70,3,13,2,0,0,0,0,0,28,41
S00094716,158,56,17,15,0,0,0,0,0,2,59,9
S00094717,170,79,13,21,0,0,0,0,0,1,54,2
S00094718,110,32,10,12,0,0,0,0,0,0,50,6
S00094719,150,66,4,20,0,0,1,0,0,0,54,5
S00094720,58,25,0,9,0,0,0,0,0,0,20,4
S00094098,59,27,3,7,0,0,0,0,0,0,20,2
S00094099,128,72,8,5,1,0,0,0,0,1,34,7
S00094582,87,39,6,8,0,0,0,0,0,0,30,4
S00094583,105,50,6,9,1,0,0,0,0,1,31,7
S00094587,116,47,2,17,0,0,0,0,0,1,32,17
S00094721,62,26,3,6,0,0,0,0,0,0,22,5
S00094722,136,64,11,16,0,0,0,0,0,2,37,6
S00094093,108,45,6,19,0,0,0,0,0,0,27,11
S00094094,99,51,4,9,0,0,0,0,0,0,27,8
S00094095,142,65,6,10,0,1,0,0,0,0,54,6
S00094096,131,58,8,10,0,0,0,0,0,1,37,17
S00094097,120,50,17,10,0,0,0,0,0,0,34,9
S00094585,136,52,8,13,0,0,1,0,0,1,53,8
S00094085,136,51,18,12,0,0,0,0,0,0,42,13
S00094086,125,61,8,15,0,0,0,0,0,0,32,9
S00094087,89,47,11,3,0,0,0,0,0,0,21,7
S00094088,120,64,12,3,1,0,0,0,0,0,33,7
S00094713,143,59,11,16,1,0,0,0,0,2,49,5
S00094714,143,65,14,13,0,0,0,0,0,0,41,10
S00094078,167,51,14,16,0,0,0,0,0,2,72,12
S00094080,84,29,4,10,0,0,0,0,0,0,31,10
S00094083,104,34,8,9,0,0,0,0,0,0,42,11
S00094084,76,33,1,6,1,0,0,0,0,0,31,4
S00094089,109,43,8,5,0,1,0,0,0,0,43,9
S00094711,138,52,9,20,0,0,0,0,0,0,52,5
S00094712,108,38,25,6,0,0,0,0,0,0,36,3
S00093995,52,19,6,5,0,0,0,0,0,0,22,0
S00094069,79,26,8,14,0,0,0,0,0,1,17,13
S00094070,164,49,12,28,1,1,0,0,0,1,57,15
S00094071,121,42,46,9,0,0,0,0,0,0,18,6
S00094572,192,66,30,14,0,0,0,0,0,0,61,21
S00094709,72,28,6,3,1,0,0,0,0,0,27,7
S00094710,126,46,27,3,0,0,1,0,0,0,39,10
S00094077,117,46,4,11,0,0,2,0,0,0,41,13
S00094081,103,38,11,4,2,0,0,0,0,0,38,10
S00094082,147,60,9,21,0,0,0,0,0,0,43,14
S00094577,108,34,5,4,0,0,0,0,0,0,49,16
S00094578,113,33,18,18,0,0,0,0,0,0,36,8
S00094579,57,11,5,7,0,0,0,0,0,0,31,3
S00094072,79,12,9,11,0,0,0,0,0,0,43,4
S00094073,109,39,8,18,0,0,0,0,0,0,36,8
S00094074,72,37,3,8,0,0,0,0,0,0,23,1
S00094075,88,31,17,13,0,0,0,0,0,0,21,6
S00094076,109,40,5,10,0,0,0,0,0,1,47,6
S00094573,70,23,4,8,0,0,0,0,0,0,32,3
S00094574,128,64,2,10,0,0,0,0,0,1,44,7
S00094575,94,33,10,11,0,0,0,0,0,0,40,0
S00094576,59,8,4,2,0,0,0,0,0,1,40,4
S00094062,87,38,6,1,0,0,0,0,0,0,38,4
S00094063,114,52,6,4,0,0,0,0,0,0,42,10
S00094064,83,55,6,0,0,0,0,0,0,0,20,2
S00094065,116,64,6,1,0,0,0,0,0,1,37,7
S00094066,91,39,12,12,0,0,0,0,0,1,19,8
S00094067,86,31,13,3,0,0,0,0,1,0,24,14
S00094068,86,41,6,6,0,0,0,0,0,1,30,2
S00094571,106,47,6,0,0,0,1,0,0,0,33,19
S00094059,130,46,6,19,0,0,0,0,0,0,48,11
S00094060,162,75,12,12,1,0,0,0,0,0,41,21
S00094061,218,78,21,17,0,0,0,0,0,4,85,13
S00094700,104,33,6,9,1,0,0,0,0,0,44,11
S00094707,85,44,4,14,3,0,0,0,0,0,13,7
S00094708,71,24,6,11,0,0,0,0,0,0,26,4
S00094053,204,64,20,12,0,0,0,0,0,1,104,3
S00094054,74,18,6,7,0,0,0,0,0,0,37,6
S00094055,96,29,4,5,0,0,0,0,0,0,52,6
S00094056,134,41,6,18,2,0,0,0,0,0,45,22
S00094057,62,19,1,2,0,0,0,0,0,0,28,12
S00094701,81,17,3,6,1,0,0,0,0,0,46,8
S00094702,127,55,8,10,0,0,0,0,0,0,41,13
S00094703,114,48,7,10,0,0,0,0,0,0,39,10
S00094704,80,39,2,3,0,0,0,0,0,1,33,2
S00094058,121,27,12,11,1,0,1,0,0,0,57,12
S00094568,114,41,7,5,0,0,0,0,0,0,51,10
S00094570,137,31,3,11,1,0,0,0,0,0,75,16
S00094705,69,27,7,3,0,0,0,0,0,3,21,8
S00094706,194,85,23,13,0,0,0,2,0,2,62,7
S00094486,147,77,15,2,0,0,0,0,0,1,45,7
S00094487,142,73,9,4,0,0,0,0,0,0,40,16
S00094488,129,78,5,9,0,0,0,0,0,0,33,4
S00094489,132,54,7,5,0,0,0,0,0,1,42,23
S00094490,85,38,8,7,0,2,0,0,0,1,16,13
S00094491,63,30,3,8,0,0,0,0,0,1,16,5
S00094498,106,33,13,7,0,0,0,0,0,2,40,11
S00094499,136,37,13,8,0,0,0,0,0,0,58,20
S00094492,116,62,4,10,0,0,0,0,0,0,34,6
S00094493,79,45,2,0,0,0,0,0,0,0,31,1
S00094494,107,35,9,4,0,0,0,2,0,1,51,5
S00094496,146,63,8,20,0,0,0,0,0,0,38,17
S00094658,99,57,8,2,0,0,0,0,0,0,21,11
S00094659,70,35,4,9,0,0,0,0,0,0,19,3
S00094774,130,37,10,8,0,0,0,0,0,0,67,8
S00094775,114,55,9,8,0,0,0,0,0,0,34,8
S00094495,138,68,11,10,1,0,0,0,0,0,36,12
S00094497,106,32,13,5,0,0,0,0,0,1,35,20
S00094699,84,26,4,5,0,0,0,0,0,1,35,13
S00094773,107,55,3,13,0,0,0,0,0,2,22,12
S00094776,170,82,10,5,0,0,0,0,0,0,57,16
S00094777,70,28,8,2,0,0,0,3,0,0,27,2
S00094482,202,83,16,7,1,0,0,0,0,0,87,8
S00094483,124,52,10,5,0,0,0,0,0,1,49,7
S00094484,145,62,14,5,1,0,0,1,0,0,47,15
S00094656,53,24,7,2,1,0,0,0,0,0,18,1
S00094657,83,24,5,8,1,0,0,0,0,1,35,9
S00094478,143,54,11,12,1,0,0,0,0,0,50,15
S00094479,160,95,8,7,0,1,0,0,0,0,41,8
S00094480,81,46,5,3,1,0,0,0,0,0,22,4
S00094481,112,62,2,6,1,0,0,0,0,0,31,10
S00094485,95,34,10,4,0,0,1,2,0,1,30,13
S00094771,65,24,7,5,0,0,0,0,0,1,23,5
S00094772,86,36,2,8,1,0,0,0,0,1,29,9
S00094049,141,54,14,15,0,0,0,0,0,1,40,17
S00094050,119,48,9,10,0,1,0,0,0,0,31,20
S00094051,113,45,16,8,0,0,0,0,0,1,35,8
S00094052,141,46,5,15,0,0,0,0,0,0,63,12
S00094567,118,43,2,8,0,0,0,0,0,2,40,23
S00094697,52,28,3,5,0,0,0,0,0,0,15,1
S00094698,63,21,5,4,0,0,0,0,0,0,29,4
S00094044,148,72,6,16,0,0,0,0,0,1,39,14
S00094045,100,43,5,11,0,0,0,0,0,0,33,8
S00094046,172,62,19,14,0,0,0,0,0,0,65,12
S00094047,69,27,2,8,0,0,0,0,0,0,28,4
S00094048,106,44,8,9,2,0,0,0,0,0,32,11
S00094246,103,42,3,3,0,0,0,0,0,0,41,14
S00094247,161,70,8,10,0,0,0,0,0,1,61,11
S00094252,111,57,2,6,0,0,0,0,0,0,35,11
S00094253,78,33,7,12,0,0,0,0,0,0,16,10
S00094254,97,41,2,14,1,0,0,0,0,0,20,19
S00094620,97,58,7,0,1,0,0,0,0,0,26,5
S00094622,83,35,1,6,2,0,0,0,0,0,29,10
S00094248,96,65,7,1,2,0,0,0,0,1,16,4
S00094249,111,71,2,0,1,4,0,0,0,0,28,5
S00094250,100,55,11,9,0,0,0,0,0,0,21,4
S00094251,82,50,1,8,0,0,0,0,0,1,16,6
S00094621,60,30,3,3,0,0,0,0,0,0,21,3
S00094113,62,41,1,2,0,0,0,0,0,0,14,4
S00094114,134,48,5,8,4,0,0,0,0,0,60,9
S00094591,132,40,9,25,1,0,0,0,0,2,44,11
S00094103,75,32,0,6,0,0,0,0,0,1,26,10
S00094104,73,25,6,9,0,0,0,0,0,0,29,4
S00094110,88,32,6,11,0,0,0,0,0,0,29,10
S00094111,89,46,0,13,0,0,0,0,0,0,20,10
S00094112,150,68,13,3,0,3,1,0,0,0,48,14
S00094589,87,43,7,4,1,0,0,0,0,0,30,2
S00094590,103,45,5,5,0,4,0,0,0,0,42,2
S00094723,168,76,6,7,1,0,0,1,0,0,60,17
S00094101,150,92,2,11,0,0,0,0,0,0,38,7
S00094102,102,35,2,8,0,0,1,0,0,0,42,14
S00094105,127,85,7,6,1,0,0,0,0,0,26,2
S00094106,51,37,0,0,1,0,0,0,0,0,10,3
S00094107,71,47,3,2,0,0,0,0,0,0,16,3
S00094108,88,42,8,10,0,0,0,0,0,0,18,10
S00094109,95,62,0,2,0,0,0,0,0,0,27,4
S00094588,81,45,1,6,0,0,0,0,0,1,25,3
