pop..dz_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01009040,612,295,317,25,30,23,97,86,151,110,90
S01009041,800,400,400,35,54,32,92,118,208,143,118
S01009042,738,351,387,25,42,33,87,98,188,153,112
S01009043,596,258,338,19,49,31,53,74,168,128,74
S01009044,774,349,425,22,53,34,68,83,180,143,191
S01009045,599,284,315,27,41,34,57,55,169,129,87
S01009046,1078,513,565,60,120,100,131,116,298,156,97
S01009047,777,366,411,35,65,62,58,90,252,150,65
S01009048,789,385,404,34,45,61,69,68,218,208,86
S01009049,583,268,315,13,41,41,49,45,169,149,76
S01010504,580,294,286,29,36,38,52,50,166,154,55
S01010505,513,228,285,23,36,34,47,41,154,113,65
S01010506,875,415,460,37,62,64,66,82,281,198,85
S01010507,662,327,335,30,42,44,84,63,210,126,63
S01010508,1091,541,550,31,68,95,107,81,344,245,120
S01010509,1032,509,523,27,70,80,119,121,341,210,64
S01010524,518,250,268,21,29,29,44,49,143,150,53
S01010525,644,325,319,20,30,53,67,58,195,146,75
S01010526,770,381,389,39,60,40,70,78,216,161,106
S01010527,761,343,418,36,51,44,57,89,230,173,81
S01010528,636,327,309,33,52,55,67,73,202,116,38
S01010529,706,339,367,33,52,50,53,78,213,149,78
S01010530,674,341,333,16,46,41,52,67,205,172,75
S01010668,1070,538,532,25,69,57,81,121,295,292,130
S01010673,974,508,466,32,59,55,117,91,285,244,91
S01010674,988,479,509,41,67,78,109,103,278,222,90
S01010675,681,341,340,13,27,43,62,61,206,186,83
S01010676,955,466,489,38,58,50,92,95,273,244,105
S01010677,575,269,306,23,33,28,54,51,149,171,66
S01010678,668,342,326,28,50,27,64,75,206,149,69
S01010679,545,248,297,21,24,25,58,70,132,137,78
S01010680,597,278,319,38,43,23,72,66,136,144,75
S01010681,1117,535,582,55,97,87,172,140,307,190,69
S01010682,1048,541,507,39,88,88,103,96,309,238,87
S01010683,977,491,486,36,77,56,83,80,317,230,98
S01010684,741,354,387,19,26,42,55,45,228,219,107
S01010685,633,323,310,22,24,23,47,73,181,203,60
S01011171,823,423,400,23,46,35,72,61,200,270,116
S01011172,790,384,406,29,48,43,68,53,231,212,106
S01011173,569,270,299,16,46,17,54,32,127,153,124
S01011174,364,179,185,11,16,15,39,33,83,77,90
S01011175,559,251,308,18,37,53,59,49,165,118,60
S01011176,594,265,329,16,26,31,60,44,129,181,107
S01011177,810,401,409,35,42,39,87,101,204,190,112
S01013121,372,202,170,4,18,26,53,48,128,61,34
