health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00077440,306,134,107,33,23,9
E00077441,332,162,121,37,9,3
E00077442,375,172,146,40,13,4
E00077443,346,168,115,46,16,1
E00077444,284,133,101,36,12,2
E00077445,299,136,115,34,12,2
E00077446,376,202,124,41,6,3
E00077447,326,160,123,31,9,3
E00077448,343,193,108,33,8,1
E00077449,302,157,109,26,8,2
E00077450,172,53,54,38,21,6
E00077451,298,130,113,38,12,5
E00077452,357,227,91,33,5,1
E00077453,320,166,118,26,8,2
E00077454,257,93,101,36,22,5
E00077455,326,170,110,33,11,2
E00077456,327,163,93,43,24,4
E00077457,305,148,102,40,11,4
E00077458,384,220,116,35,13,0
E00077459,364,184,119,46,14,1
E00077460,388,203,133,40,10,2
E00077461,306,170,99,28,7,2
E00077462,332,172,115,34,8,3
E00077463,328,162,121,34,8,3
E00077464,351,233,91,18,8,1
E00077465,334,178,115,30,8,3
E00077466,341,170,104,46,16,5
E00077467,372,204,131,28,9,0
E00077468,316,132,111,56,8,9
E00077469,311,152,115,32,9,3
E00077470,326,174,114,27,9,2
E00077471,301,157,107,33,3,1
E00077472,348,165,139,36,5,3
E00077473,299,175,89,25,9,1
E00077474,354,193,114,33,9,5
E00077475,397,214,140,30,12,1
E00077477,370,203,118,40,8,1
E00077478,406,174,159,48,15,10
E00077479,413,191,158,48,10,6
E00077480,250,137,79,24,9,1
E00077481,289,177,74,28,8,2
E00077482,320,156,105,52,6,1
E00077483,346,184,119,27,12,4
E00077484,282,133,82,40,22,5
E00077485,325,141,137,32,11,4
E00077486,385,220,130,23,9,3
E00077487,354,197,107,39,9,2
E00077488,296,161,89,33,13,0
E00077489,421,226,138,38,15,4
E00077490,269,128,107,25,8,1
E00077491,295,148,104,35,5,3
E00077492,363,186,132,31,11,3
E00077493,510,281,170,40,15,4
E00077494,376,189,134,43,8,2
E00077495,350,204,116,25,5,0
E00077496,409,210,141,37,18,3
E00077497,137,11,42,54,23,7
E00077498,331,188,91,33,17,2
E00077499,374,154,122,67,23,8
E00077500,335,149,128,50,5,3
E00077501,267,119,102,30,14,2
E00077502,407,233,98,40,24,12
E00077503,325,168,105,38,14,0
E00077504,250,94,82,58,12,4
E00077505,278,128,99,42,6,3
E00077506,290,132,104,43,9,2
E00077507,317,149,105,43,15,5
E00077508,270,123,104,32,9,2
E00077521,324,160,114,34,13,3
E00077540,290,135,98,37,16,4
E00077541,234,100,79,39,15,1
E00077542,295,146,105,28,15,1
E00077543,257,81,124,40,9,3
E00077544,309,171,102,25,7,4
E00077545,265,123,91,38,11,2
E00077546,318,164,109,32,7,6
E00077547,370,204,136,23,5,2
E00077548,293,169,93,27,2,2
E00077549,310,142,122,31,10,5
E00077550,139,82,38,16,3,0
E00077551,245,77,85,50,22,11
E00077552,344,155,107,56,21,5
E00077553,339,171,101,50,13,4
E00077554,295,121,102,52,15,5
E00077555,310,138,111,44,15,2
E00077556,338,152,108,44,27,7
E00077557,231,75,65,53,25,13
E00077558,417,181,149,52,28,7
E00077559,353,155,114,50,24,10
E00077560,269,112,97,44,9,7
E00077561,278,90,94,61,30,3
E00077562,311,138,112,40,18,3
E00077563,258,77,104,57,17,3
E00077564,296,117,110,45,19,5
E00077565,279,92,93,54,32,8
E00077566,307,110,124,39,30,4
E00077567,358,157,87,69,38,7
E00077568,524,251,153,79,31,10
E00077569,243,87,70,46,36,4
E00077570,290,116,117,40,11,6
E00077571,232,76,91,46,14,5
E00077572,293,131,109,42,8,3
E00077573,267,96,108,45,13,5
E00077574,464,239,160,43,20,2
E00077575,312,168,108,25,9,2
E00077576,253,114,90,34,14,1
E00077577,232,111,87,28,6,0
E00077578,242,102,98,31,7,4
E00077579,233,103,96,29,2,3
E00077580,341,202,108,18,10,3
E00077581,250,113,87,36,12,2
E00077582,356,165,111,64,9,7
E00077583,389,200,138,38,12,1
E00077584,355,172,117,37,26,3
E00077585,363,200,128,28,5,2
E00077586,273,114,102,44,8,5
E00077587,310,156,112,35,3,4
E00077588,352,192,118,38,3,1
E00077589,324,173,115,31,5,0
E00077590,377,214,114,33,12,4
E00077591,358,193,119,32,10,4
E00077592,306,170,108,23,3,2
E00077593,307,176,96,25,9,1
E00077594,374,178,121,57,14,4
E00077595,259,111,76,49,19,4
E00077596,344,189,99,34,19,3
E00077597,306,149,91,37,16,13
E00077598,395,209,128,33,10,15
E00077599,367,173,125,53,10,6
E00077600,290,106,109,42,16,17
E00077601,275,149,102,17,6,1
E00077602,245,153,66,20,4,2
E00077603,418,172,155,69,13,9
E00077604,324,148,125,39,9,3
E00077605,277,107,81,72,14,3
E00077606,276,118,100,44,10,4
E00077607,415,227,132,41,13,2
E00077608,296,170,84,32,8,2
E00077609,285,147,91,38,5,4
E00077610,308,165,106,32,4,1
E00077611,331,171,102,48,6,4
E00077612,274,153,82,37,1,1
E00077613,341,181,120,30,8,2
E00077614,278,137,100,32,7,2
E00077615,282,142,100,25,12,3
E00077616,306,140,114,41,6,5
E00077617,319,185,101,20,11,2
E00077618,282,123,108,39,10,2
E00077619,254,100,112,33,8,1
E00077620,291,107,120,48,12,4
E00077621,313,158,103,42,9,1
E00077622,189,70,64,42,11,2
E00077623,483,270,166,35,10,2
E00077624,351,175,117,43,16,0
E00077625,282,120,130,26,3,3
E00077626,289,107,102,62,11,7
E00077627,268,126,91,37,12,2
E00077628,328,183,104,34,6,1
E00077629,302,132,93,49,16,12
E00077634,419,215,154,41,8,1
E00077638,332,166,108,42,12,4
E00077645,384,203,138,34,8,1
E00077647,449,227,164,39,15,4
E00077649,329,190,106,28,4,1
E00077650,335,172,106,42,10,5
E00077652,321,156,119,33,10,3
E00077653,373,224,106,29,10,4
E00077654,352,182,134,30,6,0
E00077655,396,262,90,31,10,3
E00077656,345,200,113,26,3,3
E00077659,321,143,118,50,9,1
E00077661,521,252,160,67,30,12
E00077662,297,132,113,28,16,8
E00077663,351,175,109,41,18,8
E00077664,343,196,116,20,9,2
E00077665,323,166,102,39,12,4
E00077666,294,125,93,57,15,4
E00077667,312,141,104,51,14,2
E00077668,400,173,158,55,10,4
E00077669,310,136,107,51,12,4
E00077670,238,70,67,62,36,3
E00077671,293,79,80,103,26,5
E00077672,445,171,159,81,27,7
E00077673,282,119,104,41,16,2
E00077674,319,145,98,60,9,7
E00077675,366,184,124,42,13,3
E00077676,361,197,109,33,19,3
E00077677,315,169,83,46,16,1
E00077678,325,149,111,43,21,1
E00077679,339,183,110,31,11,4
