pop..dz_id,pop..proportion_of_dz_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01009584,1,534,274,260,13,47,53,66,60,149,73,73
S01009585,0.99999999999967804,962,475,487,59,86,97,129,113,243,185,50
S01009586,0.99999999999910005,648,323,325,16,39,33,63,73,138,167,119
S01009587,0.99999999999455202,706,352,354,22,55,32,108,64,196,134,95
S01009588,1.00000000000003,1014,486,528,52,66,71,119,96,234,197,179
S01009589,0.99999999999997102,984,467,517,71,114,91,128,138,247,132,63
S01009590,0.99999999999842304,726,373,353,23,67,59,81,71,201,148,76
S01009591,1.0000000000004201,614,310,304,12,33,38,67,64,164,170,66
S01009592,1.00000000000109,534,256,278,15,23,22,41,39,133,179,82
S01009593,0.99999999999922096,605,300,305,35,33,39,63,59,184,141,51
S01009594,0.99928450219291898,669,327,342,15,54,52,81,58,226,146,37
S01009595,0.99999999999661104,467,222,245,24,25,46,59,43,167,79,24
S01009596,0.99999999999727696,751,371,380,50,77,60,100,117,185,118,44
S01009597,1.0000000000004601,809,392,417,60,109,70,131,115,173,121,30
S01009598,0.99999999999872802,647,325,322,35,72,54,88,67,170,123,38
S01009599,0.99999999999941103,802,369,433,30,63,56,114,89,218,180,52
S01009600,0.99999999999797695,578,261,317,29,52,38,70,77,135,105,72
S01009601,0.99999999999504396,630,337,293,33,51,38,93,84,167,133,31
S01009602,1.0000000000004201,683,342,341,22,53,44,76,49,235,162,42
S01009603,0.99999999999537803,527,279,248,19,30,30,52,46,162,149,39
S01009604,1.00000000000005,824,401,423,50,67,66,68,110,223,178,62
S01009605,1.0000000000001801,702,354,348,28,40,41,110,75,175,149,84
S01009606,0.99999999998815603,752,362,390,52,105,39,60,112,229,73,82
S01009607,1.00000000000056,788,366,422,39,52,39,98,80,198,154,128
S01009608,1.00000000000912,603,300,303,24,40,57,69,90,181,93,49
S01009609,0.99999999998283895,813,408,405,22,58,64,98,57,269,156,89
S01009610,0.99999999999731504,986,482,504,39,62,55,134,118,277,203,98
S01009611,0.35228500043523497,506,254,252,13,28,20,50,44,152,140,59
S01009612,0.86602778220859999,531,256,275,24,31,19,63,60,175,106,53
S01009613,0.85885351522577202,435,213,222,10,25,33,50,31,125,126,35
S01009614,0.37575960743258002,517,257,260,16,32,32,68,46,135,129,59
S01009662,2.0673993172003101E-2,727,348,379,23,58,46,83,74,215,158,70
S01009667,0.41490625901072697,593,296,297,22,39,32,66,50,177,134,73
S01009668,0.99999999999405498,596,276,320,21,66,45,48,66,201,104,45
S01009669,0.65479230218298101,523,254,269,18,39,23,53,47,138,116,89
S01009670,0.43834233458653898,773,351,422,30,53,34,88,61,205,184,118
S01009671,0.18877455343854399,639,326,313,27,41,53,47,79,206,131,55
S01009675,0.31438382805794501,833,408,425,28,49,34,97,58,266,225,76
S01011836,0.28072948374123902,878,448,430,32,69,65,65,75,262,225,85
