ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white,ethn..white_gypsy_or_irish_traveller,ethn..mixed_multiple_ethnic_group,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00109889,1.0000000000178499,143,141,0,0,0,0,0,1,0,1,0,141,1,1,0,0
S00109890,1.0000000000004201,128,128,0,0,0,0,0,0,0,0,0,128,0,0,0,0
S00109891,0.99999999999754596,134,131,0,1,0,0,0,0,0,2,0,131,2,0,1,0
S00109892,0.99999999999815203,137,137,0,0,0,0,0,0,0,0,0,137,0,0,0,0
S00109893,1.0000000000031399,120,119,0,0,0,0,0,0,0,1,0,119,1,0,0,0
S00109894,1.00000000000133,83,76,0,0,0,0,0,0,4,3,0,76,3,4,0,0
S00109895,1.0000000000015501,93,90,1,0,0,0,0,0,0,2,0,91,2,0,0,0
S00109896,0.99999999999904599,111,111,0,0,0,0,0,0,0,0,0,111,0,0,0,0
S00109897,1.0000000000028699,126,119,0,4,0,0,0,0,0,0,3,119,0,0,4,3
S00109898,0.99999999999877098,123,123,0,0,0,0,0,0,0,0,0,123,0,0,0,0
S00109899,1.00000000000053,92,87,0,0,0,1,0,0,4,0,0,87,0,5,0,0
S00109900,1.0000000000009399,97,97,0,0,0,0,0,0,0,0,0,97,0,0,0,0
S00109901,1.0000000000023099,150,146,0,0,4,0,0,0,0,0,0,146,0,4,0,0
S00109902,0.99999999999747402,115,115,0,0,0,0,0,0,0,0,0,115,0,0,0,0
S00109903,0.99999999999772804,116,116,0,0,0,0,0,0,0,0,0,116,0,0,0,0
S00109904,0.99999999991876698,75,74,0,0,0,1,0,0,0,0,0,74,0,1,0,0
S00109905,0.99999999999601297,115,108,0,1,0,5,0,0,0,1,0,108,1,5,1,0
S00109906,1.0000000000018401,86,86,0,0,0,0,0,0,0,0,0,86,0,0,0,0
S00109907,0.99999999999888201,109,109,0,0,0,0,0,0,0,0,0,109,0,0,0,0
S00109908,0.99999999998802402,117,117,0,0,0,0,0,0,0,0,0,117,0,0,0,0
S00109909,0.99999999999726197,119,118,0,0,0,1,0,0,0,0,0,118,0,1,0,0
S00109910,0.99999999999617295,92,89,0,1,0,0,0,1,0,1,0,89,1,1,1,0
S00109911,0.9999999999968,76,76,0,0,0,0,0,0,0,0,0,76,0,0,0,0
S00110250,1.00000000000392,62,62,0,0,0,0,0,0,0,0,0,62,0,0,0,0
S00110251,1.0000000000492799,168,155,0,2,1,0,0,10,0,0,0,155,0,11,2,0
S00110252,0.99999999999851696,97,97,0,0,0,0,0,0,0,0,0,97,0,0,0,0
S00110253,0.90823703286145596,88,84,0,0,0,0,0,3,0,1,0,84,1,3,0,0
S00110254,0.75819877237964395,134,133,0,0,0,0,0,1,0,0,0,133,0,1,0,0
S00110255,1.0000000000031799,131,127,3,1,0,0,0,0,0,0,0,130,0,0,1,0
S00110256,0.99999999998537603,189,189,0,0,0,0,0,0,0,0,0,189,0,0,0,0
S00110257,0.99999999999477596,134,134,0,0,0,0,0,0,0,0,0,134,0,0,0,0
S00110258,1.0000000000053,95,95,0,0,0,0,0,0,0,0,0,95,0,0,0,0
S00110259,1.0000000000028699,94,86,0,0,0,0,0,0,0,8,0,86,8,0,0,0
S00110260,0.99999999999878197,91,91,0,0,0,0,0,0,0,0,0,91,0,0,0,0
S00110261,0.99999999999446199,128,128,0,0,0,0,0,0,0,0,0,128,0,0,0,0
S00110262,0.99999999999204503,115,115,0,0,0,0,0,0,0,0,0,115,0,0,0,0
S00110263,0.99999999999595501,125,123,0,0,0,2,0,0,0,0,0,123,0,2,0,0
S00110264,0.99999999999349498,105,105,0,0,0,0,0,0,0,0,0,105,0,0,0,0
S00110265,0.99999999995761701,101,101,0,0,0,0,0,0,0,0,0,101,0,0,0,0
S00110266,0.99999999999148104,121,119,0,0,1,0,0,0,0,1,0,119,1,1,0,0
S00110267,0.99999999999585698,124,117,0,0,0,2,0,0,0,5,0,117,5,2,0,0
S00110268,0.99999999998836298,92,91,0,0,0,0,0,0,0,1,0,91,1,0,0,0
S00110269,0.99999999999507805,74,71,0,0,0,0,0,3,0,0,0,71,0,3,0,0
S00110270,0.99999999999470601,132,130,0,0,0,0,0,0,1,1,0,130,1,1,0,0
S00110271,0.99999999997618005,116,115,0,0,0,0,0,0,0,1,0,115,1,0,0,0
S00110272,1.0000000005194301,86,82,0,0,3,0,0,0,0,1,0,82,1,3,0,0
S00110273,1.00000000018779,138,137,0,0,0,0,0,0,1,0,0,137,0,1,0,0
S00110274,1.0000000000089,94,94,0,0,0,0,0,0,0,0,0,94,0,0,0,0
S00110275,1.00000000000108,63,63,0,0,0,0,0,0,0,0,0,63,0,0,0,0
S00110276,0.99324590351803599,181,177,3,0,0,1,0,0,0,0,0,180,0,1,0,0
S00110277,0.99999999999795097,131,131,0,0,0,0,0,0,0,0,0,131,0,0,0,0
S00110278,0.67562763135109305,119,119,0,0,0,0,0,0,0,0,0,119,0,0,0,0
S00110279,1.00000000000139,86,83,0,0,0,0,0,0,2,1,0,83,1,2,0,0
S00110280,0.99999999999691602,93,93,0,0,0,0,0,0,0,0,0,93,0,0,0,0
S00110281,0.99999999999960398,99,99,0,0,0,0,0,0,0,0,0,99,0,0,0,0
S00110282,1.00000001160984,68,68,0,0,0,0,0,0,0,0,0,68,0,0,0,0
S00110283,1.0000000001743099,113,113,0,0,0,0,0,0,0,0,0,113,0,0,0,0
S00110284,0.99999999999386102,102,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0
S00110285,0.99999999997015998,91,91,0,0,0,0,0,0,0,0,0,91,0,0,0,0
S00110286,1.00000000000578,124,122,0,2,0,0,0,0,0,0,0,122,0,0,2,0
S00110287,0.99999999987640797,99,97,0,0,0,0,0,0,0,2,0,97,2,0,0,0
S00110288,0.99999999999998401,181,181,0,0,0,0,0,0,0,0,0,181,0,0,0,0
S00110289,0.99999999999835099,177,177,0,0,0,0,0,0,0,0,0,177,0,0,0,0
S00110290,0.99999999999262701,120,119,0,0,0,0,0,0,0,0,1,119,0,0,0,1
S00110291,0.99999999999639699,123,123,0,0,0,0,0,0,0,0,0,123,0,0,0,0
S00110292,0.99999999999593203,146,142,4,0,0,0,0,0,0,0,0,146,0,0,0,0
S00110293,0.99999999999651401,156,156,0,0,0,0,0,0,0,0,0,156,0,0,0,0
S00110294,0.99999999999920997,133,130,0,0,0,3,0,0,0,0,0,130,0,3,0,0
S00110295,0.99999999999727096,132,130,0,0,0,0,0,0,2,0,0,130,0,2,0,0
S00110296,1.00000000001022,122,122,0,0,0,0,0,0,0,0,0,122,0,0,0,0
S00110297,0.99999999999621603,97,97,0,0,0,0,0,0,0,0,0,97,0,0,0,0
S00110298,1.00000000000219,167,163,0,0,1,0,0,0,3,0,0,163,0,4,0,0
S00110299,1.00000000000283,138,138,0,0,0,0,0,0,0,0,0,138,0,0,0,0
S00110300,0.99999999999870404,148,148,0,0,0,0,0,0,0,0,0,148,0,0,0,0
S00110301,0.999999999998329,120,120,0,0,0,0,0,0,0,0,0,120,0,0,0,0
S00110302,1.0000000000365701,125,125,0,0,0,0,0,0,0,0,0,125,0,0,0,0
S00110303,0.99999999996906896,98,98,0,0,0,0,0,0,0,0,0,98,0,0,0,0
S00110304,1.0000000000140301,102,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0
S00110305,1.00000000000634,126,124,0,1,0,0,0,0,0,0,1,124,0,0,1,1
S00110306,1.0000000000151399,148,144,0,0,0,0,0,0,0,4,0,144,4,0,0,0
S00110307,0.99999999999622402,88,87,0,0,0,0,0,0,0,0,1,87,0,0,0,1
S00110308,1.0000000000015801,141,139,0,0,0,0,0,0,0,2,0,139,2,0,0,0
S00110309,1.0000000003107199,124,124,0,0,0,0,0,0,0,0,0,124,0,0,0,0
S00110310,0.99999999999462597,91,87,0,0,2,2,0,0,0,0,0,87,0,4,0,0
S00110311,0.999999999999168,68,64,0,0,0,0,1,3,0,0,0,64,0,4,0,0
S00110312,0.99999999999817502,128,119,0,0,5,0,0,0,0,4,0,119,4,5,0,0
S00110313,0.999999999971114,150,148,1,0,0,0,0,0,0,1,0,149,1,0,0,0
S00110314,1.00000000000034,152,152,0,0,0,0,0,0,0,0,0,152,0,0,0,0
S00110315,1.0000000000374001,75,73,0,0,0,0,0,2,0,0,0,73,0,2,0,0
S00110316,1.00000000000078,148,148,0,0,0,0,0,0,0,0,0,148,0,0,0,0
S00110317,0.99999999996462996,137,131,0,0,0,0,0,6,0,0,0,131,0,6,0,0
S00110318,1.0000000000032401,128,128,0,0,0,0,0,0,0,0,0,128,0,0,0,0
S00110319,0.99999999999978295,96,96,0,0,0,0,0,0,0,0,0,96,0,0,0,0
S00110320,0.99999999998125699,171,167,0,0,0,0,0,0,0,4,0,167,4,0,0,0
S00110321,1.0000000000223299,92,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0
S00110322,1.0000000000840601,101,98,0,1,2,0,0,0,0,0,0,98,0,2,1,0
S00110323,0.99999999998519495,128,126,0,1,0,0,0,0,0,0,1,126,0,0,1,1
S00110324,1.0000000000284499,140,137,0,2,1,0,0,0,0,0,0,137,0,1,2,0
S00110325,0.99999999999809297,119,119,0,0,0,0,0,0,0,0,0,119,0,0,0,0
S00110326,1.000000000045,123,123,0,0,0,0,0,0,0,0,0,123,0,0,0,0
S00110327,0.99999999996246502,110,110,0,0,0,0,0,0,0,0,0,110,0,0,0,0
S00110328,1.0000000000109801,55,55,0,0,0,0,0,0,0,0,0,55,0,0,0,0
S00110329,1.00000000000413,62,61,0,0,0,0,0,0,0,1,0,61,1,0,0,0
S00110330,0.99999999997132805,121,121,0,0,0,0,0,0,0,0,0,121,0,0,0,0
S00110331,1.0000000000510101,204,196,4,0,0,1,3,0,0,0,0,200,0,4,0,0
S00110332,0.99999999998853295,202,202,0,0,0,0,0,0,0,0,0,202,0,0,0,0
S00110333,0.99999999999968303,119,117,0,1,0,0,0,0,1,0,0,117,0,1,1,0
S00110334,0.99999999999681999,89,89,0,0,0,0,0,0,0,0,0,89,0,0,0,0
S00110335,0.99999999999521505,84,84,0,0,0,0,0,0,0,0,0,84,0,0,0,0
S00110336,1.0000000000029601,177,176,0,0,0,0,1,0,0,0,0,176,0,1,0,0
S00110337,0.99999999999783795,140,138,0,0,0,0,0,0,0,1,1,138,1,0,0,1
S00110338,1.0000000000001501,143,143,0,0,0,0,0,0,0,0,0,143,0,0,0,0
S00110339,1.00000000000111,102,95,0,0,0,7,0,0,0,0,0,95,0,7,0,0
S00110340,1.0000000000063101,121,121,0,0,0,0,0,0,0,0,0,121,0,0,0,0
S00110341,1.0000000000137199,133,133,0,0,0,0,0,0,0,0,0,133,0,0,0,0
S00110342,1.00000000000217,92,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0
S00110343,0.99999999999980804,89,89,0,0,0,0,0,0,0,0,0,89,0,0,0,0
S00110344,0.99999999999905198,134,134,0,0,0,0,0,0,0,0,0,134,0,0,0,0
S00110345,0.99999999997366296,155,155,0,0,0,0,0,0,0,0,0,155,0,0,0,0
S00110346,1.0000000000043601,168,168,0,0,0,0,0,0,0,0,0,168,0,0,0,0
S00110347,1.0000000000004099,92,91,0,0,0,0,0,0,1,0,0,91,0,1,0,0
S00110348,0.99999999999798905,168,168,0,0,0,0,0,0,0,0,0,168,0,0,0,0
S00110349,0.99999999977457099,125,125,0,0,0,0,0,0,0,0,0,125,0,0,0,0
S00110350,0.99999999999727995,57,57,0,0,0,0,0,0,0,0,0,57,0,0,0,0
S00110351,1.00000000000225,145,145,0,0,0,0,0,0,0,0,0,145,0,0,0,0
S00110352,0.999999999999306,138,136,0,1,0,0,0,0,1,0,0,136,0,1,1,0
S00110353,0.99999999999899303,93,92,0,0,0,0,0,0,1,0,0,92,0,1,0,0
S00110372,0.99999999999971501,151,146,0,0,0,0,0,4,0,0,1,146,0,4,0,1
S00110373,0.99999972103570101,64,64,0,0,0,0,0,0,0,0,0,64,0,0,0,0
S00110374,0.99999999999099098,96,96,0,0,0,0,0,0,0,0,0,96,0,0,0,0
S00110375,1.00000000000722,93,82,0,0,0,9,0,0,0,2,0,82,2,9,0,0
S00110376,1.00000000001419,74,73,1,0,0,0,0,0,0,0,0,74,0,0,0,0
S00110377,1.00000000000163,87,87,0,0,0,0,0,0,0,0,0,87,0,0,0,0
S00110378,0.99999999999713096,103,102,0,0,0,0,0,0,0,1,0,102,1,0,0,0
S00110379,1.0000000000028899,116,115,0,1,0,0,0,0,0,0,0,115,0,0,1,0
S00110380,1.0000000000057301,110,110,0,0,0,0,0,0,0,0,0,110,0,0,0,0
S00110381,0.57798581514887903,151,147,0,3,0,0,0,0,0,1,0,147,1,0,3,0
S00110382,0.99999999999424305,101,100,0,0,0,1,0,0,0,0,0,100,0,1,0,0
S00110383,0.99999999999829203,82,80,0,1,0,0,0,0,0,1,0,80,1,0,1,0
S00110384,1.0000000000036999,95,95,0,0,0,0,0,0,0,0,0,95,0,0,0,0
S00110385,0.99999999999914801,128,128,0,0,0,0,0,0,0,0,0,128,0,0,0,0
S00110386,0.99999999960281805,120,117,0,2,0,0,0,0,0,1,0,117,1,0,2,0
S00110387,0.99999999998410405,98,98,0,0,0,0,0,0,0,0,0,98,0,0,0,0
S00110388,1.0000000000000999,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0
S00110389,0.99999999994931099,82,82,0,0,0,0,0,0,0,0,0,82,0,0,0,0
S00110390,0.99999999999660205,132,127,0,0,0,5,0,0,0,0,0,127,0,5,0,0
S00110391,1.00000000000474,86,86,0,0,0,0,0,0,0,0,0,86,0,0,0,0
S00110392,1.0000000001723599,145,135,2,0,0,8,0,0,0,0,0,137,0,8,0,0
S00110393,1.0000000000048801,118,118,0,0,0,0,0,0,0,0,0,118,0,0,0,0
S00110394,1.0000000000025799,134,134,0,0,0,0,0,0,0,0,0,134,0,0,0,0
S00110395,1.00000000000081,151,149,0,0,0,0,0,2,0,0,0,149,0,2,0,0
S00110567,0.99999999997435296,130,130,0,0,0,0,0,0,0,0,0,130,0,0,0,0
S00110568,0.99999999999443601,149,149,0,0,0,0,0,0,0,0,0,149,0,0,0,0
S00110569,0.99999999997468603,96,95,0,0,0,1,0,0,0,0,0,95,0,1,0,0
S00110570,0.60887587898829498,124,124,0,0,0,0,0,0,0,0,0,124,0,0,0,0
S00110571,0.999999999997776,98,98,0,0,0,0,0,0,0,0,0,98,0,0,0,0
S00110572,0.99999999978781795,180,160,0,0,8,12,0,0,0,0,0,160,0,20,0,0
S00110573,1.0000000000101501,153,144,0,0,0,9,0,0,0,0,0,144,0,9,0,0
S00110574,0.64293060684714598,129,128,0,1,0,0,0,0,0,0,0,128,0,0,1,0
S00110575,0.99999999999955103,99,98,0,0,0,1,0,0,0,0,0,98,0,1,0,0
S00110576,1.0000000000021101,124,122,0,1,0,0,0,1,0,0,0,122,0,1,1,0
S00110577,0.99999999991480004,102,100,0,0,0,0,0,0,2,0,0,100,0,2,0,0
S00110578,1.00000000000302,157,157,0,0,0,0,0,0,0,0,0,157,0,0,0,0
S00110579,0.99999999999985301,137,136,0,1,0,0,0,0,0,0,0,136,0,0,1,0
S00110580,1.0000000000009599,156,154,0,1,0,0,0,0,1,0,0,154,0,1,1,0
S00110581,0.99999999999863398,155,154,0,0,0,1,0,0,0,0,0,154,0,1,0,0
S00110582,0.99999999998915001,157,151,0,1,0,0,0,5,0,0,0,151,0,5,1,0
S00110583,1.00000000001497,124,123,0,0,0,0,0,0,0,1,0,123,1,0,0,0
S00110584,0.999999999996533,60,56,0,0,4,0,0,0,0,0,0,56,0,4,0,0
S00110585,0.99999999999369005,159,158,0,0,0,1,0,0,0,0,0,158,0,1,0,0
S00110586,0.99999999994030098,145,140,0,0,0,1,0,3,0,1,0,140,1,4,0,0
S00110587,0.99999999988940902,109,105,0,0,1,2,1,0,0,0,0,105,0,4,0,0
S00110588,0.99999999997392397,109,106,0,0,0,0,0,2,0,0,1,106,0,2,0,1
S00110589,0.99999999999469102,136,133,0,3,0,0,0,0,0,0,0,133,0,0,3,0
S00110590,0.99999999997286604,69,68,1,0,0,0,0,0,0,0,0,69,0,0,0,0
S00110591,0.99999999999776201,119,119,0,0,0,0,0,0,0,0,0,119,0,0,0,0
S00110592,1.00000000000839,110,107,0,0,0,0,3,0,0,0,0,107,0,3,0,0
S00110593,0.99999999999801603,136,131,0,0,2,3,0,0,0,0,0,131,0,5,0,0
S00110594,1.00000000000225,112,112,0,0,0,0,0,0,0,0,0,112,0,0,0,0
S00110595,0.99999999998189504,108,107,0,0,0,1,0,0,0,0,0,107,0,1,0,0
S00110596,0.99999999998210298,154,154,0,0,0,0,0,0,0,0,0,154,0,0,0,0
S00110597,1.00000000000249,107,107,0,0,0,0,0,0,0,0,0,107,0,0,0,0
S00110598,0.99999999999739497,114,114,0,0,0,0,0,0,0,0,0,114,0,0,0,0
