rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
A047221004,229,207,10,11,1
A047221005/047221006,260,235,9,15,1
A047221007,239,221,4,14,0
A047221008,227,205,7,14,1
A047221009,229,197,10,20,2
A047221010,311,252,22,35,2
A047221011,228,173,13,36,6
A047221012,276,213,19,40,4
A047221013,179,131,21,26,1
A047221014,175,106,43,23,3
A047221015,222,167,20,32,3
A047221016,211,146,19,42,4
A047221017,144,81,11,37,15
A047221018,239,162,24,41,12
A047221019,218,153,25,30,10
A047221020,239,150,34,29,26
A047222001,434,366,18,48,2
A047222002,349,259,22,67,1
A047222003,191,138,20,28,5
A047222004,406,323,44,36,3
A047222005,297,223,27,46,1
A047222006,234,157,20,47,10
A047222007,309,226,18,56,9
A047222008,251,160,35,43,13
A047222009,309,161,46,56,46
A047222010,252,113,48,47,44
A047222011,159,134,7,14,4
A047222012,170,127,14,19,10
A047223001/047223002,232,146,43,21,22
A047224001,284,223,12,48,1
A047224002,196,138,17,28,13
A047224003,165,96,17,15,37
A047224004,195,139,12,31,13
A047226001,181,96,36,30,19
A047227001,356,269,37,45,5
A047227002,235,222,10,1,2
A047227003,197,183,4,8,2
A047227004,225,198,7,16,4
A047227005,313,257,18,35,3
A047229001,221,192,15,11,3
A047229002,250,224,13,12,1
A047229003,263,218,11,29,5
A047229004,270,241,9,18,2
A047229005,226,196,11,17,2
A047230001,168,161,3,1,3
A047230002,219,208,4,6,1
A047231001,211,200,3,6,2
A047232001,282,244,6,25,7
A047232002,266,226,23,17,0
A047232003,360,312,18,26,4
A047233001,315,285,7,22,1
A047233002,239,212,3,22,2
A047234001,308,265,22,18,3
A047234002,394,326,48,17,3
A047235001,333,259,41,32,1
A047235002,201,144,42,12,3
A047235003,193,161,13,19,0
A047235004,150,117,11,21,1
A047235005,186,156,17,11,2
A047235006,290,253,17,17,3
A047235007,229,182,12,24,11
A047235008,347,274,35,32,6
A047235009,215,192,8,11,4
A047235010,219,190,7,17,5
A047235011,266,219,28,16,3
A047235012,194,170,7,11,6
A047235013,383,297,34,41,11
A047235014,294,248,20,23,3
A047235015,225,183,8,33,1
A047235016,230,188,13,27,2
A047235017,259,188,22,40,9
A047235018,386,298,43,41,4
A047235019,233,175,17,37,4
A047235020,329,271,21,37,0
A047235021,287,254,11,22,0
A047235022,388,328,30,28,2
A047235023,250,220,7,23,0
A047235024,257,202,36,18,1
A047235024,257,202,36,18,1
A047235025,281,249,16,13,3
A047235026,329,269,27,29,4
A047235026,329,269,27,29,4
A047235027,270,232,19,15,4
A047235028,397,317,47,30,3
A047235029,214,145,37,32,0
A047235030,349,256,50,39,4
A047235031,365,284,36,31,14
A047235032,182,166,12,4,0
A047235033,308,268,12,21,7
A047235034,354,301,12,25,16
A047236001,258,86,156,7,9
A047236002,146,118,9,14,5
A047238001,283,197,44,28,14
A047238002,387,303,44,38,2
A047239001,195,170,7,17,1
A047239002,319,248,28,43,0
A047239003,233,178,19,31,5
A047239004,332,274,28,25,5
A047239005,431,305,58,58,10
A047239006,394,320,47,24,3
A047239007,388,322,34,27,5
A047239008,356,329,8,17,2
A047239009,270,253,5,11,1
A047239010,323,298,5,16,4
A047239011,234,183,30,17,4
A047239012,257,233,12,12,0
A047239013,292,237,19,29,7
A047239014,292,239,19,32,2
A047239015,294,251,19,23,1
A047239015,294,251,19,23,1
A047240001,233,179,15,37,2
A047240002,297,228,48,16,5
A047240003,447,360,22,58,7
A047241001,236,194,22,20,0
A047241002/047241003/047241004,277,224,27,25,1
A047242001,290,226,33,30,1
A047242002,354,253,43,55,3
A047242003,313,264,22,27,0
A047243001,230,166,43,21,0
A047243002/047243004,254,222,10,21,1
A047243003,341,304,13,21,3
A047243005,270,237,12,14,7
A047243006,477,417,13,41,6
A047243007,249,230,8,8,3
A047243010,246,215,9,17,5
A047243011,305,279,4,13,9
A047243012,319,278,11,24,6
A047243013,201,135,15,15,36
A047243016,181,160,0,18,3
A047243017,131,97,6,8,20
A047243018,293,265,9,19,0
A047244001,304,264,12,20,8
A047244002,330,286,18,23,3
A047244003,234,212,10,8,4
A047244004,151,125,14,7,5
A047244005,184,165,12,6,1
A047245001,298,268,18,10,2
A047245002,306,256,23,21,6
A047245003,339,294,10,27,8
A047245004,201,171,10,17,3
A047245004,201,171,10,17,3
A047245005,164,147,5,9,3
A047245006,235,206,10,17,2
A047245007,209,183,5,18,3
A047245008,158,146,4,7,1
A047245009,240,210,13,17,0
A047245010,249,222,5,16,6
A047245011,193,167,9,16,1
A047245012,289,259,8,16,6
A047245013,356,318,15,18,5
A047245014,291,269,1,18,3
A047246001,444,307,104,20,13
A047246002,523,424,62,32,5
A047246003,233,169,29,33,2
A047246004,321,249,37,28,7
A047246005,301,207,69,15,10
A047246006,204,145,42,15,2
A047246007,324,238,40,25,21
A047246008,303,274,9,15,5
A047246009,154,146,6,2,0
A047246010,290,252,10,23,5
A047246011,294,261,16,15,2
A047246012,288,240,15,20,13
A047247001,248,232,6,10,0
A047247002,327,295,14,16,2
A047249001,107,68,26,12,1
A047249002,404,370,10,14,10
A047250001,271,250,6,11,4
A047250002,219,189,17,12,1
A047250003,240,212,14,9,5
A047250004,163,133,20,8,2
A047250005,161,137,11,13,0
A047250006,226,198,12,14,2
A047250007,187,140,16,23,8
A047250008,300,255,22,21,2
A047250009,283,246,16,18,3
A047250010,387,346,8,28,5
A047251001,254,226,10,16,2
A047251002,193,168,5,19,1
A047253001,239,213,7,13,6
A047253002,233,216,5,11,1
A047253002,233,216,5,11,1
A047253003,458,332,27,56,43
A047253004,293,257,13,18,5
A047253005,188,158,10,19,1
A047253006,379,317,3,44,15
A047253007,319,271,16,24,8
A047253008,292,251,7,28,6
A047253009,219,143,23,45,8
A047253010,154,103,15,34,2
A047253011,267,256,5,5,1
A047253012,194,175,11,6,2
A047253013,309,253,23,33,0
A047253014,303,260,17,20,6
A047253015,245,165,42,29,9
A047253016,411,355,17,24,15
A047253017,357,257,51,44,5
A047253018,327,269,17,35,6
A047253019,336,287,12,21,16
A047253020,261,206,26,24,5
A047253021,299,229,28,34,8
A047253022,178,133,13,24,8
A047253023,253,208,13,32,0
A047253024,272,225,20,21,6
A047253025,314,246,34,34,0
A047253026,246,211,12,17,6
A047253027,396,318,27,35,16
A047253028,320,259,21,36,4
A047254001,365,281,40,39,5
A047254002,323,290,8,20,5
A047254003,378,307,40,21,10
A047254004,226,153,30,27,16
A047254005,401,281,63,28,29
A047254006,377,280,43,51,3
A047254007,297,196,34,51,16
A047254008,256,196,23,30,7
A047254009,378,315,33,28,2
A047254010,312,265,23,22,2
A047254011,247,197,14,32,4
A047254012,276,190,58,19,9
A047254013,259,216,24,16,3
A047254014,176,116,21,29,10
A047254015,369,268,41,50,10
A047254016,206,169,16,17,4
A047254017,265,240,7,14,4
A047255001,133,101,7,23,2
A047256001,182,157,8,11,6
A047256002,174,153,5,14,2
A047256003,339,240,30,38,31
A047257001,269,200,28,37,4
A047257002,231,120,39,30,42
A047259001,222,197,10,13,2
A047259002,285,265,4,14,2
A047259003,245,228,5,9,3
A047260001,256,196,28,19,13
A047260002,226,204,4,17,1
A047260003,267,202,51,8,6
A047260004,211,186,5,11,9
A047261001,207,180,4,16,7
A047261002,178,157,8,12,1
A047261003,234,199,17,15,3
A047261004,311,288,8,14,1
A047262001,205,174,18,11,2
A047262002,377,339,10,22,6
A047262003,292,259,4,23,6
A047263001,228,187,20,18,3
A047263002,171,159,6,5,1
A047263003,271,233,10,24,4
A047263004,201,185,3,13,0
A047263005,187,161,6,14,6
A047263006,153,137,0,13,3
A047264001,232,191,19,21,1
A047264002,335,269,29,36,1
A047265001,302,239,31,32,0
A047265002,217,167,14,28,8
A047265003,254,221,9,20,4
A047265004,211,188,7,10,6
A047265005/047265006/047265007/047265008,229,195,11,18,5
A047266001,203,186,6,7,4
A047267001/047267003,252,216,18,18,0
A047267002,269,226,23,19,1
A047267004,281,249,5,25,2
A047267005,208,196,3,9,0
A047267006,206,176,9,21,0
A047267007,220,191,13,16,0
A047267008,301,272,15,10,4
A047268001,171,128,24,15,4
A047268002,162,128,10,23,1
A047268003,129,102,10,17,0
A047269001,191,147,17,27,0
A047270001,94,73,14,7,0
A047270002,86,74,2,10,0
A047270003,249,229,3,15,2
A047270004,223,209,6,6,2
A047270005,275,264,0,11,0
A047270006,277,267,4,6,0
A047270007,351,331,4,15,1
A047270008,75,65,7,2,1
A047270009,68,63,2,3,0
A047271001,365,332,16,17,0
A047271002,276,264,4,7,1
A047271003,265,250,8,6,1
A047271004,316,258,23,30,5
A047271005,293,237,19,32,5
A047271006,196,176,2,11,7
A047271007,234,207,7,20,0
A047271008,207,190,4,8,5
A047271009,313,258,8,39,8
A047271010,171,119,23,25,4
A047271011,393,311,17,38,27
A047271012,291,242,18,29,2
A047271013,244,177,26,33,8
A047271014,238,204,10,20,4
A047271015,301,241,19,41,0
A047271016,267,203,29,28,7
A047271017,330,252,13,64,1
A047271018,216,187,16,12,1
A047271019,327,262,26,38,1
A047271020,305,258,8,38,1
A047271021,146,108,15,21,2
A047273001,162,116,20,21,5
A047273002,328,259,33,36,0
A047273003,339,260,31,42,6
A047274001,205,130,48,26,1
A047274002,297,224,32,40,1
A047274003/047274004,216,167,22,26,1
A047275001,202,143,26,30,3
A047275002,230,190,21,17,2
A047275003,229,187,19,23,0
A047277001,297,242,9,41,5
A047277002,277,250,3,19,5
A047277003,272,264,1,7,0
A047277004,220,212,2,6,0
A047277005,392,363,11,17,1
A047277006,122,88,8,24,2
A047277007,217,169,8,33,7
A047277008,141,110,6,23,2
A047277009,268,216,30,14,8
A047277010,261,223,11,23,4
A047277011,181,120,31,29,1
A047277012,183,174,5,2,2
A047277013,371,300,22,34,15
A047277014,366,292,44,30,0
A047277015,427,332,35,38,22
A047277016,237,191,14,25,7
A047277017,290,254,13,21,2
A047277018,442,372,30,15,25
A047277019,349,291,10,43,5
A047277020,232,196,10,25,1
A047277021,279,262,11,5,1
A047277022,336,307,9,20,0
A047277023,392,361,6,25,0
A047277024,485,439,8,34,4
A047277025,284,245,9,25,5
A047277026,294,260,15,17,2
A047277027,332,299,6,25,2
A047277028,209,166,4,34,5
A047278001,313,268,14,28,3
A047278002,271,242,14,15,0
A047278003,306,268,15,23,0
A047278004,269,239,2,15,13
A047278005,329,290,11,20,8
A047278006,392,333,16,33,10
A047278007,306,277,10,18,1
A047278008,209,180,7,21,1
A047278009,217,185,15,15,2
A047279001,403,350,13,38,2
A047279002,154,115,9,26,4
A047279003,272,231,5,33,3
A047279004,179,135,12,28,4
A047279005,359,301,20,36,2
A047279006,377,319,26,31,1
A047279007,287,230,26,27,4
A047279008,234,197,18,19,0
A047279009,204,174,11,17,2
A047279010,188,163,6,16,3
A047279011,243,204,19,15,5
A047279012,233,210,8,13,2
A047279013,262,238,11,12,1
A047279014,231,206,13,11,1
A047279015,355,312,11,25,7
A047279016,286,259,3,21,3
A047280001,250,186,27,28,9
A047280002,211,170,15,23,3
A047282001,194,149,7,32,6
A047282002,386,288,45,49,4
A047282003,275,250,15,8,2
A047282004,205,163,22,11,9
A047282005/047282006,245,190,20,35,0
A047283001,237,206,10,15,6
A047284001,511,403,28,44,36
A047284002,332,276,19,28,9
A047284003,260,224,15,19,2
A047284004,240,216,7,16,1
A047285001,218,200,7,11,0
A047286001,187,174,7,5,1
A047286002,171,152,4,12,3
A047287001,109,93,8,8,0
A047287002/047287003,232,197,6,23,6
A047288001,142,109,14,19,0
A047288002,136,110,8,14,4
A047288003,373,302,27,39,5
A047289001,343,265,32,45,1
A047289002,389,331,21,35,2
A047290001,327,265,18,39,5
A047290002,277,239,10,22,6
A047293001,172,145,15,11,1
A047293002,148,95,22,31,0
A047293003,150,108,15,22,5
A047293004,250,220,18,10,2
A047293005,191,175,3,13,0
A047293006,189,170,9,7,3
A047294001,84,62,9,13,0
A047294002,93,65,7,20,1
A047294003,195,162,18,14,1
A047294004,183,160,5,15,3
A047294005,183,172,2,7,2
A047294006,191,181,10,0,0
A047294007,162,123,14,23,2
A047294008,169,138,19,10,2
A047294009,276,238,9,23,6
A047294010,182,117,37,26,2
A047294011,180,136,10,34,0
A047294012,238,167,41,28,2
A047294013,255,172,49,32,2
A047295001/047295009,188,153,10,24,1
A047295002,288,196,29,45,18
A047295003,265,187,18,39,21
A047295004,154,102,18,29,5
A047295005,145,108,14,18,5
A047295006,205,160,28,17,0
A047295007/047295008,272,214,20,30,8
A047297001,120,79,19,17,5
A047297002,134,108,12,6,8
A047298001,132,76,29,23,4
A047298002,186,126,17,43,0
A047298003,148,115,9,24,0
A047298004,106,70,8,27,1
A047298005,180,123,16,36,5
A047298006,134,87,11,32,4
A047298007,95,51,15,28,1
A047298008,204,118,33,52,1
A047298009,358,314,26,13,5
A047298010,238,194,8,34,2
A047298011,255,218,8,26,3
A047298012,273,257,10,5,1
A047298013,344,315,10,15,4
A047298014,321,253,52,7,9
A047298015,435,352,17,52,14
A047298016,182,157,4,15,6
A047300001,416,365,14,32,5
A047300002,218,204,2,12,0
A047300003,229,199,11,14,5
A047300004,393,360,5,21,7
A047301001,396,356,13,20,7
A047301002,338,283,35,8,12
A047302001,356,332,7,12,5
A047302002,264,239,5,15,5
A047303001,326,303,8,14,1
A047303002,427,387,15,18,7
A047303003,397,333,45,7,12
A047303004,465,379,61,18,7
A047303005,94,65,2,26,1
A047303006,310,218,57,26,9
A047303007,261,200,35,24,2
A047303008,160,142,10,5,3
A047303009,184,161,7,9,7
A047303010,269,231,8,26,4
A047303011,324,272,17,35,0
A047303012,277,239,12,24,2
A047303013,349,302,25,22,0
A047303014,367,276,41,46,4
A047303015,163,110,16,32,5
A047303016,184,124,29,25,6
A047303017,109,78,10,18,3
A047303018,108,61,12,28,7
A047304001,226,156,16,44,10
A047304002,217,159,6,47,5
A047304003,267,194,22,48,3
A047305001,254,196,25,32,1
A047306001,125,77,15,33,0
A047306002,154,98,22,33,1
A047306003,151,96,24,30,1
A047308001,230,153,35,38,4
A047308002,201,152,9,39,1
A047309001,190,152,8,28,2
A047309002/047309004,191,135,20,36,0
A047309003,215,163,22,26,4
A047310001,260,192,54,14,0
A047310002,292,243,33,15,1
A047310003,246,207,31,8,0
A047312001/047312003/047312004,220,188,14,13,5
A047312002/047312005,263,222,22,16,3
A047313001/047313004,307,293,7,5,2
A047313002,328,276,24,20,8
A047313003,268,212,22,32,2
A047313005,207,178,8,6,15
A047313006,310,241,26,21,22
A047313007/047313008/047313009,244,203,9,20,12
A047314001,355,266,31,56,2
A047314002,181,162,9,9,1
A047316001,107,54,19,29,5
A047317001,79,56,15,8,0
A047317002,181,152,8,19,2
A047317003,112,66,15,25,6
A047318001,119,84,11,20,4
A047318002,86,50,14,21,1
A047318003,83,37,15,27,4
A047318004,157,109,13,33,2
A047318005,204,193,2,8,1
A047320001,203,196,1,5,1
A047320002,203,174,14,8,7
A047320003,207,184,7,15,1
A047320004,187,161,7,17,2
A047320005,266,233,9,22,2
A047320006,280,259,11,9,1
A047320007,260,207,15,25,13
A047320008,233,212,4,17,0
A047320009,433,371,17,39,6
A047320010,267,214,17,25,11
A047321001,257,235,4,14,4
A047321002,279,221,13,29,16
A047322001,234,209,8,11,6
A047322002,277,226,14,27,10
A047322003,311,260,6,22,23
A047322004,427,382,11,29,5
A047322005,438,408,9,18,3
A047323001,223,207,2,9,5
A047323002,295,273,9,12,1
A047323003,215,201,0,13,1
A047323004,300,273,2,20,5
A047323005,248,235,5,6,2
A047323006,266,247,4,12,3
A047323007,190,156,12,20,2
A047323008,184,131,43,10,0
A047323009,231,205,8,18,0
A047323010,321,244,18,59,0
A047323011,402,350,22,29,1
A047323012/047323013,172,128,13,31,0
A047323014,138,121,1,14,2
A047323015,130,113,4,9,4
A047323016,288,227,21,39,1
A047323017,139,104,6,27,2
A047323018,243,200,15,21,7
A047323019,231,192,10,25,4
A047323020,341,289,18,31,3
A047323021/047323022,272,248,9,14,1
A047323021/047323022,272,248,9,14,1
A047323023,319,269,18,32,0
A047323024,247,189,32,26,0
A047323025,157,98,37,18,4
A047323026,110,78,8,24,0
A047323027,150,111,5,32,2
A047323028,263,244,3,13,3
A047323029,174,148,3,23,0
A047323030,127,87,24,16,0
A047323031,178,146,19,11,2
A047323032,206,166,19,17,4
A047323033,354,324,10,18,2
A047323034/047323035,216,203,5,8,0
A047324001,150,117,17,15,1
A047324002,113,101,2,9,1
A047324003,307,279,10,18,0
A047324004,188,159,21,4,4
A047324005,244,196,10,35,3
A047324006,212,183,10,18,1
A047324007,268,230,16,18,4
A047324008,152,138,3,10,1
A047324009,275,244,3,28,0
A047324010,170,137,12,19,2
A047324011,279,229,27,23,0
A047324012,235,200,8,26,1
A047324013,155,108,9,34,4
A047324014,182,107,23,48,4
A047324015,234,184,32,17,1
A047324016,312,281,14,4,13
A047324017,254,214,20,13,7
A047324018,275,235,14,21,5
A047324019,270,227,25,12,6
A047324020,312,268,17,21,6
A047324021,150,127,12,8,3
A047324022,277,232,25,14,6
A047324023,250,185,33,22,10
A047324024,283,237,31,12,3
A047324025,238,211,18,8,1
A047325001,293,237,23,32,1
A047325002,274,242,17,14,1
A047325003,231,214,5,10,2
A047325004,111,80,18,8,5
A047325005,164,125,14,8,17
A047325006,161,113,12,25,11
A047325007,174,156,5,13,0
A047325008,252,236,5,7,4
A047325009,404,384,7,9,4
A047325010,188,127,38,13,10
A048001001,128,69,40,10,9
A048001002,225,178,22,14,11
A048001003,315,219,56,33,7
A048001004,280,219,45,10,6
A048002001,231,176,30,21,4
A048002002,190,117,54,18,1
A048002003,159,108,33,16,2
A048002004,154,135,9,9,1
A048002005,250,217,17,11,5
A048002006,269,231,26,8,4
A048002007,131,109,15,7,0
A048003001,119,73,27,14,5
A048003002,267,188,45,28,6
A048003003,227,186,25,15,1
A048003004,227,181,8,36,2
A048003005,198,141,18,37,2
A048003006,165,115,9,41,0
A048004001,196,115,27,48,6
A048004002,276,234,8,32,2
A048004003,328,241,26,58,3
A048005001,256,209,7,38,2
A048005002,233,201,10,18,4
A048005003,270,212,28,29,1
A048005004,189,140,13,32,4
A048006001,205,169,4,26,6
A048006001,205,169,4,26,6
A048006002,275,201,18,54,2
A048006003,245,205,5,33,2
A048006004,233,195,8,30,0
A048006005,216,183,5,28,0
A048006006,250,205,13,30,2
A048006007,255,205,7,41,2
A048007001,235,198,15,14,8
A048007002,225,198,4,16,7
A048007003,202,191,1,8,2
A048007004,182,161,5,13,3
A048007005,244,232,5,6,1
A048007006,188,166,3,14,5
A048007007,192,179,7,5,1
A048007008,273,133,34,87,19
A048007009,196,104,28,42,22
A048008001,316,223,29,50,14
A048008002,360,193,48,100,19
A048008003,313,165,50,90,8
A048008004,198,133,20,42,3
A048008005,339,250,22,61,6
A048008006,228,181,12,34,1
A048008007,279,219,13,41,6
A048008008,214,165,13,33,3
A048008009,139,109,10,17,3
A048008010,168,142,15,11,0
A048008011,156,126,5,25,0
A048008012,360,311,17,13,19
A048008013,188,157,12,14,5
A048008014,196,151,20,25,0
A048008015,234,201,12,17,4
A048008016,268,210,22,34,2
A048009001,196,154,22,19,1
A048009002,211,166,18,19,8
A048009003,241,197,7,37,0
A048009004,346,292,8,44,2
A048009005,262,244,7,10,1
A048009006,285,244,6,34,1
A048009007,329,263,18,44,4
A048009008,205,179,8,14,4
A048009009,275,217,25,27,6
A048009010,188,165,7,13,3
A048009011,999,812,86,59,42
A048009012,268,218,20,29,1
A048010001,295,247,25,20,3
A048010002,257,196,16,42,3
A048010003,300,237,19,43,1
A048010004,269,193,40,35,1
A048010005,242,172,28,37,5
A048010006,260,202,38,19,1
A048011001,254,184,38,30,2
A048011002,234,165,42,24,3
A048011003,349,221,82,45,1
A048011004,264,173,56,35,0
A048012001,293,222,29,39,3
A048012002,285,244,6,33,2
A048012003,261,200,24,32,5
A048012004,228,162,43,19,4
A048012005/048012006,314,263,29,22,0
A048012005/048012006,314,263,29,22,0
A048012007,214,149,26,27,12
A048012008,210,168,9,32,1
A048012009,246,208,17,21,0
A048012010,272,237,8,25,2
A048012011,262,218,20,22,2
A048013001,288,226,16,45,1
A048013002,191,143,16,27,5
A048013003,167,137,8,19,3
A048013004,158,112,13,18,15
A048013005,174,127,19,10,18
A048014001,398,262,74,36,26
A048014002,342,183,42,97,20
A048014003,161,102,9,47,3
A048014004,239,186,17,34,2
A048015001,82,70,4,7,1
A048015002,100,83,9,7,1
A048015003,143,74,26,35,8
A048015004,160,72,24,64,0
A048015005,180,88,33,56,3
A048015006,220,89,71,52,8
A048015007,160,67,30,55,8
A048015008,158,137,8,13,0
A048015009,211,185,14,12,0
A048015009,211,185,14,12,0
A048016001,207,175,10,22,0
A048016002,226,191,8,23,4
A048016003,242,199,12,28,3
A048016004,133,68,21,41,3
A048016005,384,166,89,87,42
A048016006,133,41,25,53,14
A048017001,218,85,34,78,21
A048017002,139,55,36,23,25
A048017003,328,249,25,37,17
A048018001,254,109,58,74,13
A048018002,117,54,45,10,8
A048018003,191,114,37,32,8
A048018004,328,122,56,109,41
A048018005,202,85,34,53,30
A048018006,263,102,36,101,24
A048019001,153,100,11,37,5
A048019002,142,76,20,36,10
A048019003,272,252,5,10,5
A048019004,279,244,11,14,10
A048020001,210,169,28,9,4
A048020002,209,197,3,6,3
A048020003,316,260,22,22,12
A048020004,291,258,4,16,13
A048020005,382,211,48,87,36
A048020006,222,116,28,74,4
A048021001,229,130,23,71,5
A048021002,228,141,15,61,11
A048021003,260,175,19,61,5
A048022001,175,101,12,51,11
A048022002,196,126,11,55,4
A048022003,210,128,22,51,9
A048022004,122,67,12,35,8
A048023001,189,160,8,19,2
A048023002,294,143,81,33,37
A048023003,176,99,15,48,14
A048023004,304,244,24,25,11
A048023005,223,118,20,77,8
A048023006,211,131,22,46,12
A048023007,279,183,21,64,11
A048023008,255,148,38,65,4
A048023009,206,99,29,69,9
A048023010,233,118,30,71,14
A048023011,246,222,15,4,5
A048023012,247,230,6,10,1
A048024001,221,208,1,11,1
A048024002,244,223,3,11,7
A048024003,223,204,10,7,2
A048024004,176,158,3,12,3
A048024005,103,95,4,3,1
A048024006,220,197,7,10,6
A048024007,445,410,2,18,15
A048024008,219,208,3,6,2
A048024009,366,349,3,14,0
A048025001,287,249,18,16,4
A048025002,331,274,10,16,31
A048025003,311,284,9,9,9
A048025004,346,311,5,19,11
A048026001,198,190,2,4,2
A048026002,219,182,13,24,0
A048026003,349,313,3,21,12
A048027001,319,277,17,15,10
A048027002,211,107,27,56,21
A048027003,233,169,22,36,6
A048027004,164,130,11,11,12
A048028001,237,140,55,22,20
A048028002,235,161,35,27,12
A048028003,386,334,29,16,7
A048028004,230,200,2,21,7
A048028005,159,81,24,36,18
A048028006,189,133,6,40,10
A048028007,214,194,2,7,11
A048028008,245,223,0,5,17
A048028009,225,214,9,2,0
A048028010,244,202,6,15,21
A048029001,204,183,3,5,13
A048029002,213,172,15,19,7
A048029003,190,174,5,6,5
A048029004,172,146,10,13,3
A048029005,228,196,9,13,10
A048030001,256,225,7,22,2
A048030002,288,248,14,22,4
A048030003,322,172,22,77,51
A048030004,233,131,39,55,8
A048030004,233,131,39,55,8
A048030004,233,131,39,55,8
A048030005,177,49,33,80,15
A048030006,139,31,41,55,12
A048031001,267,138,48,77,4
A048031002,126,44,18,53,11
A048031003,227,147,15,59,6
A048032001,210,140,16,41,13
A048032002,215,124,22,63,6
A048032003,502,145,148,125,84
A048033001,293,182,27,74,10
A048033002,179,117,17,38,7
A048033003,140,97,10,29,4
A048033004,126,107,7,10,2
A048033005,365,203,49,101,12
A048033006,365,235,28,64,38
A048033007,217,122,25,62,8
A048033008,445,205,51,124,65
A048033009,219,113,71,33,2
A048033010,162,91,27,35,9
A048033011,152,52,52,44,4
A048034001,346,188,46,99,13
A048034002,292,176,22,67,27
A048034003,363,210,64,86,3
A048034004,164,134,11,18,1
A048034005,286,177,57,52,0
A048034006,175,108,23,41,3
A048034007,279,179,21,69,10
A048034008,262,173,21,51,17
A048035001,240,174,6,54,6
A048035002,259,182,21,53,3
A048035003,265,214,21,24,6
A048036001,178,171,4,1,2
A048036002,273,245,8,12,8
A048036003,277,255,12,8,2
A048037001,224,189,13,21,1
A048037002,300,257,17,23,3
A048037003,291,172,51,61,7
A048037004,234,172,14,42,6
A048037005,192,150,3,38,1
A048037006,258,192,17,38,11
A048037007,241,196,13,31,1
A048038001,202,175,16,9,2
A048038002,321,232,18,66,5
A048038003,315,217,29,64,5
A048038004,226,156,10,53,7
A048038005,362,258,18,70,16
A048039001,141,93,14,33,1
A048039002,289,268,7,13,1
A048039003,209,176,12,8,13
A048039004,271,239,16,3,13
A048039005,164,112,13,32,7
A048039006,180,157,4,16,3
A048039007,244,197,20,17,10
A048039008,193,116,21,37,19
A048039009,125,90,15,18,2
A048039010,159,139,9,9,2
A048039011,168,150,3,14,1
A048039013,142,89,37,13,3
A048039014,118,83,13,17,5
A048040001,245,235,2,7,1
A048040002,210,194,3,10,3
A048040003,247,218,16,13,0
A048040004,212,174,9,27,2
A048040005,229,186,20,15,8
A048040006,348,320,5,12,11
A048040007,277,247,11,13,6
A048041001,443,361,40,30,12
A048041002,379,344,8,14,13
A048041003,339,320,9,3,7
A048041004,250,157,38,53,2
A048041005,260,208,21,31,0
A048042001,321,295,6,9,11
A048042002,297,268,12,4,13
A048042003,248,233,7,4,4
A048042004,390,371,1,8,10
A048042005,137,118,5,9,5
A048042006,355,326,19,6,4
A048042007,270,185,19,65,1
A048042008,243,180,23,32,8
A048042009/01,174,102,23,48,1
A048042009/02,193,158,14,19,2
A048042010,289,231,5,53,0
A048042011,124,68,29,24,3
A048042012,183,118,27,34,4
A048042013,208,158,11,39,0
A048042014,268,203,17,46,2
A048042015,149,82,9,44,14
A048042016,252,215,7,30,0
A048042017,170,112,16,35,7
A048042018,244,180,10,42,12
A048043001,290,226,32,25,7
A048043002,292,213,15,63,1
A048043003,161,120,11,28,2
A048043004,226,152,11,61,2
A048043005,305,210,20,72,3
A048043006,252,204,8,37,3
A048043007,248,219,11,12,6
A048043008,270,173,41,53,3
A048043009,284,254,6,24,0
A048043010,223,165,16,38,4
A048043011,248,201,7,40,0
A048043012,367,316,24,24,3
A048043013,229,167,27,28,7
A048043014,213,154,11,48,0
A048043015,247,184,23,36,4
A048043016,350,305,15,28,2
A048043017,370,244,61,63,2
A048043018,247,192,20,34,1
A048044001,187,160,10,17,0
A048044002,319,213,27,74,5
A048044003,325,264,20,39,2
A048044004,307,240,30,25,12
A048044005,202,156,24,20,2
A048044006,404,339,28,28,9
A048044007,156,79,33,44,0
A048044008,168,82,30,54,2
A048044009,206,158,19,18,11
A048044010,260,214,17,21,8
A048044011,293,236,24,28,5
A048044012,279,244,10,18,7
A048045001,325,275,25,15,10
A048045002,198,134,41,22,1
A048045003,232,195,14,18,5
A048045004,348,269,30,29,20
A048046001,320,261,27,25,7
A048046002,408,274,69,57,8
A048046003,258,233,10,14,1
A048046004,262,203,23,22,14
A048046005,259,218,10,31,0
A048046006,257,214,23,17,3
A048046007,340,281,23,31,5
A048046008,172,144,6,18,4
A048046009,298,249,14,34,1
A048046010,307,262,7,36,2
A048046011,260,195,19,43,3
A048046012,235,163,20,50,2
A048046013,319,268,23,25,3
A048047001,305,264,11,30,0
A048047002,287,149,22,83,33
A048047003,138,59,18,25,36
A048047004,178,62,41,68,7
A048047005,237,112,34,70,21
A048047006,185,116,32,35,2
A048047007,297,246,8,28,15
A048047008,282,246,17,12,7
A048047009,184,154,9,19,2
A048048001,239,220,5,11,3
A048048002,267,243,14,9,1
A048048003,238,221,3,10,4
A048048004,231,209,9,12,1
A048048005,233,210,10,12,1
A048048006,170,139,10,17,4
A048048007,121,96,4,12,9
