rel..sa_id,rel..total_persons,rel..religion_catholic,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
A047054001,364,202,36,25,101
A047054002,266,257,2,5,2
A047054003,381,362,4,11,4
A047054004,325,293,8,22,2
A047054005,265,239,10,13,3
A047054006,336,280,20,31,5
A047054007,365,310,19,30,6
A047054008,343,281,26,34,2
A047054009,233,209,3,19,2
A047054010,242,225,5,11,1
A047054011,229,205,4,18,2
A047054012,348,293,8,42,5
A047054013,380,294,34,43,9
A047054014,216,190,5,16,5
A047054015,221,184,12,25,0
A047054016,223,167,18,32,6
A047054017,221,175,14,31,1
A047054018,366,315,17,28,6
A047054019,273,248,6,16,3
A047054020,316,258,14,40,4
A047054021,205,184,4,17,0
A047056001,213,168,24,18,3
A047056002,175,169,3,2,1
A047057001,188,169,10,6,3
A047057002,256,246,5,1,4
A047057003,343,260,40,42,1
A047057004,321,236,43,39,3
A047058001,128,99,17,11,1
A047058002,181,145,26,7,3
A047059001/047059002/047059003,127,104,13,7,3
A047059004,146,118,13,14,1
A047060001,349,282,44,20,3
A047060002,303,250,35,16,2
A047060003,176,141,12,23,0
A047060004,235,207,14,11,3
A047060005,186,164,4,14,4
A047060006,228,196,23,9,0
A047060007,173,162,4,7,0
A047060008,207,181,11,11,4
A047060009,158,146,8,2,2
A047060010,164,156,5,2,1
A047061001,124,106,4,11,3
A047063001,181,147,16,8,10
A047063002,311,276,19,10,6
A047064001,285,259,7,18,1
A047064002,229,220,2,5,2
A047064003,292,225,17,27,23
A047064004,327,271,20,16,20
A047064005,190,165,2,18,5
A047064006,179,165,4,7,3
A047064007,221,166,22,23,10
A047064008,212,187,1,15,9
A047064009,357,322,12,16,7
A047064010,389,328,16,43,2
A047064011,347,302,12,32,1
A047064012,460,400,18,36,6
A047064013,282,238,7,30,7
A047064014/047064016,243,198,23,20,2
A047064015,317,285,4,28,0
A047064017,285,197,46,39,3
A047064018,307,269,8,19,11
A047064019,479,405,25,42,7
A047064020,311,230,31,39,11
A047064021,310,281,8,11,10
A047064022,316,268,19,28,1
A047064023,235,201,17,7,10
A047064024,254,235,1,15,3
A047064025,481,351,56,52,22
A047064026,200,171,14,14,1
A047064027,186,154,11,17,4
A047065001,237,212,15,10,0
A047065002,156,124,13,16,3
A047067001,253,212,17,24,0
A047067002,197,163,12,21,1
A047068001,184,149,14,19,2
A047068002,329,269,13,38,9
A047068003,306,268,12,23,3
A047069001,320,281,4,28,7
A047070001,147,74,24,45,4
A047071001,111,58,9,41,3
A047071002,84,79,4,1,0
A047071003,244,223,5,13,3
A047071004,159,137,5,9,8
A047071004,159,137,5,9,8
A047071005,231,157,47,25,2
A047071006,469,374,30,56,9
A047071007,290,229,23,33,5
A047072001,201,142,30,28,1
A047072002,553,455,30,67,1
A047072003,297,270,13,13,1
A047072004,186,128,20,38,0
A047072005,235,161,29,35,10
A047072006,279,226,31,20,2
A047072007,203,168,13,21,1
A047072008,299,235,33,28,3
A047072009,306,229,31,42,4
A047072010,237,192,25,18,2
A047072011,427,359,30,36,2
A047072012,252,199,19,33,1
A047072013,284,257,8,18,1
A047072014,321,295,11,15,0
A047072015,390,339,23,27,1
A047072016,322,239,21,62,0
A047072017,256,219,13,23,1
A047072018,198,156,21,21,0
A047072019,201,170,17,13,1
A047072020,326,280,13,28,5
A047072021,296,249,23,24,0
A047072022,330,274,20,35,1
A047072023,379,321,26,30,2
A047072024,380,307,31,40,2
A047072025,310,247,19,42,2
A047072026,371,297,45,29,0
A047072027,277,241,12,24,0
A047072028,217,172,26,18,1
A047072029,394,300,46,46,2
A047072030,288,220,32,35,1
A047072031,185,144,13,25,3
A047072032,386,294,36,49,7
A047072033,371,275,54,38,4
A047072034,231,170,24,35,2
A047072035,237,177,27,29,4
A047072036,230,169,8,52,1
A047072037,333,224,48,58,3
A047072038,250,194,22,31,3
A047072039,315,217,33,55,10
A047072040,326,268,21,35,2
A047072041,339,267,38,31,3
A047072042,158,139,10,9,0
A047073001,380,338,24,12,6
A047073002,233,134,57,41,1
A047074001,263,176,48,33,6
A047074002,167,150,1,16,0
A047075001,171,152,9,9,1
A047075002,163,119,15,22,7
A047075003,181,139,21,11,10
A047075004,285,246,16,19,4
A047076001,209,167,9,31,2
A047076002,292,268,2,20,2
A047076003,281,259,2,15,5
A047076004,276,245,8,19,4
A047076005,376,329,6,35,6
A047076006,218,194,9,14,1
A047077001,365,298,21,40,6
A047077001,365,298,21,40,6
A047077001,365,298,21,40,6
A047077002,263,212,15,32,4
A047077003,188,135,7,45,1
A047077004,182,146,15,21,0
A047077005,283,250,8,25,0
A047077006,148,82,56,8,2
A047077007,213,188,11,11,3
A047077008,159,123,10,21,5
A047077009,233,220,6,5,2
A047077010,242,215,11,15,1
A047077011,224,185,15,23,1
A047077012,269,240,8,18,3
A047077013,347,276,39,29,3
A047077014,324,261,38,20,5
A047077015,231,174,29,19,9
A047077016,322,257,26,23,16
A047077017,277,217,35,18,7
A047077018,234,198,17,18,1
A047077019,229,184,19,26,0
A047077020,284,232,32,20,0
A047077021,422,344,21,43,14
A047077022,385,296,35,48,6
A047077023,215,153,22,25,15
A047077024,338,234,38,34,32
A047078001,381,276,68,29,8
A047079001,244,199,23,12,10
A047079002,362,302,26,24,10
A047079003,293,243,27,17,6
A047081001,264,247,2,10,5
A047081002,263,210,11,34,8
A047082001,421,314,67,37,3
A047082002/047082003,266,253,2,10,1
A047082004/047082005,288,239,25,24,0
A047082006,262,225,16,11,10
A047083001/047083002,204,185,7,10,2
A047083003,248,231,3,14,0
A047083004/047083005,185,156,10,16,3
A047084001,182,140,20,18,4
A047084002,116,82,14,18,2
A047084003,180,126,23,29,2
A047084004,328,281,19,28,0
A047085002,131,93,7,30,1
A047086001,251,202,18,30,1
A047086002,306,279,17,6,4
A047086003,377,307,27,41,2
A047086004,233,212,4,16,1
A047087001,208,177,9,18,4
A047087002,305,273,7,23,2
A047087003,318,289,10,18,1
A047087004,256,224,9,23,0
A047088001,297,247,19,27,4
A047088002,280,163,27,44,46
A047089001,208,147,37,17,7
A047090001,236,190,17,20,9
A047090002,261,246,5,6,4
A047090003,240,208,17,11,4
A047090004,157,143,9,5,0
A047090005,237,163,22,41,11
A047090006,232,194,14,15,9
A047090007,290,225,25,31,9
A047090008,241,209,17,15,0
A047090009,192,170,9,11,2
A047090010,261,234,22,5,0
A047090011,260,177,28,49,6
A047090012,333,298,19,14,2
A047090013,240,208,12,19,1
A047090014,234,188,23,14,9
A047090015,305,219,55,16,15
A047090016,246,218,10,17,1
A047090017,214,143,42,21,8
A047090018,217,167,20,23,7
A047091001,232,211,11,6,4
A047091002,185,176,3,6,0
A047091003,231,182,19,23,7
A047091004,254,202,21,23,8
A047093001,186,155,17,12,2
A047094001,268,241,15,11,1
A047094002,333,294,19,19,1
A047095001,299,263,15,18,3
A047095002,286,259,13,14,0
A047095003,247,206,16,21,4
