house..sa_id,house..total_households,house..one_person_household,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
A047034001,84,14,11,44,11,1,3
A047034002,100,18,5,40,30,2,5
A047034003,105,17,23,43,8,7,7
A047035001,101,18,27,35,17,1,3
A047035002,102,34,19,28,14,5,2
A047035003,104,18,27,51,2,4,2
A047036001,80,17,17,31,9,4,2
A047037001,80,7,12,50,5,4,2
A047037002,109,13,16,63,8,6,3
A047037003,103,17,11,55,10,3,7
A047037004,137,25,18,68,11,7,8
A047038001,81,13,14,36,7,3,8
A047038002,66,12,15,31,5,0,3
A047038003,79,17,12,41,5,1,3
A047039001,96,23,17,46,4,2,4
A047041005/047041001/047041004/047041002/047041003/047319001,119,22,25,53,10,6,3
A047042001,82,21,14,26,18,3,0
A047042002,118,21,23,52,12,7,3
A047042003,76,27,15,21,9,3,1
A047042004,399,96,94,156,26,17,10
A047042005,103,35,25,22,14,5,2
A047042006,95,68,12,6,5,4,0
A047042007,83,48,10,11,4,8,2
A047042008,48,31,2,5,6,3,1
A047042009,52,33,6,7,2,4,0
A047042010,76,31,17,17,7,4,0
A047042011,52,24,8,6,3,10,1
A047042012,64,21,21,20,0,2,0
A047042013,109,39,14,30,22,2,2
A047042014,113,40,16,39,14,2,2
A047042015,86,27,15,27,11,5,1
A047042016,76,20,14,20,16,5,1
A047043001,64,29,9,12,10,2,2
A047043002,125,32,25,39,21,5,3
A047045001,70,15,5,32,8,5,5
A047046001,102,21,17,46,5,7,6
A047046002,82,28,20,28,2,2,2
A047047001,78,18,20,35,3,2,0
A047049001,65,21,9,24,10,0,1
A047051001,60,22,14,15,4,4,1
A047052001/047052002,99,19,19,46,10,2,3
A047053001,29,11,8,5,2,3,0
A047053002,49,21,8,13,7,0,0
A047053003,102,20,28,48,4,1,1
A047054001,119,40,29,29,8,10,3
A047054002,83,12,14,42,5,4,6
A047054003,122,19,25,64,9,2,3
A047054004,102,21,16,54,5,1,5
A047054005,86,17,13,41,6,3,6
A047054006,112,21,21,54,10,3,3
A047054007,106,11,20,51,14,3,7
A047054008,113,18,21,54,7,10,3
A047054009,72,8,12,37,7,2,6
A047054010,71,8,10,34,15,0,4
A047054011,88,16,32,22,7,5,6
A047054012,111,11,20,57,12,6,5
A047054013,129,16,32,55,8,11,7
A047054014,79,17,13,18,23,5,3
A047054015,74,12,10,34,10,4,4
A047054016,75,9,11,36,12,3,4
A047054017,77,14,12,35,6,4,6
A047054018,120,27,14,63,11,4,1
A047054019,77,15,11,45,3,1,2
A047054020,90,14,10,56,5,2,3
A047054021,85,22,23,18,8,8,6
A047056001,84,38,17,15,5,5,4
A047056002,69,20,13,26,4,3,3
A047057001,94,38,18,23,11,0,4
A047057002,102,31,17,35,8,9,2
