house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00037453,164,12,21,61,49,12,4,5
E00037454,145,20,22,63,26,7,3,4
E00037455,135,13,30,44,28,8,11,1
E00037456,146,11,19,44,42,11,13,6
E00037457,148,16,23,65,25,7,9,3
E00037458,129,37,7,50,19,9,5,2
E00037459,137,14,22,55,28,8,9,1
E00037460,127,23,20,67,11,1,4,1
E00037461,144,4,33,61,21,15,7,3
E00037462,133,23,21,45,24,8,10,2
E00037463,131,14,10,55,29,16,7,0
E00037464,133,29,18,66,13,2,4,1
E00037465,123,10,17,46,35,7,7,1
E00037466,111,19,9,51,18,8,4,2
E00037467,119,10,13,43,24,17,9,3
E00037468,136,10,24,43,27,19,9,4
E00037469,115,41,22,20,13,13,6,0
E00037470,127,17,11,69,16,6,8,0
E00037471,134,14,5,93,14,2,5,1
E00037472,131,12,9,60,39,5,5,1
E00037473,128,10,30,53,24,5,5,1
E00037474,135,17,19,57,29,7,4,2
E00037475,144,30,18,45,24,9,14,4
E00037476,156,17,33,47,32,11,12,4
E00037477,115,14,19,30,22,19,7,4
E00037478,119,21,12,50,17,11,7,1
E00037479,126,20,15,42,27,9,10,3
E00037480,135,24,15,69,15,2,10,0
E00037481,134,33,10,77,4,2,6,2
E00037482,214,7,33,68,85,10,5,6
E00037483,128,9,42,42,18,10,7,0
E00037484,146,30,16,48,26,14,11,1
E00037485,142,8,23,56,31,17,6,1
E00037486,127,40,10,48,14,10,5,0
E00037487,128,22,19,44,23,7,10,3
E00037488,139,9,19,32,36,23,13,7
E00037489,149,19,33,51,30,8,7,1
E00037490,139,16,30,48,19,11,14,1
E00037491,120,19,12,32,30,13,10,4
E00037492,146,11,15,38,43,15,19,5
E00037493,137,46,20,49,9,4,7,2
E00037494,170,22,32,56,37,11,7,5
E00037495,140,23,32,40,26,9,10,0
E00037496,127,47,11,41,12,7,7,2
E00037497,162,18,39,46,26,21,9,3
E00037498,126,39,17,34,16,5,14,1
E00037499,142,17,23,46,32,17,6,1
E00037500,122,19,25,51,20,1,5,1
E00037501,133,19,12,61,26,7,6,2
E00037570,116,9,12,30,32,18,9,6
E00037571,170,21,23,48,44,19,11,4
E00037572,125,22,20,32,18,21,7,5
E00037574,119,13,17,34,21,19,12,3
E00037575,122,14,40,22,20,16,9,1
E00037576,100,9,25,28,12,14,9,3
E00037577,104,8,29,21,21,17,6,2
E00037578,106,13,17,37,20,9,7,3
E00037579,122,21,32,36,17,6,9,1
E00037591,228,12,45,77,54,28,10,2
E00037592,136,12,33,41,16,18,13,3
E00037599,138,15,9,67,34,2,11,0
E00037614,123,14,21,44,24,10,7,3
E00037615,145,9,15,62,44,8,5,2
E00037616,96,30,13,21,21,3,8,0
E00037617,114,22,22,38,16,5,8,3
E00037618,98,13,9,50,19,3,2,2
E00037619,150,12,14,61,48,8,4,3
E00037620,204,50,18,81,37,8,6,4
E00037621,125,11,7,65,28,5,6,3
E00037622,197,21,21,100,39,2,11,3
