pop..lsoa_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01007512,2062,1011,1051,126,207,177,319,359,472,287,115
E01007513,1486,680,806,82,145,90,202,168,338,294,167
E01007514,1538,774,764,112,180,108,257,251,368,190,72
E01007515,1511,729,782,76,135,108,219,188,419,244,122
E01007516,1358,665,693,65,99,92,180,167,402,230,123
E01007517,1550,804,746,108,155,74,303,233,405,194,78
E01007518,1444,694,750,71,97,86,164,151,435,284,156
E01007519,1284,616,668,82,118,118,204,192,339,163,68
E01007520,1318,601,717,25,73,67,125,95,295,384,254
E01007521,1479,704,775,72,125,114,132,144,378,285,229
E01007522,1626,817,809,92,159,101,215,192,409,298,160
E01007523,1419,689,730,81,107,68,153,173,378,287,172
E01007524,1604,806,798,105,114,81,151,183,397,339,234
E01007525,1476,697,779,91,128,109,187,202,376,229,154
E01007526,2145,1034,1111,140,149,152,225,297,528,421,233
E01007527,2699,1347,1352,141,250,178,367,431,774,426,132
E01007528,1395,674,721,73,145,110,148,208,318,233,160
E01007529,2727,1744,983,191,212,162,647,560,655,239,61
E01007530,1805,929,876,184,182,110,304,421,424,147,33
E01007531,1794,923,871,126,139,139,289,264,448,255,134
E01007532,2036,1139,897,195,208,92,274,334,602,230,101
E01007533,1503,785,718,109,119,101,239,235,346,234,120
E01007534,2444,1405,1039,162,200,166,473,522,642,209,70
E01007535,1602,858,744,110,143,85,308,303,371,171,111
E01007536,1971,979,992,109,160,140,321,211,577,312,141
E01007537,1666,811,855,81,151,119,220,211,449,317,118
E01007538,1489,682,807,80,165,116,221,182,403,247,75
E01007539,1461,675,786,109,150,120,201,229,354,158,140
E01007540,1640,853,787,126,166,148,216,234,404,222,124
E01007541,1495,725,770,77,148,123,201,191,349,237,169
E01007542,1955,976,979,131,172,152,297,286,465,303,149
E01007543,1457,690,767,75,114,88,178,144,385,307,166
E01007544,1755,816,939,107,179,158,231,175,401,316,188
E01007545,1367,697,670,84,93,90,185,200,416,192,107
E01007546,1356,682,674,88,135,108,180,187,335,216,107
E01007547,1522,771,751,90,155,141,218,217,384,226,91
E01007548,1685,756,929,165,219,134,272,330,324,170,71
E01007549,1397,680,717,61,109,87,181,153,358,289,159
E01007550,1665,794,871,97,170,113,209,179,468,293,136
E01007551,1744,899,845,96,101,133,218,201,493,306,196
E01007552,1357,639,718,90,84,79,161,156,355,269,163
E01007553,1723,853,870,93,136,103,198,188,436,336,233
E01007554,1578,785,793,85,139,102,208,212,474,240,118
E01007555,1398,661,737,65,126,125,168,123,361,253,177
E01007556,1359,642,717,118,174,121,179,212,306,187,62
E01007557,3139,2626,513,35,93,61,913,815,753,317,152
E01007558,1425,669,756,65,106,96,147,153,389,302,167
E01007559,1265,752,513,47,67,60,157,178,370,260,126
E01007560,1506,705,801,65,120,81,142,152,374,323,249
E01007561,1412,678,734,60,76,103,193,89,395,276,220
E01007562,1342,675,667,71,118,100,149,176,335,261,132
E01007563,1437,713,724,99,183,153,194,234,339,190,45
E01007564,1623,802,821,85,192,121,240,272,456,171,86
E01007565,1448,731,717,81,135,87,143,168,401,268,165
E01007566,1772,867,905,120,170,124,244,261,489,242,122
E01007567,1469,726,743,82,127,81,254,202,368,235,120
E01007568,1620,779,841,98,209,163,208,257,435,185,65
E01007569,1657,779,878,89,179,132,247,266,414,224,106
E01007570,1421,682,739,64,89,78,149,176,374,322,169
E01007571,1677,808,869,98,136,127,294,214,474,225,109
E01007572,1352,667,685,80,139,75,152,155,308,295,148
E01007573,1585,790,795,114,150,140,251,251,398,180,101
E01007574,1556,773,783,107,143,105,259,210,392,210,130
E01007575,1303,584,719,84,115,106,192,158,304,225,119
E01007576,1438,740,698,88,111,76,224,182,366,284,107
E01007577,1338,651,687,100,114,78,216,198,360,169,103
E01007578,1495,767,728,91,147,105,208,179,430,232,103
E01007579,2551,1253,1298,245,265,161,358,443,655,303,121
E01007580,1228,605,623,49,65,56,105,113,304,341,195
E01007581,1430,667,763,65,73,105,156,147,438,253,193
E01007582,1369,663,706,57,107,88,154,134,435,273,121
E01007583,1423,692,731,64,71,86,134,103,413,380,172
E01007584,1497,719,778,94,122,107,223,201,379,221,150
E01007585,1606,740,866,88,116,133,215,221,458,235,140
E01007586,1440,701,739,46,102,70,137,148,391,366,180
E01007587,1591,769,822,68,116,69,132,136,449,356,265
E01007588,1651,800,851,100,158,130,219,244,411,244,145
E01007589,1529,736,793,66,99,97,162,148,428,286,243
E01007590,1147,571,576,73,132,84,159,154,340,166,39
E01007591,1372,656,716,55,120,122,182,167,328,255,143
E01007592,1803,854,949,159,200,129,287,254,383,206,185
E01007593,1612,750,862,129,178,143,278,238,373,202,71
E01007594,1985,992,993,89,150,178,245,247,640,301,135
E01007595,1480,726,754,84,116,103,217,183,363,258,156
E01007596,1175,554,621,42,72,62,107,98,298,373,123
E01007597,1601,755,846,125,205,136,209,235,334,251,106
E01007598,1451,684,767,51,94,75,153,179,357,362,180
E01007600,1331,646,685,35,92,80,87,108,343,406,180
E01007601,1499,719,780,66,114,81,131,156,372,363,216
