house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00000720,133,17,22,21,30,14,19,10
E00000721,153,11,43,19,13,12,48,7
E00000722,119,16,13,28,27,8,19,8
E00000723,141,11,28,37,20,20,14,11
E00000724,97,13,23,18,21,2,16,4
E00000725,121,9,10,32,32,6,25,7
E00000726,142,11,10,41,26,5,37,12
E00000727,133,11,21,43,19,4,23,12
E00000728,127,12,9,37,24,1,21,23
E00000729,128,9,12,42,28,6,19,12
E00000730,142,13,21,36,32,4,22,14
E00000731,133,14,31,39,19,4,18,8
E00000732,139,12,14,38,25,8,26,16
E00000733,114,4,26,37,18,5,18,6
E00000734,126,12,7,32,38,7,20,10
E00000736,100,5,14,9,28,22,15,7
E00000737,102,3,7,7,26,33,15,11
E00000738,129,11,29,24,22,20,14,9
E00000739,111,3,25,24,23,13,15,8
E00000740,107,15,21,22,16,18,11,4
E00000742,116,4,15,11,23,39,16,8
E00000743,117,15,32,14,15,18,16,7
E00000744,126,4,39,16,24,25,14,4
E00000745,112,6,35,4,24,22,11,10
E00000746,135,1,12,12,35,47,16,12
E00000747,113,5,26,7,28,24,10,13
E00000748,141,8,18,24,37,17,21,16
E00000749,130,9,65,7,15,20,10,4
E00000750,121,6,21,8,26,35,13,12
E00000751,123,7,30,22,14,18,24,8
E00000752,117,6,20,27,26,18,8,12
E00000754,114,5,20,22,17,28,14,8
E00000755,120,5,34,15,30,14,17,5
E00000756,131,2,43,16,20,19,23,8
E00000757,142,6,54,25,25,9,16,7
E00000758,105,3,36,23,17,6,15,5
E00000760,94,5,17,5,17,10,29,11
E00000761,108,5,40,29,19,3,7,5
E00000762,93,6,15,24,21,6,17,4
E00000763,117,15,30,20,15,12,18,7
E00000764,135,11,14,29,36,7,30,8
E00000765,131,12,35,23,14,16,20,11
E00000766,221,19,43,29,45,22,48,15
E00000767,126,14,29,21,27,4,25,6
E00000768,130,32,18,29,21,9,15,6
E00000769,166,7,44,47,33,10,22,3
E00000770,138,5,19,30,39,11,25,9
E00000771,96,0,15,16,11,8,45,1
E00000772,126,7,39,15,29,21,11,4
E00000773,141,5,32,19,14,39,28,4
E00000774,139,12,63,22,14,8,16,4
E00000775,155,15,25,34,46,12,20,3
E00000776,187,27,47,34,36,12,24,7
E00000777,136,10,42,27,30,9,15,3
E00000778,154,7,37,34,32,8,28,8
E00000779,136,11,19,47,29,9,16,5
E00000780,112,9,4,29,41,9,16,4
E00000781,147,25,24,29,28,14,15,12
E00000782,145,7,44,26,24,12,27,5
E00000783,117,4,43,25,19,7,15,4
E00000785,148,12,17,48,34,6,21,10
E00000786,180,12,29,44,38,5,42,10
E00000787,140,5,43,29,40,7,14,2
E00000788,123,15,20,29,28,9,16,6
E00000789,126,13,55,19,19,13,6,1
E00000790,117,6,52,15,21,11,9,3
E00000791,121,5,44,16,21,16,16,3
E00000792,119,7,26,11,25,24,24,2
E00000793,155,9,34,33,33,19,22,5
E00000794,131,14,22,15,25,19,24,12
E00000795,145,8,32,33,32,16,19,5
E00000796,123,9,13,23,21,21,33,3
E00000797,137,8,28,36,24,20,17,4
E00000798,127,7,36,31,25,13,15,0
E00000799,136,12,24,33,38,15,12,2
E00000800,151,20,31,35,25,10,26,4
E00000801,150,13,57,28,20,14,13,5
E00000802,128,16,17,21,26,21,20,7
E00000803,120,11,51,30,18,2,8,0
E00000804,165,12,27,30,42,17,31,6
E00000805,144,8,29,30,37,6,31,3
E00000806,112,9,11,36,31,8,14,3
E00000807,107,6,14,11,13,27,25,11
E00000808,128,11,23,27,26,19,15,7
E00000809,93,11,20,8,16,21,15,2
E00000810,103,6,21,19,23,15,16,3
E00000811,134,15,8,61,31,2,11,6
E00000812,147,14,15,55,42,7,10,4
E00000813,166,10,57,34,20,19,22,4
E00000814,104,10,18,36,23,6,10,1
E00000815,120,11,27,28,24,12,16,2
E00000816,121,6,38,16,28,10,19,4
E00000817,129,16,9,39,43,4,10,8
E00000818,137,8,39,33,21,11,23,2
E00000834,108,8,8,47,28,4,7,6
E00000864,136,19,10,38,38,8,15,8
E00000865,146,18,17,45,24,17,20,5
E00000866,157,23,40,45,26,8,11,4
E00000867,122,6,28,29,27,16,13,3
E00000868,121,11,12,29,24,17,24,4
E00000869,133,17,28,28,35,14,11,0
E00000870,112,5,29,37,26,3,9,3
E00000871,129,12,17,46,31,2,19,2
E00000872,120,11,34,22,21,14,11,7
E00000873,123,17,6,33,46,2,11,8
E00000874,115,60,14,16,10,1,12,2
E00000875,103,16,14,26,28,4,13,2
E00000876,109,15,5,29,41,0,11,8
E00000877,147,24,18,40,42,6,15,2
E00000878,108,6,20,35,26,9,11,1
E00000879,146,8,28,29,24,24,25,8
E00000880,139,38,16,19,23,16,17,10
E00000881,128,11,20,17,23,15,32,10
E00000882,129,11,20,28,21,17,22,10
E00000883,123,16,20,32,30,5,15,5
E00000884,126,24,21,30,15,15,18,3
E00000885,122,11,24,19,19,19,25,5
E00000886,120,9,24,30,31,4,19,3
E00000887,106,6,22,14,18,17,24,5
E00000888,119,5,39,30,21,6,18,0
E00000889,132,29,35,19,11,18,16,4
E00000890,102,5,18,26,29,9,13,2
E00000891,162,4,81,32,18,3,21,3
E00000892,137,11,19,33,45,4,20,5
E00000893,154,12,30,43,27,5,36,1
E00000894,137,10,40,31,13,14,21,8
E00000895,135,9,22,40,31,3,16,14
E00000896,118,10,44,20,10,13,20,1
E00000897,97,23,25,13,7,9,14,6
E00000898,167,39,14,33,47,4,23,7
E00000899,141,15,21,44,35,9,14,3
E00000900,136,25,33,36,25,6,10,1
E00000901,129,16,30,39,9,6,29,0
E00000902,137,15,30,20,19,14,33,6
E00000903,113,11,19,40,16,4,23,0
E00000904,97,35,16,10,10,7,17,2
E00000905,118,7,15,36,39,6,11,4
E00000906,114,9,23,27,30,8,15,2
E00000907,133,7,26,38,39,4,13,6
E00000908,122,9,29,37,16,7,23,1
E00000909,141,22,14,43,38,1,18,5
E00000910,136,5,22,35,50,3,20,1
E00000911,138,7,32,25,10,9,54,1
E00000912,134,26,21,21,19,22,23,2
E00000913,126,37,23,28,16,1,17,4
E00000914,110,13,23,37,24,6,7,0
E00000915,136,10,45,37,16,1,25,2
E00000916,136,17,21,45,19,7,25,2
E00000917,93,32,15,21,8,4,11,2
E00000918,145,37,36,36,9,5,22,0
E00000919,155,17,17,41,40,6,32,2
E00000920,163,16,33,44,30,3,36,1
E00000921,125,9,12,31,16,16,36,5
E00000922,123,11,3,59,30,3,10,7
E00000923,114,54,13,26,10,4,6,1
E00000924,117,16,11,25,27,15,19,4
E00000925,119,4,6,44,36,7,14,8
E00000926,117,10,4,56,32,4,6,5
E00000927,110,6,3,36,40,5,13,7
E00000928,126,13,4,49,43,3,10,4
E00000929,128,7,7,47,53,4,8,2
E00000930,125,6,5,53,49,3,4,5
E00000931,132,15,8,48,43,0,14,4
E00000932,157,23,9,63,34,5,21,2
E00000933,146,5,29,19,26,35,22,10
E00000934,122,8,3,46,41,7,12,5
E00000935,156,17,24,52,35,2,19,7
E00000936,126,15,9,56,38,2,3,3
E00000937,162,10,24,19,30,39,28,12
E00000938,132,20,11,45,23,7,20,6
E00000939,124,8,1,48,40,4,12,11
E00000940,123,27,6,46,29,4,8,3
E00000941,135,14,13,37,40,9,14,8
E00000942,122,7,68,13,8,13,11,2
E00000943,130,9,23,21,26,29,13,9
E00000944,137,18,7,41,36,12,14,9
E00000945,127,22,5,48,37,4,5,6
E00000946,151,4,18,11,38,54,15,11
E00000947,150,29,19,50,28,11,8,5
E00000948,127,9,4,59,37,1,8,9
E00000949,142,40,7,58,13,5,13,6
E00000950,125,15,19,39,28,5,13,6
E00000951,130,10,7,50,33,8,13,9
E00000952,111,11,7,42,30,1,14,6
E00000953,170,5,53,21,31,13,27,20
E00000954,128,10,8,46,41,5,11,7
E00000955,147,10,14,36,42,15,22,8
E00000956,144,30,11,39,29,9,15,11
E00000957,192,26,46,28,36,13,33,10
E00000958,170,15,44,34,25,16,27,9
E00000959,156,18,16,42,33,16,26,5
E00000960,137,15,16,54,21,6,18,7
E00000961,186,5,58,34,26,43,12,8
E00000962,111,17,16,24,22,10,14,8
E00000963,123,10,18,20,32,21,15,7
E00000964,160,8,64,24,24,16,17,7
E00000965,111,6,13,17,24,35,9,7
E00000966,142,27,35,32,12,3,28,5
E00000967,117,10,25,28,27,9,11,7
E00000968,156,15,16,41,34,14,27,9
E00000969,138,36,14,39,24,3,17,5
E00000970,124,14,27,38,23,6,14,2
E00000971,129,26,14,41,21,6,15,6
E00000972,130,17,9,43,40,0,12,9
E00000973,140,10,42,42,20,4,21,1
E00000974,119,5,29,33,19,4,21,8
E00000975,126,14,28,32,30,1,20,1
E00000976,128,11,22,19,24,23,19,10
E00000977,104,2,12,24,31,7,21,7
E00000978,121,5,29,33,27,6,17,4
E00000979,133,20,13,58,23,3,7,9
E00000980,129,34,20,22,17,12,22,2
E00000981,128,5,7,38,47,0,14,17
E00000982,127,15,5,55,33,1,8,10
E00000983,135,18,16,39,34,9,14,5
E00000984,168,18,43,41,29,5,24,8
E00000985,130,20,15,43,32,4,8,8
E00000986,126,5,27,46,23,4,14,7
E00000987,140,11,14,50,33,8,20,4
E00000988,131,11,22,40,34,3,16,5
E00000989,158,7,41,30,14,10,51,5
E00000990,122,31,19,29,23,3,13,4
E00000991,156,47,40,32,8,4,23,2
E00000992,147,8,43,19,20,9,37,11
E00000993,129,14,13,46,40,2,6,8
E00000994,133,27,23,50,10,7,16,0
E00000995,128,8,37,27,21,10,18,7
E00000996,133,5,30,33,20,11,27,7
E00000997,151,10,37,31,38,9,18,8
E00000998,143,39,28,44,16,5,9,2
E00000999,172,33,31,65,20,3,17,3
E00001000,144,40,34,35,6,13,15,1
E00001001,139,31,39,33,14,6,11,5
E00001002,143,11,12,42,51,7,16,4
E00001003,141,25,23,30,40,1,17,5
E00001004,136,7,17,49,35,0,22,6
E00001005,163,13,41,46,27,6,26,4
E00001006,126,15,12,28,37,8,15,11
E00001007,137,10,16,44,36,2,20,9
E00001008,141,30,19,39,21,10,15,7
E00001009,153,27,45,32,8,7,28,6
E00001010,132,26,15,31,24,9,18,9
E00001011,139,10,15,53,45,0,9,7
E00001012,95,23,29,17,11,7,6,2
E00001013,180,20,56,47,28,3,25,1
E00001014,178,19,26,62,37,13,16,5
E00001015,118,8,10,42,32,2,10,14
E00001016,144,9,33,40,12,9,37,4
E00001017,99,6,6,32,14,2,23,16
E00001018,118,16,32,24,29,8,8,1
E00001019,111,10,16,28,24,5,26,2
E00001020,120,9,8,37,44,7,11,4
E00001021,139,9,34,24,25,11,28,8
E00001022,125,11,23,38,37,7,7,2
E00001023,123,13,14,33,47,6,7,3
E00001024,131,18,12,29,48,9,10,5
E00001025,122,10,11,39,44,7,5,6
E00001026,150,17,32,30,27,9,30,5
E00001027,118,14,18,26,28,10,17,5
E00001028,148,12,25,56,23,3,19,10
E00001029,131,27,22,34,27,8,12,1
E00001030,120,15,19,37,29,2,16,2
E00001031,120,13,7,39,50,4,5,2
E00001032,130,24,30,40,21,8,6,1
E00001033,127,20,34,23,22,10,16,2
E00001034,117,10,28,19,10,14,33,3
E00001035,113,10,20,29,22,4,27,1
E00001036,121,20,26,31,30,8,4,2
E00001037,126,13,13,44,35,5,9,7
E00001038,118,12,26,42,18,4,12,4
E00001039,136,50,25,17,15,7,18,4
E00001040,133,20,33,35,26,10,8,1
E00001041,106,60,26,11,7,1,1,0
E00001042,119,31,20,36,18,7,6,1
E00001043,125,13,8,55,37,1,2,9
E00001044,130,21,19,40,33,4,11,2
E00001045,128,20,10,60,29,2,6,1
E00001046,117,10,6,43,49,1,1,7
E00001047,131,5,2,53,43,7,10,11
E00001048,160,8,35,25,9,8,71,4
E00001049,122,4,3,49,43,3,4,16
E00001050,149,16,31,33,17,9,41,2
E00001051,119,22,13,44,24,3,8,5
E00001052,121,10,19,41,35,4,8,4
E00001053,132,14,10,50,38,4,11,5
E00001054,129,28,2,52,37,3,6,1
E00001055,128,17,11,47,21,4,25,3
E00001056,140,10,26,33,31,5,28,7
E00001057,119,11,13,34,35,2,14,10
E00001058,137,15,28,47,34,3,9,1
E00001059,143,11,9,53,43,11,11,5
E00001060,113,6,39,16,16,3,29,4
E00001061,143,13,28,24,29,16,25,8
E00001062,181,15,52,36,36,5,29,8
E00001063,145,15,17,27,54,2,21,9
E00001064,129,17,15,34,32,5,24,2
E00001065,126,17,6,33,36,4,23,7
E00001066,155,12,24,31,45,6,28,9
E00001067,159,26,24,41,39,3,22,4
E00001068,137,9,13,30,50,3,28,4
E00001069,198,52,52,28,32,2,27,5
E00001070,130,10,9,28,44,9,21,9
E00001071,129,18,17,26,31,5,28,4
E00001072,152,10,30,32,39,6,27,8
E00001073,132,6,25,26,42,3,17,13
E00001074,145,10,26,28,40,2,33,6
E00001075,144,11,22,36,28,10,31,6
E00001076,128,6,48,11,16,25,15,7
E00001077,118,7,15,20,33,3,33,7
E00001078,105,11,14,7,18,22,21,12
E00001079,109,26,13,10,19,19,15,7
E00001080,127,11,14,24,33,13,18,14
E00001081,124,14,17,29,14,14,26,10
E00001082,123,7,13,21,32,17,27,6
E00001083,111,14,16,17,23,10,24,7
E00001084,106,10,13,15,27,17,17,7
E00001085,132,13,18,30,25,8,25,13
E00001086,148,11,28,40,25,6,27,11
E00001087,113,13,10,27,19,9,28,7
E00001088,142,9,25,30,22,23,23,10
E00001089,141,15,18,26,43,11,21,7
E00001090,119,18,39,20,17,12,8,5
E00001091,122,10,12,22,30,8,27,13
E00001092,148,11,7,34,65,14,14,3
E00001093,143,7,12,40,52,5,23,4
E00001094,135,12,10,31,64,3,9,6
E00001095,138,6,28,40,32,6,23,3
E00001096,103,58,15,8,14,1,7,0
E00001097,136,10,18,39,43,1,16,9
E00001098,130,2,8,46,47,5,16,6
E00001099,129,12,30,31,26,4,22,4
E00001100,137,32,9,36,38,5,10,7
E00001101,127,20,19,27,34,3,16,8
E00001102,135,25,22,25,27,7,23,6
E00001103,124,7,8,32,57,0,8,12
E00001104,133,37,16,26,30,3,12,9
E00001105,124,7,22,29,34,4,21,7
E00001106,139,18,19,35,31,6,27,3
E00001107,144,8,19,22,21,30,26,18
E00001108,124,5,3,38,47,9,13,9
E00001109,135,9,17,27,30,24,12,16
E00001110,131,12,14,17,32,16,25,15
E00001111,132,12,10,18,31,22,23,16
E00001112,124,6,17,23,29,21,18,10
E00001113,127,20,16,23,18,20,14,16
E00001114,171,16,24,52,33,16,20,10
E00001115,127,16,20,26,20,19,17,9
E00001116,121,39,24,12,14,10,14,8
E00001117,107,12,9,31,37,8,6,4
E00001118,128,5,10,33,44,10,16,10
E00001119,115,5,11,17,32,25,20,5
E00001120,130,18,8,42,32,9,14,7
E00001121,122,14,9,30,28,13,22,6
E00001122,116,8,14,30,34,9,12,9
E00001123,147,10,37,17,35,23,16,9
E00001124,136,22,10,42,37,7,12,6
E00001125,121,18,8,32,41,4,14,4
E00001126,113,11,16,18,21,15,25,7
E00001127,124,13,21,30,32,14,10,4
E00001128,145,6,11,45,39,15,18,11
E00001129,125,10,20,22,28,15,20,10
E00001130,126,12,12,32,36,8,13,13
E00001131,112,8,10,33,34,10,10,7
E00001132,134,25,13,36,26,5,24,5
E00001133,125,14,26,29,32,3,15,6
E00001134,129,18,9,63,17,4,15,3
E00001135,135,14,11,48,37,7,12,6
E00001136,186,18,28,60,52,5,19,4
E00001137,146,15,36,34,34,9,12,6
E00001138,122,14,8,42,30,4,15,9
E00001139,138,12,22,43,36,6,9,10
E00001140,114,23,20,37,22,3,6,3
E00001141,127,5,24,30,27,20,13,8
E00001142,132,13,23,32,37,8,13,6
E00001143,132,12,23,46,21,8,17,5
E00001144,126,10,21,30,31,15,12,7
E00001145,120,9,10,33,34,8,22,4
E00001146,124,14,8,37,41,6,17,1
E00001147,118,11,7,40,30,11,13,6
E00001148,121,15,11,42,19,13,13,8
E00001149,126,11,23,32,32,9,18,1
E00001150,134,9,8,39,54,6,14,4
E00001151,114,5,12,38,37,7,10,5
E00001152,131,12,16,34,46,6,9,8
E00001153,128,8,15,47,28,11,12,7
