house..sa_id,house..total_households,house..one_person_household,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
A117005001/117064001,55,31,3,8,2,9,2
A117006001,140,20,22,79,12,6,1
A117007001/117040001,86,19,16,38,5,4,4
A117008001,133,25,22,42,29,6,9
A117009001,84,34,14,20,11,3,2
A117009002,89,39,15,20,5,9,1
A117009003,105,33,13,29,18,7,5
A117009004,94,27,25,29,7,4,2
A117009005,101,23,23,32,17,4,2
A117009006,116,18,28,52,12,1,5
A117009007,96,19,16,41,14,2,4
A117010001,140,26,31,64,14,2,3
A117011001,144,17,36,65,12,4,10
A117012001,97,19,18,47,8,0,5
A117012002,92,13,19,46,3,9,2
A117013001,84,10,20,45,5,2,2
A117014001,114,16,29,52,7,4,6
A117015001,100,15,18,53,9,3,2
A117015002,104,26,19,49,5,1,4
A117015003,97,29,18,30,12,6,2
A117015004,76,10,15,34,8,3,6
A117015005,104,35,25,25,9,3,7
A117015006,63,20,13,24,2,2,2
A117015007,79,13,17,33,12,0,4
A117015008/117015018,97,14,12,47,14,3,7
A117015009,69,20,14,25,4,2,4
A117015010/117015017,62,24,9,14,12,2,1
A117015011,115,24,21,58,6,3,3
A117015012,104,18,12,60,9,3,2
A117015013,85,19,16,36,7,1,6
A117015014,116,17,24,56,10,6,3
A117015015,64,18,17,22,2,2,3
A117015016,88,21,21,38,5,1,2
A117015019,126,27,21,49,19,3,7
A117015020,70,20,12,26,6,4,2
A117015021,27,3,11,9,1,2,1
A117015022,85,30,14,31,5,3,2
A117016001,62,19,11,20,7,4,1
A117016002,64,14,17,23,8,2,0
A117017001,94,39,19,20,9,4,3
A117017002,90,26,27,26,7,1,3
A117017003,64,18,13,21,9,2,1
A117018001,79,27,21,18,5,6,2
A117019001,52,10,13,25,3,0,1
A117020001,67,21,18,23,3,0,2
A117021001,82,30,19,18,9,4,2
A117022001,104,30,22,29,12,10,1
A117022002,50,8,13,22,5,1,1
A117023001,45,22,3,7,10,1,2
A117023002,43,16,6,9,9,2,1
A117024001,57,18,11,22,4,1,1
A117024002,124,32,28,47,12,4,1
A117025001,60,20,16,15,5,3,1
A117026001,47,19,11,8,5,3,1
A117027001,109,38,23,38,4,3,3
A117027002,58,22,11,20,3,0,2
A117027003,72,30,18,15,7,1,1
A117027004,76,13,19,25,15,4,0
A117027005,123,19,22,62,11,4,5
A117027006,75,48,14,6,5,1,1
A117027007,41,21,11,2,2,4,1
A117027008,68,13,11,27,8,6,3
A117027009,113,44,30,24,8,4,3
A117028001,99,44,16,11,9,19,0
A117029001,80,45,16,8,3,8,0
A117029002,98,37,20,19,11,8,3
A117029003,68,24,4,18,10,10,2
A117030001,82,20,25,30,5,1,1
A117030002,67,10,16,34,4,1,2
A117030003,71,14,11,33,5,6,2
A117030004,101,31,18,31,12,4,5
A117030005,96,27,14,28,17,8,2
A117031001/117034001,44,6,10,18,4,4,2
A117032001,54,10,10,21,5,6,2
