health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health,health..not_stated
A027027002,397,275,91,29,0,0,2
A027027003,456,324,95,25,1,0,11
A027027004,306,229,60,12,3,0,2
A027028001,241,116,94,29,0,0,2
A027028002,300,185,86,18,8,0,3
A027028003,240,148,59,25,3,0,5
A027028004,179,109,51,12,5,2,0
A027028005,138,83,43,10,2,0,0
A027028006,207,120,59,16,2,3,7
A027028007,177,104,41,21,8,1,2
A027028008,166,86,56,19,1,1,3
A027029001,119,72,34,9,2,0,2
A027030001,312,163,114,25,5,0,5
A027030002,300,124,116,44,10,3,3
A027031001,267,157,82,22,0,3,3
A027031002,183,111,51,16,2,0,3
A027032001,260,175,63,13,3,0,6
A027032002,337,237,64,22,5,0,9
A027032003,277,201,53,17,2,0,4
A027033001,160,93,42,14,3,0,8
A027033002,224,144,56,12,3,1,8
A027034001,157,99,37,13,3,0,5
A027035001,350,222,93,24,2,1,8
A027035002,347,224,79,28,5,1,10
A027035003,393,279,75,33,1,0,5
A027036001,227,140,64,17,0,1,5
A027036002,191,129,37,14,3,3,5
A027037001,287,164,86,25,6,1,5
A027038001/027047001,231,142,61,19,4,4,1
A027039001,202,132,42,20,3,0,5
A027040001,85,33,31,19,2,0,0
A027041001,142,73,40,24,2,2,1
A027042001,130,73,37,13,5,1,1
A027042002,142,79,39,20,2,1,1
A027043001,154,80,57,15,1,0,1
A027043002,249,181,50,10,2,1,5
A027044001,198,138,40,15,2,0,3
A027044002,284,180,66,27,1,1,9
A027045001,328,216,86,22,3,0,1
A027045002,317,204,86,24,2,0,1
A027045003,211,121,54,30,4,0,2
A027046001,187,148,28,11,0,0,0
A027046002,220,153,48,15,0,0,4
A027048001,179,136,27,13,1,1,1
A027048002,289,168,89,22,2,0,8
A027049001,235,178,39,13,2,0,3
A027050001,217,164,36,13,2,1,1
A027050002,240,176,50,14,0,0,0
A027051001,319,183,100,25,3,0,8
A027051002,322,199,81,28,6,1,7
A027052001,228,133,68,19,5,1,2
A027052002,214,138,59,13,2,1,1
A027052003,271,142,71,54,2,0,2
A027052004,154,86,40,19,4,1,4
A027052005,242,167,50,19,1,0,5
A027053001,230,134,75,18,1,0,2
A027053002,147,85,33,20,5,0,4
A027054001/027054003,197,108,46,32,5,1,5
A027054002,189,125,46,10,4,0,4
A027055001,238,138,58,32,5,0,5
A027056001,303,178,80,22,4,0,19
A027056002,243,152,68,14,1,1,7
A027057001,323,190,89,27,7,1,9
A027057002,202,136,48,16,1,0,1
A027057003,163,117,35,9,1,0,1
A027057004,217,148,52,14,1,0,2
A027057005,183,90,64,21,3,0,5
A027057006,191,121,49,17,1,0,3
A027058001/027085001,232,114,80,27,5,2,4
A027059001,177,104,55,15,2,0,1
A027059002,153,64,57,26,2,1,3
A027060001,137,77,43,10,0,0,7
A027060002,290,174,82,22,0,0,12
A027060003,155,109,27,17,1,0,1
A027061001,169,104,50,9,3,0,3
A027061002,229,128,66,25,3,1,6
A027061003,204,139,49,14,1,0,1
A027061004,271,174,67,24,1,1,4
A027062001,379,235,99,34,2,0,9
A027064001,380,260,89,22,2,1,6
A027064002,281,195,55,21,2,0,8
A027065001,426,281,77,28,6,2,32
A027065002,195,128,41,19,2,0,5
A027066001,269,165,76,23,1,0,4
A027066002,260,197,44,15,1,0,3
A027067001,212,134,56,10,2,1,9
A027067002,226,149,60,14,2,0,1
A027068001,268,169,66,20,4,1,8
A027069001,186,124,49,10,2,1,0
A027069002,217,140,55,18,2,1,1
A027070001,291,183,83,23,0,0,2
A027070002,143,66,56,14,4,0,3
A027070003,195,108,60,20,0,0,7
A027071001,214,147,50,11,1,0,5
A027071002,195,131,45,13,5,0,1
A027072001,222,98,51,14,4,0,55
A027072002,178,100,58,18,1,1,0
A027072003,173,103,54,12,3,0,1
A027072004,281,193,59,25,0,0,4
A027072005,216,127,64,20,0,1,4
A027072006,262,159,67,24,3,2,7
A027072007,280,181,65,20,4,2,8
A027073001,222,162,42,11,3,0,4
A027073002,262,127,81,39,5,2,8
A027073003,221,161,47,9,2,0,2
A027073004,282,174,79,16,2,1,10
A027073005,267,170,58,26,4,2,7
A027073006,392,265,99,21,2,0,5
A027073007,275,170,76,21,5,0,3
A027074001,371,252,85,26,2,0,6
A027074002,378,227,106,26,9,1,9
A027074003,256,172,59,14,2,0,9
A027074004,331,203,81,35,8,0,4
A027075001/027088001,330,229,74,24,2,0,1
A027076001,245,156,64,19,2,0,4
A027076002,223,149,54,14,1,0,5
A027077001,185,98,60,24,2,1,0
A027077002,197,116,65,12,4,0,0
A027078001,224,133,52,29,6,1,3
A027078002,232,148,66,14,3,0,1
A027078003,215,143,48,19,2,0,3
A027079001,154,98,39,13,2,0,2
A027079002,257,161,73,16,1,0,6
A027079003,198,107,60,19,2,0,10
A027079004,208,114,77,13,3,1,0
A027079005,247,159,62,16,3,0,7
A027080001,228,143,61,16,2,1,5
A027080002,249,135,74,29,2,0,9
A027081001,330,186,108,26,0,0,10
A027082001,199,138,43,12,2,0,4
A027082002,207,124,55,21,3,0,4
A027082003,165,88,57,15,0,1,4
A027083001,287,173,79,26,0,2,7
A027083002,238,173,50,11,2,0,2
A027083003,241,154,64,15,2,1,5
A027084001,158,107,40,7,4,0,0
A027084002,95,50,32,10,3,0,0
A027086001,122,68,40,12,1,1,0
A027086002,303,191,69,23,3,1,16
A027087001,315,230,62,15,3,0,5
A027087002,127,77,31,15,2,0,2
A027089001,135,69,48,15,1,0,2
A027089002,230,142,56,23,5,1,3
A027089003,306,212,66,20,2,2,4
A027090001,116,57,41,11,1,1,5
A027090002,113,60,39,12,2,0,0
A027091001,102,50,25,14,4,0,9
A027092001,207,137,48,18,0,0,4
A027092002,255,165,71,14,1,0,4
A027092002,255,165,71,14,1,0,4
A027092003,277,188,63,15,1,2,8
A027092004,222,143,65,7,1,0,6
A027092005,165,98,54,7,3,0,3
A027092006,256,124,73,35,8,1,15
A027092007,307,188,86,23,5,3,2
A027092008,296,174,94,20,2,0,6
A027092009,182,118,39,20,4,1,0
A027092010,217,147,46,14,3,0,7
A027092011,202,129,53,13,1,0,6
A027092012,170,89,56,20,1,0,4
A027092013,197,118,56,13,5,2,3
A027092014,242,143,69,20,4,3,3
A027092015,224,127,79,15,0,0,3
A027092016,347,242,81,11,7,1,5
A027092017,169,82,51,23,1,0,12
A027093001,264,165,66,22,1,3,7
A027093002,178,118,42,14,1,0,3
A027093003,393,248,114,22,2,0,7
A067018001,315,186,74,42,7,1,5
A067025001,88,41,26,16,2,0,3
A067025002,158,70,55,28,4,1,0
A067030001,447,303,106,20,4,2,12
A067030002,296,182,87,24,2,0,1
A067073002,101,59,25,15,0,0,2
A067111001,195,107,61,20,4,0,3
A067120001,202,85,71,38,4,0,4
A067120002,183,82,77,21,1,0,2
A067120003,143,77,45,14,3,1,3
A067206002,91,32,45,11,2,0,1
A067210001,190,112,55,18,1,0,4
A067210002,273,202,53,13,1,0,4
A117001001,419,244,122,29,7,0,17
A117002001/117003001,312,178,95,23,3,1,12
A117004001,300,168,101,26,2,0,3
A117004002,211,115,68,15,2,1,10
A117005001/117064001,116,43,40,16,2,1,14
A117006001,465,330,97,29,2,0,7
A117007001/117040001,239,138,75,23,1,0,2
A117008001,342,184,114,31,4,0,9
A117009001,195,92,57,31,8,1,6
A117009002,180,94,56,17,3,3,7
A117009003,269,164,56,22,8,2,17
A117009004,220,107,79,30,3,0,1
A117009005,260,169,53,30,2,0,6
A117009006,331,196,93,34,5,0,3
A117009007,286,185,67,29,2,1,2
A117010001,425,249,118,46,5,0,7
A117011001,455,284,122,32,6,1,10
A117012001,285,179,86,15,2,1,2
A117012002,287,169,83,20,4,0,11
A117013001,264,188,55,15,2,0,4
A117014001,357,214,109,27,2,0,5
A117015001,301,173,97,24,5,0,2
A117015002,305,195,76,22,3,1,8
A117015003,273,161,88,17,4,0,3
A117015004,238,157,65,9,4,0,3
A117015005,236,103,93,31,5,2,2
A117015006,166,84,61,16,2,1,2
A117015007,224,132,72,12,4,1,3
A117015008/117015018,293,183,91,13,3,0,3
A117015009,242,82,63,79,9,1,8
A117015010/117015017,135,78,37,12,3,0,5
A117015011,368,252,83,24,3,3,3
A117015012,345,247,75,16,1,1,5
A117015013,245,145,81,10,4,1,4
A117015014,356,223,101,24,3,0,5
A117015015,165,82,60,16,4,1,2
A117015016,231,129,68,30,2,0,2
A117015019,362,215,96,28,3,1,19
A117015020,192,115,55,15,1,0,6
A117015021,77,54,17,3,2,0,1
A117015022,223,144,50,23,0,0,6
A117016001,145,79,48,10,6,0,2
A117016002,177,120,48,7,1,0,1
A117017001,211,96,84,25,2,1,3
A117017002,225,146,48,27,1,0,3
A117017003,180,83,48,38,4,1,6
A117018001,195,102,61,20,5,0,7
A117019001,158,96,46,9,2,0,5
A117020001,167,107,37,19,2,0,2
A117021001,199,145,32,18,2,0,2
A117022001,247,141,67,23,3,0,13
A117022002,144,97,34,10,1,1,1
A117023001,106,54,35,12,0,0,5
A117023002,86,45,28,8,1,1,3
A117024001,147,77,45,17,2,0,6
A117024002,332,190,97,33,8,0,4
A117025001,142,79,43,17,2,0,1
A117026001,97,44,30,19,1,1,2
A117027001,253,136,82,31,0,0,4
A117027002,153,81,54,10,3,0,5
A117027003,143,62,54,21,5,0,1
A117027004,205,99,64,22,3,1,16
A117027005,396,271,92,26,2,0,5
A117027006,117,45,36,28,5,0,3
A117027007,140,15,43,6,3,0,73
A117027008,196,110,64,9,4,0,9
A117027009,313,132,67,30,5,1,78
A117028001,209,100,74,23,6,1,5
A117029001,161,94,49,13,4,0,1
A117029002,217,102,77,29,4,2,3
A117029003,152,84,42,14,1,0,11
A117030001,220,153,53,13,0,0,1
A117030002,214,146,47,12,3,0,6
A117030003,202,146,33,10,1,1,11
A117030004,242,118,93,18,3,1,9
A117030005,240,119,82,24,5,0,10
A117031001/117034001,129,58,40,20,1,0,10
A117032001,146,60,60,12,1,1,12
A117033001,163,122,35,2,1,2,1
A117035001,275,196,63,11,1,0,4
A117035002,164,93,52,16,0,0,3
A117035003,136,49,61,22,2,0,2
A117035004,180,100,55,16,3,1,5
A117035005,236,115,87,28,3,0,3
A117035006,147,96,42,8,0,0,1
A117035007,170,97,54,15,1,0,3
A117035008,260,158,75,22,4,1,0
A117036001,237,148,60,21,2,1,5
A117036002,178,99,65,10,2,0,2
A117036003,161,97,44,16,3,0,1
A117037001,175,112,44,17,2,0,0
A117038001,120,76,30,9,1,0,4
A117038002,165,81,63,16,2,0,3
A117039001,158,92,45,14,2,0,5
A117039002,187,100,54,26,5,0,2
A117039003,246,156,66,18,3,1,2
A117041001,142,77,44,15,3,0,3
A117042001,145,89,39,11,1,2,3
A117043001,169,87,58,16,1,0,7
A117044001,143,67,40,28,1,1,6
A117045001,152,108,36,8,0,0,0
A117046001,174,111,46,12,3,0,2
A117047001,245,89,78,69,0,0,9
A117048001,199,117,60,15,1,0,6
A117048002,142,101,31,6,0,0,4
A117049001/117076001,155,94,38,17,5,0,1
A117050001,206,112,68,23,1,0,2
A117050002,182,84,58,35,2,2,1
A117050004,136,70,44,17,4,0,1
A117051001,195,110,60,23,1,0,1
A117052001,203,118,64,11,6,0,4
A117052002/117052003,210,123,62,18,2,0,5
A117053001,101,74,17,7,0,0,3
A117053002,160,99,46,8,5,1,1
A117054001,167,84,67,13,0,0,3
A117055001,158,85,53,15,0,1,4
A117056001,146,89,36,18,1,0,2
A117057001,154,80,48,16,5,0,5
A117058001,176,96,51,16,5,2,6
A117058002,150,78,52,12,2,1,5
A117058003,203,107,60,28,3,0,5
A117058004,180,88,60,21,5,1,5
A117058005,141,88,38,9,3,0,3
A117059001,170,81,50,26,3,2,8
A117059002,215,136,59,14,1,0,5
A117059003/117059006,223,115,78,21,5,1,3
A117059004,280,177,72,28,2,0,1
A117059005,182,112,52,15,1,0,2
A117059007,303,141,93,42,15,5,7
A117060001,238,155,59,17,2,1,4
A117061001,154,98,34,13,0,0,9
A117061002,160,91,50,15,1,1,2
A117062001,168,100,56,10,0,0,2
A117062002,202,90,67,37,6,1,1
A117063001,172,98,54,9,2,0,9
A117063002,167,91,42,27,1,0,6
A117063003,239,151,67,17,1,0,3
A117063004,256,176,58,15,4,0,3
A117063005,132,77,38,7,2,0,8
A117063006,270,161,86,16,2,0,5
A117063007,292,185,72,27,2,0,6
A117063008,171,104,48,15,3,0,1
A117063009,154,91,42,15,2,0,4
A117063010,332,183,103,39,3,1,3
A117063011,212,151,49,11,0,0,1
A117065001,179,104,52,14,2,2,5
A117066001,178,89,68,13,2,1,5
A117066002,167,83,54,22,5,0,3
A117066003,179,106,53,14,2,3,1
A117066004,274,146,89,21,6,1,11
A117066005,215,116,76,17,0,0,6
A117066006,190,103,58,19,4,0,6
A117066007,184,109,45,17,4,0,9
A117066008,69,40,15,9,2,0,3
A117067001,126,80,33,11,1,0,1
A117068001,153,95,38,17,2,0,1
A117069001,207,95,69,32,5,1,5
A117070001/117070002,207,117,69,11,5,3,2
A117071001,171,112,36,17,1,1,4
A117072001,168,110,36,16,3,2,1
A117072002,303,189,73,33,3,0,5
A117072003/117072004,134,83,28,13,0,0,10
A117073001,184,128,35,10,3,2,6
A117074001,160,104,35,11,4,0,6
A117074002,226,135,61,18,2,0,10
A117075001,192,145,38,6,2,0,1
A117077001,117,73,30,11,2,0,1
A117077002,345,209,86,28,4,0,18
A117077003,186,103,61,16,2,0,4
A117077004,211,132,54,19,1,1,4
A117078001,204,133,50,17,3,0,1
A117078002,128,70,36,18,3,0,1
A137001001,91,35,29,17,4,0,6
A137001002,188,81,59,30,5,2,11
A137002001,264,60,69,49,13,5,68
A137002002,243,108,82,34,7,9,3
A137003001,244,135,67,29,5,2,6
A137003002,212,97,81,22,8,1,3
A137004001,242,137,58,30,5,3,9
A137004002,161,88,42,21,3,0,7
A137004003,227,103,76,35,8,2,3
A137005001,114,46,40,13,1,1,13
A137005002,216,138,60,8,1,0,9
A137006001,224,115,53,8,0,0,48
A137006002,224,88,61,6,2,0,67
A137007001,92,44,24,6,0,0,18
A137007002,124,68,41,9,1,0,5
A137007003,139,41,40,18,6,0,34
A137008001,174,62,57,22,3,1,29
A137008002,139,47,43,10,8,1,30
A137009001,180,76,67,19,5,0,13
A137009002,293,103,84,29,9,1,67
A137009003,338,185,95,39,7,0,12
A137009004,239,90,77,38,8,7,19
A137009005,276,88,99,52,9,1,27
A137009006,227,98,81,27,10,0,11
A137009007,258,121,85,37,6,2,7
A137009008,326,158,104,45,11,0,8
A137009009,282,165,79,26,5,1,6
A137009010,255,153,80,20,2,0,0
A137009011,391,234,117,36,3,1,0
A137009012,238,102,86,36,6,1,7
A137010001,333,184,105,37,3,2,2
A137011001,243,108,97,22,4,3,9
A137011002,259,183,56,18,1,0,1
A137011003,278,201,57,15,1,0,4
A137011004,245,118,70,43,7,3,4
A137012001,204,95,66,28,8,1,6
A137013001,242,121,85,24,7,2,3
A137013002,295,140,100,42,11,2,0
A137013003,362,216,112,25,3,2,4
A137013004,246,148,75,15,3,0,5
A137013005,284,133,105,35,5,1,5
A137013006,170,59,77,19,5,1,9
A137013007,511,209,166,52,12,3,69
A137013008,163,102,43,7,4,1,6
A137013009,135,76,34,18,2,0,5
A137014001,347,209,96,28,4,0,10
A137015001,334,209,85,27,4,0,9
A137015002,224,151,44,19,6,0,4
A137015003,220,128,61,22,6,0,3
A137016001,199,104,66,23,3,2,1
A137016002,261,161,72,19,2,0,7
A137016003,210,135,56,15,2,1,1
A137017001,235,157,59,14,3,0,2
A137017002,215,124,67,22,0,0,2
A137017003,326,208,77,22,5,2,12
A137018001,299,180,83,28,2,1,5
A137018002,182,112,47,19,2,0,2
A137019001,202,133,41,16,6,0,6
A137020001,215,154,45,9,1,0,6
A137020002,205,93,80,25,4,0,3
A137021001,232,146,54,18,5,2,7
A137021002,224,139,60,15,3,0,7
A137022001,264,128,88,39,3,3,3
A137023001,252,143,71,25,7,1,5
A137024001,215,113,80,20,1,0,1
A137025001,159,91,41,15,3,0,9
A137025002,256,132,72,14,1,0,37
A137026001,333,166,122,25,4,0,16
A137026002,225,86,86,42,6,0,5
A137027001,180,97,44,14,3,2,20
A137027002,226,127,64,24,5,0,6
A137027003,164,66,66,19,2,2,9
A137027004,176,76,42,32,8,3,15
A137027005,250,131,82,30,4,0,3
A137027006,235,138,68,25,2,0,2
A137028001,203,106,69,18,3,1,6
A137029001,212,124,60,23,4,0,1
A137029002,189,116,50,18,3,0,2
A137029003,195,125,47,18,1,0,4
A137029004,194,126,41,16,2,2,7
A137029005,281,176,71,20,1,3,10
A137029006,183,107,57,13,3,0,3
A137029007,251,154,64,21,1,4,7
A137029008,267,177,63,18,6,0,3
A137029009,194,118,61,11,1,1,2
A137029010,175,116,43,9,0,0,7
A137030001/137052001,226,139,55,10,5,1,16
A137031001,401,275,76,21,5,0,24
A137031002,302,174,82,29,9,1,7
A137032001,190,104,60,19,4,0,3
A137032002,231,142,66,18,2,3,0
A137033001,168,103,49,11,1,0,4
A137034001,247,142,79,20,4,0,2
A137035001,202,109,46,24,7,3,13
A137035002,238,129,72,32,4,1,0
A137035003,161,118,29,8,3,0,3
A137035004,254,145,79,29,1,0,0
A137035005,323,197,99,22,4,0,1
A137036001,260,140,79,31,2,0,8
A137036002,332,192,99,25,2,1,13
A137036003,382,230,107,32,6,0,7
A137036004,194,117,54,17,3,0,3
A137036005,194,127,46,13,4,1,3
A137037001,149,95,42,8,1,1,2
A137037002,159,111,34,6,1,0,7
A137037003,247,147,69,24,1,0,6
A137038001,139,70,44,19,2,0,4
A137038002,196,104,66,17,5,0,4
A137039001,219,141,59,15,3,0,1
A137040001,205,117,60,22,2,0,4
A137041001,189,92,76,16,3,0,2
A137041002,233,152,57,19,3,0,2
A137042001,306,198,71,26,3,0,8
A137043001,297,171,89,24,4,1,8
A137043002,205,128,57,13,0,0,7
A137043003,128,54,43,15,5,4,7
A137043004,246,140,61,35,3,0,7
A137043005,293,190,65,25,3,2,8
A137043006,116,62,36,13,3,1,1
A137043007,286,154,101,25,3,0,3
A137043008,238,121,72,31,5,0,9
A137043009,215,96,69,23,3,0,24
A137043010,251,134,69,25,4,1,18
A137043011,171,100,47,11,2,2,9
A137043012,188,72,68,35,10,2,1
A137043012,188,72,68,35,10,2,1
A137043013,251,122,65,41,7,0,16
A137043014,171,80,60,14,5,1,11
A137043015,247,142,65,16,6,4,14
A137043016,317,164,98,28,10,2,15
A137044001/137044003,196,101,62,24,3,2,4
A137044002,257,157,76,17,2,0,5
A137044004,234,145,60,25,1,1,2
A137044005,213,122,49,22,10,2,8
A137045001,315,161,110,30,7,1,6
A137045002,351,234,85,21,4,0,7
A137045003,301,171,88,23,3,1,15
A137045004,200,92,66,17,9,2,14
A137045005,161,85,45,21,4,2,4
A137045006,201,123,56,16,1,1,4
A137045007,242,139,69,15,3,1,15
A137045008,292,152,106,27,1,1,5
A137045009,286,163,89,25,3,2,4
A137045010,248,160,64,13,2,0,9
A137045011,177,107,48,12,6,0,4
A137045012,169,86,50,19,1,2,11
A137045013,182,113,44,20,1,0,4
A137045014,250,138,88,21,0,0,3
A137045015,265,145,88,22,3,1,6
A137045016,194,115,52,23,3,1,0
A137045017,163,97,47,11,3,0,5
A137045018,274,165,79,22,3,1,4
A137045019,274,128,98,39,4,0,5
A137045020,169,102,44,18,1,0,4
A137045021,180,97,49,29,2,0,3
A137045022,183,105,59,16,1,0,2
A137045023,145,81,34,21,2,2,5
A137046001,173,52,68,32,13,7,1
A137047001,234,104,66,40,15,0,9
A137048001,269,117,105,33,5,0,9
A137049001,140,59,43,24,8,2,4
A137049002,218,83,69,46,7,2,11
A137049003,236,85,93,36,5,2,15
A137050001,244,94,105,20,11,0,14
A137050002,246,120,82,31,1,1,11
A137051001,150,59,54,17,8,0,12
A137053001,244,100,101,33,4,3,3
A137053002,191,91,64,20,2,0,14
A137053003,273,136,88,30,3,0,16
A137053004,232,124,67,24,4,2,11
A137053005,277,120,97,31,11,0,18
A137054001,125,48,62,10,2,0,3
A137054002,121,34,51,18,3,2,13
A137054003,219,86,87,35,7,0,4
A137054004,277,156,83,28,2,1,7
A137054005,288,193,73,20,1,0,1
A137054006,286,154,82,33,8,1,8
A137054007,178,97,64,13,2,0,2
A137055001,224,132,64,17,4,1,6
A137055002,241,125,75,24,9,2,6
A167058001,199,132,55,6,0,0,6
A167092001,310,203,79,18,3,1,6
A177026001,336,217,99,15,0,0,5
A177027001,185,90,63,28,3,1,0
A177031001,336,206,112,12,2,0,4
A177031002,251,100,78,55,13,1,4
A177031003,127,63,43,15,1,0,5
A177032001,134,58,48,12,4,0,12
A177035001,213,131,56,16,2,1,7
A177037001,248,121,96,19,5,0,7
A177040001,185,99,61,16,2,0,7
A177051001/177051002,317,203,77,26,4,0,7
A177063001,358,231,89,31,2,0,5
A197001001,223,148,66,7,1,1,0
A197002001/197087001,109,78,22,7,2,0,0
A197003001,241,166,58,15,1,0,1
A197003002,243,158,57,20,4,0,4
A197005002,445,278,131,26,4,0,6
A197006001,384,244,107,27,2,0,4
A197006002,266,180,64,14,1,1,6
A197007001,199,125,62,6,2,0,4
A197009001,163,93,50,14,1,1,4
A197010001,104,34,50,16,2,0,2
A197011010,262,94,66,26,8,3,65
A197012001,392,194,122,54,13,8,1
A197012002,191,98,62,23,4,1,3
A197012003,349,225,102,14,1,0,7
A197012004,225,137,61,20,2,1,4
A197012005,221,123,70,19,1,2,6
A197013001,381,172,102,69,29,5,4
A197013002,195,115,50,22,5,0,3
A197013003,194,99,59,16,3,0,17
A197013004,142,72,48,15,3,0,4
A197015001,143,83,35,19,1,1,4
A197016001,179,91,57,24,6,0,1
A197017001,258,165,57,27,4,0,5
A197019001,165,85,50,24,3,0,3
A197020001,222,141,57,15,4,1,4
A197020002,225,135,66,21,0,1,2
A197020003,279,170,81,23,3,1,1
A197020004,257,145,78,26,5,0,3
A197021001,287,173,90,17,1,0,6
A197021002,295,214,65,5,3,2,6
A197021003,269,129,78,32,9,2,19
A197021004,379,186,143,36,8,3,3
A197021005,344,238,79,15,0,2,10
