house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00063461,135,13,15,32,48,2,9,16
E00063462,103,19,5,22,30,5,16,6
E00063463,120,14,14,33,30,6,17,6
E00063464,127,15,27,34,29,11,7,4
E00063465,126,11,11,23,51,13,8,9
E00063466,127,7,16,22,55,6,6,15
E00063467,119,5,41,17,35,8,10,3
E00063468,116,9,19,21,53,4,4,6
E00063469,136,21,23,35,16,17,18,6
E00063470,139,13,43,30,15,26,10,2
E00063471,130,7,35,30,24,13,16,5
E00063472,152,41,26,45,24,5,11,0
E00063473,126,38,25,38,11,4,8,2
E00063474,135,18,36,41,18,13,5,4
E00063475,180,18,32,55,44,10,7,14
E00063476,106,8,23,29,11,18,15,2
E00063477,141,40,15,33,17,15,11,10
E00063478,103,10,30,24,16,17,6,0
E00063479,101,18,6,43,19,5,8,2
E00063480,132,9,55,21,15,20,9,3
E00063481,118,20,43,27,11,5,9,3
E00063482,154,15,33,41,27,22,14,2
E00063483,96,7,23,27,17,15,4,3
E00063484,140,12,27,65,26,1,7,2
E00063485,141,17,24,61,25,5,6,3
E00063486,120,14,22,55,18,5,4,2
E00063487,143,15,11,77,28,4,7,1
E00063488,138,14,15,61,21,11,14,2
E00063489,144,11,19,64,27,8,8,7
E00063490,130,19,27,44,17,12,6,5
E00063491,216,21,49,45,35,34,26,6
E00063492,144,5,39,38,28,26,5,3
E00063493,74,7,27,15,8,11,6,0
E00063494,133,9,40,22,21,27,9,5
E00063495,122,13,25,20,26,25,10,3
E00063496,86,6,28,15,9,13,12,3
E00063497,128,14,25,41,20,10,12,6
E00063498,129,14,32,43,19,8,8,5
E00063499,108,10,17,28,36,7,5,5
E00063500,121,5,51,29,16,9,7,4
E00063501,112,54,20,16,10,7,3,2
E00063502,168,9,58,44,23,18,13,3
E00063503,216,14,63,41,52,19,19,8
E00063504,113,17,24,20,21,19,11,1
E00063505,136,5,17,51,42,8,11,2
E00063506,126,8,18,49,31,6,12,2
E00063507,144,18,36,42,11,20,14,3
E00063508,114,13,16,28,34,12,7,4
E00063509,112,10,21,21,23,26,10,1
E00063510,120,10,7,51,40,7,5,0
E00063511,174,20,49,28,30,35,8,4
E00063512,96,14,31,26,15,5,3,2
E00063513,129,7,8,52,53,3,4,2
E00063514,126,13,20,42,27,6,16,2
E00063515,138,6,20,68,26,8,10,0
E00063517,125,16,29,37,18,5,17,3
E00063518,113,12,24,46,16,9,6,0
E00063520,134,8,20,49,36,9,11,1
E00063521,145,18,35,49,23,4,11,5
E00063522,169,4,17,63,65,5,8,7
E00063523,132,21,13,59,24,2,11,2
E00063525,171,4,32,46,64,16,5,4
E00063526,142,1,12,43,57,14,8,7
E00063527,142,8,38,15,27,37,8,9
E00063528,143,11,51,25,30,17,8,1
E00063529,100,12,28,33,13,6,6,2
E00063530,115,13,22,45,14,8,11,2
E00063531,130,19,25,21,26,23,12,4
E00063532,151,18,33,52,17,7,21,3
E00063533,133,21,34,27,23,10,14,4
E00063534,114,24,27,22,13,14,12,2
E00063535,137,23,24,33,26,12,14,5
E00063536,171,9,29,35,45,35,12,6
E00063537,153,9,23,40,28,39,8,6
E00063538,114,8,23,20,23,26,6,8
E00063539,107,35,24,15,13,11,7,2
E00063540,151,13,24,37,23,28,20,6
E00063541,152,9,33,21,29,40,13,7
E00063542,133,13,15,46,36,10,9,4
E00063543,150,7,43,31,27,29,7,6
E00063544,92,11,22,36,13,5,4,1
E00063545,203,8,45,78,47,11,7,7
E00063546,223,1,38,63,89,19,6,7
E00063547,122,36,17,27,26,7,6,3
E00063549,124,17,13,25,50,3,7,9
E00063550,123,9,14,39,40,9,6,6
E00063551,117,18,19,19,28,15,11,7
E00063552,125,25,13,71,8,2,6,0
E00063553,142,21,43,34,19,17,7,1
E00063554,137,22,38,27,16,21,11,2
E00063555,152,11,41,27,40,16,13,4
E00063556,135,15,17,60,31,2,7,3
E00063557,153,18,56,25,23,15,12,4
E00063558,140,19,53,46,8,6,5,3
E00063559,147,13,23,33,40,11,17,10
E00063560,124,6,16,25,34,21,13,9
E00063561,119,8,25,19,43,15,5,4
E00063562,132,9,13,20,54,8,14,14
E00063563,122,6,23,21,45,13,7,7
E00063564,116,2,7,21,59,8,6,13
E00063565,138,5,11,54,48,14,3,3
E00063566,155,26,18,70,21,9,9,2
E00063567,122,25,14,58,12,2,9,2
E00063568,111,17,15,54,14,3,6,2
E00063569,138,21,15,65,25,5,5,2
E00063570,126,20,7,59,27,5,7,1
E00063571,133,18,15,52,37,8,3,0
E00063572,113,34,7,30,20,10,10,2
E00063573,126,10,13,55,28,5,11,4
E00063574,120,19,9,57,26,4,5,0
E00063575,129,16,11,54,15,18,12,3
E00063576,116,15,8,61,21,3,7,1
E00063577,117,18,5,62,22,4,5,1
E00063578,175,19,16,82,42,8,6,2
E00063579,132,9,8,57,44,7,6,1
E00063580,121,18,7,65,18,4,8,1
E00063581,177,43,25,51,48,6,2,2
E00063582,119,23,8,54,21,4,8,1
E00063583,131,17,31,46,22,10,5,0
E00063584,130,20,14,51,27,10,5,3
E00063585,121,19,8,56,26,1,8,3
E00063586,75,12,9,38,12,2,1,1
E00063587,196,18,17,75,47,16,17,6
E00063588,135,3,45,30,19,27,7,4
E00063589,99,3,5,36,44,4,4,3
E00063590,111,7,17,43,22,12,10,0
E00063591,103,11,15,28,26,17,4,2
E00063592,126,21,12,68,11,9,5,0
E00063593,248,16,39,98,68,11,11,5
E00063594,145,54,62,15,0,3,8,3
E00063595,123,17,13,52,26,3,5,7
E00063596,115,8,19,43,23,12,7,3
E00063597,100,13,9,47,23,2,6,0
E00063598,167,11,47,34,38,20,12,5
E00063599,137,36,55,27,2,7,9,1
E00063600,122,7,27,40,25,15,7,1
E00063601,139,16,21,48,38,10,4,2
E00063602,220,5,25,75,82,14,16,3
E00063603,143,12,22,47,39,11,8,4
E00063604,125,11,26,45,20,16,6,1
E00063605,146,13,47,31,21,23,8,3
E00063606,84,35,30,14,1,3,0,1
E00063607,122,29,9,43,19,12,9,1
E00063608,154,13,28,53,32,11,10,7
E00063609,133,23,26,32,21,18,10,3
E00063610,128,20,23,61,11,7,5,1
E00063611,137,22,26,41,21,10,13,4
E00063612,123,12,26,39,19,13,13,1
E00063613,157,9,32,30,31,38,15,2
E00063614,133,3,37,42,31,15,3,2
E00063615,136,8,20,58,34,10,5,1
E00063616,127,15,19,19,30,27,8,9
E00063617,130,12,28,51,22,8,7,2
E00063618,144,16,33,38,30,15,9,3
E00063619,130,14,19,39,23,22,11,2
E00063620,119,19,12,60,14,3,10,1
E00063621,81,8,5,20,17,18,11,2
E00063622,139,28,17,76,15,0,3,0
E00063623,121,19,10,72,13,2,4,1
E00063624,131,9,47,18,18,24,10,5
E00063625,120,17,10,54,22,2,15,0
E00063626,158,15,58,21,28,13,15,8
E00063627,111,12,10,47,26,3,7,6
E00063628,155,18,47,25,32,15,13,5
E00063629,132,16,34,26,27,12,11,6
E00063630,113,49,33,22,2,3,3,1
E00063631,143,9,48,23,21,24,14,4
E00063632,180,47,42,43,16,20,7,5
