pop..lsoa_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01012664,1621,744,877,102,152,103,185,185,425,291,178
E01012665,1687,806,881,58,94,79,151,151,379,448,327
E01012666,1403,723,680,44,125,92,157,154,361,290,180
E01012667,1491,713,778,84,118,78,218,130,428,245,190
E01012668,1582,770,812,79,120,82,228,151,377,321,224
E01012669,1815,928,887,54,122,122,211,175,500,380,251
E01012670,1403,717,686,149,171,124,214,211,296,184,54
E01012671,1403,793,610,65,129,103,204,157,415,250,80
E01012672,1444,770,674,77,101,120,218,182,450,246,50
E01012673,1413,707,706,104,157,144,246,160,366,191,45
E01012674,1682,878,804,90,150,140,264,228,488,261,61
E01012675,1581,830,751,129,181,127,277,217,396,194,60
E01012676,1341,677,664,57,98,109,205,167,366,212,127
E01012677,1341,636,705,64,86,105,168,181,379,219,139
E01012678,1194,571,623,130,158,110,173,160,285,152,26
E01012679,1433,720,713,134,184,97,224,180,370,177,67
E01012680,1387,722,665,113,136,100,199,176,397,200,66
E01012681,1551,981,570,65,55,68,255,211,546,303,48
E01012682,1420,731,689,119,109,75,208,190,398,231,90
E01012683,1380,787,593,62,124,115,188,197,426,201,67
E01012684,1440,682,758,105,166,115,211,188,384,188,83
E01012685,1456,704,752,117,152,95,232,220,362,179,99
E01012686,1392,669,723,98,153,140,199,178,344,192,88
E01012687,1406,695,711,82,169,131,211,153,372,217,71
E01012688,1081,522,559,43,34,46,102,93,282,294,187
E01012689,1254,641,613,78,90,64,130,144,317,267,164
E01012690,1589,752,837,105,151,109,177,222,391,303,131
E01012691,1957,959,998,118,209,156,273,234,492,322,153
E01012692,1634,816,818,81,132,84,237,175,444,320,161
E01012693,1534,755,779,94,117,90,197,142,408,297,189
E01012694,1279,640,639,93,134,81,169,160,324,215,103
E01012695,1319,637,682,97,126,111,175,192,380,165,73
E01012696,1517,709,808,135,139,101,249,202,374,210,107
E01012697,1295,613,682,46,88,65,165,111,284,334,202
E01012698,1600,773,827,118,244,135,223,194,379,232,75
E01012699,1699,854,845,103,156,111,212,235,404,298,180
E01012700,1717,804,913,80,139,154,233,193,436,313,169
E01012701,1526,740,786,116,122,83,188,189,366,299,163
E01012702,1425,642,783,64,107,76,134,127,366,286,265
E01012703,1484,697,787,59,105,71,211,165,360,282,231
E01012704,1934,980,954,108,157,111,219,219,563,385,172
E01012705,1561,775,786,103,163,109,206,185,402,259,134
E01012706,1489,694,795,106,126,104,188,185,411,251,118
E01012707,1210,582,628,75,91,61,175,144,353,213,98
E01012708,1256,598,658,69,93,92,184,171,362,175,110
E01012709,1586,729,857,152,183,106,286,185,392,181,101
E01012710,1166,523,643,50,70,70,158,125,317,213,163
E01012711,1401,718,683,87,137,108,178,179,391,174,147
E01012712,1633,790,843,127,124,92,218,207,437,294,134
E01012713,1866,893,973,131,164,129,296,239,519,262,126
E01012714,1678,782,896,81,133,92,225,150,463,346,188
