house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
W00000151,130,18,18,43,26,13,12,0
W00000152,128,7,30,31,21,16,18,5
W00000153,128,6,46,20,23,22,5,6
W00000154,121,16,36,23,18,17,10,1
W00000155,117,7,24,30,34,9,10,3
W00000156,108,10,14,59,15,4,6,0
W00000157,154,28,23,58,23,5,15,2
W00000158,142,11,29,54,27,1,15,5
W00000159,127,17,17,42,33,8,8,2
W00000160,128,24,22,43,19,11,6,3
W00000161,102,20,13,52,7,0,8,2
W00000162,115,27,11,29,13,17,14,4
W00000163,145,17,17,62,27,2,15,5
W00000164,129,34,22,43,17,4,8,1
W00000165,134,35,28,31,11,12,13,4
W00000166,137,28,26,30,18,13,14,8
W00000167,138,14,26,45,26,8,14,5
W00000168,153,30,62,27,14,11,9,0
W00000169,135,15,20,22,23,30,19,6
W00000170,120,18,18,42,20,11,9,2
W00000171,156,13,20,65,39,12,7,0
W00000172,117,14,20,52,20,6,4,1
W00000173,127,33,20,38,16,9,8,3
W00000174,125,23,19,40,28,1,11,3
W00000175,173,30,23,68,26,5,13,8
W00000176,123,22,17,40,23,7,12,2
W00000177,110,8,18,35,35,6,7,1
W00000178,135,12,32,51,24,5,8,3
W00000179,138,21,20,55,24,5,11,2
W00000180,131,25,40,23,14,18,9,2
W00000181,131,21,48,16,22,10,14,0
W00000182,125,16,46,27,14,11,8,3
W00000183,125,11,14,55,27,8,8,2
W00000184,143,21,33,41,29,5,12,2
W00000185,119,20,22,32,28,2,13,2
W00000186,129,22,32,39,21,4,7,4
W00000187,137,22,29,33,27,19,3,4
W00000188,106,12,23,36,23,8,2,2
W00000189,122,13,23,37,19,8,18,4
W00000190,115,28,18,52,7,2,6,2
W00000191,146,40,34,36,18,6,12,0
W00000192,142,22,22,55,19,10,7,7
W00000193,124,26,23,31,21,15,6,2
W00000194,163,16,29,76,27,0,11,4
W00000195,156,24,27,59,32,4,7,3
W00000196,134,34,12,48,25,8,6,1
W00000197,140,25,19,42,22,15,14,3
W00000198,127,20,17,54,20,6,9,1
W00000199,84,12,5,39,17,4,6,1
W00000200,154,35,17,63,23,4,9,3
W00000201,64,14,9,18,9,5,8,1
W00000202,159,29,11,89,18,4,7,1
W00000203,139,28,15,58,22,4,8,4
W00000204,94,10,26,30,13,5,8,2
W00000205,81,20,16,32,2,6,4,1
W00000206,125,26,23,49,16,2,8,1
W00000207,109,12,12,47,18,6,12,2
W00000208,167,31,41,22,27,27,13,6
W00000209,96,10,13,19,16,23,10,5
W00000210,182,14,17,37,46,45,20,3
W00000211,71,23,17,13,4,6,6,2
W00000212,121,19,14,39,26,11,10,2
W00000213,140,16,21,51,25,7,13,7
W00000214,138,16,27,37,35,7,13,3
W00000215,127,12,24,38,34,6,13,0
W00000216,131,27,13,49,25,7,7,3
W00000217,123,25,19,30,24,8,15,2
W00000218,127,14,33,30,23,9,14,4
W00000219,124,25,14,42,28,3,12,0
W00000220,149,16,31,29,39,21,12,1
W00000221,122,18,20,57,14,6,7,0
W00000222,128,37,20,41,21,5,3,1
W00000223,129,18,12,63,24,3,4,5
W00000224,128,20,17,56,18,6,6,5
W00000225,128,14,18,75,14,2,5,0
W00000226,129,20,10,61,25,5,6,2
W00000227,110,15,19,40,25,5,3,3
W00000228,139,31,31,41,23,2,8,3
W00000229,148,21,24,53,28,0,14,8
W00000230,133,23,19,52,20,6,8,5
W00000231,142,32,31,61,11,0,7,0
W00000232,144,45,20,57,14,3,4,1
W00000233,70,10,18,24,11,0,6,1
W00000234,136,30,49,36,6,4,11,0
