rel..oa_id,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00003435,296,208,1,0,0,0,0,3,70,14
W00003436,269,203,0,0,0,3,0,3,41,19
W00003437,268,147,0,0,0,0,0,2,100,19
W00003438,294,186,0,0,0,0,0,1,78,29
W00003439,242,151,0,0,0,11,0,1,63,16
W00003440,314,233,0,14,0,4,0,0,41,22
W00003441,336,243,6,0,1,24,0,1,53,8
W00003442,232,161,0,0,0,0,0,0,42,29
W00003443,291,219,0,0,0,1,0,0,60,11
W00003444,328,215,0,0,0,0,0,1,93,19
W00003445,284,167,0,0,0,5,0,3,93,16
W00003446,267,138,3,1,1,0,1,5,103,15
W00003447,188,114,0,0,1,0,0,7,48,18
W00003448,204,138,1,0,0,1,0,1,47,16
W00003449,211,119,6,5,0,8,0,2,59,12
W00003450,305,199,2,0,0,1,5,0,73,25
W00003451,324,181,1,1,2,6,0,6,102,25
W00003452,332,188,1,0,0,4,0,3,59,77
W00003453,233,163,1,0,0,0,0,0,58,11
W00003454,309,240,0,0,0,0,0,1,42,26
W00003455,292,201,0,0,0,6,0,2,62,21
W00003456,317,198,1,1,0,0,0,2,86,29
W00003457,474,308,1,9,0,5,0,2,127,22
W00003458,178,133,0,0,0,0,0,0,35,10
W00003459,365,198,0,7,0,0,0,0,132,28
W00003460,335,211,1,9,0,0,0,3,83,28
W00003461,456,306,1,0,0,2,4,1,111,31
W00003463,298,225,0,0,0,0,1,0,59,13
W00003464,276,173,2,0,0,0,0,0,81,20
W00003465,353,222,0,0,0,0,1,3,102,25
W00003466,268,148,3,0,1,6,0,4,88,18
W00003467,331,217,1,0,0,0,0,0,86,27
W00003468,322,185,2,1,1,0,0,1,112,20
W00003469,291,192,1,0,0,1,0,1,79,17
W00003470,298,146,0,0,0,0,0,5,109,38
W00003471,209,136,2,0,0,0,0,1,41,29
W00003472,243,150,0,0,1,0,0,1,64,27
W00003473,280,178,2,0,0,2,0,8,60,30
W00003474,373,208,2,0,0,3,0,2,122,36
W00003475,334,185,4,0,0,0,0,1,122,22
W00003476,477,234,2,0,0,10,0,1,186,44
W00003477,266,161,0,3,0,4,0,9,66,23
W00003478,221,144,3,0,0,0,0,0,59,15
W00003479,223,129,0,1,0,0,0,1,71,21
W00003480,294,180,0,0,0,0,0,5,84,25
W00003481,227,149,0,0,0,3,0,1,64,10
W00003482,287,203,0,0,0,2,0,0,66,16
W00003483,298,239,0,0,0,0,0,2,43,14
W00003484,266,200,2,0,0,8,0,3,34,19
W00003485,408,268,2,3,2,1,0,5,88,39
W00003486,338,224,0,3,0,0,0,4,85,22
W00003487,298,232,0,0,0,0,0,6,39,21
W00003488,360,227,2,2,0,1,0,11,81,36
W00003489,374,257,1,1,0,0,0,0,83,32
W00003490,355,237,3,0,0,0,0,4,58,53
W00003491,321,242,1,0,0,0,0,2,49,27
W00003492,297,171,0,0,1,4,0,4,95,22
W00003493,327,198,0,0,0,0,0,6,80,43
W00003494,316,218,0,0,0,0,0,0,68,30
W00003495,438,297,1,0,1,12,0,2,82,43
W00003496,235,134,1,1,0,0,0,4,66,29
W00003497,311,200,0,0,0,0,0,0,82,29
W00003498,237,150,1,0,0,0,0,1,65,20
W00003499,407,258,0,2,0,0,0,2,117,28
W00003500,306,179,3,0,0,0,0,1,97,26
W00003501,435,218,3,8,1,24,0,0,148,33
W00003502,322,222,0,0,0,3,0,0,82,15
W00003503,434,298,0,0,0,0,0,1,105,30
W00003504,311,202,0,0,0,0,0,0,92,17
W00003505,341,162,3,0,0,1,0,0,149,26
W00003506,225,135,1,0,0,0,0,2,69,18
W00003507,268,156,0,1,0,3,0,0,88,20
W00003508,258,177,1,0,0,4,0,1,54,21
W00003509,243,170,3,0,0,0,0,0,56,14
W00003510,297,202,0,0,1,4,5,0,71,14
W00003511,327,235,2,0,0,6,0,0,57,27
W00003512,276,152,1,0,1,0,0,0,104,18
W00003513,338,194,0,0,0,3,0,2,109,30
W00003514,323,183,0,0,0,0,0,1,110,29
W00003515,258,158,0,2,0,0,1,6,70,21
W00003516,285,198,0,2,0,0,0,2,65,18
W00003517,348,262,0,0,2,0,0,0,65,19
W00003518,250,180,0,0,0,0,0,0,56,14
W00003519,167,109,0,0,0,0,0,0,51,7
W00003520,311,168,1,1,0,2,0,0,108,31
W00003521,297,134,0,3,0,1,8,1,131,19
W00003522,291,134,0,0,0,0,0,0,122,35
W00003523,260,141,0,0,0,1,0,0,82,36
W00003524,364,238,0,3,0,0,0,1,102,20
W00003525,364,207,0,0,0,0,0,0,134,23
W00003526,327,196,1,0,0,5,0,3,84,38
W00003527,347,201,2,0,0,0,0,0,117,27
W00003528,406,224,1,0,0,0,0,2,147,32
W00003529,321,175,4,0,0,0,0,3,110,29
W00003530,336,194,0,0,0,6,0,2,116,18
W00003531,300,128,2,0,0,0,0,3,148,19
