pop..lsoa_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
W01000619,2013,954,1059,66,132,123,205,144,520,456,367
W01000620,854,398,456,36,25,23,120,97,178,231,144
W01000621,1393,715,678,52,101,115,154,177,337,288,169
W01000622,1458,710,748,42,96,83,129,151,425,335,197
W01000623,2060,1037,1023,89,138,129,253,180,564,416,291
W01000624,2364,1186,1178,96,166,155,253,232,664,509,289
W01000625,1188,575,613,57,97,108,179,138,304,184,121
W01000626,1567,747,820,82,114,127,216,143,418,267,200
W01000627,2453,1218,1235,140,245,148,276,329,600,442,273
W01000628,1586,737,849,63,124,85,242,173,411,295,193
W01000629,1720,847,873,99,125,105,291,223,488,233,156
W01000630,1644,817,827,67,155,125,255,192,445,277,128
W01000631,1802,899,903,155,193,145,279,236,399,276,119
W01000632,1454,713,741,48,87,116,170,147,400,313,173
W01000633,1390,678,712,40,102,97,138,134,367,322,190
W01000634,1327,611,716,34,69,76,105,91,284,366,302
W01000635,2481,1180,1301,118,211,195,329,334,709,404,181
W01000636,2190,1090,1100,144,244,138,378,293,513,300,180
W01000637,1396,664,732,103,133,98,170,207,339,249,97
W01000638,1177,526,651,95,128,117,165,182,292,139,59
W01000639,1357,675,682,81,90,105,197,170,365,237,112
W01000640,1295,642,653,67,86,73,133,143,321,301,171
W01000641,2055,1109,946,116,154,90,362,282,459,344,248
W01000642,1770,820,950,90,102,76,189,205,428,371,309
W01000643,1709,816,893,108,195,153,259,217,437,222,118
W01000644,1851,871,980,111,152,162,454,238,430,191,113
W01000645,2047,967,1080,119,235,162,336,277,518,255,145
W01000646,2273,1098,1175,91,139,171,239,165,573,556,339
W01000647,1437,713,724,58,81,88,118,106,403,403,180
W01000648,1438,740,698,66,115,70,144,149,400,358,136
W01000649,1514,738,776,41,103,100,168,116,397,382,207
W01000650,1606,800,806,92,104,78,128,145,388,493,178
W01000651,1570,763,807,64,81,114,257,139,479,270,166
W01000652,1962,934,1028,120,209,170,271,226,407,314,245
W01000653,1541,712,829,59,84,108,221,145,392,318,214
W01000654,1711,873,838,74,113,135,261,204,475,288,161
W01000655,2022,992,1030,129,197,205,277,243,477,327,167
W01000656,2167,1031,1136,122,192,177,261,284,572,360,199
W01000657,1124,546,578,43,82,73,147,90,295,280,114
W01000658,1295,692,603,76,127,83,190,130,352,224,113
W01000659,1786,872,914,133,182,144,269,267,430,253,108
W01000660,1525,767,758,84,117,87,248,175,392,280,142
W01000662,2177,1071,1106,98,157,160,260,229,617,451,205
W01000663,2496,1210,1286,132,158,150,282,252,673,560,289
W01000664,2360,1135,1225,169,205,141,311,271,643,387,233
W01000665,1911,979,932,87,123,112,227,236,552,420,154
W01000666,1701,809,892,114,155,122,244,231,424,270,141
W01000667,1954,918,1036,121,174,123,276,270,458,351,181
W01000670,1596,766,830,69,153,152,168,161,410,324,159
W01000671,2135,1031,1104,84,163,166,245,185,551,482,259
W01000672,1553,753,800,55,133,89,167,159,376,405,169
W01000673,1138,537,601,37,87,54,92,107,305,296,160
W01000674,2164,1064,1100,97,162,134,199,191,610,542,229
W01000675,2100,1043,1057,81,143,116,177,212,585,514,272
W01000676,1572,768,804,58,101,94,161,103,445,391,219
W01000677,1380,629,751,52,126,97,137,161,373,249,185
W01000678,1384,675,709,57,81,58,162,107,323,334,262
W01000679,1199,587,612,50,77,75,154,171,289,254,129
W01000680,2232,1068,1164,82,200,159,225,241,525,504,296
W01000681,2094,1066,1028,89,189,147,295,234,503,394,243
W01000682,1445,691,754,60,101,92,156,109,421,313,193
W01000683,1052,532,520,20,81,69,87,82,305,281,127
W01000684,1891,944,947,55,110,164,185,143,529,482,223
W01000685,1591,770,821,103,128,102,184,175,414,328,157
W01000686,1295,637,658,66,111,77,115,142,320,309,155
W01000687,1968,964,1004,68,105,139,169,199,553,491,244
W01000688,1759,867,892,98,145,113,211,169,438,386,199
W01000689,1611,798,813,47,84,99,143,141,431,422,244
W01000690,1739,843,896,93,141,126,177,191,432,351,228
W01000691,1928,887,1041,108,176,153,258,197,462,330,244
W01000692,1548,770,778,64,148,126,203,197,463,225,122
W01000693,1107,482,625,37,108,81,110,103,240,237,191
W01000694,1571,782,789,71,127,85,125,166,379,358,260
W01000695,1903,956,947,117,163,119,249,252,470,391,142
W01000696,1663,840,823,68,118,125,188,130,469,373,192
W01000697,2046,1003,1043,101,153,117,321,253,538,294,269
W01000698,1945,934,1011,119,184,137,222,272,448,395,168
W01000699,1535,782,753,47,106,115,160,155,469,339,144
W01000700,2002,961,1041,77,123,111,162,154,549,552,274
W01000701,1638,811,827,81,114,120,172,170,409,336,236
W01000702,1235,604,631,63,100,85,125,133,322,249,158
W01000703,1890,885,1005,100,171,130,244,252,482,348,163
W01000704,1635,778,857,52,137,114,176,174,436,302,244
W01000705,1999,938,1061,121,240,155,294,271,463,277,178
W01000706,1610,780,830,91,158,122,262,194,396,268,119
W01000707,1492,711,781,134,172,105,234,225,317,216,89
W01000708,1414,673,741,82,148,128,196,216,341,201,102
W01000709,2224,1101,1123,81,121,149,233,175,630,557,278
W01000710,2218,1124,1094,59,144,170,241,172,640,492,300
W01000711,1943,938,1005,87,146,138,223,178,527,439,205
W01000712,1644,817,827,98,125,95,239,199,445,297,146
W01000713,1299,659,640,55,88,98,168,150,358,253,129
W01000714,1402,663,739,79,102,97,211,144,373,258,138
W01000715,1312,632,680,43,80,67,173,95,346,281,227
W01000716,1287,622,665,69,87,75,152,137,358,264,145
W01000717,1490,736,754,80,133,102,180,200,343,309,143
W01000718,1363,663,700,77,127,77,196,167,323,263,133
W01000719,1491,718,773,73,136,105,153,160,373,349,142
W01000720,1858,940,918,90,175,97,193,219,472,412,200
W01000721,1438,698,740,90,137,89,196,178,351,237,160
W01000722,1342,659,683,38,63,75,108,100,334,364,260
W01000723,1362,672,690,30,83,88,122,115,369,405,150
W01000724,1970,953,1017,101,172,132,228,205,493,399,240
W01000725,2293,1086,1207,89,143,147,278,225,605,522,284
W01000726,1577,756,821,50,97,105,157,147,447,380,194
W01000727,921,422,499,24,43,41,87,81,227,221,197
W01000728,2060,1050,1010,77,102,106,203,188,592,529,263
W01000729,1260,626,634,71,129,83,148,171,305,239,114
W01000730,1239,628,611,64,105,72,162,104,353,267,112
W01000731,2545,1281,1264,145,184,170,341,321,639,494,251
W01000732,1441,745,696,74,117,72,186,231,386,253,122
W01000733,1340,688,652,63,112,107,189,172,402,204,91
W01000734,1430,715,715,95,104,125,263,174,419,175,75
W01000735,2470,1189,1281,100,208,164,302,268,663,502,263
W01000919,1164,602,562,37,102,67,133,139,349,238,99
W01000928,1666,847,819,77,142,92,205,187,461,335,167
W01000929,1282,636,646,58,90,91,181,164,337,230,131
W01000931,1407,706,701,63,122,103,181,188,375,242,133
W01001923,1751,865,886,109,103,99,282,261,478,298,121
W01001924,1400,720,680,108,168,116,218,189,334,180,87
W01001925,2251,1118,1133,80,187,133,252,189,607,517,286
W01001934,4148,2171,1977,65,89,110,2815,166,406,292,205
W01001935,1129,604,525,70,93,62,301,137,230,156,80
W01001936,1493,686,807,50,86,82,652,79,234,202,108
W01001937,2045,978,1067,71,144,142,233,157,584,425,289
