house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
W00002857,115,12,15,42,30,8,7,1
W00002858,158,25,25,61,26,4,14,3
W00002859,86,12,16,28,20,3,6,1
W00002860,106,22,8,45,16,5,6,4
W00002861,130,17,16,62,15,5,5,10
W00002862,134,21,18,48,17,9,19,2
W00002863,160,33,39,38,23,9,14,4
W00002864,137,15,25,57,19,5,12,4
W00002865,126,22,16,50,19,8,10,1
W00002866,115,9,20,62,13,2,7,2
W00002867,125,23,13,51,22,1,10,5
W00002868,91,12,14,36,11,5,10,3
W00002869,105,24,16,39,17,2,6,1
W00002870,89,15,9,38,12,4,8,3
W00002871,98,16,21,29,19,3,7,3
W00002872,97,13,18,29,14,10,10,3
W00002873,93,11,17,37,10,5,12,1
W00002874,91,16,14,38,12,5,4,2
W00002875,130,13,29,51,26,3,6,2
W00002876,118,10,13,56,25,5,5,4
W00002877,123,12,11,44,34,4,16,2
W00002878,139,21,26,47,26,9,7,3
W00002879,144,19,23,53,33,7,8,1
W00002880,141,14,13,63,15,11,20,5
W00002881,129,16,19,56,25,4,7,2
W00002882,120,19,17,46,16,6,12,4
W00002883,117,18,24,42,22,4,7,0
W00002884,144,21,28,50,26,8,9,2
W00002885,150,26,18,66,15,7,14,4
W00002886,116,19,14,45,21,3,7,7
W00002887,123,36,9,45,15,3,9,6
W00002888,116,17,11,44,22,9,7,6
W00002889,114,21,17,37,19,4,13,3
W00002890,124,18,21,51,14,11,7,2
W00002891,114,12,19,40,23,5,12,3
W00002892,109,10,19,39,18,10,11,2
W00002893,109,9,16,42,19,8,12,3
W00002894,95,15,20,28,17,5,8,2
W00002895,138,18,16,49,32,7,13,3
W00002896,149,19,16,66,24,1,18,5
W00002897,115,13,22,44,19,7,9,1
W00002898,68,10,12,24,15,1,4,2
W00002899,143,26,27,51,18,10,7,4
W00002900,165,22,17,63,42,9,7,5
W00002901,159,27,26,65,27,4,10,0
W00002902,104,15,20,32,18,9,6,4
W00002903,114,19,20,41,19,6,5,4
W00002904,111,14,20,36,22,10,7,2
W00002905,121,19,10,49,30,4,7,2
W00002906,115,15,18,47,19,3,11,2
W00002907,107,9,14,44,26,3,9,2
W00002908,94,13,17,42,13,3,4,2
W00002909,114,16,18,52,17,3,5,3
W00002910,162,20,26,57,24,18,14,3
W00002911,98,29,26,29,6,2,5,1
W00002912,135,27,25,42,20,6,12,3
W00002913,122,24,29,43,12,6,6,2
W00002914,111,10,21,46,22,5,6,1
W00002915,122,14,14,50,20,10,9,5
W00002916,107,22,25,36,12,4,6,2
W00002917,128,23,16,56,10,4,15,4
W00002918,147,26,12,71,21,1,12,4
W00002919,151,18,20,66,21,6,14,6
W00002920,136,22,13,61,19,3,13,5
W00002921,147,30,16,56,25,3,14,3
W00002922,138,21,21,62,17,6,10,1
W00002923,123,21,26,35,21,7,12,1
W00002924,124,27,10,61,11,3,10,2
W00002925,157,21,25,73,26,1,9,2
W00002926,126,24,31,39,16,12,3,1
W00002927,107,23,25,30,21,2,5,1
W00002928,146,22,15,55,27,4,18,5
W00002929,72,11,15,26,15,1,3,1
W00002930,126,15,20,32,35,7,14,3
W00002931,52,10,4,24,7,3,3,1
W00002932,136,14,20,47,36,9,9,1
W00002933,144,16,20,51,32,8,11,6
W00002934,106,32,16,24,9,14,10,1
W00002935,128,12,12,46,39,9,6,4
W00002936,97,13,20,39,18,3,4,0
W00002937,106,16,17,43,20,6,4,0
W00002938,232,23,48,77,67,9,8,0
W00002939,152,28,17,64,20,4,15,4
W00002940,157,18,21,47,48,8,10,5
W00002941,133,41,20,38,17,4,12,1
W00002942,152,26,42,41,20,16,6,1
W00002943,120,15,15,41,26,3,14,6
W00002944,160,39,26,49,24,7,11,4
W00002945,116,10,19,48,18,13,5,3
W00002946,107,17,18,42,14,4,8,4
W00002947,118,17,16,40,23,9,8,5
W00002948,114,19,16,51,14,5,7,2
W00002949,120,23,15,48,18,2,13,1
W00002950,145,12,17,62,34,9,7,4
W00002951,143,30,27,41,31,4,8,2
W00002952,140,13,13,49,42,8,11,4
W00002953,123,19,17,46,25,3,9,4
W00002954,154,15,23,62,29,6,14,5
W00002955,122,19,13,40,33,5,7,5
W00002956,159,15,24,71,25,5,17,2
W00002957,112,18,11,49,16,6,10,2
W00002958,154,15,19,65,24,10,14,7
W00002959,121,21,12,60,14,3,10,1
W00002960,162,14,17,76,36,5,8,6
W00002961,99,12,20,47,12,0,6,2
W00002962,114,12,13,54,17,7,5,6
W00002963,128,12,15,65,26,3,5,2
W00002964,249,24,34,98,62,16,10,5
W00002965,237,32,26,116,34,12,10,7
W00002966,96,13,13,45,20,1,3,1
W00002967,156,33,13,72,14,9,10,5
W00002968,86,11,15,37,10,2,11,0
W00002969,160,15,14,72,30,15,12,2
W00002970,100,19,4,42,17,6,9,3
W00002971,53,10,7,24,8,1,3,0
W00002972,152,19,24,67,23,7,12,0
W00002973,48,8,5,20,5,2,6,2
W00002974,141,19,19,64,26,2,5,6
W00002975,177,15,14,70,54,13,7,4
W00002976,144,19,15,43,46,16,3,2
W00002977,150,19,24,64,31,3,8,1
W00002978,132,20,24,37,26,15,8,2
W00002979,138,15,29,56,18,7,10,3
W00002980,119,13,29,34,22,16,2,3
W00002981,134,16,30,41,24,12,8,3
W00002982,130,23,21,43,23,4,13,3
W00002983,117,9,12,58,20,9,4,5
W00002984,117,10,18,44,20,12,10,3
