ethn..parish_code,ethn..parish_legal_name,ethn..deanery_name,ethn..diocese_name,ethn..population,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity,ethn..ethnicity_asian_bangladeshi,ethn..ethnicity_asian_chinese,ethn..ethnicity_asian_indian,ethn..ethnicity_asian_other,ethn..ethnicity_asian_pakistani,ethn..ethnicity_back_african,ethn..ethnicity_black_british,ethn..ethnicity_black_caribbean,ethn..ethnicity_mixed_other,ethn..ethnicity_mixed_white_asian,ethn..ethnicity_mixed_white_black_african,ethn..ethnicity_mixed_white_black_caribbean,ethn..ethnicity_other_arab,ethn..ethnicity_other_other,ethn..ethnicity_white_british,ethn..ethnicity_white_gypsy_or_irish_traveller,ethn..ethnicity_white_irish,ethn..ethnicity_white_other
240001,MANCHESTER,Cathedral,Manchester,6704,5260.572880524,157.0689332616299,852.4384548574479,223.58837487847998,210.33135639366998,12.39298191422,367.376390603539,237.880219174679,150.87120844729,83.91765471772,84.6429612277,33.4510403752499,38.97493165868,67.39292697216,85.36277853319,20.31082521601,50.52184415712,145.79223457215,64.53912182152,4394.87927367199,10.53030757889,131.60837011786,723.55492915526
240007,THE GOOD SHEPHERD AND ST BARNABAS EASTLANDS,Manchester North and East,Manchester,9520,6317.9072732447485,1378.150038778378,1152.5224397809689,508.1011275420388,163.31912057746,22.71036508278,685.74242728576,79.16440092006,188.76839742449,176.136849067879,999.6255082791,189.820619044419,188.703911454859,94.2508032578799,63.4341633190999,131.737509374579,218.67865159048,88.96311421095,74.35600636651,5703.4687213829,11.90155440214,166.592829726379,435.944167733329
240009,"ST. CROSS WITH ST. PAUL, CLAYTON, MANCHESTER",Manchester North and East,Manchester,7107,5100.47495546041,1086.696457509308,496.72277051509,317.02876774119966,106.0770488696799,9.30900349896,189.84565714425,65.5135239011,91.17723485535,140.87735111543,865.300894091749,154.682567298819,66.71299611874,65.7142188132599,39.0007195298999,76.3871718161499,135.92665758189,53.8938735992699,52.18317527041,4590.02502615919,15.157534247,158.44326503057,336.84913002365
240011,"ST JAMES, GORTON WITH ABBEY HEY",Manchester North and East,Manchester,5426,4317.695017775479,604.2828039833789,235.94160904878981,215.8796476023889,52.2009215403299,10.01404494611,46.20275483202,43.00000000469,58.7789810955999,77.9458281703699,406.870340061809,92.01660541583,105.39585850574,34.05617977359,31.1908532188199,49.36949479307,101.263119816909,10.01425352035,42.1866680199799,3986.49973717929,7.12062850099,92.75109978241,231.323552312789
240012,EMMANUEL GORTON,Manchester North and East,Manchester,5048,2625.577311549638,995.758871627429,1034.741404473959,286.10951312734,105.8128992469099,41.8781119158,255.11874734606,57.25031470704,137.191561223479,543.30266928158,692.84857244895,170.581465335799,132.32883384268,43.62656919045,48.1815704775,76.5570821734,117.74429128599,59.0445752071299,46.76832403978,2298.1911149272,11.67539064208,114.742579135949,200.968226844409
240013,"ST. PHILIP, GORTON",Manchester North and East,Manchester,10028,6274.817919011829,1716.5395400240689,1261.686562905238,595.6361746756189,179.31980331158002,94.8471983751299,188.714185757879,77.52407915628,223.5743604347,677.026739181249,1191.39143856977,272.900779746369,252.24732170793,103.85379029044,73.2888970282499,163.23407921888,255.259408138049,81.49637703879,97.82342627279,5661.7362412065,14.9999999953,188.78573336645,409.295944443579
240014,"ST. CLEMENT, HIGHER OPENSHAW",Manchester North and East,Manchester,9278,6622.417688430649,1602.0161808147388,555.2070488315198,400.8886116966489,97.4704702165199,30.3281971752199,174.94804627405,47.6854736429,114.77097295012,187.47435878923,1229.35355773361,232.292968689329,140.3696543918,69.89554653651,47.20054334504,95.9481010488299,187.844420766269,48.2715552466099,49.19891496991,6001.67251560119,14.32873427919,156.07706076014,450.339377790129
240015,"ST. LUKE, LONGSIGHT",Manchester North and East,Manchester,6562,2183.1527001753593,1634.354774912917,1754.952376168957,527.6681522760689,461.871996400659,315.039905182129,332.381875245789,208.28064359814,254.754065149539,644.49588699336,915.492613406609,330.784263319479,388.077898186829,106.49119975913,64.9962326066299,125.67723389523,230.503486015079,304.33018907413,157.541807326529,1787.90917306349,10.04591837074,166.352776825339,218.84483191579
240016,THE CHURCH OF THE APOSTLES MANCHESTER,Manchester North and East,Manchester,4344,3474.7121121078603,301.38482816915,340.8852420377289,154.1719080971297,72.84590962446981,7.13294285738999,183.048093672149,39.26559354295,54.97169979685,56.4669121683899,210.62378142322,62.05526927213,28.7057774738,29.50427143171,16.4163893508599,27.7290826139599,80.5221647005999,35.8409292641899,37.0049803602799,3192.87806405249,7.18484372301999,122.75567624041,151.89352809194
240018,"ST. CUTHBERT MILES PLATTING, MANCHESTER",Manchester North and East,Manchester,2807,1929.85865183676,353.84320213348894,319.58934101164994,147.34331943328,56.365485546710005,1.00707547115,182.16818457334,16.48799473102,80.32474012494,39.6013461112,262.327766033229,38.21482399896,53.3006121012999,34.40535443894,13.38652211192,33.89193750318,65.65950537924,13.0731707313,43.29231481541,1817.2584951526,2.08024620252999,57.92257031303,52.5973401685999
240020,CHRIST CHURCH ASHTON UNDER LYNE,Oldham and Ashton,Manchester,11523,9972.672451771039,94.89919957027999,1226.1663123375988,186.4682979783999,42.7937383369499,161.30980143653,20.4790954008699,556.18719975459,44.06681998733,444.123395758279,60.60517088651,16.70621469135,17.58781399242,26.06821459257,71.2818210284699,40.9710821725,48.14718018486,11.9853479850499,30.8083903519,9715.6090695318,3.99999999864,52.61184771796,200.45153452264
240027,ST. HILDA AUDENSHAW,Oldham and Ashton,Manchester,6971,6564.37889069508,91.3505494714998,172.34173056699,138.19669529737,4.73213396268999,25.24395466958,29.09883340025,46.45517649853,18.886318134,52.65744786463,62.9475983008899,17.6860404441499,10.71691072646,19.57423114042,36.34263582398,16.16320002242,66.11662831055,2.77578475459999,1.95634920809,6408.1992422183,0,60.14176741728,96.0378810595
240028,AUDENSHAW,Oldham and Ashton,Manchester,6090,5646.335435772039,60.31068493603989,276.4010093037398,92.77774082517,14.17512918622999,29.7462780670099,40.8158384365199,61.08900355503,9.62242243334,135.12746681184,41.20456019609,3.60000000314999,15.506124736799901,13.31528742512,21.52111611181,15.66228942762,42.27904786062,8.80412370951999,5.37100547671,5476.3366068972,1.19379845015,61.07504379492,107.729986629769
240029,HOLY TRINITY BARDSLEY,Oldham and Ashton,Manchester,9194,8257.48567511488,92.4051854411898,654.271198543,171.7004017422099,18.1375392101499,28.68762143185,41.00058923008,334.08089135433,20.11422124554,230.3878752812,48.5978347495199,16.2377543083199,27.56959638335,18.52391428925,40.66686002484,25.0334690338,87.4761583943199,3.00000000004,15.1375392101099,8076.62680357919,2.00000000069,87.40520633307,91.45366520193
240032,CHRIST CHURCH DENTON,Oldham and Ashton,Manchester,6832,6516.745300371409,47.581362513059986,134.4137643472098,125.4629333727896,7.79663933375,11.54700186152,39.7666752937099,23.58957702855,9.69784172713,49.8126684362999,15.72944303418,6.21246601109999,25.63945346778,23.9886841371399,20.4499137251099,22.5928592890199,58.4314762215199,0.78417078788,7.01246854587,6335.32248612699,0,104.103794006879,77.31902023754
240034,ST. LAWRENCE DENTON,Oldham and Ashton,Manchester,9520,9127.2723745159,78.7435559455399,169.36179854000977,133.53928333994,11.0829875502099,33.38336068579,28.38332936502,50.2567415039399,31.4813204862999,25.85704649896,47.69954458321,12.9125177958,18.1314935665299,6.36293335681,28.0227598593,34.17195235003,64.9816377738,0.0829875518,10.9999999984099,8975.29584638419,0,75.4035586156299,76.57296951608
240035,"ST. ANDREW, DROYLSDEN",Oldham and Ashton,Manchester,7079,6275.176488290579,328.69323730272987,249.3723255765098,200.3350826349887,25.422866149669993,11.65333402799,82.3027152594199,50.05238228473,32.88969453967,72.4741994646999,234.31265079818,50.0798640463,44.3007224582499,33.4589559125899,22.690369342369902,24.5405268104499,119.645230569579,9.68414291380999,15.73872323586,6059.98194820469,2.01363692394,99.51144203127,113.669461130679
240036,DROYLSDEN,Oldham and Ashton,Manchester,13763,12895.389770363388,143.22467141274,493.037281775299,213.8002728961299,17.54800349587999,35.13016890319,111.28341184634,99.96662146017,39.08503351949,207.572046046109,112.13462028794,11.26500847707,19.82504264773,38.50624895591,40.8205766104099,26.80826776225,107.66517956756,9.00983606673,8.53816742914999,12654.7270783085,0,133.220664740279,107.44202731461
240038,"ST. MARTIN, DROYLSDEN",Oldham and Ashton,Manchester,5654,5450.33253487004,53.75444529435979,57.289174478999996,85.6238453281899,7.00000000105,8.96374622378,19.32018186645,14.06930692931,2.9999999999,11.93593945956,38.3410374733399,3.99999999891999,11.4134078220999,10.90547813344,14.41340781571,21.23540292108,39.0695564579599,0.99999999981,6.00000000124,5331.0311001079,0,61.87849569618,57.4229390659599
240039,ST. ANNE HAUGHTON,Oldham and Ashton,Manchester,3521,3333.35450718367,20.750739959689902,109.3410182226098,46.0458397124699,11.50789489340998,31.9908066018999,25.64561791477,18.70936568182,7.84201385524,25.1532141688799,13.2090217806899,2.4520547942,5.0896633848,10.5799945117799,7.08130830661,10.918144141379999,17.4663927527,5.50789489530999,5.99999999809999,3262.89678551789,2.0000000013,23.31093951648,45.146782148
240040,ST. MARY THE VIRGIN HAUGHTON,Oldham and Ashton,Manchester,8155,7811.32338409962,75.25086970941,118.25680119794,148.16894497675992,1.999999999209999,12.32462686412,32.32330826867,29.24118380478,22.65037593791,21.71730632246,54.93370553103,9.31716418002,10.99999999836,31.76954512935,28.29174354984,22.00000000369,66.1076562938799,0.999999999809999,0.9999999994,7631.12807128059,0,83.2503925974299,96.9449202216
240041,HURST,Oldham and Ashton,Manchester,14544,12293.82604556273,173.1231230505099,1795.6351378255188,229.1566476346598,52.259045833549905,93.4723872317499,63.60695442932,763.99919433042,142.150000100379,732.40660173365,137.99018753214,15.15251897405,19.9804165443199,28.44639370931,84.6274899340299,39.16111983176,76.9216441595599,25.0146520144599,27.24439381909,11815.9561733815,4.00000000100999,84.9941498080699,388.87572237215
240042,"ST. GEORGE, MOSSLEY",Oldham and Ashton,Manchester,7643,7374.91936335876,32.684047167239804,124.1930602963298,104.1318568449399,7.0716723595,45.4148383250399,12.50368964942,36.1180334185599,24.36712172075,5.78937718256,17.2125199384399,4.00000000197,11.4715272268299,20.60670799516,30.56325597345,12.38997448457,40.5719183917599,1.00000000089,6.07167235861,7200.88440348049,1.000000001,61.41932247851,111.61563739876
240043,"ST. JOHN THE BAPTIST, ROUGHTOWN",Oldham and Ashton,Manchester,3347,3258.12249927502,11.70811770828998,39.407934151099994,37.761448837179984,0,22.90909090932,8.67588781640999,6.00477360659,0.999999999779999,0.818181819,3.86154225315999,2.99999999956,4.84657545556999,8.59649587002,9.48411244993999,6.02327761016999,13.65756290705,0,0,3186.89762715639,0,27.4903789259599,43.7344931926699
240044,"ST. GEORGE, STALYBRIDGE",Oldham and Ashton,Manchester,7989,7577.12192381558,63.967222001059895,245.92781311485993,96.9702260477696,5.01281497560999,23.97493525178,30.80681818085,131.10029936599,22.20729113696,37.8384691792799,57.9692982468799,2.99999999829999,2.99792375588,30.0256299631199,21.4308367022899,20.9692982467699,24.5444611355899,1.99999999782999,3.01281497778,7407.9931694689,0,32.4395244119099,136.68922993477
240045,"ST. MARY, CADISHEAD",Salford and Leigh,Manchester,6791,6560.00606692184,37.87359958240999,98.72803067203,82.28008337589989,12.112219453,8.11221945073,26.00000000088,34.09710797462,21.00000000197,9.51870324383,26.28008337287,6.07481296672,5.51870324281999,12.2426768901699,18.03740648329,17.00000000079,35.00000000165,5.11221945284,7.00000000016,6429.2072802985,0.686567164439999,68.0000000062,62.1122194526999
240046,CLIFTON,Salford and Leigh,Manchester,7857,7337.153906697629,191.588195357209,168.23618133628992,144.2388420043098,15.7828746174,11.8638928379,45.01239723381,27.51590629216,42.84398497248,40.9999999999399,160.380049760619,17.5771041593,13.63104143729,39.4206237752299,17.2678213895299,37.71200182324,49.83839501631,8.78287462036,6.99999999704,7049.3557193153,3.53967246996,59.87959444166,224.378920470709
240048,"ST. ANDREW, ECCLES",Salford and Leigh,Manchester,6627,5472.984238734569,144.5020887832289,509.8846991329389,142.8379452739299,356.791028074149,192.153941738989,33.39497966065,83.66848175773,88.5624528717899,112.10484310378,117.626850174059,10.6626544187899,16.21258419038,53.5870286560799,34.84395337966,15.2310119338,39.17595130439,334.287084677959,22.50394339619,5054.6329671905,0,106.855562858899,311.49570868517
240049,ECCLES,Salford and Leigh,Manchester,5654,4998.337388616099,122.49184672052999,356.4625615992697,103.4751427517399,73.23306031762999,31.48304917364,31.1896888263399,114.24510218766,99.0713456073499,80.4733758042799,103.28259054287,3.56542056248999,15.64383561517,24.8986641392399,35.60836194837,19.27771201259,23.69040465154,53.01987578158,20.21318453605,4578.96187118969,0,127.342816554749,292.032700871659
240050,"ST. JOHN THE BAPTIST, IRLAM",Salford and Leigh,Manchester,13286,12615.672619429688,113.16728231371,298.4209112178689,200.85452174484988,57.8846652822599,17.8877805495799,133.000000000499,76.89666149853,29.15517241364,41.48129675562,78.75543920336,6.93366161039,27.47818149996,35.77427226478,27.9710680928599,27.07278758556,110.03639380165,17.88466528357,39.9999999986899,12201.9525458554,5.3134328371,155.191566210939,253.21507452625
240051,ST. PAUL MONTON,Salford and Leigh,Manchester,3607,3402.4744306872403,15.06328296548,105.83910548133001,65.12158585231,18.50159495019,21.18315018498,20.10787165837,21.84203158228,21.38156828121,21.32448377449,9.73879918926,2.9999999993,2.32448377692,24.81081081045,10.43235543521,7.99999999869,21.87841960796,8.31844476807,10.18315018212,3302.8832409827,0,52.47524695865,47.11594274589
240052,CHRIST CHURCH PATRICROFT,Salford and Leigh,Manchester,3939,3459.1706478818087,95.53945966753999,226.83035278621,69.63453676848991,87.8250028583698,61.56679356112,40.97720507733,33.63930829624,51.98432797601,38.66271787551,76.3830176657,9.33734557959,9.81909642224999,23.56764053604,5.13965391131,7.49127605236,33.4359662687799,69.5944398606199,18.2305629977499,3245.3227941805,0.999999999289999,44.09780313959,168.750050562429
240053,"ST. MICHAEL AND ALL ANGELS, WITH ST. CATHERINE, BARTON WITH PEEL GREEN",Salford and Leigh,Manchester,9848,9133.52491197268,226.00623641568998,254.6369988877899,189.2052806573497,44.62657205394999,13.71183075805,60.5246913628499,39.01796073338,86.38251602956,55.00000000395,175.43752165112,22.51621678566,28.05249797891,30.56005747126,45.0003230764999,43.5071515851499,70.1377485244399,36.62657205547,7.99999999847999,8616.0323713264,6.99999999942,119.70740395682,390.785136690039
240057,THE HOLY ROOD SWINTON,Salford and Leigh,Manchester,6374,6141.3570352671095,27.80245986061989,120.52805979614989,78.8377355786,5.47470948935999,9.37267756284,44.4626402656999,42.84750501409,11.40384333493,12.44139361859,21.8279001728899,3.00000000212,2.97455968560999,15.29440107904,20.50893679655,19.51187248345,23.52252521956,2.04961444643,3.42509504292999,5988.03945363369,2.00000000209999,60.17744181304,91.1401398182799
240058,SWINTON AND PENDLEBURY,Salford and Leigh,Manchester,23689,22189.84009870993,419.60102227525897,641.954019641389,341.9104227886499,95.69443663324,98.48554953681,203.94491613854,145.571104416919,102.53552936658,91.41692018254,349.494401301719,29.42842908243,40.678191891110004,76.11560186527,73.78290965203,60.1064011115599,131.90551015979,54.088657421,41.60577921224,21475.6504731183,15.7360167525499,220.552273415649,477.90133542343
240060,ST. MARY MAGDALENE WINTON,Salford and Leigh,Manchester,7324,6932.05088519594,84.17901234936,138.4821150621299,124.91144419269989,44.3765432136799,20.90123456609,24.47530864374,20.10557184833,46.0000000014,27.0000000025699,66.75308642139,2.47530864263,14.95061728534,36.45231888641,17.07917888802,25.4787118497099,45.90123456856,31.3765432092,13.0000000044799,6577.0430107552,10.99999999944,94.32716049669,249.68071394461
240061,ST. MARK WORSLEY,Salford and Leigh,Manchester,15370,14367.520747849148,59.92838551126989,612.4866864391389,265.2073074487999,64.8568727724098,16.9988048776699,153.12953631663,332.545954513599,51.52443099328,58.28795973796,32.18829110497,4.37446183855999,23.3656325677399,45.1579666306,113.59579336174,30.5052251560399,75.94832230042,30.2361368399599,34.6207359324499,14038.8750017556,0.99999999888,129.50765052104,198.13809557363
240064,"ST. AGNES, BIRCH-IN-RUSHOLME, WITH ST. JOHN WITH ST. CYPRIAN, LONGSIGHT",Manchester North and East,Manchester,14930,3621.1587555411597,1348.0113925488379,8920.78807919301,575.355284441129,464.686488332879,2095.10322159603,142.79542172691,310.273420282589,479.77367449849,5892.84234108899,642.07375243685,289.652788727069,416.284851384919,115.937770502159,172.89945540896,74.34561620848,212.17244232153,263.925654486559,200.76083384632,2930.51082955878,85.57081443737,294.71970970109,310.35740184392
240065,"ST. MARGARET, BURNAGE",Manchester North and East,Manchester,11599,7309.797361701718,471.842805160378,2937.830800821538,510.8448212911199,368.684210985508,308.25466360888,132.514675623429,287.93878655149,189.500121277939,2019.6225537598,171.93828560594,137.001285998179,162.903233556259,92.2352546221899,125.36533947828,72.15146931442,221.09275787623,258.346047015269,110.338163970239,6502.9930625594,8.00000000254,482.164647729929,316.639651409849
240066,"ST. JOHN, HEATON MERSEY",Manchester North and East,Manchester,8774,6875.191464605989,61.226446406499996,1447.7491639835698,228.0636353024599,161.7692897012999,89.82984009885,98.2371806524999,260.22240257512,129.90384845639,869.55589220071,26.0836395196,7.19070904535,27.95209784155,55.2250601302299,74.82691722602,32.37293859581,65.6387193504,88.8214012993,72.9478884019999,6384.2322128881,0.04571428576,283.630470655289,207.283066776839
240067,"ST. PAUL, HEATON MOOR",Manchester North and East,Manchester,5374,4978.680135184128,33.2954866644399,222.9603106965099,103.0848897540499,35.97917772769,13.63019769752,46.20929363617,57.0029503006699,36.48493509825,69.6329339639,18.8660565846699,4.53746465059,9.89196542918,20.51996876405,37.47029534268,13.18764865668,31.9069769906399,22.69540158708,13.28377614061,4650.07886997299,0.9285714295,193.940481305019,133.732212476619
240068,CHRIST WITH ALL SAINTS HEATON NORRIS,Manchester North and East,Manchester,6651,6083.710657450159,108.40494234718969,253.1106936580297,169.9623059065998,35.81140061491,5.00225225292,52.1060795909499,54.4178904502999,44.18408047698,97.4003908868799,44.5412873334099,14.0022522527099,49.8614027610699,30.3158767490699,43.10308031108,33.890341803,62.6530070434499,13.59657351329,22.21482710162,5767.4214187558,4.99999999965,174.340034966939,136.94920372777
240069,HEATON NORRIS,Manchester North and East,Manchester,7328,6501.644004444919,98.57992392988,500.1773182401498,180.0863596701199,47.512393643959896,30.2784191220499,44.4798805662699,62.04866598445,44.911151606,318.45920096138,43.22359252535,14.00000000159,41.35633140294,33.81508100256,54.84937136809,26.39942586065,65.0224814388199,32.62002958662,14.8923640573399,6032.66031304889,0,324.23226054431,144.751430851719
240070,"ST. MARY, HEATON REDDISH",Manchester North and East,Manchester,6653,6314.3567566045895,42.8309318723,148.9234262993098,128.0518468770298,18.837038311129987,6.00000000024,44.66145832988,23.0063091439199,26.74985079426,48.5058080310099,21.99999999788,1.99999999918,18.83093187524,17.40540540489,41.9999999973399,17.91181025018,50.7346312246199,9.33753942806999,9.49949888306,6095.648259866,0.999999999599999,133.398389765829,84.3101069731599
240071,"ST. MARK, LEVENSHULME",Manchester North and East,Manchester,5152,3072.03069229454,415.99884637416903,1212.908753024839,339.7758169221289,111.28589141887,111.233252155559,52.0066755132899,53.1721079424,82.10268712464,914.39403028895,183.911597977,86.83957432799,145.247674069179,66.94005462973,65.72829524266,70.2834611164499,136.824005933289,51.20293472331,60.08295669556,2553.7218257516,1.999999999,238.94800280501,277.36086373893
