ethn..parish_code,ethn..parish_legal_name,ethn..deanery_name,ethn..diocese_name,ethn..population,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity,ethn..ethnicity_asian_bangladeshi,ethn..ethnicity_asian_chinese,ethn..ethnicity_asian_indian,ethn..ethnicity_asian_other,ethn..ethnicity_asian_pakistani,ethn..ethnicity_back_african,ethn..ethnicity_black_british,ethn..ethnicity_black_caribbean,ethn..ethnicity_mixed_other,ethn..ethnicity_mixed_white_asian,ethn..ethnicity_mixed_white_black_african,ethn..ethnicity_mixed_white_black_caribbean,ethn..ethnicity_other_arab,ethn..ethnicity_other_other,ethn..ethnicity_white_british,ethn..ethnicity_white_gypsy_or_irish_traveller,ethn..ethnicity_white_irish,ethn..ethnicity_white_other
460001,CATHEDRAL CHURCH OF ST. PETER AND ST. WILFRID RIPON,Cathedral,Leeds,10375,10111.342154088099,44.2939509281599,80.5843850639298,122.35128024913969,16.428229668349992,0.639097744999999,21.19429558557,21.0312964431099,34.6977172685699,3.02197802168,29.5007782222799,9.32669279524,5.46647991064,25.6629066225899,34.7193623634399,27.0739032040699,34.89510805904,10.60287081429,5.82535885405999,9644.0389251345,1.99999999902,21.4742828327799,443.8289461218
460003,ST. PETER BRADFORD,Cathedral,Leeds,2256,1138.508745271578,204.59500346044,467.5985560433787,95.42605206681989,349.87164316592003,38.5040333272899,57.9695029446299,142.480474813589,68.6293364580699,160.0152084998,167.39322861688,5.28405797121,31.91771687235,17.23903439568,37.7730227625,9.83301701845,30.5809778901899,301.26343345007,48.60820971585,657.530319366899,5.27447952446,7.27645520776,468.427491172459
460004,"ALL SAINTS, WAKEFIELD",Cathedral,Leeds,1512,1176.509453000339,83.9649798030099,195.91304195254986,26.634795811700002,28.97772942181,0.9999999999,6.98620195034999,24.2981126240599,17.29545013507,146.33327724317,76.4468978214599,6.53524936434,0.982832617209999,6.34138972726,6.28604842454,6.49627748056,7.51108017934,7.53363274053,21.44409668128,981.456335251599,0.34138972852,11.93266278634,182.77906523388
460010,ACKWORTH,PONTEFRACT,Leeds,6907,6726.54293632132,22.84487535204999,90.84487533794989,57.88365650541991,8.883656506249991,0,41.00000000181,26.9224376670699,17.92243766646,5.00000000260999,15.88365651048,2.00000000111,4.96121884045999,11.9612188334099,25.99999999866,5.96121883643,13.96121883692,2.92243767050999,5.9612188357400004,6633.2974541915,10.8448753465,14.49113384714,67.90947293618
460011,ADDINGHAM,South Craven and Wharfedale,Leeds,3730,3684.9999999866595,3.0000000044499897,13.00000000579998,24.999999995619902,3.99999999925,0,3.00000000167999,7.00000000242,3.00000000169999,0,0,2.00000000184999,1.0000000026,14.9999999965099,1.99999999873,1.00000000001,7.00000000037,0,3.99999999925,3607.9999999803,2.00000000169,22.0000000020999,53.0000000025699
460012,ADEL,HEADINGLEY,Leeds,6921,5927.239701869579,94.6357799591499,599.53575837742,154.1892002361999,145.3995595881699,23.28661282015,62.87879890435,311.95490274721,76.93822532853,124.47721857718,57.99029360307,16.9319976015,19.7134887545799,32.26534691149,73.74734753992,12.29989671811,35.8766090666799,107.86114101995,37.5384185682199,5655.22242819719,6.41102004842,80.72076393241,184.885489691559
460013,AINDERBY STEEPLE WITH YAFFORTH AND KIRBY WISKE WITH MAUNBY,WENSLEY,Leeds,1490,1479.1991826233502,2.55974231474999,5.40068987401999,2.80509106966,0.0352941177,0,0,2.41753065292999,2.96874999919,0.0144092219,1.71410473034999,0,0.8456375844,0.0352941177,0.8744560282,0,1.89534092376,0,0.0352941177,1443.19665298739,7.0000000002,2.90959113137999,26.09293850438
460014,AIREDALE WITH FRYSTON,PONTEFRACT,Leeds,14703,14470.048958692769,62.3613133765398,62.8362221300997,90.6197397821,17.13376590732999,0,4.32078817678,15.4624908254699,21.3255271717799,21.7274159560699,48.1546679631399,11.2031971368599,3.00344827654,16.77173805565,17.41882010539,8.66896551533,47.76021610573,4.33448275696999,12.79928315036,14280.1309315132,13.97111243619,19.4285278680699,156.51838687531
460015,ALDBOROUGH WITH BOROUGHBRIDGE AND ROECLIFFE,RIPON,Leeds,3904,3847.04464283041,9.00000000294999,28.0000000079,15.95535715326,4.00000000004,0,7.00000000387,6.00000000125,15.00000000278,0,2.9999999994,2.00000000172,4.00000000182999,5.00000000265,7.95535714797,0,3.00000000264,0,4.00000000004,3707.13788110839,0.99999999966,10.97767857601,127.92908314635
460016,ALDBROUGH,RICHMOND,Leeds,547,542.93843216547,0,4.056399881439999,0.00516795866,0,0,0,0.05176294073,3.02561596211,0.979020978599999,0,0,0,0.00516795866,0,0,0,0,0,539.8095975094,0,2.02561596138999,1.10321869468
460017,"ST. PETER, ALLERTON",Outer Bradford,Leeds,10650,6786.7701896122,305.019020736269,3023.514665096729,402.7001618421799,131.99596281987,74.27681952767,41.88823214776,326.547027520549,447.47633689899,2133.32624900176,174.988106536739,25.57376078588,104.45715341365,51.96409686875,172.27706324888,23.4799698359899,154.97903188856,52.64785729212,79.34810552775,6386.20227979839,2.84317094608999,53.37316735765,344.351571510069
460018,ALMONDBURY WITH FARNLEY TYAS,Almondbury and Kirkburton,Leeds,11662,10056.362521261508,476.7797530056489,560.12022586042,457.2626373815699,111.4748624377199,15.69023466439,90.11888850934,132.33895645745,92.37253291737,229.59961331187,170.804029633909,58.9760834674299,246.99963990431,48.8014691656699,105.61287374999,26.82372057641,276.0245738895,61.3612390434,50.1136233943199,9572.274518507,3.0452261294,154.795810275619,326.24696634949
