house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00037298,130,16,26,37,20,16,12,3
E00037299,123,13,17,40,25,11,15,2
E00037300,126,37,15,40,19,12,3,0
E00037301,151,12,31,50,29,14,11,4
E00037302,142,12,31,46,25,16,10,2
E00037303,102,14,11,42,21,6,7,1
E00037304,122,24,25,33,24,7,6,3
E00037305,120,1,11,42,54,8,3,1
E00037306,125,7,19,51,25,10,13,0
E00037307,116,22,17,40,29,2,6,0
E00037308,168,22,43,43,41,11,5,3
E00037309,148,19,21,60,33,10,5,0
E00037310,126,17,15,40,16,16,15,7
E00037311,137,19,11,70,21,2,12,2
E00037312,137,6,19,63,34,7,6,2
E00037313,140,9,19,63,37,4,7,1
E00037314,123,13,15,49,25,13,4,4
E00037315,134,36,21,28,23,11,12,3
E00037316,129,12,11,70,24,5,3,4
E00037317,133,13,14,66,24,5,7,4
E00037318,126,10,26,43,35,8,3,1
E00037319,173,11,21,75,49,7,7,3
E00037320,125,33,28,26,14,14,10,0
E00037321,131,14,26,28,30,15,16,2
E00037395,132,3,14,47,57,6,3,2
E00037396,130,43,8,65,6,1,6,1
E00037397,150,10,26,65,37,5,7,0
E00037398,127,14,23,54,27,4,5,0
E00037399,143,0,16,50,59,7,10,1
E00037400,127,5,15,59,36,5,7,0
E00037401,185,19,31,83,29,15,4,4
E00037402,158,14,39,53,29,12,9,2
E00037403,120,17,8,64,25,3,2,1
E00037404,130,9,22,55,35,5,4,0
E00037405,150,33,22,45,28,7,12,3
E00037406,143,20,32,40,28,11,11,1
E00037407,128,28,47,34,9,3,7,0
E00037408,130,30,25,39,20,10,3,3
E00037409,117,23,7,60,14,6,5,2
E00037410,128,10,21,44,26,16,8,3
E00037411,114,16,20,39,26,6,6,1
E00037412,131,25,13,67,17,4,5,0
E00037413,135,27,11,61,21,7,5,3
E00037414,116,18,7,55,24,1,8,3
E00037415,153,53,20,44,21,8,6,1
E00037416,123,12,17,62,20,6,5,1
E00037417,112,13,11,53,29,2,3,1
E00037418,121,6,7,48,50,8,2,0
E00037419,170,20,16,67,46,13,5,3
E00037420,126,7,17,46,31,13,11,1
E00037421,133,38,22,40,17,7,8,1
E00037422,144,20,19,59,25,12,5,4
E00037423,122,12,11,68,22,3,4,2
E00037424,119,20,11,52,21,1,10,4
E00037425,118,5,24,44,32,7,6,0
E00037426,129,18,9,56,32,3,9,2
E00037427,161,16,34,59,32,9,8,3
E00037428,125,15,6,71,22,3,6,2
E00037429,126,20,9,63,28,3,3,0
E00037430,137,24,12,45,33,8,12,3
E00037431,134,31,3,69,19,2,8,2
E00037432,144,13,25,42,39,8,12,5
E00037433,131,25,20,51,17,10,4,4
E00037434,115,23,21,48,9,6,6,2
E00037435,126,9,17,42,33,13,7,5
E00037436,127,0,8,54,51,5,7,2
E00037437,141,24,31,44,25,8,5,4
E00037438,128,9,24,57,26,5,5,2
E00037439,195,23,14,84,45,15,10,4
E00037502,134,15,18,63,23,3,10,2
E00037503,116,21,21,52,12,4,1,5
E00037505,110,14,14,32,24,13,10,3
E00037507,144,14,28,52,24,17,6,3
E00037508,145,16,17,51,32,16,8,5
E00037509,92,8,18,29,19,12,4,2
E00037510,130,16,23,45,25,8,8,5
E00037511,123,21,10,69,14,1,7,1
E00037512,129,46,20,32,16,5,8,2
E00037513,133,27,28,43,20,3,11,1
E00037514,125,5,16,20,43,24,15,2
E00037515,131,31,6,68,18,2,5,1
E00037516,195,15,36,70,44,15,10,5
E00037517,122,16,10,56,22,7,7,4
E00037518,121,15,11,36,18,19,15,7
E00037519,124,18,14,25,31,15,14,7
E00037520,118,24,11,69,10,0,2,2
E00037521,116,30,3,69,6,5,2,1
E00037522,120,13,20,33,29,14,10,1
E00037523,125,16,7,53,22,14,10,3
E00037524,118,17,15,71,9,1,3,2
E00037525,123,25,14,66,8,3,7,0
