house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00095064,0.99999999999075495,76,18,12,32,11,3,0,0
S00095065,1.0000000000031599,67,5,11,19,11,10,0,11
S00095066,1.00000000000221,72,9,13,27,10,4,0,9
S00095067,0.99999999999582301,69,10,35,16,3,5,0,0
S00095068,1.00000000000115,68,8,34,20,4,1,0,1
S00095069,1.0000000000018801,71,15,10,32,10,0,1,3
S00095070,1.0000000000046101,52,8,12,20,5,2,0,5
S00095071,1.00000000001522,55,11,5,17,11,6,2,3
S00095072,1.0000000000028599,53,0,26,11,6,8,0,2
S00095073,0.99999999995060995,39,1,10,6,14,6,0,2
S00095074,0.99999999999894196,27,3,6,7,3,6,0,2
S00095075,0.99999999999069,50,9,8,20,6,3,0,4
S00095076,1.0000000000353499,43,9,19,13,1,1,0,0
S00095077,0.99999999999439504,45,5,9,10,12,6,1,2
S00095078,1.0000000000040601,50,6,6,18,10,7,1,2
S00095079,1.00000000000192,40,3,5,12,12,6,1,1
S00095080,0.99999999998748501,49,8,11,9,9,11,0,1
S00095081,0.99999999999865996,55,8,9,13,8,8,2,7
S00095082,1.0000000000060201,41,3,4,26,6,1,1,0
S00095083,0.99999999999627198,65,6,11,20,10,12,1,5
S00095084,1.00000000000034,42,7,8,9,10,7,1,0
S00095085,1.0000000000048099,45,3,7,9,13,10,0,3
S00095086,0.99999999999954303,75,6,14,13,17,17,3,5
S00095087,0.99999999999787204,32,0,4,5,12,7,1,3
S00095088,1.00000000002806,45,5,13,14,7,4,1,1
S00095089,0.99999999999929301,49,14,7,6,12,7,0,3
S00095090,1.00000000084125,36,1,3,7,11,9,1,4
S00095091,1.0000000000320399,63,4,6,21,20,11,1,0
S00095092,1.00000000000079,41,1,5,14,6,7,2,6
S00095093,1.00000000000083,73,6,10,21,13,16,2,5
S00095094,1.00000000039591,56,1,7,21,10,8,1,8
S00095095,1.0000000000135401,55,9,12,22,8,0,2,2
S00095096,1.00000000002784,66,6,18,10,11,17,0,4
S00095097,0.99999999802636996,31,6,12,9,4,0,0,0
S00095098,0.99999999999251998,43,10,16,11,0,2,0,4
S00095099,0.99999999999617695,37,3,14,13,3,1,2,1
S00095100,0.99999999999840605,65,6,3,31,18,1,1,5
S00095101,1.0000000002232901,48,7,4,20,9,3,1,4
S00095102,0.99999999997498701,59,11,4,34,10,0,0,0
S00095103,0.99999999998853895,66,13,11,25,11,2,1,3
S00095104,1.0000000000012701,36,2,12,8,8,4,0,2
S00095105,1.0000000000003499,58,10,14,25,8,1,0,0
S00095106,0.99999999998590305,72,11,22,20,10,6,0,3
S00095107,1.00000000001256,52,13,20,16,0,1,0,2
S00095108,0.999999999995419,64,18,20,14,4,7,0,1
S00095109,1.0000000000096601,59,8,32,13,4,0,0,2
S00095110,0.99999999999260603,52,6,27,9,5,3,0,2
S00095111,1.0000000000103599,77,15,19,29,3,3,1,7
S00095112,1.00000000000227,35,3,20,9,1,1,0,1
S00095113,1.0000000000001501,74,29,6,23,11,2,0,3
S00095114,1.0000000000042299,36,9,6,17,4,0,0,0
S00095115,0.99999999998967903,43,6,13,18,3,2,0,1
S00095116,0.99999999999105904,46,12,7,20,6,0,0,1
S00095117,1.0000000000754199,58,12,9,23,12,1,1,0
S00095118,1.0000000000440501,45,1,8,32,3,1,0,0
S00095119,0.99999999987941302,30,2,2,17,6,3,0,0
S00095120,0.99999999999892997,55,5,26,15,6,1,1,1
S00095121,1.0000000000083999,59,10,4,27,10,5,1,2
S00095122,1.0000000000003799,43,6,7,11,8,5,1,5
S00095123,1.0000000000103599,72,10,7,32,13,2,0,8
S00095124,0.99999999999438405,55,8,15,21,6,3,0,2
S00095125,0.99999999998998601,27,3,4,14,5,0,0,1
S00095126,1.0000000000006899,38,3,4,19,10,0,0,2
S00095127,0.99999999999018996,47,3,3,28,13,0,0,0
S00095128,0.99999999996626898,76,10,9,31,17,4,0,5
S00095129,1.0000000000003999,42,9,9,13,7,3,0,1
S00095130,0.99999999999991995,76,10,26,13,20,3,0,4
S00095131,1.0000000000003499,47,4,8,12,14,4,1,4
S00095132,1.00000000000277,63,9,21,17,8,4,1,3
S00095133,0.99999999998650801,67,12,16,21,7,8,0,3
S00095134,1.00000000000694,74,9,15,24,13,5,2,6
S00095135,1.0000000000043801,64,19,10,24,3,2,0,6
S00095136,1.00000000000333,37,6,16,9,1,4,0,1
S00095137,1.00000000000331,47,7,13,17,5,4,0,1
S00095138,0.99999999999970202,41,6,15,11,3,4,1,1
S00095139,1.0000000001893701,57,10,13,20,7,3,0,4
S00095140,1.0000000000012099,47,6,14,15,5,3,1,3
S00095141,0.99999999999843303,48,10,18,13,4,1,0,2
S00095142,0.99999999997199795,51,10,13,16,7,4,0,1
S00095143,1.0000000000018201,52,20,17,9,2,3,0,1
S00095144,0.99999999997282596,76,39,20,10,3,4,0,0
S00095145,0.99999999999971301,58,20,20,17,0,0,0,1
S00095146,1.0000000000034801,44,7,22,10,2,2,0,1
S00095147,0.99999999994140898,43,9,18,8,3,2,1,2
S00095148,1.00000000000279,45,14,8,16,5,0,0,2
S00095149,0.99999999998917899,29,6,9,6,4,0,1,3
S00095150,0.99999999999048805,69,21,25,17,2,1,0,3
S00095151,1.00000000001335,43,7,6,20,4,3,0,3
S00095152,1.0000000046059601,57,12,7,24,10,2,0,2
S00095184,0.99999999999429801,42,8,8,14,4,7,0,1
S00095185,1.0000000000442999,35,6,9,8,7,5,0,0
S00095186,1.00000000004673,59,23,17,12,3,2,0,2
S00095187,1.00000000000534,41,8,3,13,11,2,0,4
S00095188,1.00000000000359,47,11,8,18,4,4,0,2
S00095189,1.0000000000071601,59,10,13,20,6,9,0,1
S00095190,0.99999999999550704,52,6,9,22,10,2,0,3
S00095191,0.99999999998508304,65,9,2,41,9,3,0,1
S00095192,0.99999999997630296,40,3,9,18,8,1,1,0
S00095193,0.99999999999745504,38,2,5,20,8,1,1,1
S00095194,1.00000000000088,26,3,8,3,8,1,2,1
S00095195,0.99999999999596001,54,5,10,29,5,2,0,3
S00095196,1.0000000000199101,46,11,7,14,11,1,0,2
S00095197,1.0000000000032501,74,20,17,19,16,1,1,0
S00095198,1.0000000000067499,42,3,4,25,9,0,0,1
S00095199,1.0000000000081499,56,39,4,7,2,2,0,2
S00095200,0.99999999998964795,38,6,9,10,6,4,1,2
S00095201,0.99999999959198504,65,19,5,29,10,0,0,2
S00095202,1.00000000000355,61,13,7,22,12,6,0,1
S00095203,1.0000000000175799,51,23,3,15,5,2,1,2
S00095204,1.00000000001746,51,9,12,16,11,1,0,2
S00095205,1.0000000000004701,59,12,16,23,4,4,0,0
S00095206,1.0000000000050899,41,12,8,15,5,1,0,0
S00095207,0.99999999997240197,55,6,16,18,8,2,1,4
S00095208,1.0000000000001801,32,5,3,19,4,0,1,0
S00095209,1.0000000001020699,70,11,22,23,12,2,0,0
S00095210,0.99999999999498801,35,6,4,11,5,5,0,4
S00095211,0.99999999993876498,42,5,4,20,7,5,0,1
S00095212,0.99999999982769205,50,7,15,20,7,1,0,0
S00095213,0.999999999529955,49,9,13,21,5,1,0,0
