health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00095080,0.99999999998748501,107,45,33,20,4,5
S00095081,0.99999999999865996,132,58,42,28,3,1
S00095082,1.0000000000060201,97,42,23,21,10,1
S00095083,0.99999999999627198,148,59,45,27,11,6
S00095084,1.00000000000034,98,45,33,15,4,1
S00095085,1.0000000000048099,121,70,39,9,3,0
S00095086,0.99999999999954303,207,126,51,14,11,5
S00095087,0.99999999999787204,97,60,25,10,2,0
S00095088,1.00000000002806,89,39,28,15,7,0
S00095089,0.99999999999929301,122,73,33,12,4,0
S00095090,1.00000000084125,109,64,29,8,8,0
S00095091,1.0000000000320399,168,79,43,32,10,4
S00095092,1.00000000000079,121,57,43,18,2,1
S00095093,1.00000000000083,185,98,58,14,11,4
S00095094,1.00000000039591,143,70,33,25,9,6
S00095095,1.0000000000135401,109,58,36,12,2,1
S00095096,1.00000000002784,139,83,26,21,6,3
S00095097,0.99999999802636996,54,26,19,9,0,0
S00095098,0.99999999999251998,61,18,17,21,3,2
S00095099,0.99999999999617695,71,37,22,10,2,0
S00095100,0.99999999999840605,161,103,45,10,3,0
S00095101,1.0000000002232901,109,65,30,13,1,0
S00095102,0.99999999997498701,119,68,36,13,2,0
S00095103,0.99999999998853895,139,82,33,23,1,0
S00095104,1.0000000000012701,71,36,29,5,0,1
S00095105,1.0000000000003499,107,48,43,10,5,1
S00095106,0.99999999998590305,139,69,53,13,3,1
S00095107,1.00000000001256,72,30,31,4,7,0
S00095108,0.999999999995419,100,42,36,19,2,1
S00095109,1.0000000000096601,85,36,29,16,4,0
S00095110,0.99999999999260603,81,35,25,19,2,0
S00095111,1.0000000000103599,136,53,52,24,7,0
S00095112,1.00000000000227,52,18,22,12,0,0
S00095113,1.0000000000001501,142,64,46,22,8,2
S00095114,1.0000000000042299,73,38,27,7,1,0
S00095115,0.99999999998967903,77,37,26,14,0,0
S00095116,0.99999999999105904,90,46,30,9,5,0
S00095117,1.0000000000754199,134,75,43,13,2,1
S00095118,1.0000000000440501,95,56,30,6,3,0
S00095119,0.99999999987941302,72,50,16,5,1,0
S00095120,0.99999999999892997,92,47,27,16,2,0
S00095121,1.0000000000083999,134,60,49,19,6,0
S00095122,1.0000000000003799,100,55,24,10,4,7
S00095123,1.0000000000103599,165,78,61,16,9,1
S00095124,0.99999999999438405,106,54,36,14,2,0
S00095125,0.99999999998998601,62,38,16,6,2,0
S00095126,1.0000000000006899,99,63,25,8,2,1
S00095127,0.99999999999018996,121,65,40,14,1,1
S00095128,0.99999999996626898,178,88,62,24,3,1
S00095129,1.0000000000003999,79,31,33,12,2,1
S00095130,0.99999999999991995,154,80,41,23,8,2
S00095131,1.0000000000003499,110,53,38,10,6,3
S00095132,1.00000000000277,166,68,45,37,15,1
S00095133,0.99999999998650801,135,48,49,21,11,6
S00095134,1.00000000000694,167,87,55,21,3,1
S00095135,1.0000000000043801,114,36,28,31,14,5
S00095136,1.00000000000333,59,20,34,4,1,0
S00095137,1.00000000000331,88,48,30,9,1,0
S00095138,0.99999999999970202,72,36,17,14,5,0
S00095139,1.0000000001893701,109,55,29,20,4,1
S00095140,1.0000000000012099,89,50,21,13,3,2
S00095141,0.99999999999843303,80,31,25,17,4,3
S00095142,0.99999999997199795,92,46,20,20,4,2
S00095143,1.0000000000018201,73,30,29,11,1,2
S00095144,0.99999999997282596,103,41,20,29,10,3
S00095145,0.99999999999971301,77,23,25,18,9,2
S00095146,1.0000000000034801,64,39,15,6,4,0
S00095147,0.99999999994140898,71,33,24,7,5,2
S00095148,1.00000000000279,76,26,39,9,2,0
S00095149,0.99999999998917899,59,24,23,7,5,0
S00095150,0.99999999999048805,95,29,31,24,11,0
S00095151,1.00000000001335,83,44,28,8,2,1
S00095152,1.0000000046059601,119,56,37,24,1,1
S00095184,0.99999999999429801,80,39,19,17,5,0
S00095185,1.0000000000442999,79,51,21,6,1,0
S00095186,1.00000000004673,90,29,36,17,6,2
S00095187,1.00000000000534,98,51,26,13,8,0
S00095188,1.00000000000359,85,41,23,15,3,3
S00095189,1.0000000000071601,115,56,44,10,3,2
S00095190,0.99999999999550704,115,69,31,12,3,0
S00095191,0.99999999998508304,144,90,33,15,4,2
S00095192,0.99999999997630296,95,58,33,4,0,0
S00095193,0.99999999999745504,93,49,31,9,3,1
S00095194,1.00000000000088,62,43,15,3,1,0
S00095195,0.99999999999596001,112,53,44,15,0,0
S00095196,1.0000000000199101,95,49,32,13,1,0
S00095197,1.0000000000032501,150,83,45,19,3,0
S00095198,1.0000000000067499,103,70,24,8,1,0
S00095199,1.0000000000081499,74,15,26,25,7,1
S00095200,0.99999999998964795,84,46,25,10,3,0
S00095201,0.99999999959198504,129,66,42,17,3,1
S00095202,1.00000000000355,137,72,40,19,4,2
S00095203,1.0000000000175799,90,31,34,20,4,1
S00095204,1.00000000001746,108,57,35,13,3,0
S00095205,1.0000000000004701,102,41,36,21,3,1
S00095206,1.0000000000050899,73,31,31,10,0,1
S00095207,0.99999999997240197,109,43,44,13,6,3
S00095208,1.0000000000001801,68,32,24,10,1,1
S00095209,1.0000000001020699,136,74,37,19,5,1
S00095210,0.99999999999498801,69,31,24,7,5,2
S00095211,0.99999999993876498,115,46,33,28,6,2
S00095212,0.99999999982769205,95,52,32,10,1,0
S00095213,0.999999999529955,88,46,29,11,2,0
S00095214,0.99999999999213196,136,73,46,9,5,3
S00095215,1.0000000000065099,111,51,41,12,6,1
S00095216,0.99999999999563804,113,68,34,10,1,0
S00095217,1.00000000025894,142,71,57,11,2,1
S00095218,1.0000000000001401,96,50,28,15,3,0
S00095219,1.0000000000007201,156,68,62,20,4,2
S00095220,0.99999999999404598,57,25,22,7,3,0
S00095221,1.00000000000107,78,49,25,4,0,0
S00095222,1.00000000015952,98,60,34,4,0,0
S00095223,0.99999999998033295,87,45,26,16,0,0
S00095224,0.99999999994531297,100,48,34,15,2,1
S00095225,1.0000000000743601,82,40,31,7,3,1
S00095226,1.0000000000039,116,56,48,12,0,0
S00095227,1.0000000000020299,66,33,26,6,0,1
S00095228,0.99999999998944999,79,42,16,18,2,1
S00095229,0.999999999725246,79,44,17,11,4,3
S00095230,0.99999999999077305,71,31,28,9,3,0
S00095231,0.99999999993470401,69,33,27,9,0,0
S00095232,0.99999999998056299,50,28,11,9,2,0
S00095233,0.99999999999974098,115,62,42,11,0,0
S00095234,0.99999999999948697,115,53,42,13,5,2
S00095235,0.999999999975557,177,81,37,28,24,7
S00095236,0.999999999999856,109,64,22,17,3,3
S00095237,1.0000000000009499,98,44,33,18,1,2
S00095238,1.0000000000006,105,58,27,17,3,0
S00095271,1.0000000000940901,88,36,34,12,4,2
S00095272,0.99999999999642997,86,44,31,9,2,0
S00095273,1.00000000000084,109,48,42,14,4,1
S00095274,1.0000000000426199,120,67,37,13,3,0
S00095275,0.99999999999982203,152,85,48,17,2,0
S00095276,1.0000000000007301,146,87,37,16,5,1
S00095277,1.0000000001073499,120,67,38,13,2,0
S00095278,1.0000000000006699,118,51,48,13,6,0
S00095279,0.999999999998327,112,55,32,15,7,3
S00095280,0.999999999975696,71,35,26,6,4,0
S00095281,1.0000000000165301,120,48,43,18,7,4
S00095282,0.99999999998620304,135,76,36,18,5,0
S00095283,1.0000000001379199,124,62,47,14,1,0
S00095284,0.99999999997858302,102,54,27,11,3,7
S00095285,0.99999999999467204,71,34,27,5,4,1
S00095286,1.00000000018777,121,75,28,9,7,2
S00095287,0.999999999996249,94,43,41,9,0,1
S00095288,0.99999999999859801,118,61,40,10,5,2
S00095289,0.99999999999119304,143,79,42,13,7,2
S00095290,0.99999999994713196,77,39,26,8,3,1
S00095291,1.0000000000023901,124,61,35,16,6,6
S00095292,0.99999999991991295,131,57,49,11,11,3
S00095293,1.0000000000076299,65,31,30,4,0,0
S00095294,0.99999999999398903,52,23,19,6,4,0
S00095295,0.99999999999923395,107,68,35,2,2,0
S00095296,1.00000000000418,95,42,31,14,6,2
S00095297,1.00000000003281,53,33,13,5,2,0
S00095298,0.99999999999426603,76,33,32,7,4,0
S00095299,1.0000000000042799,110,39,41,20,8,2
S00095300,0.99999999998515399,120,42,39,26,12,1
S00095301,1.00000000000061,154,101,40,11,0,2
S00095302,0.99999999991441002,143,82,42,12,4,3
S00095303,1.00000000000556,74,42,24,5,3,0
S00095304,0.99999999999823797,70,34,23,10,2,1
S00095305,1.000000000005,133,62,50,13,7,1
S00095306,1.0000000000174201,86,40,25,16,5,0
S00095307,0.99999999999733702,113,64,39,6,4,0
S00095308,0.999999999994447,120,62,35,22,1,0
S00095309,0.99999999995209099,123,54,49,17,3,0
S00095310,1.00000002519958,90,55,23,10,1,1
S00095311,1.0000000000040401,110,73,27,7,3,0
S00095312,0.99999999996014899,127,55,59,12,1,0
S00095313,1.0000000001895999,127,61,40,19,6,1
S00095314,1.0000000000034199,130,53,58,11,8,0
S00095315,0.99999999993484201,104,65,30,7,1,1
S00095316,0.99999999995667999,141,88,38,11,3,1
S00095317,0.99999999999820799,112,42,47,17,3,3
S00095318,0.99999999999545897,94,50,29,12,3,0
S00095319,0.99999999999054301,56,28,22,5,1,0
S00095320,0.99999999999776501,94,54,28,7,5,0
S00095321,0.99999999995395095,97,61,31,5,0,0
S00095322,0.99999999999921796,86,30,38,13,5,0
S00095323,0.99999999999455602,104,47,43,11,3,0
S00095324,1.0000000000034499,116,47,50,8,8,3
S00095325,1.00000000000633,106,44,39,22,1,0
S00095326,0.99999999999968503,111,46,42,12,5,6
S00095327,0.999999999964019,95,31,34,19,7,4
S00095328,0.99999999999533296,80,35,29,10,5,1
S00095329,0.99999999998845102,106,45,41,9,9,2
S00095330,0.99999999999058098,140,68,44,20,8,0
S00095331,1.0000000000642599,154,64,62,18,9,1
S00095332,0.999999999999165,98,49,34,10,3,2
S00095333,0.99999999999367395,100,59,30,6,5,0
S00095334,0.99999999999646005,140,70,50,19,0,1
S00095335,1.00000000001502,132,47,47,28,10,0
S00095336,0.99999999999921896,104,62,22,18,1,1
S00095337,0.99999999999147604,157,87,49,12,7,2
S00095338,0.99999999999995104,121,60,35,20,5,1
S00095339,0.99999999999848799,88,49,24,12,3,0
S00095340,0.999999999508424,109,48,42,14,4,1
S00095341,0.99999999996881095,191,93,66,25,5,2
S00095342,1.0000000000006599,108,43,55,8,2,0
S00095343,0.99999999985152799,107,56,32,14,4,1
S00095344,0.99999999997819,80,36,22,16,4,2
S00095345,1.00000000001028,127,58,31,25,11,2
S00095346,0.99999999992863797,141,56,44,30,8,3
S00095347,0.99999999999538203,93,49,25,10,9,0
S00095348,0.99999999998163303,94,57,29,7,0,1
S00095349,1.0000000000010101,114,55,31,20,6,2
S00095350,1.0000000000013101,80,10,35,27,7,1
S00095351,1.00000000000333,133,71,42,12,7,1
S00095352,1.0000000000013001,190,132,37,15,4,2
S00095353,0.99999999994675903,123,68,36,14,4,1
S00095354,1.0000000000129901,75,41,20,10,4,0
S00095355,1.0000000000079401,169,90,56,14,8,1
S00095356,1.00000000000117,115,58,42,12,3,0
S00095357,1.00000000000108,70,32,25,7,4,2
S00095358,1.0000000000082501,262,160,88,13,1,0
S00095359,1.0000000000014999,89,32,39,15,2,1
S00095360,0.99999999999687195,58,25,22,9,2,0
S00095361,0.99999999999377498,92,39,34,13,6,0
S00095362,0.99999999999573896,128,71,44,10,2,1
S00095363,1.00000000000115,119,59,34,18,7,1
S00095364,0.64389083450480999,117,50,41,18,6,2
S00095365,0.99999996633578103,87,42,29,10,4,2
S00095366,0.44549204604532999,150,68,60,18,3,1
S00095367,0.28262474388560999,127,81,32,12,2,0
S00095368,0.99999999997200295,91,43,27,17,2,2
S00095369,0.538754054670326,192,125,45,16,5,1
S00095370,0.755772255408375,116,54,30,22,7,3
S00095505,1.00000000000385,108,63,27,14,3,1
S00095506,0.999999805691419,125,70,34,18,3,0
S00095507,0.94204238091568204,130,80,30,16,2,2
S00095508,0.99999999977680198,183,112,44,22,4,1
S00095604,0.94665919747298799,116,76,29,10,1,0
S00095605,0.12834669664933801,133,87,35,7,3,1
S00095610,4.1896609311512498E-2,176,97,50,25,4,0
S00095614,0.99999999999558997,107,54,42,8,2,1
S00095622,0.61114088124223398,96,60,17,9,10,0
S00095623,0.96343367320974604,84,49,24,7,4,0
S00095627,1.0000000000056299,87,26,34,23,4,0
S00095628,0.99999999999937395,77,45,19,11,1,1
S00095629,0.99999999999280897,132,62,34,22,9,5
S00095630,0.99999999998993805,109,48,42,16,2,1
S00095631,0.99999999999963696,52,20,22,9,1,0
S00095632,0.99999999999362099,96,63,23,10,0,0
S00095633,1.00000000000384,59,33,16,8,2,0
S00095634,1.0000000000008999,62,34,21,7,0,0
S00095651,1.00000000001107,141,98,33,7,2,1
S00095652,0.99999999986110699,81,42,23,13,3,0
S00095653,1.00000000000246,97,43,42,11,1,0
S00095654,0.99999999999724098,129,72,43,13,1,0
S00095655,1.00000000001944,98,59,29,7,3,0
S00095656,1.0000000000013101,84,38,19,20,6,1
S00095657,1.0000000000029701,94,53,31,8,2,0
S00095658,1.0000000000026901,51,24,17,7,2,1
S00095659,1.0000000000398199,83,42,20,19,1,1
S00095660,1.00000000000006,115,18,45,40,9,3
S00095661,1.0000000000065199,122,77,31,8,5,1
S00095662,0.99999999999368605,110,68,28,13,0,1
S00095682,1.0000000000015501,76,44,22,9,0,1
S00095685,0.99999997100934701,66,27,23,12,4,0
S00095686,1.0000000000201501,111,47,34,21,9,0
S00095689,1.00000000000892,55,23,15,10,5,2
S00095690,0.99999999999976397,96,43,31,11,11,0
S00095708,0.89015879450867796,188,102,68,10,7,1
S00095709,6.9123297338101894E-2,163,97,51,12,2,1
S00095729,4.4319287397718801E-2,96,64,22,6,3,1
S00095740,1.00000000001221,78,33,29,11,4,1
S00095741,1.00000000001056,58,24,19,12,1,2
S00095742,0.99999999999469402,102,56,27,13,5,1
S00095743,0.99999999998869205,89,54,28,6,1,0
S00095744,1.00000000000172,102,58,33,11,0,0
S00095745,1.0000000000021301,83,40,27,13,2,1
S00095746,0.99999999997191202,65,40,13,10,2,0
S00095747,1.0000000000026299,116,53,42,14,5,2
S00095748,0.99999999999994105,131,86,27,15,3,0
S00095749,0.99999999998928701,91,41,37,11,1,1
S00095750,0.99999999997270095,115,62,23,21,9,0
S00095751,0.999999999999586,69,33,24,10,2,0
S00095752,0.99999999999153,80,19,31,21,6,3
S00095753,1.0000000000411999,73,41,22,8,1,1
S00095754,1.0000000000006699,61,23,26,8,3,1
S00095755,0.99999999900224901,84,39,28,11,6,0
S00095756,1.00000000002115,97,57,25,13,1,1
S00095757,0.99999999999739697,97,51,27,11,7,1
S00095758,0.99999999999981004,117,59,38,13,3,4
S00095759,0.99999999999943601,58,5,21,25,6,1
S00095760,0.99999999999378097,141,49,53,27,11,1
S00095761,1.0000000000048099,58,15,18,21,2,2
S00095762,1.0000000000050799,83,53,18,6,5,1
S00095763,1.00000000013803,58,24,25,8,1,0
S00095764,1.00000000000251,87,43,24,14,5,1
S00095777,1.00000000000055,56,15,15,18,6,2
S00095778,1.00000000001918,92,46,31,9,5,1
S00095779,1.0000000000214999,85,44,23,13,2,3
S00095780,1.0000000000228,92,40,37,10,3,2
S00095781,1.0000000000146001,102,57,32,7,5,1
S00095782,1.00000000000645,151,79,58,10,4,0
S00095783,0.99999999999640399,71,49,14,7,1,0
S00095784,0.999999999995831,122,63,36,16,6,1
S00095785,1.0000000000185401,88,48,31,7,2,0
S00095786,1.00000000022424,145,82,48,13,1,1
S00095791,0.91987695892272203,171,106,44,16,4,1
S00095792,0.67997515212959803,78,36,27,12,2,1
S00095827,0.999999999997078,82,32,30,13,5,2
S00095828,1.00000000002137,152,69,56,23,3,1
S00097124,8.0783991418998197E-2,93,48,33,10,2,0
S00097125,7.7055053126156306E-2,111,64,31,13,1,2
S00097193,0.52067684625801003,162,60,52,35,12,3
