pop..sa_code,pop..proportion_of_sa_within_co_m_boundary,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
207081017,0.99999999999994005,196,95,101,16,13,4,29,56,37,32,9
207081018,0.99999999999823996,193,98,95,7,9,4,27,35,48,44,19
207081019,0.99999999999886702,312,138,174,20,41,18,32,49,83,46,23
207081021,1.00000000000002,227,106,121,12,20,15,14,20,53,58,35
207081022,0.99999999999982203,248,112,136,9,34,39,26,19,96,23,2
207081023,0.99999999999884703,160,79,81,4,4,14,33,20,51,28,6
207081024,1.0000000000007201,312,140,172,7,31,49,23,19,122,43,18
207081025,0.99999999999978295,176,87,89,9,16,9,20,19,46,36,21
207082001,1.0000000000004901,118,76,42,3,3,4,48,25,28,6,1
207082002,0.99999999999979605,148,76,72,5,3,2,66,32,28,6,6
207082003,0.99999999999838196,311,147,164,30,59,42,48,46,72,14,0
207082004,0.99999999999963096,257,131,126,37,41,9,32,97,34,5,2
207082005/207082006,1.0000000000065901,198,100,98,27,23,14,29,60,43,1,1
207082007,1.0000000000003699,104,56,48,2,1,2,36,22,18,14,9
207082008,0.99999999999796996,242,115,127,10,13,20,37,36,89,30,7
207082009,0.99999999999987998,255,119,136,17,13,13,33,32,57,64,26
207082010,1.00000000000025,228,111,117,13,22,19,45,37,59,25,8
207082011,0.99999999999855804,143,68,75,9,15,8,21,21,33,20,16
207082012,1.0000000000101399,261,129,132,17,28,24,32,42,77,29,12
207082013,1.0000000000084099,335,159,176,43,60,26,38,80,73,11,4
207082014,0.99999999999205802,287,128,159,8,23,14,27,38,79,61,37
207082015,0.99999999984012999,270,94,176,2,6,5,26,22,44,65,100
207082016,0.999999999997783,269,134,135,7,27,37,30,23,84,36,25
207082017,0.999999999998754,349,182,167,36,43,26,40,53,103,35,13
207082018,1.0000000000004301,309,155,154,22,23,41,35,30,97,39,22
207082019,1.0000000000003799,226,111,115,13,22,32,15,31,52,49,12
207082020,1.0000000000001801,247,132,115,13,24,30,26,21,67,52,14
207082021,1.00000000000135,269,124,145,25,38,32,13,35,71,36,19
207082022,0.99999999999976197,227,113,114,19,35,25,16,22,61,36,13
207082023,1.00000000000003,223,106,117,20,31,23,42,41,54,7,5
