pop..lsoa_id,pop..proportion_of_lsoa_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01016117,1.00000000000109,2018,958,1060,175,205,132,379,367,457,226,77
E01016118,0.999999999996811,1715,860,855,120,139,128,238,287,486,220,97
E01016119,1,1496,731,765,71,121,99,185,161,385,299,175
E01016120,1,1509,741,768,115,163,107,164,202,406,201,151
E01016121,1,1533,744,789,69,116,96,185,151,399,318,199
E01016122,1,2231,1071,1160,181,169,171,252,278,609,368,203
E01016123,1,1590,746,844,104,119,121,209,205,427,245,160
E01016124,0.999999999999995,1801,880,921,91,146,136,193,218,493,307,217
E01016125,0.99999999999998801,1901,1009,892,120,198,151,265,257,532,252,126
E01016126,1,1691,809,882,77,145,159,228,185,494,281,122
E01016127,0.209209165343993,1505,769,736,119,143,89,170,172,414,272,126
E01016128,0.99920705919453701,2024,1302,722,74,124,129,536,341,458,202,160
E01016129,1.00000000000002,2010,1020,990,140,195,104,388,325,553,225,80
E01016130,0.999999999999997,2004,1035,969,89,108,133,494,231,540,247,162
E01016131,0.999999999999997,1633,779,854,79,119,110,195,196,486,264,184
E01016132,1,1736,858,878,89,161,145,224,182,542,241,152
E01016133,0.69941775899069403,1343,641,702,72,95,67,139,137,370,287,176
E01016134,0.97893263640366202,1501,722,779,87,120,103,207,173,446,261,104
E01016135,1,1629,795,834,124,155,107,214,246,435,220,128
E01016136,0.99999999999999201,1778,842,936,124,196,142,282,251,456,226,101
E01016137,1.0000000000007301,1598,826,772,123,169,119,236,281,413,172,85
E01016138,0.87513531019243496,1453,685,768,81,102,92,178,125,391,299,185
E01016139,1.0000000000004601,1679,838,841,98,150,116,218,247,491,240,119
E01016140,1,1494,738,756,103,138,114,203,249,433,186,68
E01016141,1.00000000000001,1918,978,940,138,205,125,305,349,509,218,69
E01016146,0.28521455359436898,2871,1393,1478,180,294,220,386,408,730,418,235
E01016147,1,1837,909,928,96,196,122,182,225,504,313,199
E01016148,0.62426595171222898,2117,1045,1072,133,175,171,229,282,633,328,166
E01016150,1,1685,802,883,135,235,172,240,276,377,193,57
E01016151,1.00000000000004,1646,801,845,108,166,131,176,257,469,228,111
E01016152,0.99999999999998501,1562,792,770,133,152,118,197,207,391,247,117
E01016153,0.99999999999988998,1668,795,873,153,207,129,274,223,381,202,99
E01016154,0.999999999999998,1793,879,914,131,161,156,279,265,463,258,80
E01016155,1.00000000000001,1644,782,862,104,150,137,212,195,437,245,164
E01016156,0.999999999999999,1739,853,886,123,177,138,259,297,475,201,69
E01016157,0.99999999999997802,2260,1103,1157,180,275,172,351,391,537,242,112
E01016158,0.99999999999995104,2498,1206,1292,193,289,173,363,482,561,299,138
E01016159,1.00000000000578,1529,727,802,123,201,130,196,229,382,201,67
E01016160,0.99999999999998002,1513,701,812,90,160,124,207,212,380,219,121
E01016161,1.0000000000006,1604,768,836,116,141,111,168,221,417,264,166
E01016162,1,1689,836,853,84,174,148,228,216,414,283,142
E01016163,1,1304,670,634,77,120,114,172,171,352,205,93
E01016164,1.0000000000000699,1466,697,769,100,133,105,200,192,370,232,134
E01016165,1.00000000000051,1253,601,652,43,105,98,147,119,358,249,134
E01016166,1.00000000000003,1559,760,799,99,156,97,204,212,372,269,150
E01016167,1,1431,713,718,71,128,101,196,130,425,251,129
E01016168,1.00000000000004,1549,763,786,88,148,114,219,165,405,267,143
E01016169,0.99999999999970901,1650,816,834,94,128,134,205,186,476,309,118
E01016170,1.0000000000004201,1582,770,812,127,140,107,255,209,401,218,125
E01016171,1,1574,754,820,99,169,149,229,199,423,191,115
E01016172,1.00000000000024,1448,722,726,79,124,118,164,181,386,241,155
E01016173,0.99999999999994704,1618,785,833,86,178,159,212,198,417,238,130
E01016174,1.00000000000002,1517,764,753,65,106,100,237,179,394,262,174
E01016175,0.99999999999692202,1876,883,993,113,162,130,227,194,557,343,150
E01016176,0.99999999999845601,1547,768,779,76,117,103,183,165,441,322,140
E01016177,1,1689,806,883,91,167,112,282,232,490,212,103
E01016178,0.999999999999998,1484,715,769,67,142,134,185,185,421,205,145
E01016179,1.00000000001338,1331,680,651,70,108,87,166,148,419,218,115
E01024265,6.9725382636705899E-2,1175,552,623,29,83,76,134,98,343,272,140
E01024333,0.73293587973664698,1351,693,658,76,112,106,200,211,389,193,64
E01024334,0.93299479215278003,1007,524,483,57,84,74,160,123,310,152,47
E01024335,1.51210700241039E-2,1660,838,822,90,129,128,187,166,524,325,111
E01024338,1.00000000000081,1357,692,665,63,109,96,173,174,442,213,87
E01024572,1.4475300457593199E-2,1341,680,661,73,119,107,159,160,396,218,109
E01024720,0.999999999999995,1395,655,740,40,97,105,120,162,414,276,181
E01024721,0.139666503669411,1253,656,597,42,96,88,143,120,373,271,120
E01024722,1.00000000000001,1420,677,743,74,140,122,150,176,413,245,100
E01024727,1.65770178314039E-2,3386,1617,1769,286,345,197,458,534,933,432,201
E01032798,0.99983295533018601,3964,2306,1658,253,313,197,1338,691,715,337,120
