ethn..geo_code,ethn..total_persons,ethn..ethnic_group_e_s_w_white_english_welsh_scottish_northern_irish_british_unit_persons,ethn..ethnic_group_e_s_w_white_irish_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_white_other_white_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_caribbean_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_african_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_asian_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_other_mixed_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_african_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_caribbean_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_other_black_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_arab_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
W00008452,327,286,0,0,13,4,0,0,1,9,2,0,0,5,4,3,0,0,0,299,7,16,5,0
W00008453,299,286,1,0,4,1,0,0,0,1,0,0,0,1,3,1,0,1,0,291,4,2,1,1
W00008454,287,266,1,0,1,5,0,3,0,4,0,0,5,0,1,0,0,0,1,268,1,9,8,1
W00008455,291,269,0,0,3,2,1,0,0,5,0,0,6,3,1,1,0,0,0,272,2,14,3,0
W00008456,307,294,2,0,6,0,0,3,0,1,0,0,0,0,1,0,0,0,0,302,1,1,3,0
W00008457,259,246,0,0,3,0,0,0,0,0,0,7,0,0,1,2,0,0,0,249,3,7,0,0
W00008458,254,230,2,0,9,2,1,1,1,0,0,1,0,2,3,0,0,0,2,241,3,3,5,2
W00008459,321,312,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,316,0,5,0,0
W00008460,203,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0
W00008461,271,265,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,265,0,0,5,1
W00008462,326,317,0,0,3,0,0,1,0,2,0,0,0,3,0,0,0,0,0,320,0,5,1,0
W00008463,383,363,0,0,5,1,0,0,0,5,0,1,4,2,1,1,0,0,0,368,2,12,1,0
W00008464,278,252,2,0,5,6,1,2,1,0,0,0,0,5,3,0,1,0,0,259,4,5,10,0
W00008465,281,270,1,0,0,4,0,1,0,4,1,0,0,0,0,0,0,0,0,271,0,5,5,0
W00008466,363,305,3,0,3,7,4,5,0,21,6,0,0,4,2,2,0,0,1,311,4,31,16,1
W00008467,353,333,3,0,9,3,1,1,1,0,0,0,1,1,0,0,0,0,0,345,0,2,6,0
W00008468,143,139,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,1,0
W00008469,305,260,7,0,5,2,2,7,0,2,0,2,0,4,0,2,0,8,4,272,2,8,11,12
W00008470,322,280,1,1,6,1,0,1,0,3,0,1,0,15,11,0,1,0,1,288,12,19,2,1
W00008471,298,266,4,0,5,1,2,2,0,4,0,10,0,0,1,1,0,0,2,275,2,14,5,2
W00008472,286,258,0,0,4,1,0,2,0,3,0,0,0,10,4,0,0,0,4,262,4,13,3,4
W00008473,272,251,1,5,4,3,1,0,0,0,0,0,0,3,3,1,0,0,0,261,4,3,4,0
W00008474,333,262,2,0,9,7,0,0,0,8,2,0,1,19,8,3,2,8,2,273,13,30,7,10
W00008475,325,271,0,0,15,10,6,2,0,3,4,3,0,4,5,2,0,0,0,286,7,14,18,0
W00008476,351,276,1,1,8,6,0,4,3,0,14,2,0,27,0,4,1,0,4,286,5,43,13,4
W00008477,275,242,2,0,5,3,0,0,0,7,0,0,1,10,1,2,0,2,0,249,3,18,3,2
W00008478,337,278,3,0,11,1,0,9,0,5,0,0,0,18,3,7,2,0,0,292,12,23,10,0
W00008479,265,239,0,0,3,5,0,2,0,0,0,0,5,9,0,1,0,1,0,242,1,14,7,1
W00008480,232,206,6,0,8,0,0,0,1,0,0,2,0,0,5,1,0,3,0,220,6,2,1,3
W00008481,333,310,2,0,9,0,1,0,0,3,0,0,3,0,0,4,0,1,0,321,4,6,1,1
W00008482,336,319,2,0,4,0,0,8,1,0,1,0,1,0,0,0,0,0,0,325,0,2,9,0
W00008483,256,245,2,0,0,3,0,2,0,0,0,0,1,0,0,1,0,2,0,247,1,1,5,2
W00008484,281,261,1,0,1,1,0,2,1,0,1,6,0,0,1,1,0,0,5,263,2,7,4,5
W00008485,315,283,0,0,11,6,1,4,0,0,4,1,2,1,0,1,0,0,1,294,1,8,11,1
W00008486,236,214,1,1,3,5,0,4,0,0,0,1,0,5,1,0,0,1,0,219,1,6,9,1
W00008487,270,262,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,269,0,0,0,1
W00008488,265,234,3,0,3,3,1,5,2,0,10,1,1,0,0,1,0,0,1,240,1,12,11,1
W00008489,287,262,3,1,12,2,0,0,0,5,0,0,0,0,2,0,0,0,0,278,2,5,2,0
W00008490,276,260,5,0,2,0,0,1,0,5,1,1,0,0,0,0,0,0,1,267,0,7,1,1
W00008491,307,278,2,0,7,2,0,0,0,0,6,0,1,2,3,1,1,4,0,287,5,9,2,4
W00008492,157,147,1,0,1,1,1,1,0,4,0,0,0,0,0,1,0,0,0,149,1,4,3,0
W00008493,281,272,3,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,278,0,2,1,0
W00008494,168,153,2,0,4,0,0,1,2,3,0,0,0,2,0,0,1,0,0,159,1,5,3,0
W00008495,340,324,0,0,7,1,0,1,3,0,0,0,0,2,0,0,0,0,2,331,0,2,5,2
W00008496,262,247,3,0,4,1,0,0,1,3,0,0,0,0,0,2,0,0,1,254,2,3,2,1
W00008497,284,275,1,0,4,0,0,0,0,1,0,0,3,0,0,0,0,0,0,280,0,4,0,0
W00008499,291,279,2,0,4,2,0,0,0,0,0,0,0,2,1,0,1,0,0,285,2,2,2,0
W00008500,297,294,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0
W00008501,311,303,1,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,308,1,0,2,0
W00008502,467,410,6,0,5,2,2,3,0,0,10,4,3,6,2,12,0,0,2,421,14,23,7,2
W00008503,291,279,2,0,3,0,2,0,0,0,0,0,4,0,1,0,0,0,0,284,1,4,2,0
W00008504,263,256,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,260,0,0,3,0
W00008505,357,344,0,0,5,0,0,6,0,0,0,0,1,0,0,0,0,1,0,349,0,1,6,1
W00008506,292,276,0,0,5,3,0,1,4,0,0,0,0,0,3,0,0,0,0,281,3,0,8,0
W00008507,294,274,2,0,7,1,0,1,1,0,4,0,0,0,4,0,0,0,0,283,4,4,3,0
W00008508,229,215,0,0,5,0,0,2,0,1,0,0,0,1,4,0,0,1,0,220,4,2,2,1
W00008509,345,331,0,0,2,1,1,3,0,0,0,0,0,0,5,1,0,0,1,333,6,0,5,1
W00008510,355,337,0,0,1,5,0,2,0,3,0,0,3,0,1,0,0,3,0,338,1,6,7,3
W00008511,358,329,2,0,4,0,0,0,2,3,6,0,1,7,0,0,0,4,0,335,0,17,2,4
W00008512,383,354,3,0,8,1,0,2,0,4,2,0,0,2,0,5,1,0,1,365,6,8,3,1
W00008513,154,150,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,150,0,3,0,1
W00008514,626,568,1,0,11,1,2,4,0,6,13,11,4,3,0,0,1,0,1,580,1,37,7,1
W00008515,413,358,4,0,2,1,0,4,1,2,30,0,6,2,0,2,1,0,0,364,3,40,6,0
W00008516,296,275,0,0,1,2,0,0,1,7,0,0,0,1,0,0,1,8,0,276,1,8,3,8
W00008517,422,379,0,0,7,2,0,0,3,8,4,0,11,5,0,1,0,0,2,386,1,28,5,2
W00008518,376,373,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,375,0,0,1,0
W00008519,251,231,2,0,4,5,2,1,0,2,3,0,0,0,1,0,0,0,0,237,1,5,8,0
W00008520,402,398,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,1,0
W00008521,274,264,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,3,0,268,0,0,3,3
W00008522,216,211,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,212,0,2,2,0
W00008523,254,249,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,249,1,0,3,1
W00008524,315,246,0,0,21,2,0,0,0,0,4,14,1,19,6,0,0,1,1,267,6,38,2,2
W00008525,366,256,1,1,5,26,0,5,2,0,31,13,1,0,7,8,6,4,0,263,21,45,33,4
W00008526,300,285,2,0,7,2,0,0,0,0,2,0,0,0,0,1,0,0,1,294,1,2,2,1
W00008527,292,221,2,0,23,3,0,6,1,0,17,6,0,5,5,0,1,0,2,246,6,28,10,2
W00008529,308,289,6,0,1,2,2,0,0,0,4,0,0,3,0,0,1,0,0,296,1,7,4,0
W00008530,236,213,2,0,6,5,0,0,0,1,0,0,0,0,2,3,4,0,0,221,9,1,5,0
W00008531,275,264,1,0,1,3,0,0,1,0,5,0,0,0,0,0,0,0,0,266,0,5,4,0
W00008532,294,271,2,4,9,1,0,0,0,0,0,0,0,0,3,1,0,3,0,286,4,0,1,3
W00008534,260,213,3,0,18,1,1,4,3,0,11,1,0,1,0,3,0,1,0,234,3,13,9,1
W00008535,305,278,0,0,7,9,2,0,0,0,0,0,0,0,1,4,0,3,1,285,5,0,11,4
W00008536,336,319,1,0,7,3,1,0,0,0,0,0,0,0,0,1,4,0,0,327,5,0,4,0
W00008537,265,237,0,0,13,2,0,0,1,0,0,1,0,0,5,0,0,6,0,250,5,1,3,6
W00008538,283,261,3,0,12,0,0,0,0,5,0,0,0,0,0,1,0,0,1,276,1,5,0,1
W00008539,299,278,0,0,5,8,2,0,1,0,2,0,0,0,0,3,0,0,0,283,3,2,11,0
W00008540,346,331,1,0,9,0,0,2,2,0,0,1,0,0,0,0,0,0,0,341,0,1,4,0
W00008541,305,290,0,0,4,1,0,0,2,2,2,0,1,0,2,1,0,0,0,294,3,5,3,0
W00008542,288,252,0,0,6,6,4,2,0,0,0,0,0,8,6,1,0,3,0,258,7,8,12,3
W00008543,256,223,0,2,0,7,1,0,0,0,4,4,0,4,7,1,1,2,0,225,9,12,8,2
W00008544,267,202,0,0,12,7,0,5,1,12,7,12,3,2,2,0,0,2,0,214,2,36,13,2
W00008545,284,232,1,0,9,3,0,1,1,0,9,0,1,11,8,4,1,2,1,242,13,21,5,3
W00008546,236,198,1,0,6,0,0,0,1,2,0,0,1,0,7,3,12,5,0,205,22,3,1,5
W00008547,327,271,0,8,5,0,0,0,0,3,9,7,0,23,0,0,1,0,0,284,1,42,0,0
W00008548,310,296,1,0,10,0,0,0,0,0,0,0,0,1,0,2,0,0,0,307,2,1,0,0
