house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
W00007200,125,30,27,35,12,9,11,1
W00007201,114,34,12,46,15,4,3,0
W00007202,119,15,18,39,17,16,10,4
W00007203,107,17,16,28,32,7,5,2
W00007204,125,19,37,22,21,18,8,0
W00007205,122,20,20,33,19,15,14,1
W00007206,135,16,10,61,19,14,12,3
W00007207,109,11,9,26,27,23,11,2
W00007208,133,9,22,38,27,21,11,5
W00007209,108,7,20,33,21,15,8,4
W00007210,110,14,17,33,24,7,9,6
W00007211,126,8,7,54,34,10,9,4
W00007212,83,17,38,20,2,1,5,0
W00007229,120,25,23,32,17,11,12,0
W00007230,122,27,13,47,21,4,9,1
W00007231,226,28,26,88,58,12,10,4
W00007232,133,13,14,62,26,6,10,2
W00007233,122,6,11,36,33,17,12,7
W00007234,108,9,16,39,23,15,3,3
W00007235,146,19,23,49,20,21,11,3
W00007236,135,15,29,48,21,13,7,2
W00007237,134,19,19,42,29,11,11,3
W00007238,126,20,7,65,25,1,8,0
W00007239,114,28,13,26,21,10,13,3
W00007240,149,15,25,53,31,13,10,2
W00007241,133,18,19,56,25,8,4,3
W00007242,154,24,26,57,38,2,6,1
W00007243,121,11,18,42,29,8,11,2
W00007244,162,26,25,66,33,2,9,1
W00007245,121,17,12,47,22,12,8,3
W00007246,126,20,30,29,23,17,6,1
W00007247,145,19,18,44,31,18,13,2
W00007248,146,36,20,48,21,14,7,0
W00007249,153,16,21,59,35,9,9,4
W00007250,143,14,29,38,29,13,15,5
W00007251,130,22,13,46,29,10,7,3
W00007252,137,17,13,39,33,16,12,7
W00007256,125,13,15,40,28,15,12,2
W00007257,92,44,17,20,6,2,2,1
W00007258,128,8,26,28,29,23,12,2
W00007261,120,26,11,38,23,5,10,7
W00007262,105,5,17,23,27,20,10,3
W00007264,138,20,15,49,37,15,2,0
W00007265,119,10,14,34,33,20,3,5
W00007266,147,22,20,61,25,10,5,4
W00007267,154,25,47,45,17,9,10,1
W00007268,135,7,27,28,27,23,10,13
W00007269,151,13,14,52,47,13,8,4
W00007270,172,4,25,28,41,51,17,6
W00007271,137,19,11,47,26,14,14,6
W00007272,159,26,21,51,44,9,6,2
W00007273,126,17,18,36,28,9,15,3
W00007274,112,7,14,33,26,18,5,9
W00007275,150,25,21,55,33,5,9,2
W00007276,125,13,14,44,29,14,9,2
W00007277,154,15,14,68,38,9,9,1
W00007278,131,20,12,57,19,11,9,3
W00007279,175,21,16,81,34,11,12,0
W00007280,142,13,11,64,39,12,2,1
W00007281,133,13,15,47,33,13,9,3
W00007282,128,18,10,41,39,7,10,3
W00007284,130,13,17,54,27,11,8,0
W00007285,127,19,17,56,21,4,9,1
W00007286,139,12,9,66,41,1,8,2
W00007287,141,27,17,54,27,9,6,1
W00007288,130,21,12,42,33,15,5,2
W00007289,143,24,12,55,27,8,12,5
W00007290,188,16,21,63,66,10,8,4
W00007291,134,19,18,59,19,6,9,4
W00007328,147,7,19,56,47,7,11,0
W00007329,137,13,31,28,31,15,15,4
W00007330,134,20,11,65,24,5,8,1
W00007331,124,13,8,62,32,5,1,3
W00007332,119,13,9,71,19,2,4,1
W00007333,122,20,6,75,12,4,3,2
W00007334,115,8,9,32,39,17,8,2
W00007335,179,20,13,60,41,33,10,2
W00007336,192,33,29,83,32,6,8,1
W00007337,133,9,13,40,30,16,15,10
W00007338,134,16,30,34,31,8,11,4
W00007339,125,21,24,30,22,17,7,4
W00007340,138,18,24,45,26,8,13,4
W00007341,113,23,20,32,15,12,9,2
W00007342,130,13,12,37,25,21,12,10
W00007343,124,9,18,41,22,18,12,4
W00007344,129,24,11,49,20,12,10,3
W00007345,118,16,13,41,22,14,11,1
W00007346,116,19,12,45,23,3,14,0
W00007347,168,17,17,60,42,11,15,6
W00007348,124,16,26,43,22,5,5,7
W00007349,103,7,10,52,23,8,3,0
W00007350,127,34,17,42,14,11,8,1
W00007351,130,15,15,44,27,10,16,3
W00007352,117,15,16,33,31,8,8,6
W00007353,118,49,16,12,16,15,8,2
W00007354,119,19,6,42,26,10,11,5
W00007361,124,6,44,25,15,23,11,0
W00007362,128,10,14,30,31,31,11,1
W00007363,129,21,11,59,22,8,5,3
W00007364,123,10,7,68,25,2,11,0
W00007365,119,14,19,31,26,13,13,3
W00007366,138,18,11,49,27,13,19,1
W00007367,131,30,27,43,18,4,8,1
W00007368,124,11,21,48,19,8,13,4
W00007369,115,5,14,50,32,7,6,1
W00007370,199,15,33,64,48,24,11,4
W00007371,122,2,14,23,39,34,10,0
W00007372,133,20,18,47,23,9,13,3
W00007373,117,8,16,59,22,7,4,1
W00007374,115,10,28,39,19,5,9,5
W00007375,128,4,17,46,32,11,15,3
W00007376,133,10,33,55,21,6,6,2
W00007377,108,17,22,37,13,6,12,1
W00007378,120,19,11,51,23,7,7,2
W00007379,146,4,28,65,31,8,8,2
W00007380,126,22,14,51,19,7,11,2
W00007381,165,8,66,33,29,13,14,2
W00007382,146,16,33,58,22,7,6,4
W00007383,134,25,18,52,18,10,10,1
W00007384,132,24,22,55,14,5,10,2
W00007385,154,23,55,37,21,9,6,3
W00007386,121,36,32,21,12,9,10,1
W00007387,119,18,18,37,26,9,6,5
W00007388,122,36,23,23,16,7,14,3
W00007389,120,15,16,51,18,11,8,1
W00007390,128,18,13,36,35,11,11,4
W00007391,112,12,14,41,23,7,10,5
W00007392,124,15,9,47,32,8,10,3
W00007393,144,23,22,49,26,7,14,3
W00007394,137,9,36,47,25,6,12,2
W00007395,134,27,14,57,18,5,10,3
W00007396,153,21,40,53,21,7,8,3
W00007397,109,34,20,18,12,10,12,3
W00007398,117,14,18,44,21,4,12,4
W00007399,158,17,42,49,27,7,12,4
W00007424,121,14,14,39,29,10,11,4
W00007425,171,11,19,86,39,4,11,1
W00007426,127,6,18,59,28,6,6,4
W00007468,134,17,14,31,19,31,18,4
W00007469,128,18,32,23,14,29,10,2
W00007471,122,16,11,51,23,8,11,2
W00007472,138,15,40,38,19,16,10,0
W00007473,138,20,22,51,31,4,7,3
W00007474,145,9,12,43,31,25,18,7
W00007475,136,13,32,34,18,21,14,4
W00007476,106,5,18,28,31,9,9,6
W00007477,126,16,26,37,25,14,7,1
W00007478,152,13,20,52,35,23,8,1
W00007479,154,16,31,51,26,13,12,5
W00007480,125,24,18,41,27,9,5,1
W00007481,144,7,19,49,43,8,13,5
W00007482,108,14,20,39,20,5,7,3
W00007483,148,19,21,52,29,12,14,1
W00007484,135,35,18,47,18,5,9,3
W00007485,147,14,29,42,27,16,15,4
W00007486,140,16,14,61,30,7,7,5
W00007487,140,19,13,53,29,11,13,2
W00007502,143,7,28,54,30,13,9,2
W00007503,109,35,25,24,16,5,3,1
W00007504,132,21,29,36,20,9,15,2
W00007505,116,18,36,25,10,12,14,1
W00007506,156,24,31,45,30,17,7,2
W00007507,133,14,25,44,23,11,14,2
W00007508,128,17,31,57,17,3,2,1
W00007509,130,6,25,43,34,13,9,0
W00007510,133,23,14,48,27,11,5,5
W00007511,123,16,22,42,14,14,12,3
W00007512,125,12,18,43,27,14,7,4
W00007513,122,13,19,40,22,17,10,1
W00007514,132,14,13,42,37,13,11,2
W00007515,131,14,39,35,16,20,7,0
W00007516,123,15,20,37,21,15,11,4
W00007517,124,42,17,36,14,3,9,3
W00007518,125,13,12,44,19,17,17,3
W00007519,181,53,18,59,26,11,11,3
W00007520,105,25,12,33,18,6,10,1
W00007521,168,10,14,81,44,5,10,4
W00007522,122,12,20,53,19,7,9,2
W00007523,128,31,11,37,30,11,6,2
W00007524,130,26,7,48,29,10,8,2
W00007525,135,21,10,54,35,4,8,3
W00007526,132,17,24,38,20,15,16,2
W00007527,140,15,23,50,34,10,6,2
W00007528,116,13,16,31,27,20,8,1
W00007530,139,19,13,67,19,8,9,4
W00007531,105,20,18,26,8,15,16,2
W00007533,129,19,31,29,20,16,13,1
W00007534,123,13,25,36,21,10,14,4
W00007536,135,14,17,53,22,15,13,1
W00007537,114,19,21,28,19,20,4,3
W00007538,128,10,18,50,29,12,6,3
W00007539,106,11,9,43,23,6,7,7
W00007540,122,14,16,52,17,10,11,2
W00007541,117,27,15,38,21,7,9,0
W00007542,122,18,14,40,17,19,11,3
W00007543,112,15,14,36,20,13,13,1
W00007544,119,23,26,35,16,13,5,1
W00007545,105,32,41,17,3,7,5,0
W00007546,126,20,22,41,21,9,11,2
W00007547,195,20,16,73,60,13,8,5
W00007548,149,32,25,41,29,6,15,1
W00007549,116,10,17,42,21,11,13,2
W00007550,131,9,13,39,35,22,10,3
W00007551,134,17,23,51,28,8,6,1
W00007552,122,19,9,38,26,12,15,3
W00007553,117,23,12,31,25,11,8,7
W00007554,144,27,17,43,22,19,14,2
W00007555,144,15,34,52,23,12,7,1
W00007561,111,14,14,44,25,4,10,0
W00007576,135,23,23,46,20,11,9,3
W00007577,137,31,20,39,33,7,5,2
W00007578,137,22,24,34,30,16,9,2
W00007579,127,17,25,32,24,15,13,1
W00007580,126,16,29,29,24,13,9,6
W00007581,130,16,33,37,34,2,5,3
W00007582,121,10,23,38,28,13,7,2
W00007583,131,22,18,49,30,3,8,1
W00007584,120,4,6,65,32,4,5,4
W00007585,122,7,5,49,45,4,9,3
W00007586,131,38,22,33,17,10,9,2
W00007587,148,15,29,44,27,14,15,4
W00007588,145,16,18,61,26,13,10,1
W00007589,140,23,24,45,27,10,9,2
W00007590,139,8,16,56,30,8,17,4
W00007591,127,26,34,40,10,6,9,2
W00007592,130,40,23,24,19,16,7,1
W00007593,134,15,18,42,28,13,15,3
W00007594,129,17,19,34,33,16,7,3
W00007595,133,19,13,53,33,6,5,4
W00007596,142,14,15,55,39,7,9,3
W00007597,130,38,33,34,9,12,2,2
W00007598,139,10,14,49,41,17,6,2
W00007599,114,25,13,40,17,8,7,4
W00007600,120,13,21,42,19,11,9,5
W00007601,117,21,18,30,20,14,8,6
W00007602,113,11,25,38,19,14,6,0
W00007603,125,25,22,44,15,3,13,3
W00007604,123,27,24,33,15,7,12,5
W00007605,134,22,32,29,16,21,12,2
W00007606,116,14,18,34,18,16,14,2
W00007607,141,13,11,61,31,8,8,9
W00007608,116,11,15,48,18,9,14,1
W00007609,120,17,17,35,30,13,8,0
W00007610,120,29,16,35,17,13,7,3
W00007611,126,19,14,46,26,13,7,1
W00007612,123,17,17,40,22,16,8,3
W00007613,131,14,27,28,25,21,14,2
W00007614,121,12,17,40,32,10,7,3
W00007615,127,14,18,44,23,18,8,2
W00007616,114,16,25,36,17,10,8,2
W00007617,74,10,24,18,13,5,4,0
W00007618,128,19,17,53,23,9,4,3
W00007619,127,7,23,44,21,16,9,7
W00007620,120,32,40,21,11,6,10,0
W00007621,129,7,24,30,25,24,12,7
W00007622,127,12,10,35,32,14,17,7
W00007623,185,6,36,68,51,12,6,6
W00007624,114,58,22,15,10,2,5,2
W00007625,138,13,23,40,32,19,9,2
W00007626,139,13,22,52,30,6,14,2
W00007627,123,27,48,29,7,2,8,2
W00007628,117,9,26,32,23,12,12,3
W00007629,132,17,24,32,35,13,5,6
W00007630,125,19,21,38,27,14,4,2
W00007631,130,16,23,43,24,11,7,6
W00007632,118,12,37,30,18,9,8,4
W00007633,126,14,28,39,21,12,9,3
W00007634,208,15,46,76,38,20,10,3
W00007635,64,4,22,15,5,9,8,1
W00007636,130,18,18,54,27,4,8,1
W00007637,110,11,24,30,23,11,10,1
W00007638,123,11,28,45,18,12,8,1
W00007639,136,60,22,39,3,1,11,0
W00007640,140,8,15,46,44,19,5,3
W00007641,144,13,30,55,18,12,14,2
W00007642,138,14,20,57,34,8,3,2
W00007643,117,14,22,43,16,12,5,5
W00007644,117,17,19,34,26,11,9,1
W00007645,119,24,16,50,17,8,3,1
W00007646,118,14,20,39,24,9,5,7
W00007647,138,18,26,24,30,29,8,3
W00007648,129,18,37,36,15,13,9,1
W00007649,147,30,28,46,21,9,13,0
W00007650,134,16,30,31,21,21,14,1
W00007651,123,18,28,35,20,7,13,2
W00007652,136,29,28,34,11,16,14,4
W00007653,172,25,38,44,35,16,11,3
W00007654,120,22,23,33,17,12,9,4
W00007655,138,15,23,42,26,15,15,2
W00007656,118,12,27,39,15,12,11,2
W00007657,112,14,21,39,18,3,14,3
W00007658,116,8,22,32,26,12,14,2
W00007659,116,20,16,44,19,7,10,0
W00007660,117,21,14,47,23,6,5,1
W00007661,138,20,20,50,31,4,11,2
W00007662,122,19,20,37,21,15,9,1
W00007663,114,12,22,37,19,16,6,2
W00007664,122,17,23,35,11,23,12,1
W00007665,155,31,26,61,18,11,5,3
W00007666,139,19,15,50,22,19,10,4
W00007667,132,20,14,41,23,13,17,4
W00007668,130,8,13,50,36,7,12,4
W00007669,111,6,19,29,26,19,8,4
W00007670,131,10,28,34,28,17,10,4
W00007672,95,11,30,28,9,8,6,3
W00007673,130,26,12,50,20,11,10,1
W00007674,114,11,16,46,26,4,9,2
W00007675,109,15,14,31,23,15,9,2
W00007676,115,9,19,40,21,4,18,4
W00007677,119,8,29,39,20,14,5,4
W00007678,125,18,21,34,19,16,12,5
W00007679,130,20,11,57,25,9,6,2
W00007680,126,21,10,63,20,0,9,3
W00007681,126,4,16,55,32,9,8,2
W00007682,153,4,31,27,41,34,11,5
W00007683,112,14,13,46,21,10,4,4
W00007684,120,25,12,45,21,9,6,2
W00007685,121,19,20,36,19,8,13,6
W00007686,131,13,24,54,28,6,3,3
W00007687,122,9,23,41,19,18,12,0
W00007688,137,23,28,30,19,19,16,2
W00007689,122,34,34,38,5,2,8,1
W00007690,151,13,15,51,49,4,12,7
W00007691,51,15,7,17,9,0,2,1
W00007692,125,16,12,65,23,2,7,0
W00007693,162,15,18,70,45,7,5,2
W00007694,114,15,18,40,12,14,15,0
W00007695,114,12,32,21,14,25,9,1
W00007696,114,33,19,46,2,4,10,0
W00007697,136,14,21,34,16,28,20,3
W00007698,127,29,15,49,23,3,8,0
W00007699,107,25,22,34,14,4,6,2
W00007700,122,12,19,25,29,21,10,6
W00007701,118,15,22,30,33,6,11,1
W00007702,128,40,13,50,11,8,6,0
W00007703,124,11,21,48,27,4,7,6
W00007704,111,10,23,33,20,12,12,1
W00007705,126,5,19,42,27,17,14,2
W00007706,110,16,11,36,28,12,6,1
W00007707,105,13,26,12,16,28,9,1
W00007708,123,24,16,40,22,6,11,4
W00007709,155,16,22,56,34,14,9,4
W00007710,121,18,24,32,23,10,11,3
W00007711,122,29,29,30,17,7,9,1
W00007712,113,17,27,27,11,16,12,3
W00007713,131,22,23,33,31,9,11,2
W00007714,114,11,19,51,20,2,9,2
W00007715,130,16,26,37,18,17,14,2
W00007716,135,23,22,50,23,11,5,1
W00007717,127,11,16,42,30,17,9,2
W00007718,127,21,21,39,21,13,10,2
W00007719,121,17,11,35,25,13,16,4
W00007720,152,13,46,39,19,21,14,0
W00007721,127,48,43,10,4,15,6,1
W00007722,118,19,17,45,19,8,8,2
W00007723,114,7,16,27,18,24,19,3
W00007724,123,33,50,18,6,2,14,0
W00007725,133,26,24,50,14,8,10,1
W00007726,138,9,75,17,12,9,11,5
W00007727,152,21,34,38,31,13,13,2
W00007728,126,23,18,45,21,11,7,1
W00007729,91,9,17,14,16,17,12,6
W00007730,127,10,26,21,20,35,12,3
W00007731,108,11,10,55,17,9,6,0
W00007732,82,16,12,19,17,8,8,2
W00007733,114,18,24,28,20,12,11,1
W00007734,62,8,11,17,11,4,8,3
W00007735,132,16,25,52,18,10,8,3
W00007736,131,18,16,48,22,11,14,2
W00007737,119,9,16,32,21,24,14,3
W00007738,141,25,17,41,21,16,12,9
W00007739,117,28,25,22,18,14,9,1
W00007740,123,40,17,44,4,10,6,2
