pop..dz_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01009266,964,471,493,44,64,43,109,117,270,210,107
S01009267,795,411,384,14,44,30,80,96,212,207,112
S01009268,1024,513,511,44,80,93,130,120,322,161,74
S01009269,872,442,430,45,122,84,117,117,215,120,52
S01009270,584,295,289,34,44,36,92,74,151,95,58
S01009271,825,421,404,36,45,45,96,105,227,214,57
S01009272,671,344,327,31,81,60,95,87,181,107,29
S01009273,477,239,238,8,32,22,35,31,150,137,62
S01009274,643,309,334,35,61,35,73,56,198,131,54
S01009275,884,449,435,59,59,56,109,107,257,174,63
S01009276,824,384,440,41,52,64,73,90,210,191,103
S01009277,842,398,444,53,63,54,93,103,238,180,58
S01009278,586,285,301,21,44,56,65,58,214,85,43
S01009279,723,357,366,42,54,37,64,105,189,167,65
S01009280,875,402,473,50,93,83,126,118,218,116,71
S01009281,802,380,422,46,63,47,111,72,223,158,82
S01009282,687,332,355,28,41,41,70,55,226,176,50
S01009283,609,297,312,58,55,36,82,94,177,90,17
S01009284,769,394,375,31,63,56,103,68,256,153,39
S01009285,802,398,404,38,71,56,107,100,225,150,55
S01009286,676,315,361,22,34,39,47,62,184,196,92
S01009287,788,367,421,17,58,40,82,49,233,193,116
S01009288,1068,489,579,55,80,79,101,125,294,212,122
S01009289,865,423,442,35,53,56,80,62,238,211,130
S01009290,670,313,357,25,44,54,61,49,166,176,95
S01009291,876,437,439,49,60,46,69,91,220,246,95
S01009292,510,234,276,24,52,26,73,66,139,89,41
S01009293,689,338,351,29,61,45,77,74,208,143,52
S01009294,693,332,361,49,62,42,83,91,199,101,66
S01009295,589,286,303,14,32,23,64,71,155,175,55
S01009296,453,222,231,16,24,26,53,53,163,85,33
S01009297,781,395,386,34,57,64,80,45,271,178,52
S01009298,922,420,502,38,56,35,112,127,244,184,126
S01009299,1104,557,547,45,85,66,131,186,329,188,74
S01009300,534,271,263,19,23,25,100,87,176,82,22
S01009301,1099,560,539,63,73,49,213,175,302,135,89
S01009302,830,403,427,44,77,45,154,146,210,124,30
S01009303,892,408,484,42,51,57,105,76,237,186,138
S01009304,964,463,501,55,93,93,114,105,250,171,83
S01009305,808,382,426,36,40,28,84,85,250,164,121
S01009306,1117,564,553,56,61,68,155,234,333,146,64
S01009307,960,499,461,43,42,35,202,149,269,143,77
S01009308,535,279,256,15,26,19,85,96,166,63,65
