house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00093517,45,3,18,10,4,7,0,3
S00093518,47,6,13,13,8,2,1,4
S00093519,33,10,11,3,5,1,0,3
S00093520,60,11,7,20,11,8,0,3
S00093521,42,2,6,20,12,1,0,1
S00093522,47,9,10,20,7,1,0,0
S00093523,54,6,18,13,12,3,2,0
S00093524,45,2,2,21,10,2,0,8
S00093525,50,8,12,12,12,3,0,3
S00093526,48,5,3,32,1,3,1,3
S00093527,58,8,4,29,9,4,1,3
S00093534,62,9,25,14,5,4,1,4
S00093535,49,10,20,9,2,2,1,5
S00093536,53,10,23,10,3,7,0,0
S00093537,27,2,2,11,10,0,1,1
S00093538,62,14,10,21,10,2,1,4
S00093539,33,6,4,18,3,1,0,1
S00093540,53,7,7,27,9,3,0,0
S00093541,58,5,17,16,12,3,1,4
S00093542,40,25,3,6,2,1,1,2
S00093543,50,7,15,12,11,0,1,4
S00093544,50,9,12,15,10,0,0,4
S00093545,76,16,20,23,9,5,1,2
S00093546,40,1,7,15,6,3,1,7
S00093547,70,8,8,34,14,4,0,2
S00093548,52,5,10,12,10,13,2,0
S00093549,50,7,4,25,11,2,0,1
S00093550,51,8,4,30,8,0,0,1
S00093551,48,6,3,30,6,2,0,1
S00093552,72,16,3,25,18,7,0,3
S00093553,58,12,4,21,10,3,1,7
S00093554,55,5,3,24,11,8,0,4
S00093555,31,3,3,19,3,2,0,1
S00093556,51,8,7,23,7,3,0,3
S00093557,39,5,6,16,10,2,0,0
S00093558,37,8,3,13,11,2,0,0
S00093559,50,9,16,15,8,0,1,1
S00093560,61,12,12,18,8,3,2,6
S00093561,39,4,9,14,5,2,2,3
S00093562,76,10,15,30,10,6,0,5
S00093563,73,11,24,11,16,9,0,2
S00093564,62,12,15,7,13,10,2,3
S00093565,54,10,11,16,10,2,1,4
S00093566,48,15,9,10,5,5,0,4
S00093567,71,5,18,15,16,11,0,6
S00093568,45,12,4,9,11,7,1,1
S00093569,64,8,21,20,8,5,0,2
S00093570,44,6,1,25,7,2,0,3
S00093571,42,5,3,23,6,2,0,3
S00093572,59,2,10,12,15,9,3,8
S00093731,47,2,11,20,8,3,0,3
S00093734,44,8,8,19,6,1,0,2
S00093736,57,11,10,21,6,3,2,4
S00093737,42,5,3,15,13,4,1,1
S00093738,26,4,6,11,3,0,1,1
S00093739,53,6,7,22,8,2,4,4
S00093740,59,9,4,22,14,6,0,4
S00093742,65,6,15,23,13,5,0,3
S00093753,59,5,6,25,14,6,2,1
S00093768,44,4,3,19,15,1,1,1
S00093776,28,5,5,12,4,0,0,2
S00093788,45,9,2,27,4,1,1,1
S00093789,46,21,2,18,4,1,0,0
S00093790,47,3,3,25,13,2,0,1
S00093791,39,4,11,9,5,5,0,5
S00093792,48,20,4,18,1,2,1,2
S00093793,51,12,9,15,9,3,0,3
S00093794,61,9,3,30,16,0,1,2
S00093795,41,5,7,18,8,2,0,1
S00093796,34,8,3,9,10,2,2,0
S00093797,29,2,0,20,5,0,0,2
S00093800,48,12,1,23,8,2,0,2
S00093801,40,8,0,21,11,0,0,0
S00093802,50,7,10,21,9,2,0,1
S00093803,45,4,5,25,7,3,0,1
S00093807,40,1,7,17,12,0,1,2
S00093814,45,5,9,21,6,1,2,1
S00093823,60,7,13,16,8,8,0,8
S00093824,36,5,9,4,5,10,1,2
S00093825,44,8,6,17,9,2,0,2
S00093826,74,5,8,34,21,5,0,1
S00093837,26,4,1,16,3,2,0,0
S00093838,32,0,4,23,4,1,0,0
S00093839,70,8,6,33,16,1,1,5
S00093855,55,2,7,34,9,2,1,0
S00093856,26,2,3,12,8,1,0,0
S00093857,32,3,3,16,7,0,0,3
S00093921,58,13,10,17,13,0,3,2
S00093922,55,7,15,13,8,7,1,4
S00093923,28,4,8,7,4,1,0,4
S00093924,71,4,11,23,15,14,1,3
S00093925,47,4,19,6,4,9,0,5
S00093926,44,4,16,12,8,3,0,1
S00093927,47,28,5,10,1,1,0,2
S00093928,30,3,5,11,7,3,0,1
S00093929,65,6,21,19,3,9,5,2
S00093930,52,8,11,22,10,0,0,1
S00093931,37,0,10,13,7,3,2,2
S00093932,49,12,10,17,0,2,1,7
S00093933,52,2,7,20,12,9,0,2
S00093934,57,1,8,19,17,7,1,4
S00093935,67,5,10,9,24,10,1,8
S00093936,33,3,5,13,9,1,0,2
S00093937,53,38,4,9,2,0,0,0
S00093938,37,4,9,15,9,0,0,0
S00093939,65,10,23,10,10,6,1,5
S00093940,41,7,8,13,7,5,0,1
S00093941,76,10,7,33,19,1,2,4
S00093942,47,8,3,20,14,1,0,1
S00093943,39,0,4,19,12,2,1,1
S00093944,43,6,3,20,10,3,0,1
S00093945,26,4,2,10,7,1,0,2
S00093992,39,6,2,19,9,0,1,2
S00093993,46,11,2,27,4,1,0,1
S00093994,57,14,6,29,6,0,0,2
S00093995,27,4,6,12,3,0,0,2
S00094143,27,2,6,14,3,0,0,2
S00094597,38,5,8,16,6,1,0,2
S00095833,30,5,4,15,5,0,1,0
S00095834,33,0,2,14,12,2,1,2
S00095835,24,1,3,12,5,0,1,2
S00095836,49,0,4,20,23,1,0,1
S00095837,41,1,2,14,19,3,1,1
S00095838,44,1,7,21,9,2,2,2
S00095839,45,0,3,10,27,1,2,2
S00095840,49,2,6,17,22,1,0,1
S00095841,60,4,8,26,17,3,0,2
S00095842,56,2,8,30,13,2,0,1
S00095843,58,3,5,21,26,2,1,0
S00095844,75,13,8,31,18,2,0,3
S00095845,45,3,4,28,10,0,0,0
S00095846,70,8,22,21,13,3,1,2
S00095847,78,20,14,21,8,10,0,5
S00095848,45,5,13,13,9,5,0,0
S00095849,47,6,4,16,16,1,1,3
S00095850,37,19,3,9,3,1,0,2
S00095851,72,9,42,7,5,3,0,6
S00095852,49,0,24,8,5,10,2,0
S00095853,63,11,25,9,10,4,0,4
S00095854,54,6,36,6,1,4,0,1
S00095855,58,5,14,23,6,5,0,5
S00095856,61,7,18,12,7,14,0,3
S00095857,49,2,14,14,6,10,0,3
S00095858,42,2,11,8,12,4,0,5
S00095859,41,10,13,9,3,3,1,2
S00095860,40,1,6,15,8,3,1,6
S00095861,60,4,7,22,9,7,2,9
S00095862,75,4,10,15,11,26,1,8
S00095863,41,1,6,7,12,10,0,5
S00095864,40,3,8,9,8,3,2,7
S00095865,54,5,14,12,11,6,0,6
S00095866,41,1,12,16,8,1,0,3
S00095867,56,2,16,25,7,3,0,3
S00095868,42,2,2,13,6,7,4,8
S00095869,67,5,17,16,6,13,1,9
S00095870,61,1,17,13,5,16,2,7
S00095871,74,9,2,49,12,0,1,1
S00095872,54,15,10,17,8,3,0,1
S00095873,61,4,3,36,16,1,1,0
S00095874,54,4,4,32,9,0,4,1
S00095875,69,7,24,15,5,10,1,7
S00095876,51,2,4,19,22,1,1,2
S00095877,47,12,10,9,7,4,1,4
S00095878,77,0,9,27,30,6,1,4
S00095879,77,17,22,21,12,3,0,2
S00095880,49,6,12,18,9,2,0,2
S00095881,32,3,8,7,5,7,0,2
