health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00093561,85,46,27,8,4,0
S00093562,161,97,40,16,3,5
S00093563,159,76,62,13,8,0
S00093564,121,64,36,12,6,3
S00093565,110,50,43,14,2,1
S00093566,86,36,30,15,4,1
S00093567,167,90,57,15,4,1
S00093568,99,45,29,18,6,1
S00093569,122,50,47,18,5,2
S00093570,105,41,53,6,4,1
S00093571,98,36,45,12,5,0
S00093572,143,85,37,14,4,3
S00093731,109,69,29,8,2,1
S00093734,85,38,31,9,6,1
S00093736,123,55,44,17,6,1
S00093737,112,60,39,9,3,1
S00093738,54,25,18,7,4,0
S00093739,128,77,34,15,1,1
S00093740,146,94,40,9,3,0
S00093742,151,70,56,19,6,0
S00093753,151,81,53,11,4,2
S00093768,121,64,42,14,1,0
S00093776,56,32,12,10,0,2
S00093788,99,47,39,13,0,0
S00093789,87,41,31,13,2,0
S00093790,133,68,45,14,3,3
S00093791,75,31,30,13,1,0
S00093792,87,29,34,18,6,0
S00093793,104,53,32,16,2,1
S00093794,155,93,37,19,4,2
S00093795,89,41,33,13,2,0
S00093796,87,58,22,7,0,0
S00093797,69,28,36,4,1,0
S00093800,108,58,34,12,2,2
S00093801,98,50,33,14,1,0
S00093802,110,56,41,10,2,1
S00093803,95,44,37,11,3,0
S00093807,106,65,32,7,2,0
S00093814,105,56,34,13,1,1
S00093823,127,60,43,15,9,0
S00093824,82,26,42,13,1,0
S00093825,89,48,28,9,3,1
S00093826,192,113,65,14,0,0
S00093837,53,24,20,8,0,1
S00093838,71,37,27,5,2,0
S00093839,176,98,61,10,6,1
S00093855,127,67,44,11,4,1
S00093856,72,44,23,4,1,0
S00093857,73,33,27,8,4,1
S00093921,138,76,36,19,5,2
S00093922,125,54,50,16,4,1
S00093923,52,20,24,8,0,0
S00093924,167,96,56,10,4,1
S00093925,86,40,27,14,4,1
S00093926,91,44,34,12,1,0
S00093927,65,14,21,18,12,0
S00093928,65,25,28,8,4,0
S00093929,126,61,42,20,3,0
S00093930,107,48,36,19,3,1
S00093931,87,55,21,8,1,2
S00093932,82,42,27,12,0,1
S00093933,129,77,43,7,2,0
S00093934,157,82,60,15,0,0
S00093935,190,115,55,14,6,0
S00093936,80,49,24,5,2,0
S00093937,69,5,31,22,10,1
S00093938,78,42,29,5,2,0
S00093939,116,56,49,11,0,0
S00093940,91,58,22,9,2,0
S00093941,180,109,44,19,5,3
S00093942,108,57,34,15,2,0
S00093943,99,61,29,6,1,2
S00093944,102,50,43,6,3,0
S00093945,61,34,16,5,6,0
S00093992,93,48,33,9,1,2
S00093993,93,54,25,12,1,1
S00093994,106,43,43,16,3,1
S00093995,52,24,19,5,3,1
S00094143,78,39,27,12,0,0
S00094597,80,32,34,9,4,1
S00095833,64,28,24,9,2,1
S00095834,102,67,27,5,1,2
S00095835,59,20,24,13,1,1
S00095836,146,111,28,5,1,1
S00095837,125,72,46,6,1,0
S00095838,111,72,31,4,2,2
S00095839,151,95,47,5,2,2
S00095840,135,106,18,9,2,0
S00095841,161,107,44,6,4,0
S00095842,136,89,36,9,2,0
S00095843,164,110,39,13,2,0
S00095844,166,83,66,9,5,3
S00095845,104,71,27,4,2,0
S00095846,145,79,45,14,5,2
S00095847,140,55,42,29,13,1
S00095848,91,52,26,12,1,0
S00095849,121,72,33,12,4,0
S00095850,76,32,23,15,4,2
S00095851,106,30,35,30,8,3
S00095852,96,52,30,11,3,0
S00095853,111,57,34,12,6,2
S00095854,70,26,23,13,5,3
S00095855,121,40,48,21,7,5
S00095856,127,58,38,16,13,2
S00095857,103,44,39,14,6,0
S00095858,111,66,31,9,4,1
S00095859,70,27,21,12,6,4
S00095860,96,39,37,15,2,3
S00095861,149,65,50,22,11,1
S00095862,197,102,62,18,8,7
S00095863,126,70,36,15,4,1
S00095864,108,57,32,11,6,2
S00095865,110,49,33,10,13,5
S00095866,92,57,26,8,1,0
S00095867,113,55,46,9,3,0
S00095868,126,73,29,16,7,1
S00095869,155,54,43,29,19,10
S00095870,141,56,41,23,17,4
S00095871,170,91,61,12,4,2
S00095872,109,49,35,16,8,1
S00095873,155,86,44,21,4,0
S00095874,143,69,53,17,2,2
S00095875,127,50,46,19,10,2
S00095876,151,106,30,13,1,1
S00095877,86,40,31,8,4,3
S00095878,220,168,36,11,5,0
S00095879,143,72,32,27,7,5
S00095880,104,42,38,18,5,1
S00095881,64,27,22,14,1,0
S00095882,157,84,47,17,7,2
S00095883,122,43,40,25,11,3
S00095884,142,61,46,27,6,2
S00095885,131,61,36,25,6,3
S00095886,140,72,38,21,9,0
S00095887,159,73,42,24,13,7
S00095888,87,31,32,21,3,0
S00095889,79,41,21,13,2,2
S00095890,95,33,32,20,5,5
S00095891,111,53,45,10,3,0
S00095892,101,73,22,5,0,1
S00095893,103,66,26,10,1,0
S00095894,127,64,35,23,3,2
S00095895,224,126,58,26,10,4
S00095896,118,58,26,20,10,4
S00095897,126,59,46,14,5,2
S00095898,99,39,27,20,10,3
S00095899,64,25,23,9,3,4
S00095900,68,32,16,10,8,2
S00095901,86,25,32,14,7,8
S00095902,96,43,29,16,7,1
S00095903,77,32,24,12,4,5
S00095904,85,35,25,14,8,3
S00095905,97,46,29,22,0,0
S00095906,124,70,42,10,2,0
S00095907,185,105,60,13,6,1
S00095908,71,20,19,21,11,0
S00095909,82,16,31,27,8,0
S00095910,56,19,25,4,6,2
S00095911,123,69,37,13,2,2
S00095912,161,96,51,7,5,2
S00095913,85,37,23,15,8,2
S00095914,89,43,26,16,4,0
S00095915,89,39,28,16,6,0
S00095916,140,62,43,23,11,1
S00095917,123,67,38,13,3,2
S00095918,130,57,32,27,11,3
S00095919,68,32,25,8,3,0
S00095920,133,59,39,26,9,0
S00095921,86,48,18,16,4,0
S00095922,84,29,31,19,4,1
S00095923,146,74,44,15,6,7
S00095924,145,57,47,20,14,7
S00095925,118,48,45,15,7,3
S00095926,121,60,47,14,0,0
S00095927,129,63,35,23,8,0
S00095928,154,89,50,10,4,1
S00095929,142,72,57,12,1,0
S00095930,131,74,40,14,2,1
S00095931,137,55,45,27,8,2
S00095932,109,46,37,19,7,0
S00095933,144,69,46,15,11,3
S00095934,89,54,28,6,0,1
S00095935,90,37,23,13,14,3
S00095936,141,69,47,17,7,1
S00095937,138,71,34,23,7,3
S00095938,151,62,43,30,13,3
S00095939,144,71,35,22,10,6
S00095940,147,84,37,19,6,1
S00095941,149,74,42,23,3,7
S00095942,114,60,25,23,6,0
S00095943,127,62,41,16,6,2
S00095944,65,37,19,7,2,0
S00095945,129,51,52,19,7,0
S00095946,132,50,50,20,10,2
S00095947,187,88,60,19,18,2
S00095948,52,26,21,3,2,0
S00095949,119,53,41,15,8,2
S00095950,156,75,49,22,5,5
S00095951,174,70,54,31,14,5
S00095952,113,57,31,17,6,2
S00095953,85,40,32,10,3,0
S00095954,52,21,18,7,6,0
S00095955,134,69,35,19,10,1
S00095956,138,50,48,24,12,4
S00095957,122,41,40,30,8,3
S00095958,147,69,48,22,7,1
S00095959,131,72,50,8,1,0
S00095960,87,44,29,12,2,0
S00095961,121,56,36,22,5,2
S00095962,82,33,28,16,5,0
S00095963,107,47,37,16,7,0
S00095964,122,83,29,8,1,1
S00095965,142,47,57,29,8,1
S00095966,84,34,26,16,6,2
S00095967,111,57,25,16,12,1
S00095968,185,88,58,25,12,2
S00095969,128,50,37,23,15,3
S00095970,136,61,40,24,9,2
S00095971,86,39,23,13,9,2
S00095972,117,54,42,11,9,1
S00095973,101,47,34,14,5,1
S00095974,112,49,42,16,5,0
S00095975,136,49,47,18,16,6
S00095976,143,67,44,21,9,2
S00095977,70,25,22,12,9,2
S00095978,113,52,37,17,6,1
S00095979,192,101,62,20,8,1
S00095980,174,85,56,24,9,0
S00095981,161,70,44,31,14,2
S00095982,78,40,31,6,1,0
S00095983,123,50,37,26,10,0
S00095984,166,93,55,15,3,0
S00095985,126,62,37,20,6,1
S00095986,116,60,44,4,5,3
S00095987,112,48,40,18,4,2
S00095988,108,54,24,18,8,4
S00095989,114,39,46,19,8,2
