rel..sa_id,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00127060,113,46,8,13,0,0,0,0,0,0,39,7
S00127062,103,39,2,15,0,0,0,0,0,0,40,7
S00127063,143,34,11,30,0,0,0,0,0,1,57,10
S00127064,117,59,2,14,0,0,0,0,0,0,31,11
S00127065,90,47,6,2,1,0,0,0,0,0,31,3
S00127066,130,55,14,6,0,1,0,0,0,0,43,11
S00127067,104,49,5,2,0,0,0,0,0,1,40,7
S00127068,68,34,5,6,0,0,0,0,0,0,16,7
S00127069,64,33,5,2,0,0,0,0,0,0,20,4
S00127070,117,32,2,13,8,0,0,0,0,0,52,10
S00127071,99,41,3,9,2,0,1,0,0,1,34,8
S00127072,148,74,10,13,0,0,0,0,0,0,47,4
S00127073,73,27,3,0,0,0,0,0,0,1,38,4
S00127074,69,34,6,0,0,0,0,0,0,4,7,18
S00127075,95,44,0,3,1,0,0,0,0,0,39,8
S00127076,89,40,1,6,0,0,0,0,0,0,35,7
S00127077,68,25,6,5,0,0,0,0,0,0,31,1
S00127078,58,28,4,4,0,0,0,0,0,0,15,7
S00127079,110,53,6,14,0,0,0,0,0,0,31,6
S00127080,110,51,7,6,0,0,0,1,0,0,42,3
S00127081,89,38,4,3,0,0,0,0,0,0,37,7
S00127082,152,60,5,7,0,0,0,0,0,0,72,8
S00127083,63,38,5,2,0,0,0,0,0,1,15,2
S00127084,63,30,7,4,1,0,0,0,0,1,15,5
S00127085,92,30,17,3,0,0,0,0,0,0,30,12
S00127086,92,34,6,6,1,0,0,0,0,0,38,7
S00127087,67,18,0,6,0,0,0,0,0,0,39,4
S00127088,77,37,2,0,0,0,0,0,0,0,31,7
S00127089,52,22,3,5,0,0,0,0,0,0,19,3
S00127090,140,42,4,10,0,0,0,0,0,0,70,14
S00127091,121,49,11,12,0,0,0,0,0,0,45,4
S00127092,160,64,19,12,0,0,0,0,0,0,47,18
S00127093,75,38,5,1,0,0,0,0,0,0,24,7
S00127094,60,29,5,0,1,0,0,0,0,0,22,3
S00127095,140,61,8,4,0,0,2,0,0,0,56,9
S00127096,77,35,11,2,0,0,0,0,0,1,20,8
S00127097,78,26,13,3,0,0,0,0,0,0,29,7
S00127098,116,61,8,6,0,0,0,0,0,0,27,14
S00127099,114,47,4,23,0,0,0,0,0,0,28,12
