rel..oa_id,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00001253,450,331,6,0,0,0,0,1,91,21
W00001254,237,105,0,4,0,1,0,1,108,18
W00001255,331,220,0,0,0,1,0,2,88,20
W00001256,277,181,0,0,0,0,0,0,72,24
W00001257,262,173,0,0,0,0,0,2,63,24
W00001258,310,189,0,0,0,0,0,0,106,15
W00001259,256,173,1,0,0,0,0,0,76,6
W00001260,279,146,0,0,0,6,0,0,100,27
W00001261,293,156,1,0,0,10,0,3,101,22
W00001262,306,173,3,0,0,4,0,3,95,28
W00001263,292,188,3,0,0,1,0,1,74,25
W00001264,259,137,1,0,0,4,0,0,100,17
W00001265,339,183,1,0,0,0,0,1,134,20
W00001266,341,178,0,1,0,0,0,4,126,32
W00001267,358,233,1,0,1,9,0,0,90,24
W00001268,330,206,0,0,0,5,0,0,100,19
W00001269,367,221,0,0,0,0,0,0,108,38
W00001270,253,144,0,0,0,11,0,0,67,31
W00001271,358,192,1,0,0,5,0,0,134,26
W00001272,331,162,0,0,0,0,0,4,122,43
W00001273,329,177,1,0,0,0,0,1,116,34
W00001274,386,187,2,0,0,0,0,1,172,24
W00001275,309,179,0,0,0,8,0,1,101,20
W00001276,372,189,0,0,0,1,0,0,158,24
W00001277,453,185,0,0,0,6,0,2,208,52
W00001278,255,129,1,2,0,1,0,3,97,22
W00001279,208,95,0,1,0,0,0,2,91,19
W00001280,307,188,0,2,0,5,0,3,89,20
W00001281,296,123,0,0,0,0,0,6,135,32
W00001282,155,75,0,0,0,0,0,2,65,13
W00001283,431,240,2,2,0,18,0,4,137,28
W00001284,213,99,0,0,0,12,0,1,81,20
W00001285,225,132,1,0,0,0,0,0,75,17
W00001286,347,176,3,6,0,1,0,9,122,30
W00001287,411,205,0,1,0,6,0,7,175,17
W00001288,382,209,1,9,0,0,0,1,138,24
W00001289,279,155,2,0,0,6,0,2,94,20
W00001290,252,145,0,7,0,2,0,2,71,25
W00001291,283,166,0,1,0,4,0,1,93,18
W00001292,161,86,0,0,0,2,0,0,58,15
W00001293,181,61,1,0,0,5,0,1,95,18
W00001294,298,210,2,0,0,2,0,0,59,25
W00001295,299,185,4,0,0,8,0,0,84,18
W00001296,308,203,5,0,0,1,0,1,72,26
W00001297,243,127,1,0,0,4,0,0,80,31
W00001298,204,137,1,0,0,0,0,0,49,17
W00001299,239,139,0,0,0,1,0,5,76,18
W00001300,248,119,1,6,0,10,0,2,97,13
W00001301,347,186,9,2,0,3,0,0,125,22
W00001302,287,182,2,1,0,0,0,0,87,15
W00001303,287,186,1,0,0,4,0,0,76,20
W00001304,275,193,0,0,0,0,0,2,66,14
W00001305,198,155,0,0,0,0,0,0,32,11
W00001306,329,276,0,0,0,2,0,1,40,10
W00001307,285,215,0,0,0,0,0,0,58,12
W00001308,287,198,0,0,0,0,0,0,70,19
W00001309,335,239,1,0,0,5,0,1,69,20
W00001310,430,275,0,0,0,2,0,2,119,32
W00001311,243,158,0,0,0,0,0,0,66,19
W00001312,319,208,0,1,0,0,0,0,82,28
W00001313,213,154,1,0,0,0,0,0,41,17
W00001314,281,181,0,3,0,2,0,2,71,22
W00001315,281,216,0,0,0,0,0,0,47,18
W00001316,264,189,1,0,1,0,0,0,50,23
W00001317,342,259,2,2,1,7,0,0,57,14
W00001318,293,155,1,2,0,0,0,3,102,30
W00001319,256,177,0,5,0,0,0,1,51,22
W00001320,254,175,0,0,1,0,0,0,55,23
W00001321,228,139,0,0,0,0,0,1,59,29
W00001322,282,175,0,0,0,0,0,0,98,9
W00001323,308,200,0,2,0,0,0,0,89,17
W00001324,353,241,0,0,0,1,0,0,90,21
W00001325,389,266,2,1,2,1,0,3,93,21
W00001326,281,222,0,0,0,2,0,0,44,13
W00001327,307,226,1,1,0,0,0,1,64,14
W00001328,331,206,4,0,0,4,0,0,92,25
