health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
W00000834,288,137,91,44,11,5
W00000835,263,98,76,57,24,8
W00000836,209,76,73,51,6,3
W00000837,241,83,76,56,22,4
W00000838,310,164,95,35,10,6
W00000839,256,129,74,42,11,0
W00000840,303,119,129,46,8,1
W00000841,304,110,102,74,15,3
W00000842,390,162,119,86,21,2
W00000843,268,148,76,35,7,2
W00000844,336,154,107,45,22,8
W00000845,256,60,96,68,27,5
W00000846,403,128,111,80,60,24
W00000847,265,113,103,32,14,3
W00000848,225,74,64,55,21,11
W00000849,358,213,96,37,8,4
W00000850,346,158,118,56,10,4
W00000851,375,203,98,49,23,2
W00000852,356,177,104,59,9,7
W00000853,225,89,101,26,8,1
W00000854,461,247,137,59,15,3
W00000855,244,111,84,37,11,1
W00000856,274,145,94,28,6,1
W00000857,243,115,80,39,9,0
W00000858,236,104,86,31,11,4
W00000859,244,116,95,23,8,2
W00000860,269,134,96,26,10,3
W00000861,312,179,84,37,10,2
W00000862,278,159,77,33,8,1
W00000863,354,181,98,57,12,6
W00000864,309,146,96,38,24,5
W00000865,329,162,103,45,13,6
W00000866,343,204,91,35,12,1
W00000867,411,222,127,44,18,0
W00000868,255,111,95,35,12,2
W00000869,340,176,110,41,13,0
W00000870,330,184,97,35,11,3
W00000871,287,130,100,35,17,5
W00000872,402,204,111,56,24,7
W00000873,393,191,117,43,31,11
W00000874,325,185,93,33,8,6
W00000875,232,83,93,42,10,4
W00000876,238,91,63,61,15,8
W00000877,290,162,86,28,13,1
W00000878,319,181,99,34,4,1
W00000879,560,317,167,57,14,5
W00000880,329,166,108,41,7,7
W00000881,288,132,92,46,13,5
W00000882,233,118,79,29,4,3
W00000883,302,150,93,35,22,2
W00000884,267,129,94,29,11,4
W00000885,257,113,84,42,13,5
W00000886,269,120,82,47,16,4
W00000888,318,142,103,56,11,6
W00000889,283,128,106,37,9,3
W00000890,406,201,127,51,17,10
W00000891,292,130,100,44,15,3
W00000892,264,115,85,50,11,3
W00000893,360,144,107,75,26,8
W00000894,274,125,91,36,16,6
W00000895,229,79,90,34,22,4
W00000896,321,132,117,50,19,3
W00000897,260,100,66,56,31,7
W00000898,331,154,97,53,21,6
W00000899,220,86,70,50,11,3
W00000900,201,43,45,66,37,10
W00000901,239,103,63,43,25,5
W00000902,312,175,82,39,10,6
W00000903,333,146,125,37,20,5
W00000904,321,162,107,35,14,3
W00000905,320,158,104,43,11,4
W00000906,278,115,91,40,28,4
W00000921,297,150,91,47,6,3
W00000922,289,157,85,31,14,2
W00000923,237,113,90,22,11,1
W00000924,241,95,86,41,17,2
W00000925,280,109,91,50,21,9
W00000926,311,129,113,53,11,5
W00000927,344,179,105,44,13,3
W00000928,289,157,88,33,8,3
W00000929,271,133,82,45,9,2
W00000930,262,105,107,33,13,4
W00000931,277,152,103,20,1,1
W00000932,451,280,127,32,9,3
W00000933,256,110,89,45,6,6
W00000934,312,163,91,43,10,5
W00000935,275,149,82,34,10,0
W00000936,263,77,99,67,14,6
W00000937,228,62,88,62,11,5
W00000938,322,155,110,46,10,1
W00000939,305,149,107,32,15,2
W00000940,357,189,100,44,19,5
W00000941,313,142,114,33,19,5
W00000942,355,183,123,37,10,2
W00000943,350,176,124,34,12,4
W00000944,292,107,99,59,23,4
W00000945,289,127,98,44,12,8
W00000946,260,115,93,35,15,2
W00000947,311,124,113,57,12,5
W00000948,359,177,126,38,13,5
W00000949,320,156,89,38,28,9
W00000950,237,82,88,48,14,5
W00000951,304,129,113,40,14,8
W00000952,245,79,102,50,12,2
W00000953,409,135,123,98,39,14
W00000954,212,55,88,49,13,7
W00000955,297,129,89,54,22,3
W00000956,255,100,90,42,23,0
W00000957,302,126,104,51,18,3
W00000958,254,99,78,51,20,6
W00000959,329,176,119,21,7,6
W00000960,316,70,113,87,39,7
W00000961,564,223,196,96,28,21
W00000962,334,165,99,47,19,4
W00000963,369,153,97,92,21,6
W00000964,364,182,109,53,17,3
W00000965,524,247,154,95,20,8
W00000966,266,88,104,45,23,6
W00000967,263,78,92,67,19,7
W00000968,176,28,47,66,30,5
W00000969,343,211,99,24,6,3
W00000970,227,84,58,52,23,10
W00000971,447,213,167,52,11,4
W00000972,349,160,121,43,12,13
W00000973,311,187,90,23,9,2
W00000974,499,292,145,44,18,0
W00000975,312,173,94,31,11,3
W00000976,387,249,107,24,6,1
W00000977,261,160,69,26,4,2
W00000978,386,95,140,79,52,20
W00000979,309,121,92,58,26,12
W00000980,137,28,45,43,19,2
W00000981,482,220,145,73,37,7
W00000982,232,74,72,59,23,4
W00000983,266,87,70,65,32,12
W00000984,303,108,100,59,27,9
W00000985,265,76,78,67,37,7
W00000987,178,105,44,20,8,1
W00000989,321,160,89,47,19,6
W00000990,212,85,64,37,22,4
W00000991,315,163,94,42,12,4
W00000992,226,100,70,35,9,12
W00000993,281,148,73,42,14,4
W00000994,287,139,79,44,15,10
W00000995,322,149,110,43,14,6
W00000996,272,125,93,37,16,1
W00000997,258,94,100,43,14,7
W00000998,243,75,82,63,18,5
W00000999,336,169,96,47,18,6
W00001000,306,152,104,31,16,3
W00001001,376,198,109,44,21,4
W00001002,374,173,135,43,17,6
W00001003,283,127,93,49,10,4
W00001004,384,116,118,111,29,10
W00001005,239,82,79,46,22,10
W00001006,294,142,98,32,15,7
W00001007,327,179,112,26,8,2
W00001008,325,177,86,51,11,0
W00001011,196,129,44,19,2,2
W00001012,451,254,125,55,12,5
W00001013,289,149,79,46,14,1
W00001014,189,111,54,17,5,2
W00001015,265,149,72,32,8,4
W00001016,205,85,70,36,12,2
W00001017,230,96,84,25,18,7
W00001018,299,187,81,23,6,2
W00001019,208,90,76,30,11,1
W00001020,285,126,107,33,14,5
W00001021,216,94,68,41,12,1
W00001022,212,71,70,44,22,5
W00001023,145,80,47,10,6,2
W00001024,293,138,95,36,18,6
W00001025,259,164,80,11,1,3
W00001026,231,101,89,31,2,8
W00001027,300,127,113,40,16,4
W00001028,307,148,103,42,11,3
W00001029,238,91,96,36,11,4
W00001030,239,126,84,22,6,1
W00001031,298,121,101,60,12,4
W00001032,306,157,99,34,13,3
W00001033,406,181,138,67,17,3
W00001034,259,120,84,41,10,4
