house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
W00000796,111,7,16,37,27,11,11,2
W00000797,134,19,21,41,30,9,8,6
W00000798,123,13,10,47,32,6,6,9
W00000799,122,15,11,42,34,10,8,2
W00000800,224,9,30,61,76,29,11,8
W00000801,122,27,13,42,24,7,7,2
W00000802,137,18,11,34,31,20,15,8
W00000803,127,19,13,53,23,8,8,3
W00000804,141,18,15,64,30,3,6,5
W00000805,121,16,13,54,26,4,4,4
W00000806,124,24,20,47,18,3,12,0
W00000807,126,26,15,48,17,8,9,3
W00000808,131,29,18,55,12,7,7,3
W00000809,136,23,11,52,22,9,17,2
W00000810,119,15,18,34,27,12,12,1
W00000811,141,25,27,52,14,10,11,2
W00000812,121,24,12,53,12,4,11,5
W00000813,121,11,16,36,29,13,8,8
W00000814,148,24,13,55,28,13,11,4
W00000815,126,23,17,50,15,5,15,1
W00000816,109,12,14,48,24,5,4,2
W00000817,121,22,24,40,14,11,6,4
W00000818,114,12,12,64,14,4,7,1
W00000819,135,22,28,37,31,8,8,1
W00000820,106,21,11,42,22,3,5,2
W00000821,128,23,21,54,19,3,7,1
W00000822,125,34,11,52,16,3,8,1
W00000823,139,34,26,53,16,2,8,0
W00000824,130,30,16,51,19,5,7,2
W00000825,231,27,71,62,30,25,14,2
W00000826,131,35,12,66,10,5,2,1
W00000827,130,18,26,48,17,7,10,4
W00000828,149,70,29,39,4,1,5,1
W00000829,149,32,25,47,20,8,16,1
W00000830,147,49,17,46,16,6,13,0
W00000831,117,45,22,23,16,3,5,3
W00000832,121,32,6,61,9,2,8,3
W00000833,121,45,15,28,16,5,10,2
W00000834,123,23,13,41,24,8,12,2
W00000835,132,24,42,26,20,11,7,2
W00000836,114,39,22,35,11,3,2,2
W00000837,127,32,12,68,8,2,5,0
W00000838,135,23,27,46,25,7,3,4
W00000839,112,14,12,50,24,6,5,1
W00000840,132,23,12,55,23,2,13,4
W00000841,148,38,28,58,13,3,7,1
W00000842,132,19,15,56,24,0,16,2
W00000843,124,25,17,41,21,13,6,1
W00000844,144,33,12,56,20,8,12,3
W00000845,128,45,5,63,11,0,2,2
W00000846,117,25,21,35,24,6,6,0
W00000847,127,24,17,52,16,3,12,3
W00000848,127,44,30,35,7,0,11,0
W00000849,146,22,17,46,42,7,11,1
W00000850,134,11,17,66,26,2,6,6
W00000851,147,15,24,67,27,0,11,3
W00000852,137,16,22,46,26,3,19,5
W00000853,120,17,37,31,16,10,9,0
W00000854,198,31,22,88,33,12,10,2
W00000855,113,21,16,44,15,5,8,4
W00000856,118,11,17,54,25,4,6,1
W00000857,114,17,15,55,11,4,10,2
W00000858,114,9,24,54,16,5,5,1
W00000859,109,14,19,38,20,6,11,1
W00000860,115,19,12,49,23,2,10,0
W00000861,109,5,9,48,27,2,14,4
W00000862,108,15,20,26,30,4,10,3
W00000863,141,19,16,56,30,2,14,4
W00000864,148,19,31,54,24,4,13,3
W00000865,132,16,23,54,26,3,8,2
W00000866,124,14,11,56,36,1,6,0
W00000867,147,6,26,42,39,15,10,9
W00000868,126,9,32,58,14,2,8,3
W00000869,144,18,21,44,30,18,11,2
W00000870,134,10,22,48,34,7,12,1
W00000871,122,16,19,38,19,16,11,3
W00000872,128,2,14,23,24,38,16,11
W00000873,127,5,18,23,35,32,11,3
W00000874,124,9,14,49,33,15,4,0
W00000875,115,16,27,34,11,10,15,2
W00000876,110,32,10,42,11,7,7,1
W00000877,120,15,17,44,23,9,8,4
W00000878,126,17,9,58,32,6,1,3
W00000879,225,22,36,71,57,20,12,7
W00000880,127,17,11,42,25,14,14,4
W00000881,119,22,17,29,33,10,4,4
W00000882,112,24,12,55,15,0,4,2
